from date,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,AT,RH,VWS,BP,SR,Eth-Benzene,RF,WS,WD,NO,NO2,NOx,to date,station
01-Jan-2018 - 00:00,4.85,0.38,5.23,138.43,0.72,2.0,,0.43,5.63,20.18,-0.22,417.6,58.55,0.62,0.0,0.1,101.72,3.36,13.27,6.98,02-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,16.31,03-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Jan-2018 - 00:00,6.09,0.99,15.87,109.0,1.11,2.27,,0.43,7.92,29.24,-0.16,536.31,88.4,0.67,0.0,0.26,152.13,4.55,15.94,4.79,04-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Jan-2018 - 00:00,8.41,0.95,18.17,166.13,1.66,3.4,,0.4,11.7,38.28,-0.2,756.7,91.88,0.69,0.0,0.44,177.9,6.81,20.45,0.0,05-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Jan-2018 - 00:00,8.1,0.99,19.21,182.51,1.62,4.52,,0.35,11.74,34.17,-0.15,747.97,96.62,0.68,0.0,0.45,113.98,7.06,18.06,0.0,06-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Jan-2018 - 00:00,8.92,1.33,20.07,201.23,1.59,4.47,,0.35,10.95,31.22,-0.32,755.76,104.33,0.67,0.0,0.3,191.68,6.79,17.16,0.0,07-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Jan-2018 - 00:00,7.06,0.96,29.29,152.19,1.65,4.68,,0.8,12.61,35.62,-0.22,756.43,108.31,7.38,0.0,0.38,214.15,7.1,16.53,0.0,08-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Jan-2018 - 00:00,7.78,0.87,32.3,152.58,1.43,4.31,,0.35,12.66,49.14,-0.31,758.15,97.65,0.64,0.0,0.3,192.51,7.51,16.31,0.0,09-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Jan-2018 - 00:00,7.72,0.95,31.07,207.49,,,,,12.91,63.71,-0.27,760.08,109.93,,0.0,0.37,179.0,6.82,15.81,0.0,10-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Jan-2018 - 00:00,4.81,0.79,25.82,116.33,1.54,4.22,,0.33,10.0,42.9,-0.23,553.71,33.11,0.56,0.0,0.2,151.65,7.06,11.27,8.66,11-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Jan-2018 - 00:00,7.12,1.25,47.3,126.26,1.67,4.35,,0.33,14.47,49.12,-0.17,757.92,103.49,0.59,0.0,0.45,226.98,12.82,15.59,15.16,12-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Jan-2018 - 00:00,8.86,1.55,28.53,161.4,1.7,4.38,,0.33,14.71,40.35,-0.32,756.7,101.86,0.6,0.0,0.3,188.75,13.06,15.2,15.17,13-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Jan-2018 - 00:00,9.51,1.04,30.03,165.13,1.72,4.4,,0.33,14.55,41.24,-0.32,756.98,104.31,0.6,0.0,0.28,181.55,12.52,15.8,15.07,14-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Jan-2018 - 00:00,8.54,1.31,30.16,132.96,1.71,4.39,,0.33,14.25,41.88,-0.34,757.09,104.89,0.6,0.0,0.27,171.67,12.36,16.48,15.29,15-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Jan-2018 - 00:00,6.13,0.92,40.36,105.47,1.7,4.38,,0.34,14.76,42.06,-0.11,757.11,106.59,0.6,0.0,0.55,230.51,12.07,16.77,15.28,16-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Jan-2018 - 00:00,8.71,1.2,49.29,69.41,1.71,4.39,,0.33,15.51,27.63,-0.15,754.41,109.2,0.6,0.0,0.48,224.04,10.36,15.93,13.26,17-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Jan-2018 - 00:00,6.69,0.98,31.35,126.23,1.59,4.28,,0.33,15.22,34.43,-0.16,755.15,105.44,0.57,0.0,0.41,103.46,8.07,23.14,15.14,18-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Jan-2018 - 00:00,9.07,1.54,25.33,136.51,,,,,17.05,30.21,-0.35,755.41,104.94,,0.0,0.23,182.74,7.22,20.71,13.13,19-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Jan-2018 - 00:00,6.54,1.12,29.02,122.96,,,,,15.98,37.82,-0.3,756.56,109.56,,0.0,0.29,199.83,7.46,21.7,13.85,20-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Jan-2018 - 00:00,6.99,1.08,37.56,92.55,,,,,15.07,33.63,-0.17,755.93,114.3,,0.0,0.45,230.84,7.26,21.86,13.67,21-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Jan-2018 - 00:00,8.23,1.13,29.49,96.28,0.96,2.64,,0.34,14.56,30.22,-0.37,755.41,112.07,0.65,0.0,0.21,177.64,7.5,22.33,14.24,22-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Jan-2018 - 00:00,7.79,0.86,34.37,136.3,0.88,2.56,,0.34,15.49,18.41,-0.32,753.64,115.95,0.63,0.0,0.2,129.38,7.57,23.06,14.54,23-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Jan-2018 - 00:00,6.91,0.99,30.41,116.83,1.19,3.25,,0.34,14.62,30.41,0.09,751.37,75.21,0.62,0.03,0.8,135.33,7.55,21.36,13.75,24-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Jan-2018 - 00:00,6.15,0.84,19.79,102.87,1.76,4.44,,0.34,12.23,68.38,-0.23,754.8,113.26,0.61,0.0,0.38,228.09,7.57,23.07,14.71,25-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Jan-2018 - 00:00,7.77,1.12,19.52,80.62,1.75,4.43,,0.34,12.19,54.45,-0.2,754.33,101.45,0.61,0.0,0.43,232.5,7.23,23.25,14.45,26-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Jan-2018 - 00:00,7.52,1.09,15.4,99.34,1.74,4.42,,0.34,11.59,62.04,-0.25,755.08,116.14,0.6,0.0,0.35,231.18,7.51,24.4,15.4,27-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Jan-2018 - 00:00,6.65,1.0,25.04,140.41,2.14,5.18,,0.33,12.15,53.25,-0.24,755.1,120.19,0.61,0.0,0.34,239.16,7.28,24.15,15.11,28-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Jan-2018 - 00:00,4.13,0.55,7.0,55.65,,,,,5.72,22.91,-0.14,433.31,86.89,,0.0,0.2,143.74,3.84,14.6,14.7,29-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Jan-2018 - 00:00,7.14,0.63,21.88,49.73,,,,,10.98,20.53,-0.1,456.9,129.45,,0.0,0.28,143.37,3.92,15.48,15.25,30-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Jan-2018 - 00:00,5.24,0.3,20.75,110.55,,,,,17.53,27.75,-0.06,755.7,152.99,,0.0,0.59,241.74,7.34,25.78,16.09,31-Jan-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-Jan-2018 - 00:00,7.45,0.88,30.91,106.74,,,,,17.46,24.35,-0.01,754.71,162.88,,0.0,0.66,238.47,8.0,24.38,15.77,01-Feb-2018 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
