from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
02-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,03-Feb-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
05-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,06-Feb-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
06-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,07-Feb-2018 - 00:00,"Sri Aurobindo Marg, Delhi - DPCC"
