from date,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,Rack Temp,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
22-Jan-2018 - 00:00,2.55,20.89,140.83,83.64,159.89,30.71,0.32,162.54,30.91,55.87,733.83,101.75,0.0,-0.12,0.46,2.1,1.15,230.12,17.52,23-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Jan-2018 - 00:00,1.56,5.41,59.27,74.53,87.83,30.22,1.12,147.65,30.64,60.76,731.4,37.87,0.01,-0.14,0.32,0.8,0.44,171.75,15.14,24-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Jan-2018 - 00:00,1.44,5.64,76.55,70.79,99.89,22.1,0.76,239.79,30.9,60.68,733.98,78.93,0.0,-0.21,0.27,1.14,0.42,157.79,14.99,25-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Jan-2018 - 00:00,1.22,4.36,54.0,61.57,78.4,26.48,1.23,261.72,30.99,60.6,733.52,118.22,0.0,-0.24,0.09,0.51,0.16,126.54,14.91,26-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Jan-2018 - 00:00,1.14,4.59,77.01,72.36,101.1,24.23,0.37,232.27,29.69,59.51,734.23,96.06,0.0,-0.16,0.32,1.12,0.42,174.46,14.96,27-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Jan-2018 - 00:00,0.05,8.57,65.13,89.45,101.85,28.54,0.32,207.79,32.01,58.13,734.4,118.91,0.0,-0.14,0.4,1.43,0.63,273.69,16.43,28-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Jan-2018 - 00:00,0.0,10.61,91.13,69.58,111.1,22.11,0.61,251.67,30.18,53.96,735.09,130.42,0.0,-0.2,0.34,1.43,0.5,171.67,16.28,29-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Jan-2018 - 00:00,0.66,16.15,71.19,65.25,88.68,23.31,1.05,264.98,30.03,52.62,736.44,133.23,0.02,-0.23,0.19,0.98,0.27,223.67,17.62,30-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Jan-2018 - 00:00,0.74,7.61,40.88,63.45,66.77,45.31,2.61,271.26,28.44,49.98,735.74,128.61,0.01,-0.38,0.04,0.5,0.02,107.02,19.94,31-Jan-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-Jan-2018 - 00:00,0.97,8.43,31.66,64.33,59.86,44.73,4.02,269.07,28.61,54.36,734.77,114.28,0.0,-0.52,0.02,0.35,0.06,136.98,19.52,01-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Feb-2018 - 00:00,1.0,13.64,37.75,68.1,66.69,38.26,0.79,263.22,28.54,50.51,735.01,116.11,0.0,-0.23,0.08,0.66,0.1,112.72,21.69,02-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Feb-2018 - 00:00,0.91,14.32,57.3,62.15,79.53,31.02,0.59,258.64,29.21,53.27,733.14,115.1,0.0,-0.21,1.62,5.26,1.81,145.24,20.7,03-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Feb-2018 - 00:00,0.01,19.06,65.45,62.26,86.33,44.57,0.93,266.3,28.94,49.31,735.73,122.64,0.0,-0.24,4.94,16.4,7.51,111.42,19.67,04-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Feb-2018 - 00:00,0.0,10.96,39.64,61.92,65.17,43.8,1.41,268.57,27.6,50.99,736.28,128.17,0.0,-0.29,6.59,14.52,6.06,128.08,17.88,05-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Feb-2018 - 00:00,0.0,16.2,50.6,72.22,79.75,31.38,0.51,257.19,27.28,48.09,738.57,86.77,0.0,-0.18,7.8,18.69,7.54,148.88,17.84,06-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Feb-2018 - 00:00,0.0,11.6,58.56,77.73,88.96,26.56,1.64,265.26,25.76,48.43,738.27,76.33,0.0,-0.29,7.22,21.18,6.12,144.75,18.15,07-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Feb-2018 - 00:00,0.03,11.79,35.33,71.62,66.75,45.44,1.52,263.47,27.33,48.45,735.3,129.36,0.0,-0.29,5.94,14.02,4.51,128.83,17.85,08-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Feb-2018 - 00:00,0.0,21.96,99.65,87.13,127.24,26.05,0.67,246.87,29.24,49.09,734.46,114.63,0.0,-0.18,9.79,29.78,15.42,176.08,18.03,09-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Feb-2018 - 00:00,0.0,28.21,78.79,95.4,118.2,32.46,0.59,254.91,29.11,50.21,734.5,125.8,0.0,-0.19,9.84,29.25,15.54,197.92,18.35,10-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Feb-2018 - 00:00,0.0,28.76,148.85,93.96,171.0,25.08,0.3,195.9,28.53,48.79,736.91,114.06,0.0,-0.12,13.95,45.52,23.18,217.29,19.38,11-Feb-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
