from date,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,Rack Temp,RH,BP,SR,RF,VWS,Benzene,Toluene,Xylene,PM2.5,AT,to date,station
07-Apr-2018 - 00:00,0.01,14.38,132.11,123.8,158.37,62.4,0.27,166.39,34.21,57.65,730.05,195.12,0.0,-0.14,3.48,11.56,1.0,41.21,27.74,08-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Apr-2018 - 00:00,0.01,13.09,12.56,45.72,34.53,60.98,0.27,154.12,26.05,57.99,730.48,184.49,0.0,-0.11,3.58,5.44,0.08,52.71,27.95,09-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Apr-2018 - 00:00,0.01,8.65,20.85,46.31,42.75,48.24,0.28,159.83,27.73,61.87,731.76,144.34,0.0,-0.13,4.31,8.37,0.6,57.54,25.97,10-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Apr-2018 - 00:00,0.01,9.12,22.47,43.96,44.43,55.75,0.27,198.18,27.67,59.32,729.97,173.74,0.0,-0.17,5.99,14.56,1.01,107.38,28.33,11-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Apr-2018 - 00:00,0.01,5.92,12.11,42.15,32.24,46.96,0.28,155.89,27.73,61.59,729.64,148.88,0.0,-0.12,3.06,8.76,0.59,140.25,26.01,12-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Apr-2018 - 00:00,0.01,7.29,19.47,48.47,41.62,51.72,0.42,193.21,27.55,58.41,728.91,195.53,0.0,-0.25,2.66,8.84,0.33,43.12,27.58,13-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Apr-2018 - 00:00,0.01,17.1,63.37,53.83,80.65,43.11,0.27,168.35,27.71,49.51,729.89,224.4,0.0,-0.21,6.16,19.3,1.03,70.29,28.74,14-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Apr-2018 - 00:00,0.01,17.81,110.02,60.83,123.36,40.89,0.27,196.76,27.99,46.02,728.76,202.41,0.0,-0.22,7.14,25.66,1.46,67.88,29.78,15-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Apr-2018 - 00:00,0.01,17.1,33.87,65.41,62.33,50.23,0.27,196.25,25.44,45.57,728.05,187.76,0.0,-0.17,5.72,20.09,0.46,79.75,31.46,16-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Apr-2018 - 00:00,0.01,19.58,61.37,62.34,83.66,44.94,0.27,165.84,27.89,50.18,728.44,138.36,0.0,-0.12,7.34,20.41,1.61,106.5,31.37,17-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Apr-2018 - 00:00,0.01,20.71,38.39,59.39,62.8,37.92,0.27,166.24,27.75,48.62,729.54,182.26,0.0,-0.16,5.8,21.24,1.73,78.83,31.61,18-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Apr-2018 - 00:00,0.01,15.39,36.23,65.53,64.23,43.86,0.27,159.94,28.68,57.19,728.84,203.01,0.0,-0.32,3.1,10.87,1.18,53.75,31.53,19-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Apr-2018 - 00:00,0.01,19.1,51.74,82.2,86.77,39.5,0.27,184.68,31.1,55.18,725.46,186.38,0.0,-0.23,4.46,14.81,1.94,79.27,32.63,20-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Apr-2018 - 00:00,0.01,23.1,38.81,76.9,73.59,45.08,0.27,192.37,30.99,57.45,724.44,154.01,0.0,-0.31,4.95,16.21,1.37,88.67,32.39,21-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Apr-2018 - 00:00,0.01,11.79,33.09,76.63,67.53,52.38,0.27,179.11,30.91,58.76,728.94,183.17,0.0,-0.28,2.6,9.16,2.03,134.42,29.79,22-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Apr-2018 - 00:00,0.01,20.92,23.81,85.12,64.49,59.72,2.43,208.06,30.94,62.7,729.99,215.15,0.0,-0.31,2.86,9.3,2.33,50.42,28.68,23-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Apr-2018 - 00:00,0.01,15.93,27.26,88.98,71.11,63.43,3.23,255.58,31.9,64.67,729.09,202.98,0.0,-0.29,3.57,9.37,3.76,88.17,29.45,24-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Apr-2018 - 00:00,0.01,21.76,38.52,97.55,83.05,59.29,2.66,247.7,32.05,65.15,727.84,196.2,0.0,-0.25,4.93,21.87,6.85,391.71,31.4,25-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Apr-2018 - 00:00,0.01,22.38,100.79,112.37,141.72,37.39,1.91,196.83,31.66,53.13,725.08,200.19,0.0,-0.19,6.91,36.59,13.9,93.18,32.89,26-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Apr-2018 - 00:00,0.02,34.48,68.93,103.29,110.8,57.92,2.0,148.02,30.96,32.9,723.46,153.6,0.0,-0.13,8.59,28.31,13.37,133.79,33.87,27-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Apr-2018 - 00:00,1.83,13.55,30.46,86.18,70.33,64.69,2.89,101.3,30.45,32.57,726.7,162.57,0.0,-0.15,4.72,10.38,4.13,171.58,31.35,28-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Apr-2018 - 00:00,3.46,15.29,20.21,73.74,55.66,68.16,3.14,105.32,30.47,32.61,726.42,167.25,0.0,-0.13,4.31,7.58,2.39,75.71,31.84,29-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Apr-2018 - 00:00,3.47,17.97,19.65,71.82,54.18,72.44,2.0,134.0,30.12,32.63,723.49,141.58,0.0,-0.15,4.89,9.83,2.57,79.0,31.94,30-Apr-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Apr-2018 - 00:00,1.69,16.23,33.5,70.08,64.35,62.42,2.41,132.92,31.35,49.76,721.85,171.52,0.0,-0.14,4.77,13.96,3.56,90.38,31.9,01-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-May-2018 - 00:00,0.01,9.83,16.88,64.57,47.92,61.69,3.62,102.3,30.46,64.8,725.24,176.88,0.0,-0.15,2.85,5.66,1.34,54.42,29.79,02-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-May-2018 - 00:00,0.0,9.7,21.62,62.27,50.7,58.78,3.48,119.78,30.79,47.27,726.74,164.62,0.01,-0.13,2.77,5.75,1.56,216.67,29.25,03-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-May-2018 - 00:00,0.0,10.59,29.59,55.79,53.57,55.03,3.6,118.77,30.57,30.61,727.3,159.46,0.0,-0.11,2.79,7.63,1.89,39.5,27.77,04-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-May-2018 - 00:00,0.0,10.38,22.77,57.82,49.26,64.05,2.99,109.18,30.39,30.87,727.46,188.88,0.0,-0.11,2.61,6.99,1.79,41.67,29.89,05-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-May-2018 - 00:00,0.0,15.2,36.02,69.2,65.88,72.04,1.44,136.44,30.42,31.22,726.7,173.7,0.0,-0.12,4.96,13.33,5.6,68.62,32.71,06-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-May-2018 - 00:00,0.0,15.55,34.95,74.61,68.1,52.03,2.24,192.12,29.37,31.12,727.19,167.92,0.0,-0.09,5.83,19.45,8.51,92.25,31.93,07-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-May-2018 - 00:00,0.0,20.75,57.32,76.51,88.13,46.0,1.73,214.57,30.88,31.26,725.26,168.46,0.0,-0.17,5.81,18.5,8.52,88.0,33.0,08-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-May-2018 - 00:00,0.0,12.96,32.81,73.6,65.08,64.58,3.62,235.13,29.24,30.87,726.0,189.37,0.0,-0.29,1.98,7.64,1.67,135.87,29.42,09-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-May-2018 - 00:00,0.0,19.75,22.82,67.6,55.92,62.35,1.7,189.96,27.58,30.71,727.73,124.61,0.0,-0.15,3.74,17.33,1.18,69.25,28.24,10-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-May-2018 - 00:00,0.0,11.55,20.61,68.22,57.09,65.89,1.8,197.88,28.32,31.0,728.5,178.71,0.0,-0.18,4.77,15.39,0.91,108.88,30.73,11-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-May-2018 - 00:00,0.0,22.88,25.3,73.1,61.08,73.81,2.18,194.28,28.89,41.78,725.38,171.92,0.0,-0.2,6.11,16.55,1.36,135.75,33.62,12-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-May-2018 - 00:00,0.0,27.95,7.75,59.01,37.69,73.53,2.08,133.05,26.64,54.83,724.49,134.07,0.0,-0.12,8.35,16.32,0.26,161.04,33.78,13-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-May-2018 - 00:00,0.0,3.35,3.81,35.03,21.73,52.14,3.17,119.35,26.42,54.27,725.16,171.78,0.06,-0.15,3.42,5.9,0.21,94.94,31.59,14-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-May-2018 - 00:00,0.0,6.43,25.71,71.09,57.96,57.11,2.49,103.42,30.34,54.02,726.86,327.11,0.14,-0.1,2.45,6.49,1.4,405.72,30.46,15-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-May-2018 - 00:00,0.0,4.76,26.01,79.05,63.37,50.34,1.97,96.87,29.29,54.56,723.7,195.23,0.0,-0.1,3.31,8.8,0.55,242.64,33.51,16-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-May-2018 - 00:00,0.0,11.76,14.97,62.46,45.37,53.37,2.94,225.58,28.68,54.7,723.85,202.5,0.0,-0.24,3.28,11.27,0.18,167.95,33.27,17-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-May-2018 - 00:00,0.0,31.56,16.9,74.79,53.51,69.4,2.03,208.85,28.76,54.92,723.94,168.51,0.0,-0.17,4.09,13.34,1.02,186.21,34.1,18-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-May-2018 - 00:00,0.0,20.4,28.01,65.56,57.4,47.71,1.93,157.26,28.45,54.76,723.87,181.76,0.0,-0.1,5.46,16.18,0.89,104.79,33.33,19-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-May-2018 - 00:00,0.0,17.47,22.41,69.75,56.35,43.48,1.76,187.21,30.25,54.5,723.89,133.65,0.0,-0.16,5.63,16.56,2.32,107.5,32.44,20-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-May-2018 - 00:00,0.0,26.32,28.08,97.1,74.47,56.95,2.09,230.29,31.27,54.8,725.03,176.82,0.0,-0.12,4.43,14.83,3.67,161.46,33.73,21-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-May-2018 - 00:00,0.0,27.85,43.49,77.71,65.59,55.72,2.69,255.26,30.09,55.0,725.41,195.76,0.0,-0.17,4.59,15.42,2.24,158.42,34.75,22-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-May-2018 - 00:00,0.0,30.56,101.53,196.66,186.88,91.74,1.87,199.4,33.74,55.19,724.33,193.03,0.0,-0.12,5.4,20.9,3.11,187.33,36.04,23-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-May-2018 - 00:00,0.0,28.01,83.9,90.72,117.45,81.18,1.61,162.53,28.03,55.16,723.01,172.43,0.0,-0.11,8.11,24.56,3.49,121.88,35.7,24-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-May-2018 - 00:00,0.0,33.33,56.47,66.85,81.42,46.64,1.53,192.96,27.45,54.88,722.34,146.98,0.0,-0.11,7.31,23.95,3.15,127.79,34.56,25-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-May-2018 - 00:00,0.0,22.16,103.34,58.39,115.04,47.07,2.01,235.05,28.09,55.08,722.64,203.86,0.0,-0.22,6.12,26.2,4.66,277.46,35.36,26-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-May-2018 - 00:00,0.01,32.88,102.22,124.31,149.23,61.96,1.68,202.87,30.92,55.2,721.55,198.03,0.0,-0.17,5.74,22.19,4.66,284.76,36.08,27-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-May-2018 - 00:00,0.0,52.64,68.58,131.17,125.44,50.65,2.36,198.3,31.08,55.17,720.89,204.51,0.0,-0.23,4.96,19.02,6.02,283.52,35.96,28-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-May-2018 - 00:00,0.0,24.46,42.0,85.02,79.38,79.1,1.69,124.81,28.83,43.2,719.32,171.78,0.0,-0.1,4.67,13.72,1.71,,34.9,29-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-May-2018 - 00:00,0.0,20.51,34.35,73.24,67.62,62.8,2.58,140.2,29.3,28.54,718.28,181.91,0.0,-0.14,5.39,15.86,1.92,71.76,35.09,30-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-May-2018 - 00:00,0.0,5.83,12.14,50.03,37.1,54.08,2.89,125.05,27.71,28.26,720.37,159.08,0.0,-0.09,2.69,6.92,0.67,58.54,32.18,31-May-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
31-May-2018 - 00:00,0.0,6.84,15.04,44.06,37.48,37.14,2.15,120.89,28.01,28.42,722.0,187.14,0.0,-0.11,4.76,8.93,1.04,77.21,33.89,01-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Jun-2018 - 00:00,0.12,19.81,194.79,153.88,299.16,27.32,3.43,101.24,49.68,28.07,724.55,154.66,0.0,-0.11,1.68,6.98,0.11,63.33,32.02,02-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Jun-2018 - 00:00,0.0,5.08,28.95,128.64,82.2,56.49,3.84,100.95,29.84,28.21,723.5,262.56,0.0,-0.17,1.65,4.89,0.97,171.66,32.57,03-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Jun-2018 - 00:00,0.0,1.22,5.41,55.26,33.79,34.94,3.06,100.27,26.92,28.0,721.39,183.24,0.0,-0.15,2.26,3.58,0.0,57.46,31.63,04-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Jun-2018 - 00:00,0.0,3.19,10.74,39.76,31.13,54.58,3.57,106.69,28.34,28.34,720.5,171.76,0.0,-0.14,2.32,4.33,0.38,61.83,33.61,05-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Jun-2018 - 00:00,0.0,4.44,7.12,32.03,22.77,49.09,3.45,99.62,28.0,28.39,722.87,171.61,0.0,-0.15,2.13,4.2,0.4,53.79,33.84,06-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Jun-2018 - 00:00,0.0,2.9,7.93,31.2,22.98,36.92,3.15,104.07,27.74,28.1,724.41,139.75,0.01,-0.13,2.2,5.63,0.34,62.33,31.75,07-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Jun-2018 - 00:00,0.0,4.37,7.72,28.25,21.13,48.11,2.04,107.56,28.0,28.32,720.26,187.43,0.0,-0.14,3.52,7.12,0.35,77.38,33.49,08-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Jun-2018 - 00:00,0.0,4.01,7.9,25.31,19.83,41.54,3.43,109.65,28.05,28.29,716.9,154.78,0.0,-0.15,3.25,4.16,0.2,160.21,33.27,09-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Jun-2018 - 00:00,0.0,3.56,5.4,23.63,16.96,30.53,3.29,125.34,28.06,27.38,716.31,151.42,0.09,-0.18,2.08,4.68,0.12,225.68,30.31,10-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Jun-2018 - 00:00,0.0,4.02,10.5,25.57,22.14,53.07,1.88,205.26,27.05,28.2,716.66,187.09,0.0,-0.18,2.08,8.54,0.01,69.08,31.24,11-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Jun-2018 - 00:00,0.0,2.11,13.51,31.19,27.57,41.66,3.35,247.42,28.41,28.45,714.61,198.93,0.0,-0.35,1.6,5.62,0.17,63.21,33.41,12-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Jun-2018 - 00:00,0.0,1.93,6.77,30.69,21.83,33.39,3.3,234.41,27.53,28.65,712.16,174.49,0.0,-0.33,1.08,4.74,0.16,93.54,35.16,13-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Jun-2018 - 00:00,0.0,3.19,11.97,32.62,26.85,18.75,4.36,233.3,28.76,28.73,712.27,152.72,0.0,-0.42,0.48,2.33,0.21,346.27,35.94,14-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Jun-2018 - 00:00,0.0,3.17,7.13,27.16,20.24,32.29,4.62,230.22,27.08,28.66,714.39,161.81,0.0,-0.43,0.66,4.55,0.09,128.88,35.13,15-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Jun-2018 - 00:00,0.0,2.9,6.95,25.5,19.27,31.98,3.56,211.69,27.83,28.61,716.76,204.87,0.0,-0.34,0.88,6.0,0.07,168.38,34.58,16-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Jun-2018 - 00:00,0.0,2.73,5.39,21.21,15.66,29.39,3.08,161.97,27.13,28.44,719.07,170.37,0.0,-0.24,1.82,5.28,0.07,94.46,33.07,17-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Jun-2018 - 00:00,0.0,2.57,5.86,21.82,16.36,35.27,2.31,146.84,26.58,28.24,720.11,184.53,0.0,-0.09,1.92,6.03,0.09,82.71,31.15,18-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Jun-2018 - 00:00,0.0,7.59,13.9,26.99,25.61,51.04,2.84,219.94,28.55,28.26,720.22,199.62,0.0,-0.26,2.09,7.74,0.58,56.75,31.56,19-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Jun-2018 - 00:00,0.0,6.75,14.21,32.03,28.46,46.73,2.33,224.73,27.98,28.34,720.52,214.3,0.0,-0.21,1.65,6.6,0.33,138.05,32.24,20-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Jun-2018 - 00:00,0.0,7.15,9.36,35.02,27.19,61.69,2.09,164.88,27.96,28.57,720.98,176.89,0.0,-0.16,2.24,9.97,0.97,62.92,34.37,21-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Jun-2018 - 00:00,0.0,10.65,10.58,33.63,28.63,72.71,1.93,190.52,27.8,28.6,720.78,167.8,0.0,-0.14,2.73,11.2,1.5,74.75,34.68,22-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Jun-2018 - 00:00,,17.63,37.12,81.45,73.23,71.7,1.75,157.44,32.18,28.76,719.62,208.63,0.0,-0.14,2.84,12.8,1.66,175.55,36.43,23-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Jun-2018 - 00:00,,7.56,100.84,158.28,85.11,61.89,2.29,186.52,30.18,28.83,718.8,183.56,0.0,-0.15,1.95,9.05,0.45,189.83,36.77,24-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Jun-2018 - 00:00,,6.95,5.41,63.68,38.1,62.71,2.23,213.1,26.03,28.69,718.43,178.45,0.0,-0.19,2.21,8.02,0.0,137.54,35.32,25-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
25-Jun-2018 - 00:00,,8.24,9.6,51.5,35.18,49.58,3.04,221.38,30.09,28.55,716.38,182.47,0.0,-0.26,1.94,6.32,0.01,141.12,34.48,26-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
26-Jun-2018 - 00:00,,8.31,10.45,46.37,33.16,30.33,2.12,221.27,29.29,28.14,717.02,47.76,0.0,-0.19,1.75,9.36,0.15,617.5,31.35,27-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
27-Jun-2018 - 00:00,,4.35,7.64,37.71,26.27,41.59,3.62,122.87,29.41,28.01,719.09,167.61,0.01,-0.19,1.89,6.62,0.02,375.0,29.86,28-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
28-Jun-2018 - 00:00,,2.32,13.51,29.19,26.3,22.67,3.72,110.34,29.53,26.69,720.82,158.83,0.23,-0.16,1.0,4.54,0.29,400.1,28.75,29-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
29-Jun-2018 - 00:00,,3.85,10.81,28.0,23.68,24.49,3.14,110.64,29.48,27.91,720.68,118.56,0.01,-0.13,1.21,5.08,0.05,41.33,28.83,30-Jun-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
30-Jun-2018 - 00:00,,6.5,9.72,24.63,20.99,26.82,2.1,155.31,29.82,28.14,721.03,171.63,0.0,-0.15,1.29,7.06,0.08,45.6,30.56,01-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
01-Jul-2018 - 00:00,,2.71,8.08,24.5,19.6,28.54,3.05,222.85,29.05,27.9,719.74,152.4,0.02,-0.3,1.0,6.05,0.01,37.08,30.94,02-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
02-Jul-2018 - 00:00,,2.59,7.93,24.92,19.7,27.31,2.9,203.81,29.43,26.54,717.43,128.76,0.24,-0.25,0.91,8.04,0.14,119.75,30.11,03-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
03-Jul-2018 - 00:00,,4.45,9.72,26.06,21.77,28.45,1.85,110.79,33.0,51.11,717.71,155.09,0.03,-0.12,1.52,6.81,0.05,57.83,29.7,04-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
04-Jul-2018 - 00:00,,1.89,11.88,73.86,49.63,29.14,1.8,123.45,33.93,78.33,717.98,233.45,0.0,-0.12,1.2,5.42,0.66,212.71,32.16,05-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
05-Jul-2018 - 00:00,,2.23,10.13,40.79,29.93,27.59,2.13,176.69,28.28,78.01,719.37,154.82,0.0,-0.17,1.54,7.48,0.45,140.08,30.74,06-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
06-Jul-2018 - 00:00,,2.54,16.19,35.07,31.81,31.94,2.21,235.57,28.61,78.39,719.53,192.4,0.0,-0.24,0.61,2.98,0.0,65.29,31.97,07-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
07-Jul-2018 - 00:00,,3.66,10.71,36.2,27.7,47.4,1.9,201.83,28.79,78.63,718.81,181.63,0.0,-0.18,0.0,0.0,0.0,163.29,32.79,08-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
08-Jul-2018 - 00:00,,2.97,4.54,30.59,19.96,74.44,1.58,160.39,27.79,79.06,717.75,193.78,0.0,-0.14,0.0,0.0,0.0,86.25,34.11,09-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
09-Jul-2018 - 00:00,,3.15,3.44,24.19,15.66,33.55,2.83,102.41,28.65,56.39,717.76,155.23,0.0,-0.13,0.0,0.0,0.0,157.35,32.89,10-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
10-Jul-2018 - 00:00,,2.75,4.25,20.28,14.23,19.72,2.81,102.1,28.54,34.83,718.28,177.77,0.0,-0.14,0.0,0.0,0.0,128.5,32.07,11-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
11-Jul-2018 - 00:00,,3.1,4.16,22.23,15.2,15.42,2.32,128.25,28.43,34.57,717.77,93.73,0.0,-0.13,0.0,0.0,0.0,46.96,30.4,12-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
12-Jul-2018 - 00:00,,3.29,5.86,19.45,15.05,23.64,1.98,145.12,28.54,34.64,717.37,147.6,0.0,-0.13,0.73,4.04,0.0,230.47,30.81,13-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
13-Jul-2018 - 00:00,,3.64,7.19,16.11,14.31,12.3,2.4,123.67,29.0,34.05,718.51,110.0,0.01,-0.13,1.13,6.54,0.48,113.88,28.55,14-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
14-Jul-2018 - 00:00,,2.17,8.55,14.08,14.44,11.09,2.43,94.69,28.75,33.72,718.15,118.46,0.04,-0.12,1.35,9.85,0.59,119.67,28.44,15-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
15-Jul-2018 - 00:00,,3.17,7.2,11.44,11.94,11.99,1.68,103.96,27.63,33.7,717.81,102.6,0.05,-0.12,1.28,6.86,0.03,130.57,28.98,16-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
16-Jul-2018 - 00:00,,2.76,11.13,16.82,18.0,20.63,2.34,133.28,28.67,34.08,718.22,102.21,0.01,-0.13,1.82,7.97,0.75,45.16,30.04,17-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
17-Jul-2018 - 00:00,,1.6,7.76,16.46,15.06,10.97,2.36,100.56,29.13,34.63,718.59,165.8,0.0,-0.13,1.34,7.51,0.89,35.46,31.55,18-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
18-Jul-2018 - 00:00,,2.74,7.6,16.2,14.79,8.0,2.65,115.06,28.96,34.69,719.22,176.31,0.0,-0.11,1.68,9.04,1.05,37.34,31.73,19-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
19-Jul-2018 - 00:00,,3.62,5.58,14.88,12.45,23.8,2.34,128.23,29.04,34.57,719.07,194.25,0.0,-0.13,1.29,7.68,0.77,38.96,31.14,20-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
20-Jul-2018 - 00:00,,1.71,8.6,23.33,19.4,56.07,1.87,224.37,28.65,34.38,718.44,81.24,0.0,-0.16,2.2,11.57,1.86,55.3,29.93,21-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
21-Jul-2018 - 00:00,,4.27,7.7,19.3,16.53,68.45,1.68,154.96,29.37,16.67,718.72,89.67,0.01,-0.14,1.64,10.21,1.73,48.0,29.2,22-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
22-Jul-2018 - 00:00,,2.52,5.68,15.43,12.82,67.12,1.58,149.88,28.45,14.26,719.34,87.13,0.09,-0.13,0.91,5.26,1.1,108.33,28.24,23-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
23-Jul-2018 - 00:00,,4.4,11.03,17.84,18.46,40.75,2.38,143.28,28.98,32.24,719.16,171.11,0.0,-0.13,1.42,6.9,1.53,40.04,29.78,24-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
24-Jul-2018 - 00:00,,5.41,5.17,17.34,13.41,11.78,2.05,142.98,29.26,32.37,719.67,191.59,0.0,-0.14,1.03,7.15,1.31,39.96,31.05,25-Jul-2018 - 00:00,"Sector- 16A, Faridabad - HSPCB"
