from date,Benzene,Toluene,BP,CO,Eth-Benzene,MP-Xylene,O Xylene,NO,NO2,NOx,Ozone,PM2.5,RH,SO2,SR,Temp,VWS,WD,WS,to date,station
01-Jan-2018 - 00:00,3.32,1.54,760.29,0.0,2.8,,1.5,6.53,15.52,12.0,31.02,54.5,,10.44,65.67,25.43,0.37,251.36,8.56,02-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
02-Jan-2018 - 00:00,2.27,2.04,760.42,0.0,2.96,,2.9,6.13,14.53,11.17,20.96,46.99,,14.64,67.29,25.19,0.37,160.25,4.23,03-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
03-Jan-2018 - 00:00,2.64,1.1,761.74,0.0,2.79,,2.24,8.23,16.02,13.63,29.85,49.68,,24.86,83.42,25.55,0.37,131.34,1.04,04-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
04-Jan-2018 - 00:00,2.38,1.74,762.76,0.0,1.8,,1.65,6.13,17.76,12.86,46.5,72.49,,11.41,82.35,25.44,0.37,81.87,3.18,05-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
05-Jan-2018 - 00:00,1.77,1.41,762.21,0.0,2.94,,1.88,6.18,17.16,12.58,25.41,76.47,,14.87,86.25,24.83,0.37,70.31,5.99,06-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
06-Jan-2018 - 00:00,1.97,1.41,762.08,0.0,1.99,,1.14,5.05,17.33,11.77,43.34,76.49,,16.99,75.73,24.29,0.37,130.31,1.62,07-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
07-Jan-2018 - 00:00,2.23,2.36,762.86,0.0,2.07,,1.38,9.83,22.33,20.41,49.33,63.39,,14.67,93.5,24.66,0.37,142.62,2.68,08-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
08-Jan-2018 - 00:00,1.66,0.26,762.8,0.0,2.46,,1.08,4.98,21.85,17.44,60.89,88.67,,15.66,100.87,26.05,0.37,131.7,3.55,09-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
09-Jan-2018 - 00:00,2.42,2.19,763.99,0.95,1.97,,2.6,4.63,18.65,12.12,48.25,46.73,,44.76,43.74,25.76,0.38,41.26,1.66,10-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
10-Jan-2018 - 00:00,2.03,0.85,764.69,1.76,0.99,,1.67,8.96,21.46,17.07,15.56,79.98,,19.08,21.43,24.23,0.37,238.13,2.74,11-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
11-Jan-2018 - 00:00,1.22,0.35,764.09,1.15,0.48,,0.58,7.48,18.93,14.56,29.15,95.42,,16.32,96.91,25.72,0.37,126.48,2.85,12-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
12-Jan-2018 - 00:00,2.03,1.87,763.52,1.4,1.37,,1.02,9.84,18.56,16.25,44.33,92.7,,8.69,95.56,25.44,0.37,138.39,2.65,13-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
13-Jan-2018 - 00:00,2.14,1.55,763.35,1.55,0.84,,0.94,9.53,17.66,15.53,24.83,135.99,,11.75,97.25,24.92,0.37,120.74,1.45,14-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
14-Jan-2018 - 00:00,1.23,0.71,763.68,1.25,0.81,,0.9,8.44,15.31,13.42,36.52,79.41,,7.74,98.03,25.01,0.37,157.32,0.17,15-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
15-Jan-2018 - 00:00,1.56,0.25,763.56,1.23,1.19,,0.98,5.97,14.98,11.28,43.42,72.3,,10.76,99.06,25.31,0.37,142.36,0.11,16-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
16-Jan-2018 - 00:00,1.72,1.11,762.74,1.25,1.75,,1.87,6.25,14.94,11.49,42.26,73.59,,7.13,93.77,25.22,0.37,113.56,0.07,17-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
17-Jan-2018 - 00:00,3.42,2.48,763.02,1.12,2.53,,2.2,7.12,15.66,13.24,27.1,75.27,,8.07,105.62,24.87,0.37,110.39,0.05,18-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
18-Jan-2018 - 00:00,2.71,1.81,763.39,1.06,1.75,,2.25,11.31,22.82,18.13,41.44,80.01,,10.06,109.04,24.9,0.37,110.29,0.2,19-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
19-Jan-2018 - 00:00,3.19,2.44,763.8,0.83,2.61,,1.33,9.38,21.28,16.98,47.43,81.81,,19.51,90.25,24.9,0.38,115.89,0.15,20-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
20-Jan-2018 - 00:00,3.04,1.99,763.37,0.75,1.82,,1.45,8.36,22.25,16.62,49.9,84.37,,25.78,101.82,24.83,0.37,161.75,1.21,21-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
21-Jan-2018 - 00:00,3.8,2.23,762.77,0.61,2.59,,1.87,7.79,19.91,15.32,57.23,106.62,,25.79,96.98,24.3,0.37,145.09,2.52,22-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
22-Jan-2018 - 00:00,2.39,1.57,762.01,0.78,2.34,,1.83,7.2,20.92,15.37,36.8,89.93,,19.16,74.43,24.43,0.37,133.14,2.28,23-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
23-Jan-2018 - 00:00,2.16,1.67,761.69,0.66,0.83,,1.28,10.28,16.66,17.21,40.4,71.13,,12.92,97.26,24.57,0.37,113.5,1.9,24-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
24-Jan-2018 - 00:00,1.15,0.09,761.17,0.7,1.42,,1.2,10.18,18.33,16.4,28.1,64.92,,20.74,96.93,24.68,0.37,137.7,1.49,25-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
25-Jan-2018 - 00:00,2.21,0.45,760.72,1.15,1.38,,1.54,10.61,17.66,16.39,43.21,92.4,,12.5,112.29,24.9,0.37,135.35,1.83,26-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
26-Jan-2018 - 00:00,1.89,0.63,761.23,1.17,1.51,,1.58,7.2,15.55,12.56,54.66,65.33,,5.74,114.93,25.22,0.37,122.36,2.22,27-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
27-Jan-2018 - 00:00,1.58,0.63,761.84,1.35,2.11,,1.62,7.19,16.67,13.13,43.6,82.19,,7.08,108.89,25.01,0.37,116.87,2.79,28-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
28-Jan-2018 - 00:00,2.62,0.58,762.6,1.18,4.04,,3.19,8.79,17.59,14.9,54.99,71.18,,5.94,109.64,24.94,0.37,100.82,1.79,29-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
29-Jan-2018 - 00:00,3.23,1.37,763.59,1.27,3.89,,2.0,9.14,20.39,16.63,53.24,81.04,,8.82,106.86,24.98,0.37,127.7,1.78,30-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
30-Jan-2018 - 00:00,3.24,1.5,763.9,1.28,4.44,,3.47,12.2,22.97,20.45,48.16,72.52,,22.05,112.59,24.89,0.37,86.34,1.72,31-Jan-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
31-Jan-2018 - 00:00,1.89,1.0,764.2,1.12,3.8,,2.14,15.93,25.85,24.34,54.08,72.74,,30.87,116.6,24.89,0.37,121.23,1.36,01-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
01-Feb-2018 - 00:00,2.62,1.41,763.91,1.22,1.66,,1.03,12.57,21.41,19.55,40.48,83.14,,17.4,118.72,25.08,0.37,154.38,0.99,02-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
02-Feb-2018 - 00:00,1.37,0.77,763.24,1.43,1.87,,0.97,9.29,16.78,14.65,50.0,86.91,,9.97,114.97,26.1,0.36,161.59,2.71,03-Feb-2018 - 00:00,"Alandur Bus Depot, Chennai - CPCB"
