from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Wazirpur, Delhi - DPCC"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
01-Feb-2018 - 00:00,23.25,989.8,440.64,185.88,47.55,187.75,315.88,1.45,,,,28.72,33.19,63.16,53.81,1.58,,9.0,02-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
02-Feb-2018 - 00:00,19.54,988.59,385.58,187.21,60.41,130.9,310.44,1.53,,,,35.83,28.58,57.6,41.53,1.03,8.8,8.06,03-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
03-Feb-2018 - 00:00,18.46,991.21,364.25,166.62,50.04,141.33,318.78,1.55,,,,33.57,28.75,58.68,39.4,1.03,,12.4,04-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
04-Feb-2018 - 00:00,17.27,991.61,360.08,179.29,50.94,144.19,306.88,1.8,1.63,10.21,0.38,32.36,24.29,54.71,37.14,1.04,5.05,9.03,05-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
05-Feb-2018 - 00:00,16.82,993.77,424.42,220.92,43.84,99.84,314.98,1.49,1.27,8.73,0.37,30.89,31.39,64.1,46.31,1.17,21.38,13.93,06-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
06-Feb-2018 - 00:00,17.38,993.68,367.96,168.88,47.97,90.19,313.91,2.02,1.31,6.02,0.33,30.43,27.41,54.99,44.91,0.96,20.56,8.13,07-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
07-Feb-2018 - 00:00,17.1,990.65,338.45,162.09,45.56,147.49,314.65,1.91,0.49,6.51,0.28,31.2,22.79,54.64,34.61,1.06,26.92,8.88,08-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
08-Feb-2018 - 00:00,16.93,989.81,479.9,256.73,51.43,147.89,300.33,1.3,2.49,5.53,0.37,30.73,40.34,66.6,69.68,1.58,27.94,11.04,09-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
09-Feb-2018 - 00:00,17.24,989.9,504.26,272.12,51.99,169.11,280.94,1.35,2.08,6.18,0.29,31.2,35.58,59.84,71.69,1.48,31.66,13.48,10-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
10-Feb-2018 - 00:00,17.93,992.25,530.8,266.12,49.09,147.27,143.95,0.97,7.91,4.36,0.58,25.61,37.85,54.14,148.8,2.64,26.74,7.09,11-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
11-Feb-2018 - 00:00,19.21,991.59,475.08,168.38,41.5,123.05,106.83,1.7,1.35,4.06,0.41,37.61,43.02,71.43,62.51,1.06,21.96,12.85,12-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
12-Feb-2018 - 00:00,17.15,993.81,323.78,101.25,69.17,89.18,126.35,2.71,0.86,4.12,0.22,54.62,34.35,64.28,53.44,0.76,20.45,8.96,13-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
13-Feb-2018 - 00:00,17.24,997.94,273.71,136.0,77.41,166.37,223.89,1.56,1.87,3.46,0.33,50.18,39.06,66.93,75.12,1.06,28.86,8.64,14-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
14-Feb-2018 - 00:00,17.15,997.74,210.47,82.61,61.8,184.38,314.56,2.47,1.21,3.17,0.16,36.94,16.37,42.7,29.39,0.51,26.93,6.08,15-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
15-Feb-2018 - 00:00,18.01,995.67,231.75,89.79,62.49,168.07,313.8,2.29,0.76,4.03,0.23,46.02,22.52,55.12,35.82,0.71,27.5,8.9,16-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
16-Feb-2018 - 00:00,19.07,994.21,298.4,122.07,65.49,153.47,306.08,1.63,1.45,5.35,0.25,48.83,36.77,72.45,65.93,0.97,25.98,9.69,17-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
17-Feb-2018 - 00:00,19.89,989.3,326.31,131.02,62.52,191.13,293.85,1.9,2.22,6.65,0.14,42.54,41.37,71.79,66.93,1.01,22.7,17.21,18-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
18-Feb-2018 - 00:00,19.85,,309.71,127.5,57.89,,,,8.44,0.35,,20.53,,54.16,46.05,1.25,29.74,1.0,19-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
19-Feb-2018 - 00:00,20.29,989.19,411.66,183.38,50.72,361.63,318.55,1.88,4.72,3.32,0.39,31.02,38.85,65.38,83.4,1.51,30.28,4.76,20-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
20-Feb-2018 - 00:00,21.71,988.8,412.0,180.54,53.36,231.65,235.92,1.39,3.47,4.64,0.3,27.55,52.58,71.18,118.53,1.63,30.22,6.71,21-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
21-Feb-2018 - 00:00,23.73,987.08,467.21,226.71,51.21,154.6,216.97,1.12,4.88,4.05,0.22,45.68,61.78,91.54,172.78,2.23,36.19,8.37,22-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
22-Feb-2018 - 00:00,24.09,986.15,404.77,161.73,57.6,145.84,206.11,1.11,2.14,7.07,0.31,64.24,44.2,90.85,75.31,1.46,34.11,16.92,23-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
23-Feb-2018 - 00:00,24.68,986.45,342.27,165.28,55.42,129.05,120.85,1.09,2.02,3.55,0.05,72.01,38.04,83.28,85.12,1.52,26.7,14.06,24-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
24-Feb-2018 - 00:00,25.5,988.26,484.42,178.07,50.34,119.11,106.2,1.4,2.21,3.83,0.23,77.59,53.88,93.52,122.0,1.54,30.16,15.68,25-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
25-Feb-2018 - 00:00,23.21,991.5,230.19,91.45,55.21,149.5,233.29,1.86,0.72,5.03,0.17,63.17,19.27,45.96,32.63,0.73,28.14,11.44,26-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
26-Feb-2018 - 00:00,22.21,989.08,211.74,74.49,59.99,130.4,312.11,2.57,0.79,3.77,0.05,45.16,18.8,43.37,40.19,0.85,28.7,9.12,27-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
27-Feb-2018 - 00:00,25.21,988.45,247.76,116.17,53.52,182.57,312.08,1.81,1.1,3.79,0.13,50.91,38.76,72.32,62.43,0.89,26.64,8.39,28-Feb-2018 - 00:00,"Wazirpur, Delhi - DPCC"
28-Feb-2018 - 00:00,24.14,989.05,374.08,157.62,62.43,129.63,305.51,1.38,1.26,3.95,0.17,58.77,42.04,75.53,75.49,1.25,32.01,13.66,01-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
01-Mar-2018 - 00:00,23.67,987.51,318.12,131.29,55.33,130.93,265.82,1.35,1.18,3.96,0.04,48.79,45.12,78.95,80.72,1.1,24.18,12.03,02-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
02-Mar-2018 - 00:00,24.9,985.94,316.54,139.62,53.95,166.99,241.99,1.38,1.95,3.65,0.94,58.1,28.42,61.92,67.61,1.48,37.32,8.08,03-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
03-Mar-2018 - 00:00,25.57,983.85,261.67,108.17,51.13,144.57,236.35,1.25,0.72,6.04,0.01,57.0,19.03,51.05,37.09,0.86,25.76,14.65,04-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
04-Mar-2018 - 00:00,23.81,985.18,221.46,87.38,52.07,140.09,244.14,1.76,0.66,3.65,0.01,52.23,23.51,53.91,35.55,0.68,21.77,14.85,05-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
05-Mar-2018 - 00:00,23.08,988.97,208.83,81.71,53.84,187.23,310.59,1.75,0.58,5.01,0.02,42.45,28.22,60.04,39.96,0.61,26.19,15.5,06-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
06-Mar-2018 - 00:00,22.72,989.75,204.5,83.29,52.52,183.5,301.68,2.17,0.78,5.09,0.01,41.59,29.14,60.71,49.39,0.59,28.53,15.76,07-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
07-Mar-2018 - 00:00,23.33,988.69,210.79,88.92,50.04,187.76,307.81,1.92,1.51,3.67,0.01,40.18,33.7,59.67,70.57,0.82,33.09,10.9,08-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
08-Mar-2018 - 00:00,24.54,989.68,413.17,171.75,51.94,160.86,154.33,0.99,3.89,3.36,0.04,43.82,43.07,72.62,161.21,1.94,46.28,12.73,09-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
09-Mar-2018 - 00:00,25.21,989.63,301.79,122.12,47.34,183.19,256.58,1.55,1.58,4.74,0.03,45.49,36.99,62.28,97.84,1.07,29.38,12.66,10-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
10-Mar-2018 - 00:00,25.37,988.57,220.42,92.08,46.4,198.59,303.36,2.18,1.45,8.03,0.05,43.57,27.17,56.12,47.81,0.5,25.18,19.9,11-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
11-Mar-2018 - 00:00,25.53,987.5,228.08,138.62,48.19,188.55,306.34,1.62,1.21,5.29,0.01,42.28,27.69,57.36,53.63,0.5,33.15,12.41,12-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
12-Mar-2018 - 00:00,26.8,987.58,311.58,139.54,47.04,187.83,280.35,1.75,1.56,8.04,0.02,48.85,27.36,66.6,46.67,0.56,28.07,19.89,13-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
13-Mar-2018 - 00:00,28.31,985.88,375.19,180.87,42.54,187.22,243.0,1.5,4.1,10.33,0.19,44.5,45.91,71.67,109.82,1.02,28.53,22.71,14-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
14-Mar-2018 - 00:00,28.03,984.08,452.75,155.83,34.04,158.63,173.98,1.23,4.08,7.13,0.01,44.03,49.9,67.09,136.57,1.12,25.69,14.32,15-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
15-Mar-2018 - 00:00,26.57,984.42,450.91,168.57,43.01,164.93,206.59,1.91,2.23,7.59,0.05,57.02,40.28,60.99,75.81,0.86,23.25,17.69,16-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
16-Mar-2018 - 00:00,25.54,985.61,332.96,117.75,43.87,144.28,293.15,1.97,1.65,4.06,0.05,46.84,28.8,57.99,59.12,1.01,38.24,12.18,17-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
17-Mar-2018 - 00:00,22.37,986.76,279.83,117.17,49.81,166.73,296.19,1.89,0.94,5.95,0.01,36.0,31.55,54.9,57.56,0.79,31.3,20.6,18-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
18-Mar-2018 - 00:00,28.71,988.41,205.07,73.21,29.13,278.67,316.06,2.13,0.81,6.9,0.07,31.42,12.8,48.42,36.56,0.67,54.85,13.05,19-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
19-Mar-2018 - 00:00,26.74,989.6,271.21,102.25,36.9,161.33,258.03,1.53,1.83,8.27,0.13,40.74,33.47,67.88,74.8,0.88,31.41,17.33,20-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
20-Mar-2018 - 00:00,28.26,986.66,335.5,141.95,37.07,161.07,184.95,1.18,2.57,4.13,0.05,45.95,45.95,69.75,109.26,1.27,44.29,20.21,21-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
21-Mar-2018 - 00:00,26.81,984.47,336.92,141.12,47.18,135.45,197.4,1.9,1.0,3.34,0.04,60.77,22.32,52.59,47.13,0.99,37.87,19.03,22-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
22-Mar-2018 - 00:00,25.1,985.4,199.92,80.46,52.6,118.96,218.34,1.85,0.57,4.29,0.05,52.53,12.52,43.34,31.46,0.66,33.84,11.78,23-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
23-Mar-2018 - 00:00,24.79,986.57,179.12,78.29,50.65,191.66,319.01,1.88,0.66,4.01,0.02,43.55,18.08,44.95,39.67,0.59,33.83,9.83,24-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
24-Mar-2018 - 00:00,26.19,989.01,210.58,97.17,47.88,222.91,318.92,2.06,0.6,2.86,0.02,40.26,24.64,55.32,46.51,0.68,38.14,11.82,25-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
25-Mar-2018 - 00:00,26.8,990.24,208.46,110.42,46.86,213.94,306.26,2.1,0.63,5.25,0.04,42.37,20.69,53.67,43.15,0.66,40.0,15.75,26-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
26-Mar-2018 - 00:00,27.73,988.49,212.96,98.42,40.91,216.49,316.51,2.12,0.7,3.22,0.1,38.59,31.26,59.47,63.55,0.79,39.14,11.68,27-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
27-Mar-2018 - 00:00,29.38,985.06,333.17,154.12,32.54,215.36,238.58,1.59,2.99,7.26,0.19,42.33,47.4,76.4,100.46,1.31,31.63,24.59,28-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
28-Mar-2018 - 00:00,30.5,984.26,384.33,168.42,32.58,209.63,258.27,1.64,4.24,4.95,0.75,47.73,43.81,65.42,161.52,2.06,36.51,12.89,29-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
29-Mar-2018 - 00:00,29.58,982.39,237.56,113.98,33.8,207.97,308.43,2.08,1.05,5.3,0.06,39.64,27.93,58.35,51.41,0.76,39.56,17.54,30-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
30-Mar-2018 - 00:00,29.86,981.27,285.17,120.0,33.18,215.82,294.24,2.18,2.61,9.88,0.22,42.42,33.79,67.54,67.56,0.92,38.15,25.58,31-Mar-2018 - 00:00,"Wazirpur, Delhi - DPCC"
31-Mar-2018 - 00:00,27.58,984.04,472.83,150.62,40.92,207.39,109.38,2.09,0.81,2.33,0.02,45.84,30.89,64.34,59.52,0.93,42.02,19.18,01-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
01-Apr-2018 - 00:00,30.25,985.91,351.63,124.37,37.83,282.88,105.04,1.99,0.6,2.18,0.08,58.71,29.63,64.63,59.13,0.86,52.69,23.15,02-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
02-Apr-2018 - 00:00,30.31,985.89,395.17,136.5,38.21,190.98,108.64,1.74,1.02,1.8,0.02,57.47,46.15,73.2,101.4,1.03,48.24,19.73,03-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
03-Apr-2018 - 00:00,29.33,985.66,398.6,120.72,41.08,191.88,124.03,1.53,2.02,0.78,0.0,46.15,76.65,78.39,191.01,1.03,52.01,6.78,04-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
04-Apr-2018 - 00:00,34.66,980.39,348.08,116.08,31.74,189.22,95.53,1.13,0.72,2.28,0.0,64.89,31.33,69.33,62.94,1.62,56.76,14.1,05-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
05-Apr-2018 - 00:00,31.98,980.73,424.87,146.75,38.4,172.21,194.42,1.34,0.84,3.1,0.02,68.35,23.92,60.69,52.16,1.28,37.83,20.64,06-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
06-Apr-2018 - 00:00,30.25,982.83,269.04,102.0,37.26,143.46,109.75,1.92,0.48,4.52,0.07,52.11,19.97,51.9,40.54,0.68,45.62,25.0,07-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
07-Apr-2018 - 00:00,28.78,985.05,247.46,74.75,43.77,212.39,116.72,1.86,0.49,2.57,0.02,60.8,29.97,63.68,45.58,0.65,42.75,18.38,08-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
08-Apr-2018 - 00:00,29.98,985.5,256.71,67.46,42.52,200.19,114.58,2.39,0.44,1.82,0.01,58.52,28.53,52.83,57.98,0.57,44.73,18.27,09-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
09-Apr-2018 - 00:00,26.75,986.91,253.07,67.72,56.16,121.48,124.19,2.05,0.63,1.86,0.01,59.2,29.26,59.58,47.98,0.84,29.74,12.53,10-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
10-Apr-2018 - 00:00,29.26,985.08,404.42,104.08,48.11,175.5,148.27,1.5,1.95,5.19,0.04,64.21,32.62,64.13,73.23,0.95,62.34,18.92,11-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
11-Apr-2018 - 00:00,26.91,984.97,216.88,57.58,53.05,153.4,91.3,2.27,0.47,2.45,0.0,58.58,19.38,41.82,33.64,0.56,31.49,18.27,12-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
12-Apr-2018 - 00:00,28.12,984.14,175.29,50.46,44.34,212.02,215.53,1.61,1.15,4.3,0.05,45.35,18.27,44.01,33.77,0.74,41.22,11.48,13-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
13-Apr-2018 - 00:00,29.3,984.88,249.46,66.38,27.82,228.77,258.41,1.49,1.26,3.44,0.03,39.78,32.09,54.01,61.49,0.97,41.6,12.17,14-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
14-Apr-2018 - 00:00,30.62,983.7,308.75,87.71,24.51,213.65,282.98,1.61,1.02,4.89,0.09,46.48,30.27,60.18,45.55,0.89,43.91,14.43,15-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
15-Apr-2018 - 00:00,32.29,983.03,353.42,95.54,26.92,198.27,284.59,1.21,2.33,5.13,0.17,44.24,33.96,57.36,74.98,1.11,50.23,18.35,16-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
16-Apr-2018 - 00:00,32.68,983.58,484.17,113.5,28.18,147.52,99.14,1.67,1.06,2.84,0.03,61.17,34.23,70.27,59.39,1.11,44.0,27.12,17-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
17-Apr-2018 - 00:00,33.25,984.61,351.21,83.62,26.62,192.91,201.9,1.6,2.13,3.56,0.29,48.66,31.61,54.42,61.42,0.62,25.78,10.99,18-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
18-Apr-2018 - 00:00,32.67,983.61,330.29,81.96,23.83,207.35,311.53,2.34,0.25,1.86,0.03,44.46,15.18,39.19,25.2,0.49,37.8,12.68,19-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
19-Apr-2018 - 00:00,33.61,980.4,347.88,118.75,23.17,192.38,300.05,1.65,0.66,7.24,0.1,41.95,23.14,51.68,33.04,0.67,41.25,21.16,20-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
20-Apr-2018 - 00:00,33.32,979.42,535.6,164.58,22.6,167.0,179.27,2.55,0.98,7.64,0.94,58.9,28.13,58.97,37.56,0.58,22.63,29.76,21-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
21-Apr-2018 - 00:00,30.03,983.89,525.33,130.43,30.41,178.08,297.19,2.05,0.77,2.86,0.05,42.51,7.25,28.41,19.93,0.28,38.84,12.98,22-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
22-Apr-2018 - 00:00,29.44,984.8,256.59,61.24,22.82,224.83,321.35,2.4,0.68,2.63,0.05,36.36,9.79,32.05,22.94,0.33,49.67,20.14,23-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
23-Apr-2018 - 00:00,30.63,983.89,287.96,71.22,18.73,220.89,316.82,2.17,1.02,2.98,0.13,34.02,19.14,39.19,40.62,0.56,56.12,10.31,24-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
24-Apr-2018 - 00:00,32.28,982.63,389.93,99.25,18.63,208.32,292.43,1.59,2.49,6.18,0.29,35.49,32.0,58.69,64.8,1.07,49.33,18.02,25-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
25-Apr-2018 - 00:00,34.28,979.97,555.7,121.45,17.49,203.18,242.3,1.33,5.14,8.16,1.86,40.25,39.78,61.51,117.86,1.95,38.83,19.63,26-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
26-Apr-2018 - 00:00,35.86,978.49,591.25,126.54,17.86,175.98,149.24,1.4,2.16,5.55,0.26,48.85,32.36,60.48,79.28,1.36,60.14,23.21,27-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
27-Apr-2018 - 00:00,33.57,981.69,556.31,109.07,38.88,167.94,114.06,2.2,0.81,2.24,0.04,79.34,21.54,50.09,53.15,0.81,61.02,18.18,28-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
28-Apr-2018 - 00:00,33.97,981.42,523.71,109.96,39.68,191.56,110.74,2.49,0.3,1.68,0.01,69.1,9.78,39.09,30.39,0.63,58.18,23.18,29-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
29-Apr-2018 - 00:00,34.74,978.52,387.04,113.25,36.72,196.96,128.9,1.34,0.44,2.18,0.01,62.38,22.92,55.67,46.34,0.7,56.12,19.36,30-Apr-2018 - 00:00,"Wazirpur, Delhi - DPCC"
30-Apr-2018 - 00:00,34.67,976.87,373.46,111.75,33.68,210.84,140.98,1.89,1.08,5.97,0.02,64.14,23.21,57.28,42.67,0.7,71.81,22.4,01-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
01-May-2018 - 00:00,31.89,980.24,310.71,83.0,48.36,203.47,116.12,2.84,0.43,1.32,0.01,72.15,8.36,37.06,23.53,0.53,62.78,9.08,02-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
02-May-2018 - 00:00,30.66,981.67,322.59,98.75,49.18,191.64,114.38,2.78,0.52,1.34,0.03,60.21,3.96,33.81,17.28,0.55,61.25,8.34,03-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
03-May-2018 - 00:00,29.92,982.18,299.46,71.43,45.97,158.7,123.54,2.88,0.45,2.62,0.17,56.5,11.48,34.62,22.18,0.47,39.17,18.95,04-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
04-May-2018 - 00:00,31.02,982.52,217.38,59.71,49.6,213.74,106.43,2.26,0.3,1.49,0.02,61.55,10.88,36.19,26.68,0.59,51.2,16.19,05-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
05-May-2018 - 00:00,34.06,981.58,300.5,94.25,37.41,208.39,169.66,1.28,0.77,2.46,0.04,57.45,20.84,50.12,45.83,1.02,62.03,16.67,06-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
06-May-2018 - 00:00,33.24,982.41,429.12,120.96,33.67,193.31,77.43,1.75,1.1,1.89,0.11,48.03,22.3,54.56,43.27,1.01,58.84,15.65,07-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
07-May-2018 - 00:00,34.05,980.32,405.21,119.88,29.66,195.35,225.8,1.33,0.79,2.79,0.01,46.61,27.23,57.76,35.41,1.01,62.98,19.89,08-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
08-May-2018 - 00:00,30.23,981.06,194.78,66.58,37.5,199.46,253.77,2.41,1.2,2.37,0.05,29.44,5.98,34.14,19.5,0.34,57.39,7.58,09-May-2018 - 00:00,"Wazirpur, Delhi - DPCC"
