from date,BP,PM10,PM2.5,RF,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
16-Aug-2018 - 00:00,751.19,52.04,22.59,,66.94,1.1,0.51,0.11,0.43,0.28,0.59,26.39,6.13,25.23,31.36,22.12,9.51,17-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Aug-2018 - 00:00,737.16,27.5,10.62,,70.28,0.98,0.28,0.03,0.09,0.07,0.39,18.97,3.78,18.24,22.02,28.45,6.79,18-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Aug-2018 - 00:00,744.73,41.52,13.39,,124.18,0.72,0.49,0.09,0.37,0.21,0.7,16.79,5.41,21.25,26.66,26.17,8.92,19-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Aug-2018 - 00:00,743.53,40.77,11.51,,226.73,0.67,0.7,0.2,0.76,0.43,0.93,20.54,12.75,34.54,47.29,16.69,11.56,20-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Aug-2018 - 00:00,736.43,52.64,21.93,,196.03,0.68,0.76,0.2,0.84,0.49,1.07,31.14,14.98,39.29,54.25,7.64,10.08,21-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Aug-2018 - 00:00,716.48,57.87,20.35,,127.73,0.52,0.8,0.22,0.77,0.46,0.97,17.64,8.76,33.29,42.05,11.96,9.21,22-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Aug-2018 - 00:00,705.66,52.89,22.64,,283.51,0.75,0.7,0.18,0.73,0.46,0.93,17.39,11.96,41.29,53.24,14.56,8.9,23-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Aug-2018 - 00:00,729.13,37.0,17.5,,235.6,0.81,0.44,0.11,0.5,0.27,0.79,13.92,11.4,35.44,46.84,10.58,10.5,24-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Aug-2018 - 00:00,740.97,54.53,20.39,,219.55,1.31,0.5,0.16,0.55,0.33,0.73,12.42,9.63,33.98,43.61,9.75,9.18,25-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Aug-2018 - 00:00,752.37,54.04,21.98,,216.4,0.92,0.52,0.16,0.59,0.32,0.71,11.27,10.73,33.82,44.55,13.95,8.11,26-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Aug-2018 - 00:00,745.96,83.38,26.34,,252.43,0.67,0.42,0.1,0.4,0.21,0.55,10.41,7.24,29.88,37.12,19.26,6.87,27-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Aug-2018 - 00:00,738.95,100.27,33.09,,186.55,0.6,0.97,0.33,1.07,0.59,0.98,12.92,12.23,36.23,48.46,16.73,7.49,28-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Aug-2018 - 00:00,744.33,88.16,29.21,,172.55,0.96,0.81,0.22,0.77,0.39,0.82,13.06,6.71,32.08,38.76,25.19,11.36,29-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Aug-2018 - 00:00,747.03,37.02,15.9,,166.19,0.85,0.78,0.26,0.71,0.38,0.94,14.33,7.58,28.49,36.07,17.05,8.37,30-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Aug-2018 - 00:00,749.11,102.45,37.79,,245.43,0.61,0.57,0.14,0.56,0.27,0.79,15.07,8.74,29.44,38.18,17.59,8.71,31-Aug-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
31-Aug-2018 - 00:00,751.48,98.01,31.33,,233.23,0.78,0.58,0.16,0.7,0.34,0.72,14.66,8.45,29.64,38.1,21.76,12.41,01-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Sep-2018 - 00:00,757.55,125.13,27.78,,256.14,0.86,0.51,0.17,0.59,0.32,0.7,14.46,9.59,28.91,38.49,17.07,13.89,02-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Sep-2018 - 00:00,757.07,56.44,22.2,,189.35,0.62,0.55,0.13,0.57,0.29,0.79,16.31,12.26,31.39,43.64,13.51,9.97,03-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Sep-2018 - 00:00,754.18,50.78,20.91,,225.2,0.85,0.58,0.16,0.63,0.32,0.72,19.12,9.58,41.89,51.46,14.04,9.84,04-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Sep-2018 - 00:00,751.37,88.39,33.71,,256.74,0.68,0.65,0.3,0.84,0.41,0.74,26.69,10.86,44.35,55.18,15.17,8.59,05-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Sep-2018 - 00:00,752.01,135.83,44.49,,244.19,0.68,0.65,0.34,1.11,0.77,0.78,20.97,10.54,39.17,49.71,17.3,10.21,06-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Sep-2018 - 00:00,754.17,94.27,33.32,,226.59,0.71,0.61,0.2,0.77,0.42,0.7,13.81,12.89,34.91,47.79,15.2,13.0,07-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Sep-2018 - 00:00,754.02,69.1,20.07,,226.67,0.73,0.73,0.28,0.86,0.43,0.7,11.85,15.64,37.47,53.11,24.6,12.07,08-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Sep-2018 - 00:00,754.31,36.53,15.52,,101.38,1.64,0.64,0.18,0.57,0.29,0.58,17.01,14.99,31.56,46.55,20.4,8.71,09-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Sep-2018 - 00:00,754.22,21.16,11.55,,94.34,0.96,0.38,0.07,0.28,0.13,0.58,11.49,10.69,21.38,32.07,17.04,5.42,10-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Sep-2018 - 00:00,755.7,52.53,21.77,,218.65,1.37,0.51,0.18,0.79,0.33,0.64,12.43,16.04,28.51,44.54,10.74,5.87,11-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Sep-2018 - 00:00,757.73,66.93,22.67,,218.66,1.2,0.88,0.36,1.62,0.7,0.73,13.57,18.18,30.35,48.52,9.13,7.23,12-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Sep-2018 - 00:00,757.9,71.36,24.1,,210.99,0.98,0.4,0.14,0.59,0.25,0.66,12.38,14.12,27.59,41.71,17.11,10.21,13-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Sep-2018 - 00:00,758.22,72.83,24.02,,223.52,1.15,0.33,0.11,0.45,0.19,0.79,10.76,11.19,25.61,36.8,24.92,11.85,14-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Sep-2018 - 00:00,758.24,84.92,30.77,,229.79,1.01,0.43,0.16,0.62,0.3,0.71,11.78,9.73,31.77,41.5,25.71,7.71,15-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Sep-2018 - 00:00,758.21,90.55,32.05,,245.03,0.52,0.59,0.22,0.86,0.37,0.78,13.41,9.2,37.62,46.82,23.99,5.33,16-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Sep-2018 - 00:00,758.18,84.56,29.55,,239.7,0.56,0.46,0.16,0.62,0.26,0.62,12.01,5.12,32.36,37.43,33.18,5.73,17-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Sep-2018 - 00:00,758.19,101.15,31.23,,227.42,0.79,0.55,0.19,0.77,0.47,0.76,12.73,5.84,33.82,39.66,31.77,5.08,18-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Sep-2018 - 00:00,758.29,111.17,35.59,,282.35,0.82,0.73,0.41,1.11,0.51,0.75,22.71,10.56,46.21,56.01,24.87,8.56,19-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Sep-2018 - 00:00,757.16,137.0,43.83,,284.78,0.99,0.91,0.71,1.51,0.7,1.04,19.32,9.71,37.26,46.3,34.71,11.11,20-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Sep-2018 - 00:00,755.62,135.55,45.64,,175.08,1.0,0.72,0.28,1.08,0.45,0.93,14.17,5.72,37.33,43.05,43.16,11.66,21-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Sep-2018 - 00:00,756.36,198.67,40.04,,57.97,1.29,0.46,0.07,0.23,0.09,0.69,17.36,4.7,18.74,23.44,60.7,9.07,22-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Sep-2018 - 00:00,755.87,29.94,16.13,,44.23,1.7,0.4,0.09,0.35,0.15,0.64,14.67,6.66,20.37,27.03,26.42,10.1,23-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Sep-2018 - 00:00,755.45,23.17,14.96,,89.05,1.01,0.32,0.02,0.08,0.04,0.57,11.88,4.65,15.45,20.09,28.17,10.0,24-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Sep-2018 - 00:00,756.93,41.32,15.89,,248.59,0.66,0.95,0.42,1.39,0.65,1.11,13.6,14.12,29.88,44.0,16.1,9.6,25-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Sep-2018 - 00:00,757.08,133.47,33.88,,234.16,0.44,1.77,1.0,2.62,1.26,1.52,17.38,28.63,42.81,71.45,20.27,10.12,26-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Sep-2018 - 00:00,756.94,152.75,45.41,,211.23,0.48,1.41,0.66,2.06,0.96,1.18,16.66,23.19,47.18,67.45,18.52,8.24,27-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Sep-2018 - 00:00,757.48,139.07,45.99,,218.84,0.53,1.55,0.72,2.15,0.98,1.3,11.49,17.99,44.58,62.84,18.39,7.93,28-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Sep-2018 - 00:00,758.15,128.88,40.46,,190.97,0.59,1.78,0.61,2.1,1.1,0.89,16.41,13.14,37.75,51.9,28.37,11.21,29-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Sep-2018 - 00:00,758.65,318.47,41.75,,204.87,0.5,1.49,0.62,1.87,0.99,1.21,24.26,23.88,42.01,66.88,23.22,11.84,30-Sep-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Sep-2018 - 00:00,758.24,188.11,34.48,,223.35,0.58,1.3,0.51,1.63,0.78,1.08,22.58,14.72,42.57,58.29,25.82,15.06,01-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Oct-2018 - 00:00,757.98,135.07,37.88,,220.53,0.48,1.17,0.5,1.63,0.81,1.2,22.54,14.55,43.57,59.12,25.88,16.35,02-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Oct-2018 - 00:00,758.49,140.42,45.89,,193.95,0.55,1.5,0.73,2.21,1.2,1.17,24.39,16.76,44.72,62.48,28.01,17.76,03-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Oct-2018 - 00:00,757.94,113.02,32.52,,183.3,0.82,0.79,0.26,1.08,0.47,0.86,16.57,7.83,38.79,47.05,44.81,13.07,04-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Oct-2018 - 00:00,758.61,83.96,32.63,,174.86,1.14,0.48,0.14,0.5,0.23,0.69,11.28,6.28,28.2,34.48,59.92,7.95,05-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Oct-2018 - 00:00,759.43,107.51,35.32,,187.88,1.29,0.84,0.24,0.88,0.49,0.86,11.15,6.11,35.68,41.75,46.87,8.45,06-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Oct-2018 - 00:00,759.13,102.12,32.24,,157.31,1.26,0.62,0.22,0.8,0.37,0.76,10.43,10.23,34.1,44.32,47.6,6.2,07-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Oct-2018 - 00:00,758.86,107.5,34.24,,143.35,1.3,0.79,0.21,0.74,0.38,0.75,10.72,8.48,35.93,44.41,57.58,6.32,08-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Oct-2018 - 00:00,757.7,98.57,31.78,,145.93,1.22,0.76,0.16,0.64,0.31,0.81,9.48,6.75,38.66,45.39,51.65,6.21,09-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Oct-2018 - 00:00,757.3,124.78,39.29,,216.5,1.28,0.94,0.36,1.27,0.59,0.94,8.35,12.23,35.44,47.64,33.53,8.16,10-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Oct-2018 - 00:00,757.52,180.65,54.91,,253.29,1.26,0.97,0.41,1.41,0.7,0.92,14.53,13.26,39.33,52.58,38.78,9.9,11-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Oct-2018 - 00:00,758.37,191.03,60.81,,32.74,2.17,0.78,0.2,0.82,0.35,0.61,10.11,8.13,29.65,37.78,66.42,7.28,12-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Oct-2018 - 00:00,759.68,142.15,51.74,,115.06,1.61,0.77,0.24,0.82,0.36,0.71,10.71,10.21,33.53,43.74,59.28,6.07,13-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Oct-2018 - 00:00,760.47,143.29,49.38,,116.38,1.54,0.72,0.25,0.84,0.34,0.8,8.27,9.39,37.08,46.47,58.23,7.72,14-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Oct-2018 - 00:00,760.03,274.58,56.11,,117.01,1.36,0.6,0.19,0.74,0.3,0.85,7.62,9.87,36.48,46.35,62.57,11.33,15-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Oct-2018 - 00:00,759.96,165.75,60.98,,154.81,1.17,1.83,0.91,2.14,1.33,1.48,10.49,26.7,33.94,60.64,62.95,11.91,16-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Oct-2018 - 00:00,759.88,200.61,55.15,,189.76,1.2,1.69,0.89,2.67,1.38,1.33,23.04,34.91,47.2,82.1,28.23,12.46,17-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Oct-2018 - 00:00,759.03,147.32,54.79,,211.87,1.29,1.72,0.56,1.89,0.87,1.25,29.52,27.23,40.35,67.58,28.14,10.82,18-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Oct-2018 - 00:00,758.68,154.77,53.61,,206.55,1.35,1.04,0.68,1.83,0.84,1.07,25.59,16.83,38.39,55.22,33.52,16.58,19-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Oct-2018 - 00:00,759.66,172.76,57.81,,131.7,1.33,1.44,0.28,1.08,0.5,1.14,23.65,12.45,39.23,51.68,60.79,9.08,20-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Oct-2018 - 00:00,760.7,171.89,52.16,,106.56,1.76,1.37,0.54,1.34,0.78,1.22,19.78,18.4,39.42,57.82,70.03,9.18,21-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Oct-2018 - 00:00,761.4,261.01,52.97,,49.36,2.2,0.73,0.22,0.72,0.4,0.71,8.59,7.06,28.59,35.65,91.59,10.93,22-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Oct-2018 - 00:00,761.12,131.51,51.19,,134.66,1.43,1.59,0.47,1.44,0.84,1.01,19.58,16.66,43.22,59.87,59.32,7.86,23-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Oct-2018 - 00:00,760.77,123.34,45.58,,147.99,1.31,0.95,0.24,0.91,0.41,0.77,24.98,8.42,39.55,47.97,65.09,4.31,24-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Oct-2018 - 00:00,760.25,125.06,41.15,,181.4,1.29,0.92,0.15,0.59,0.27,0.55,25.82,8.78,39.82,48.6,62.32,6.1,25-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Oct-2018 - 00:00,760.96,144.68,37.69,,105.92,1.15,1.38,0.39,1.53,1.07,1.24,30.33,15.51,44.7,60.21,54.09,5.62,26-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Oct-2018 - 00:00,762.48,153.78,36.87,,108.79,1.62,0.84,0.29,0.84,0.42,1.09,30.54,9.68,35.49,45.17,86.25,8.71,27-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Oct-2018 - 00:00,762.75,165.57,41.8,,98.73,1.35,1.05,0.38,0.71,0.41,1.18,27.35,7.86,29.56,37.42,95.79,10.72,28-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Oct-2018 - 00:00,762.62,175.81,40.5,,85.44,1.32,0.87,0.14,0.42,0.19,1.08,26.24,7.6,24.6,32.19,111.1,11.32,29-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Oct-2018 - 00:00,762.16,207.63,57.3,,98.0,1.24,2.16,0.78,1.99,1.29,1.75,33.74,13.87,47.58,61.44,68.68,10.74,30-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Oct-2018 - 00:00,761.94,214.84,53.88,,126.33,1.23,1.75,0.51,1.5,0.86,1.55,23.86,13.52,47.03,59.9,45.19,9.08,31-Oct-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
31-Oct-2018 - 00:00,762.22,280.03,56.27,,117.31,1.25,1.31,0.47,1.17,0.59,1.18,13.6,8.87,37.3,46.16,108.83,6.58,01-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Nov-2018 - 00:00,761.39,218.27,63.13,,165.41,1.27,2.05,0.59,1.78,0.92,1.84,15.46,17.88,56.69,74.57,68.24,7.23,02-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Nov-2018 - 00:00,760.5,158.17,53.06,,177.85,1.44,2.8,0.86,2.97,1.5,1.4,18.86,30.94,63.21,94.15,48.51,7.15,03-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Nov-2018 - 00:00,759.48,122.98,46.02,,186.99,1.6,1.46,0.6,1.63,0.84,1.46,12.2,22.57,50.54,73.11,52.52,11.67,04-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Nov-2018 - 00:00,760.74,157.73,70.92,,151.11,2.04,1.29,0.26,0.9,0.39,1.19,12.51,9.03,41.68,50.71,51.62,9.18,05-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Nov-2018 - 00:00,761.36,104.92,43.23,,136.92,1.7,0.96,0.26,1.0,0.43,1.05,20.3,10.52,45.0,55.52,45.13,8.52,06-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Nov-2018 - 00:00,762.03,180.34,62.78,,200.1,1.35,0.81,0.67,1.01,0.51,1.72,24.94,23.56,59.92,83.48,46.57,10.58,07-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Nov-2018 - 00:00,761.94,209.25,90.94,,141.18,1.18,1.49,1.56,0.97,0.91,1.83,25.11,29.68,63.1,92.78,43.21,28.58,08-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Nov-2018 - 00:00,761.63,224.16,79.24,,130.22,1.24,1.95,0.69,0.39,0.51,2.23,24.12,23.98,28.28,52.26,42.6,36.9,09-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Nov-2018 - 00:00,760.54,324.12,82.45,,166.75,1.22,2.69,0.7,0.41,0.49,3.13,42.15,42.66,51.81,94.47,48.05,17.18,10-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Nov-2018 - 00:00,761.02,203.98,64.4,,152.83,1.15,2.28,0.71,0.41,0.49,2.18,31.2,21.26,48.36,69.62,55.11,10.28,11-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
11-Nov-2018 - 00:00,761.5,153.93,56.49,,177.08,1.32,0.59,0.69,0.41,0.5,2.21,30.76,24.0,42.14,66.14,61.24,9.55,12-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
12-Nov-2018 - 00:00,760.18,161.0,60.56,,180.55,1.27,0.9,0.7,0.4,0.5,2.58,41.32,40.2,48.92,89.11,42.11,17.74,13-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
13-Nov-2018 - 00:00,758.14,213.48,54.43,,170.7,1.26,0.83,1.04,0.72,0.5,2.23,45.31,46.0,44.55,90.55,25.84,10.37,14-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
14-Nov-2018 - 00:00,758.77,105.99,42.37,,127.67,1.43,1.26,1.39,1.01,0.72,0.96,22.56,9.86,24.96,34.81,60.65,8.99,15-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
15-Nov-2018 - 00:00,761.34,166.0,56.17,,169.77,1.58,1.53,0.86,1.22,0.94,1.61,30.43,16.39,44.49,60.88,41.3,8.03,16-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
16-Nov-2018 - 00:00,761.44,181.97,62.28,,162.76,1.63,1.78,0.62,1.46,0.77,1.45,28.3,16.71,44.8,61.51,49.15,11.71,17-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
17-Nov-2018 - 00:00,760.0,155.39,56.02,,187.29,1.2,2.37,0.56,1.95,1.0,1.48,37.33,33.86,54.94,88.81,38.75,9.59,18-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
18-Nov-2018 - 00:00,760.22,108.21,41.4,,157.33,1.35,0.51,0.1,0.36,0.18,0.58,19.65,10.39,30.38,40.77,84.06,11.92,19-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
19-Nov-2018 - 00:00,761.5,91.14,35.44,,172.53,1.28,0.46,0.12,0.4,0.17,0.61,17.79,8.02,28.04,36.06,80.88,11.19,20-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
20-Nov-2018 - 00:00,762.3,127.64,40.89,,155.87,1.25,1.43,0.48,1.72,1.22,1.47,38.61,35.32,57.04,92.33,31.38,8.83,21-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
21-Nov-2018 - 00:00,762.85,140.63,58.69,,132.26,1.32,2.85,0.92,2.22,1.17,2.25,24.53,24.63,48.81,73.44,63.29,14.12,22-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
22-Nov-2018 - 00:00,762.8,128.72,44.22,,86.78,1.33,0.77,0.14,0.48,0.22,1.21,7.98,7.77,28.58,36.35,92.0,15.6,23-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
23-Nov-2018 - 00:00,764.23,211.06,48.23,,110.15,1.62,1.21,0.36,1.12,0.58,1.37,16.89,14.32,45.66,59.98,63.72,12.43,24-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
24-Nov-2018 - 00:00,763.72,177.46,55.43,,211.6,1.44,2.68,1.11,2.26,1.3,2.16,33.92,31.66,45.52,77.18,51.82,13.46,25-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
25-Nov-2018 - 00:00,762.91,194.74,54.88,,204.22,1.26,2.92,0.83,2.46,1.36,1.97,48.76,50.66,53.68,104.33,36.98,11.18,26-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
26-Nov-2018 - 00:00,762.08,151.5,51.89,,133.33,1.34,1.86,0.41,1.5,0.79,1.51,25.3,26.88,46.1,72.97,67.89,9.54,27-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
27-Nov-2018 - 00:00,762.85,134.41,45.11,,89.19,1.29,0.63,0.1,0.22,0.1,1.11,9.21,6.78,20.76,27.53,104.15,12.68,28-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-Nov-2018 - 00:00,763.55,148.53,48.46,,90.93,1.26,0.78,0.06,0.14,0.07,1.19,7.63,8.0,20.74,28.74,75.08,6.84,29-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-Nov-2018 - 00:00,764.26,163.53,52.01,,129.84,1.15,2.1,0.26,0.86,0.48,1.55,13.25,18.25,46.12,64.36,55.36,6.67,30-Nov-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-Nov-2018 - 00:00,764.06,196.93,56.87,,175.06,1.26,3.42,0.89,2.45,1.36,2.23,19.83,43.99,55.53,99.53,36.05,9.9,01-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Dec-2018 - 00:00,761.96,203.15,58.15,,175.35,1.01,3.4,1.02,2.95,1.74,2.23,21.02,55.07,53.63,108.69,31.71,9.39,02-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Dec-2018 - 00:00,761.02,165.35,48.48,,147.22,1.25,1.43,0.32,1.15,0.56,1.39,12.2,15.41,46.03,61.44,51.92,8.05,03-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Dec-2018 - 00:00,761.78,158.11,48.52,,130.58,1.17,1.79,0.44,1.54,0.79,1.66,15.63,30.5,48.92,79.42,36.31,7.8,04-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Dec-2018 - 00:00,762.96,119.44,40.23,,119.86,1.17,1.18,0.17,0.69,0.35,1.29,10.52,11.54,39.87,51.41,53.61,8.86,05-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Dec-2018 - 00:00,761.34,144.4,34.82,,153.54,1.21,3.14,0.38,1.14,0.72,1.38,18.75,27.42,46.71,74.07,43.82,7.93,06-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Dec-2018 - 00:00,760.7,145.72,42.45,,148.24,1.22,2.19,0.46,1.47,0.94,1.57,32.83,24.73,44.08,68.81,52.89,8.83,07-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Dec-2018 - 00:00,761.4,141.98,32.69,,137.04,1.24,1.28,0.26,0.86,0.49,1.24,23.38,11.66,35.27,46.94,56.43,8.5,08-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Dec-2018 - 00:00,761.94,123.37,31.81,,160.33,1.42,1.4,0.32,1.04,0.56,1.21,25.11,16.51,34.67,51.18,67.08,8.8,09-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Dec-2018 - 00:00,761.15,144.18,60.19,,153.54,1.36,1.91,0.55,1.62,0.8,1.74,31.56,24.15,41.42,65.57,58.89,8.35,10-Dec-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
