from date,BP,PM10,PM2.5,RF,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
27-May-2018 - 00:00,753.65,196.88,63.11,,228.89,0.72,0.79,0.29,1.22,0.55,0.64,9.1,9.89,30.28,40.17,72.0,9.13,28-May-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
28-May-2018 - 00:00,752.21,185.0,63.79,,217.36,0.72,1.16,0.33,1.4,0.63,0.98,13.05,11.27,40.4,51.67,64.38,16.55,29-May-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
29-May-2018 - 00:00,751.37,170.78,58.4,,181.88,0.95,0.72,0.14,0.62,0.28,0.69,10.85,7.38,24.33,31.71,60.99,12.04,30-May-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
30-May-2018 - 00:00,752.69,175.69,54.36,,162.79,1.25,0.61,0.15,0.65,0.3,1.0,27.17,11.21,28.05,39.25,43.55,8.78,31-May-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
31-May-2018 - 00:00,753.88,139.67,53.72,,197.4,0.95,0.55,0.17,0.62,0.36,0.84,24.82,9.3,26.76,36.01,64.33,7.0,01-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
01-Jun-2018 - 00:00,754.08,197.39,61.75,,248.72,1.01,1.36,0.35,1.37,0.57,0.98,16.28,14.06,34.95,47.66,57.39,9.74,02-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
02-Jun-2018 - 00:00,754.48,486.77,112.9,,195.64,1.19,0.98,0.25,0.94,0.44,0.68,16.5,10.32,23.28,33.6,64.41,7.75,03-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
03-Jun-2018 - 00:00,752.95,230.09,65.28,,275.74,1.35,0.38,0.13,0.51,0.24,0.35,9.55,9.31,21.54,30.86,54.8,8.54,04-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
04-Jun-2018 - 00:00,752.42,249.54,78.24,,234.26,0.72,0.96,0.32,1.17,0.56,0.82,11.81,11.59,24.86,36.45,47.93,8.76,05-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
05-Jun-2018 - 00:00,753.71,221.93,76.01,,189.67,0.83,0.71,0.11,0.4,0.19,0.53,18.18,8.39,15.18,23.58,73.63,7.16,06-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
06-Jun-2018 - 00:00,755.02,177.4,56.68,,100.55,1.25,0.83,0.07,0.22,0.11,0.67,16.37,7.18,13.94,21.12,90.69,6.28,07-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
07-Jun-2018 - 00:00,752.6,208.78,72.06,,163.63,0.6,1.12,0.13,0.49,0.23,0.67,16.61,8.02,18.64,26.65,73.55,6.49,08-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
08-Jun-2018 - 00:00,750.5,268.83,74.94,,160.35,1.35,1.34,0.12,0.54,0.26,0.66,19.29,9.8,17.22,27.02,41.64,6.45,09-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
09-Jun-2018 - 00:00,750.36,109.44,52.27,,180.38,1.04,0.71,0.14,0.6,0.28,0.6,24.02,13.65,16.35,30.0,33.03,5.69,10-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
10-Jun-2018 - 00:00,751.05,123.24,52.07,,206.64,1.13,0.54,0.08,0.27,0.14,0.71,21.28,10.04,14.27,24.31,45.37,5.52,11-Jun-2018 - 00:00,"Adarsh Nagar, Jaipur - RSPCB"
