from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,P-Xylene,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
22-Jan-2018 - 00:00,11.18,9.68,731.88,3.14,34.04,131.9,92.09,216.85,27.67,463.08,246.08,15.76,64.02,33.04,80.56,168.73,0.77,-0.03,27.58,23-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
23-Jan-2018 - 00:00,9.8,6.96,706.21,2.53,44.5,59.14,94.39,170.27,25.65,264.38,143.45,7.6,73.58,9.52,36.51,144.84,1.64,0.03,20.25,24-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
24-Jan-2018 - 00:00,8.85,6.77,732.47,2.42,37.83,54.37,58.85,130.84,40.37,240.89,144.68,5.06,76.92,11.3,93.64,231.26,0.7,-0.14,21.95,25-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
25-Jan-2018 - 00:00,8.83,,732.64,2.19,32.73,41.1,47.15,98.34,,183.58,111.58,,79.43,5.37,83.45,223.03,0.97,-0.2,,26-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
26-Jan-2018 - 00:00,8.88,,734.44,2.49,33.56,50.63,54.33,117.19,,235.92,154.67,,76.64,4.66,80.56,230.19,0.52,-0.11,,27-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
27-Jan-2018 - 00:00,9.41,,,3.19,32.35,78.77,72.33,171.33,,370.62,202.92,,69.14,8.9,87.25,224.87,0.55,-0.11,,28-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
28-Jan-2018 - 00:00,9.96,,734.89,2.96,26.51,104.39,62.24,197.08,,356.83,208.83,,67.22,14.22,95.66,227.27,0.68,-0.13,,29-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
29-Jan-2018 - 00:00,11.15,,748.96,2.68,22.68,56.07,58.24,124.79,,314.96,179.88,,63.57,20.71,97.93,223.74,0.81,-0.16,,30-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
30-Jan-2018 - 00:00,14.87,,733.07,1.91,29.19,17.73,50.75,57.04,,274.96,134.87,,52.07,29.72,98.55,227.84,1.53,-0.22,,31-Jan-2018 - 00:00,"R K Puram, Delhi - DPCC"
31-Jan-2018 - 00:00,14.39,,733.64,1.93,22.45,13.37,38.23,51.97,,280.83,136.04,,57.25,28.37,95.99,227.94,1.5,-0.23,,01-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
01-Feb-2018 - 00:00,15.71,,742.98,3.1,17.83,55.32,46.21,117.34,,330.75,151.29,,52.6,39.72,95.95,224.24,0.8,-0.14,,02-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
02-Feb-2018 - 00:00,14.89,,742.96,2.25,16.76,31.83,31.77,72.79,,317.71,149.62,,60.81,24.11,96.71,224.12,0.78,-0.15,,03-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
03-Feb-2018 - 00:00,13.91,,742.9,2.29,13.15,30.07,27.74,62.69,,245.27,117.62,,52.84,27.66,100.27,228.28,0.84,-0.12,,04-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
04-Feb-2018 - 00:00,12.73,6.1,742.87,2.18,12.57,20.81,28.52,54.12,5.38,230.0,135.53,9.92,50.84,29.65,103.44,226.53,1.09,-0.14,19.27,05-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
05-Feb-2018 - 00:00,11.96,8.21,742.8,2.7,29.93,71.97,71.03,158.89,48.7,283.33,172.26,8.41,47.73,31.17,83.23,223.67,0.76,-0.11,16.71,06-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
06-Feb-2018 - 00:00,13.3,6.32,742.83,2.15,43.06,52.6,100.18,146.77,50.78,269.62,153.25,6.21,47.0,35.63,74.88,232.75,1.01,-0.11,19.81,07-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
07-Feb-2018 - 00:00,12.5,6.02,742.83,2.66,42.02,61.4,95.87,120.27,49.52,268.0,140.5,5.03,47.9,37.34,105.46,226.98,1.05,-0.16,14.7,08-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
08-Feb-2018 - 00:00,11.62,13.66,742.9,2.13,36.3,204.29,126.06,120.55,30.02,349.45,203.89,13.28,54.14,16.93,93.61,216.23,0.52,-0.12,21.8,09-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
09-Feb-2018 - 00:00,12.08,18.26,742.97,1.44,43.52,120.58,141.29,136.34,41.88,397.43,247.08,13.89,55.23,16.5,101.22,222.21,0.42,-0.12,19.52,10-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
10-Feb-2018 - 00:00,12.64,16.59,742.95,2.5,40.63,165.82,117.68,120.93,38.52,429.04,253.62,14.83,55.97,17.54,93.72,182.89,0.23,-0.09,28.69,11-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
11-Feb-2018 - 00:00,13.6,12.94,742.92,1.72,33.37,109.91,76.91,102.25,35.32,320.5,180.88,10.67,54.2,16.16,81.65,166.55,0.77,-0.01,21.76,12-Feb-2018 - 00:00,"R K Puram, Delhi - DPCC"
