from date,AT,Benzene,BP,CO,NH3,NO,NO2,NOx,Ozone,PM10,PM2.5,P-Xylene,RH,SO2,SR,WD,WS,VWS,Toluene,to date,station
20-Apr-2018 - 00:00,30.41,21.16,743.0,1.17,35.17,32.65,63.13,83.44,44.35,374.43,124.62,3.83,22.19,11.89,126.72,195.15,1.86,-0.22,18.46,21-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
21-Apr-2018 - 00:00,27.63,6.96,743.0,1.32,33.09,5.5,52.69,55.9,62.37,506.41,178.75,4.31,26.01,18.03,138.93,232.03,1.13,-0.18,25.29,22-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
22-Apr-2018 - 00:00,26.83,12.92,743.0,1.26,26.98,8.66,56.94,64.04,71.15,206.83,85.12,3.47,21.52,28.58,150.25,234.98,1.18,-0.19,19.68,23-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
23-Apr-2018 - 00:00,27.32,17.86,742.98,1.98,25.49,53.13,70.71,96.66,66.61,266.75,101.79,3.55,20.25,23.85,149.56,222.86,1.04,-0.16,24.16,24-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
24-Apr-2018 - 00:00,28.63,31.55,742.98,2.08,27.01,76.41,89.75,114.94,59.97,283.11,141.62,3.4,21.83,28.68,146.39,221.16,0.98,-0.17,23.74,25-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
25-Apr-2018 - 00:00,30.29,47.23,742.94,2.78,29.7,101.28,90.79,161.24,46.29,288.92,131.25,10.36,23.17,28.4,142.87,212.51,0.81,-0.16,50.28,26-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
26-Apr-2018 - 00:00,31.75,52.05,742.95,2.62,36.55,90.46,119.89,151.27,42.23,403.83,182.71,9.36,22.72,33.37,135.81,182.03,0.97,-0.11,32.5,27-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
27-Apr-2018 - 00:00,30.41,26.13,742.96,1.44,42.71,29.24,79.93,89.56,66.5,325.5,128.92,5.15,38.09,24.89,135.96,112.46,1.92,0.11,26.91,28-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
28-Apr-2018 - 00:00,31.45,13.59,742.92,1.47,41.21,6.25,53.52,56.51,90.61,317.62,101.88,5.96,36.56,16.57,133.74,112.65,2.25,0.13,15.77,29-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
29-Apr-2018 - 00:00,31.03,15.99,742.93,1.8,42.98,9.86,65.48,73.63,62.75,250.92,105.79,5.39,40.81,26.14,131.19,147.47,1.0,-0.04,20.59,30-Apr-2018 - 00:00,"R K Puram, Delhi - DPCC"
30-Apr-2018 - 00:00,30.58,13.95,742.98,1.66,52.36,20.75,63.28,83.41,72.6,189.46,75.88,6.23,41.14,15.84,140.64,144.25,1.4,0.03,22.09,01-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
01-May-2018 - 00:00,29.04,12.26,742.99,0.93,48.07,6.73,47.33,51.44,79.96,165.58,55.17,2.19,45.81,18.87,144.68,97.43,2.93,0.25,12.95,02-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
02-May-2018 - 00:00,28.01,10.41,742.98,1.27,40.65,7.03,47.44,52.91,80.42,178.13,61.62,4.65,46.5,7.43,140.56,122.99,2.64,0.13,12.46,03-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
03-May-2018 - 00:00,26.51,4.25,742.98,1.43,31.85,13.27,48.59,61.26,58.55,147.46,49.54,4.13,45.4,15.35,132.41,121.85,2.69,0.16,21.79,04-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
04-May-2018 - 00:00,28.01,17.48,742.98,1.93,34.74,10.43,60.45,69.48,65.12,138.38,68.14,3.5,47.45,19.89,144.15,96.1,2.31,0.12,24.65,05-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
05-May-2018 - 00:00,30.89,25.27,743.0,2.43,33.52,54.27,70.48,70.71,66.04,196.25,90.21,4.98,38.82,17.59,143.24,187.77,0.65,-0.09,29.11,06-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
06-May-2018 - 00:00,29.66,43.57,743.0,2.11,33.67,113.03,82.03,134.85,44.15,250.12,107.67,5.43,38.27,17.62,133.39,179.05,0.97,-0.16,34.23,07-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
07-May-2018 - 00:00,30.58,46.53,743.0,2.5,32.41,119.99,85.19,175.48,54.87,302.96,133.79,4.86,34.56,22.27,140.11,218.71,0.51,-0.13,32.06,08-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
08-May-2018 - 00:00,27.98,8.26,743.0,1.41,28.76,5.55,42.91,46.65,84.51,146.7,74.41,5.26,34.38,5.89,138.23,211.37,1.33,-0.17,21.08,09-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
09-May-2018 - 00:00,26.04,22.97,743.0,1.86,29.08,53.38,92.9,148.78,36.05,163.67,75.52,7.72,46.26,14.59,114.65,191.02,0.63,-0.11,28.86,10-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
10-May-2018 - 00:00,28.85,27.32,742.99,1.31,38.76,73.35,87.98,161.4,63.14,198.71,120.75,11.05,41.58,13.87,146.25,205.43,0.69,-0.14,25.76,11-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
11-May-2018 - 00:00,31.78,43.63,743.0,1.49,39.95,92.85,112.1,130.33,53.85,273.21,152.08,5.48,33.75,23.93,141.11,233.32,0.68,-0.16,33.61,12-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
12-May-2018 - 00:00,32.31,48.43,742.98,2.9,46.45,37.26,117.86,131.65,69.41,328.29,173.5,,38.14,18.03,123.86,139.15,1.05,-0.05,22.96,13-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
13-May-2018 - 00:00,29.89,7.52,742.99,2.76,45.72,6.16,30.6,35.79,100.52,165.88,99.91,2.83,44.01,3.88,121.88,135.87,2.22,-0.07,16.18,14-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
14-May-2018 - 00:00,27.18,9.52,742.99,0.76,35.19,9.58,55.24,61.83,75.34,128.83,59.3,3.67,44.71,11.72,145.25,136.67,1.22,0.01,17.99,15-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
15-May-2018 - 00:00,29.62,17.23,743.0,1.21,41.48,33.15,68.32,107.97,71.78,166.0,71.04,4.13,44.59,23.72,141.98,137.67,1.31,0.03,23.57,16-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
16-May-2018 - 00:00,32.17,18.16,743.0,0.71,34.8,20.02,62.49,77.05,64.93,213.79,91.29,5.39,32.33,15.36,147.16,214.8,0.87,-0.16,23.6,17-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
17-May-2018 - 00:00,32.77,21.69,743.0,0.83,27.48,39.23,76.69,82.52,36.19,242.5,112.96,7.24,26.77,19.37,140.84,209.52,0.59,-0.13,23.98,18-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
18-May-2018 - 00:00,31.75,36.5,743.0,1.52,34.41,49.9,93.87,148.64,51.28,222.83,109.62,5.72,30.34,36.47,134.94,170.28,0.61,-0.1,27.49,19-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
19-May-2018 - 00:00,31.4,38.12,743.0,1.4,38.47,80.45,75.02,144.13,46.59,239.67,105.46,5.6,35.65,26.86,123.55,203.24,0.73,-0.12,28.98,20-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
20-May-2018 - 00:00,32.68,20.09,743.0,1.24,33.24,40.62,75.1,85.88,64.95,199.92,104.12,5.27,24.69,31.11,142.96,210.84,0.58,-0.12,27.31,21-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
21-May-2018 - 00:00,33.87,24.1,743.0,1.02,27.41,34.74,87.24,126.52,59.31,197.71,99.0,7.88,15.32,30.87,145.33,213.78,0.64,-0.13,29.3,22-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
22-May-2018 - 00:00,34.27,29.02,743.0,1.73,33.43,46.9,96.48,113.34,58.7,235.38,118.62,7.65,19.22,43.79,142.47,188.35,0.64,-0.11,26.58,23-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
23-May-2018 - 00:00,34.02,46.74,743.0,2.46,42.12,149.41,129.38,211.64,33.58,290.25,155.96,3.29,28.47,42.56,137.13,180.52,0.56,-0.1,30.22,24-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
24-May-2018 - 00:00,32.9,21.75,743.0,1.95,40.53,78.55,119.55,132.05,44.1,258.92,125.58,5.27,26.51,40.74,130.58,184.31,0.57,-0.1,24.53,25-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
25-May-2018 - 00:00,33.57,27.28,743.0,1.74,31.95,138.44,93.72,198.91,56.54,203.67,95.17,9.3,21.65,30.58,146.06,216.66,0.72,-0.17,25.34,26-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
26-May-2018 - 00:00,33.99,28.11,743.0,2.35,36.12,121.7,92.03,153.05,56.07,258.09,122.07,4.22,21.85,45.58,154.81,210.18,0.62,-0.15,28.79,27-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
27-May-2018 - 00:00,27.39,42.87,742.99,1.5,36.59,151.26,97.03,197.79,11.57,274.67,116.33,14.25,31.51,25.72,61.91,204.61,0.47,-0.12,31.05,28-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
28-May-2018 - 00:00,36.38,23.6,742.98,2.77,37.28,133.17,105.94,118.2,75.84,309.14,141.5,5.39,22.2,36.93,176.11,168.53,0.76,-0.09,33.46,29-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
29-May-2018 - 00:00,34.23,30.13,742.98,1.38,41.5,65.24,76.64,126.21,71.09,270.42,113.75,4.28,30.08,26.0,142.02,166.13,1.48,-0.01,24.09,30-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
30-May-2018 - 00:00,32.17,2.4,743.0,0.82,61.61,15.59,55.2,71.65,76.89,248.62,81.0,2.18,37.8,26.06,138.94,144.39,2.21,0.14,12.36,31-May-2018 - 00:00,"R K Puram, Delhi - DPCC"
31-May-2018 - 00:00,33.7,9.52,743.0,0.99,51.81,29.39,86.21,109.45,63.91,205.83,84.83,5.13,35.95,24.7,142.17,143.86,1.37,0.01,17.57,01-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
01-Jun-2018 - 00:00,32.54,3.07,742.99,0.8,55.63,7.68,51.98,57.04,77.27,204.52,89.92,4.26,42.01,27.45,144.43,108.8,2.8,0.17,16.02,02-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
02-Jun-2018 - 00:00,28.99,2.15,743.0,0.65,42.95,6.99,41.67,46.87,85.06,121.53,133.53,1.36,40.99,25.77,195.36,133.89,2.28,0.17,10.9,03-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
03-Jun-2018 - 00:00,34.32,3.1,743.0,0.9,52.61,6.74,60.87,65.46,88.61,145.62,130.03,3.45,39.05,23.13,190.99,109.02,2.15,0.09,16.14,04-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
04-Jun-2018 - 00:00,33.66,4.21,743.0,0.82,51.55,8.48,47.67,54.03,73.85,164.83,83.84,2.79,41.65,19.5,138.6,105.44,2.7,0.22,13.38,05-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
05-Jun-2018 - 00:00,33.94,3.44,743.0,0.82,51.23,7.1,44.19,49.68,70.49,165.5,81.58,3.56,40.91,20.85,138.53,101.69,2.67,0.2,16.45,06-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
06-Jun-2018 - 00:00,31.15,10.98,743.0,0.82,48.27,21.3,67.58,72.22,49.88,214.55,80.5,4.76,50.92,21.29,124.87,115.76,2.15,0.01,20.49,07-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
07-Jun-2018 - 00:00,33.55,19.49,742.98,0.34,32.81,38.52,64.41,69.38,16.25,157.12,74.29,11.54,44.38,9.49,141.13,118.18,1.52,0.03,8.76,08-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
08-Jun-2018 - 00:00,33.52,6.76,742.96,0.91,59.19,6.89,38.65,44.01,67.45,196.5,75.96,5.48,47.03,18.46,134.14,113.74,2.45,0.2,17.8,09-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
09-Jun-2018 - 00:00,29.35,7.23,742.77,0.84,53.44,22.25,47.2,73.19,39.8,130.7,62.38,5.26,61.84,17.43,123.6,134.79,2.11,0.08,15.65,10-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
10-Jun-2018 - 00:00,30.28,11.2,742.62,1.08,53.5,20.77,64.15,83.27,67.9,151.17,62.17,5.77,55.34,20.02,145.05,212.42,0.82,-0.14,21.72,11-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
11-Jun-2018 - 00:00,33.02,16.11,742.98,0.93,44.11,20.4,67.44,78.07,29.34,219.21,64.54,10.8,45.37,13.6,146.46,228.86,1.31,-0.25,15.59,12-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
12-Jun-2018 - 00:00,35.11,4.02,742.99,0.56,44.5,11.31,49.31,60.09,23.31,412.06,127.65,4.49,37.15,17.99,137.92,231.56,1.58,-0.25,16.36,13-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
13-Jun-2018 - 00:00,36.34,1.91,742.99,0.56,36.81,10.35,30.86,41.22,16.89,263.5,146.41,1.75,31.08,19.29,136.72,230.93,2.21,-0.37,11.32,14-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
14-Jun-2018 - 00:00,35.19,1.33,742.98,0.55,27.74,11.71,29.8,43.02,18.76,727.23,120.0,1.73,30.07,20.52,134.94,229.19,2.23,-0.39,10.52,15-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
15-Jun-2018 - 00:00,34.6,6.14,742.99,0.74,24.47,12.14,26.94,41.15,21.26,402.62,109.43,2.98,30.74,18.19,141.76,220.19,2.05,-0.32,13.65,16-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
16-Jun-2018 - 00:00,33.39,2.77,743.0,0.67,26.71,7.87,26.96,34.91,21.18,474.96,92.33,3.66,39.0,21.12,132.13,178.04,1.65,-0.15,15.76,17-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
17-Jun-2018 - 00:00,30.16,3.32,742.99,0.7,29.0,7.81,28.42,36.04,26.82,289.42,84.0,3.4,49.53,18.19,143.4,161.58,1.33,-0.12,17.59,18-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
18-Jun-2018 - 00:00,30.45,5.81,743.0,0.59,24.14,12.6,46.21,51.74,30.57,162.04,58.52,4.83,43.76,16.95,132.57,218.61,1.03,-0.18,19.93,19-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
19-Jun-2018 - 00:00,31.86,5.0,743.0,0.35,22.67,17.78,56.29,59.31,38.29,163.88,55.14,3.95,41.59,19.65,146.34,215.9,0.95,-0.16,18.71,20-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
20-Jun-2018 - 00:00,34.37,11.74,742.98,0.78,24.06,32.81,78.36,62.87,33.56,218.15,65.38,6.59,37.81,20.21,137.95,182.47,1.1,-0.14,18.96,21-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
21-Jun-2018 - 00:00,34.64,12.77,743.0,0.74,26.59,33.2,75.26,56.3,29.3,253.82,60.42,6.75,38.95,17.51,129.04,200.69,1.39,-0.1,20.08,22-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
22-Jun-2018 - 00:00,35.61,18.48,742.99,0.51,28.1,77.98,98.88,121.68,51.65,241.58,75.25,13.73,36.42,27.64,139.92,193.38,0.77,-0.13,28.36,23-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
23-Jun-2018 - 00:00,35.45,21.62,742.98,1.02,39.4,32.25,126.56,111.89,35.81,260.29,82.27,8.46,36.67,26.2,125.58,199.72,0.75,-0.13,23.73,24-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
24-Jun-2018 - 00:00,35.47,11.53,742.98,0.94,42.89,6.22,105.75,95.8,40.28,186.16,58.97,5.63,33.39,26.08,137.12,211.31,1.21,-0.14,21.99,25-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
25-Jun-2018 - 00:00,35.94,8.67,742.99,0.67,40.05,4.86,72.24,54.88,35.65,170.12,36.75,3.63,44.63,20.91,110.11,223.4,3.16,-0.2,18.56,26-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
26-Jun-2018 - 00:00,29.47,3.14,990.05,0.4,36.78,4.74,71.26,41.56,22.99,60.45,14.38,,49.55,19.63,34.94,225.64,4.65,0.0,25.54,27-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
27-Jun-2018 - 00:00,28.35,3.08,989.99,,46.5,4.94,73.51,43.05,28.39,112.24,51.25,,63.33,18.03,118.22,134.5,2.07,0.15,20.57,28-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
28-Jun-2018 - 00:00,26.92,1.97,989.88,0.88,58.17,5.08,67.42,39.76,17.71,57.97,30.38,,71.45,15.86,107.85,115.8,2.23,0.24,17.96,29-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
29-Jun-2018 - 00:00,27.04,2.47,989.92,0.89,56.91,5.17,65.21,38.64,19.53,78.0,51.69,,71.69,15.52,101.26,133.34,2.04,0.26,19.63,30-Jun-2018 - 00:00,"R K Puram, Delhi - DPCC"
30-Jun-2018 - 00:00,28.72,3.01,989.89,1.1,48.45,4.67,75.05,43.56,20.25,95.83,44.17,,67.73,17.02,121.12,175.24,0.99,0.11,20.29,01-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
01-Jul-2018 - 00:00,30.23,1.91,989.54,0.65,43.93,6.14,41.66,26.98,25.56,80.93,38.3,,62.38,14.27,126.39,223.35,1.39,,16.56,02-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
02-Jul-2018 - 00:00,29.84,0.84,989.91,0.53,36.83,6.84,38.12,25.8,26.24,96.44,33.51,,58.57,15.76,135.24,215.69,1.67,0.02,11.04,03-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
03-Jul-2018 - 00:00,29.0,2.56,989.89,0.87,34.24,4.67,68.49,40.06,25.12,116.68,46.9,,63.19,17.59,130.66,129.41,1.21,0.07,22.8,04-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
04-Jul-2018 - 00:00,29.49,2.58,989.9,0.8,36.54,4.7,63.08,37.16,27.81,122.75,46.68,,60.03,16.27,132.17,151.84,1.02,0.07,19.62,05-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
05-Jul-2018 - 00:00,30.17,3.68,989.92,0.93,46.39,24.45,91.99,71.51,22.91,168.55,52.01,,59.08,15.37,123.51,201.92,0.78,0.01,26.03,06-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
06-Jul-2018 - 00:00,31.43,4.38,989.93,0.94,45.25,40.41,80.46,75.89,24.13,183.33,56.31,,51.37,17.7,146.89,227.59,0.9,,28.98,07-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
07-Jul-2018 - 00:00,32.27,3.83,989.95,0.97,40.73,24.45,77.16,57.11,34.95,174.23,62.08,,49.38,17.61,142.52,203.84,0.64,0.0,25.07,08-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
08-Jul-2018 - 00:00,33.41,4.4,989.99,1.09,70.6,43.06,93.65,84.91,46.13,179.59,72.66,,47.48,15.61,145.18,190.61,0.63,0.0,29.16,09-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
09-Jul-2018 - 00:00,33.05,2.47,989.98,0.89,70.84,7.11,58.11,36.7,45.69,175.38,75.32,,53.35,16.22,135.13,136.93,1.7,0.14,16.36,10-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
10-Jul-2018 - 00:00,32.14,1.72,989.97,0.77,50.75,7.15,35.34,24.63,33.54,118.88,47.75,,58.53,15.97,139.88,127.95,1.91,0.16,13.28,11-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
11-Jul-2018 - 00:00,29.81,2.02,989.97,0.83,34.2,7.34,38.36,26.39,24.1,112.04,44.83,,63.85,14.74,93.06,150.33,1.38,0.09,16.09,12-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
12-Jul-2018 - 00:00,30.46,1.5,989.98,0.73,28.02,7.34,35.19,24.7,34.33,133.33,47.25,,58.95,15.99,127.48,176.08,1.15,0.15,17.04,13-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
13-Jul-2018 - 00:00,26.96,2.43,989.95,0.93,26.93,15.74,41.22,34.75,16.84,69.58,30.46,,72.88,15.03,85.49,146.24,1.22,0.13,19.99,14-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
14-Jul-2018 - 00:00,27.19,2.71,989.9,0.79,27.91,22.71,41.21,40.44,12.81,77.0,35.88,,73.54,15.13,125.38,133.92,1.37,0.16,27.03,15-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
15-Jul-2018 - 00:00,28.94,1.62,989.55,0.74,26.41,7.85,33.1,24.01,17.73,58.16,34.86,,67.24,15.54,134.42,126.56,1.33,0.12,16.41,16-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
16-Jul-2018 - 00:00,28.06,2.94,989.57,1.18,27.88,20.19,41.55,38.55,13.96,76.62,48.96,,75.01,17.18,76.64,151.95,1.14,0.13,24.1,17-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
17-Jul-2018 - 00:00,30.45,2.46,989.91,0.71,29.54,19.2,39.84,36.84,14.56,76.4,33.82,,63.67,16.38,131.74,134.84,1.1,0.09,22.34,18-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
18-Jul-2018 - 00:00,30.34,2.9,989.92,0.79,29.32,17.15,41.8,36.21,13.4,89.36,39.04,,63.62,15.27,128.21,151.79,1.17,0.16,23.31,19-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
19-Jul-2018 - 00:00,30.3,1.92,989.96,0.68,29.17,16.58,35.11,32.2,18.13,79.62,61.9,,63.71,15.62,132.78,164.76,1.09,0.12,17.98,20-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
20-Jul-2018 - 00:00,27.42,2.69,989.87,1.02,31.08,14.37,47.12,36.78,13.6,121.81,41.34,,73.78,15.66,82.94,201.97,0.46,0.0,19.75,21-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
21-Jul-2018 - 00:00,27.19,3.97,989.94,1.07,36.65,25.53,54.46,49.77,22.04,96.28,56.55,,75.4,16.72,70.17,177.79,0.57,0.02,29.13,22-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
22-Jul-2018 - 00:00,26.03,1.77,989.91,0.87,31.0,13.77,38.6,31.75,16.91,41.86,26.61,,79.03,15.54,91.03,153.23,0.79,0.07,16.49,23-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
23-Jul-2018 - 00:00,28.81,2.12,989.96,0.88,37.59,40.32,57.03,71.44,16.81,62.44,37.08,,67.26,15.09,135.47,147.97,1.37,0.19,19.33,24-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
24-Jul-2018 - 00:00,30.22,2.09,989.96,0.85,,,,,29.41,79.12,42.06,,61.67,16.67,126.21,170.08,0.71,0.08,18.46,25-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
25-Jul-2018 - 00:00,27.01,1.3,989.98,0.8,4.05,3.42,3.88,3.16,17.81,69.47,35.39,,75.11,16.74,65.9,221.04,0.87,0.06,14.36,26-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
26-Jul-2018 - 00:00,24.64,2.96,989.85,0.83,13.77,11.87,19.96,19.3,12.91,46.47,32.34,,83.27,16.9,46.31,222.74,0.61,,22.27,27-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
27-Jul-2018 - 00:00,24.37,3.58,989.45,0.94,16.67,7.66,17.32,15.46,13.8,34.62,43.96,,84.18,14.29,53.33,227.88,0.35,,29.75,28-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
28-Jul-2018 - 00:00,25.03,2.79,989.75,1.14,6.32,4.14,4.28,5.55,18.69,59.31,38.24,,80.43,15.83,85.77,220.78,0.83,0.0,21.56,29-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
29-Jul-2018 - 00:00,28.08,1.9,989.91,0.81,6.91,7.09,4.86,8.36,23.56,114.36,51.11,,70.7,14.49,137.96,213.21,0.64,,15.17,30-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
30-Jul-2018 - 00:00,27.6,1.98,989.95,1.27,7.31,7.7,4.79,8.81,26.28,118.68,45.17,,70.07,15.83,143.94,223.85,0.84,,15.04,31-Jul-2018 - 00:00,"R K Puram, Delhi - DPCC"
31-Jul-2018 - 00:00,27.71,1.53,989.99,0.71,6.77,2.91,6.13,5.34,23.87,152.14,49.97,,66.43,14.29,94.69,209.9,0.98,0.0,15.16,01-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
01-Aug-2018 - 00:00,28.25,1.9,989.98,1.04,13.94,21.11,14.99,25.19,22.91,196.6,60.84,,65.76,16.84,142.51,225.49,0.83,,16.25,02-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
02-Aug-2018 - 00:00,29.56,1.59,990.02,0.58,16.66,12.19,18.23,19.64,21.38,270.76,87.96,,56.92,16.26,139.86,228.64,1.25,,14.38,03-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
03-Aug-2018 - 00:00,29.12,1.37,990.02,0.87,15.14,8.96,18.07,16.76,20.0,256.74,70.6,,55.31,14.58,110.64,229.39,1.27,,12.86,04-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
04-Aug-2018 - 00:00,29.31,1.0,990.01,0.74,27.81,17.84,42.88,37.36,22.58,292.33,74.75,,54.52,15.47,121.6,226.48,1.05,,12.37,05-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
05-Aug-2018 - 00:00,27.13,1.0,990.02,0.89,8.81,4.7,8.77,8.46,17.22,252.19,67.88,,65.37,14.54,74.67,199.56,1.39,0.07,11.16,06-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
06-Aug-2018 - 00:00,25.26,2.55,990.01,1.15,11.48,12.52,10.5,15.8,15.4,153.02,63.79,,75.9,14.58,52.96,156.11,0.69,0.03,20.74,07-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
07-Aug-2018 - 00:00,25.84,2.19,989.83,0.97,12.67,11.05,10.99,14.85,22.44,109.38,53.97,,76.08,14.87,93.83,154.87,0.79,0.05,21.37,08-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
08-Aug-2018 - 00:00,27.41,3.08,989.99,1.42,13.17,17.9,10.95,20.41,20.54,95.05,46.87,,72.36,16.87,118.23,152.82,1.06,0.11,24.83,09-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
09-Aug-2018 - 00:00,29.57,1.96,989.97,1.06,16.97,11.8,15.44,17.62,29.06,91.92,37.3,,62.92,14.45,138.53,141.19,1.25,0.16,23.1,10-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
10-Aug-2018 - 00:00,28.37,3.14,989.89,1.69,17.05,23.36,16.09,27.61,28.76,108.68,54.08,,72.22,16.41,101.84,209.54,0.65,0.09,25.65,11-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
11-Aug-2018 - 00:00,29.56,1.28,989.99,1.24,11.87,8.92,7.5,11.27,27.43,100.45,38.45,,64.66,12.41,132.05,223.22,1.4,,14.9,12-Aug-2018 - 00:00,"R K Puram, Delhi - DPCC"
