from date,AT,BP,PM2.5,PM10,RF,RH,SR,Temp,VWS,WD,WS,Benzene,MP-Xylene,Xylene,Toluene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,,,,,0.0,,,28.76,-0.03,,,,0.0,0.31,,,,,,,,,02-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
02-Jan-2018 - 00:00,,,,,0.0,,,29.37,0.03,,,,0.14,1.01,,,,,,,,,03-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
03-Jan-2018 - 00:00,,,,,0.0,,,29.44,-0.02,,,,0.21,1.23,,,,,,,,,04-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
04-Jan-2018 - 00:00,,,,,0.0,,,29.69,-0.04,,,,0.36,1.74,,,,,,,,,05-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
05-Jan-2018 - 00:00,27.1,754.11,76.78,143.89,0.0,52.2,329.83,29.16,-0.01,172.98,2.26,1.04,0.34,1.7,5.02,0.88,24.88,2.12,44.56,,95.8,10.83,06-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
06-Jan-2018 - 00:00,25.47,754.5,77.65,129.18,0.0,66.06,337.98,29.36,-0.02,212.03,2.34,0.69,0.2,1.07,2.46,0.86,30.57,2.5,31.16,,90.08,6.17,07-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
07-Jan-2018 - 00:00,25.94,755.74,98.5,157.1,0.0,67.97,345.96,29.08,-0.0,168.44,2.13,1.06,0.22,1.11,2.73,1.19,34.15,2.09,30.61,,97.95,8.38,08-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
08-Jan-2018 - 00:00,26.21,756.91,87.2,144.15,0.0,68.69,342.98,29.28,0.03,118.94,2.64,0.7,0.13,0.84,2.24,1.11,28.43,2.43,28.69,,108.38,13.81,09-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
09-Jan-2018 - 00:00,26.82,758.68,71.56,130.9,0.0,62.45,342.44,29.17,0.03,121.58,2.85,0.68,0.12,0.83,2.12,1.07,21.96,2.18,28.13,,116.79,14.45,10-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
10-Jan-2018 - 00:00,27.65,759.2,82.88,146.94,0.0,66.99,341.2,29.4,0.01,145.91,2.48,0.82,0.13,1.0,2.44,1.26,27.16,2.78,30.11,,113.19,9.12,11-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
11-Jan-2018 - 00:00,28.6,758.07,96.62,168.23,0.0,71.79,337.69,28.82,-0.0,181.91,2.0,0.94,0.29,1.24,2.87,1.42,37.23,2.58,33.22,,105.08,7.67,12-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
12-Jan-2018 - 00:00,29.51,756.8,111.68,172.75,0.0,80.94,341.38,29.56,0.01,181.09,1.95,0.96,0.22,1.4,3.16,1.63,49.72,3.14,33.55,,81.61,1.55,13-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
13-Jan-2018 - 00:00,30.65,756.64,108.92,171.23,0.0,80.47,328.42,29.47,0.0,201.22,2.12,1.16,0.31,1.63,3.34,1.66,57.74,3.34,38.45,,65.36,8.07,14-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
14-Jan-2018 - 00:00,32.07,757.17,157.17,215.4,0.0,77.57,332.08,29.55,0.01,150.31,2.05,1.2,0.2,1.39,3.41,2.1,56.78,3.31,41.23,,75.74,16.68,15-Jan-2018 - 00:00,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
