from date,CO,PM10,WD,AT,SR,WS,RH,NO,NO2,NOx,SO2,to date,station
01-Jan-2018 - 00:00,0.7,59.71,53.05,23.24,180.54,0.63,52.49,2.4,42.06,21.75,1.17,02-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
02-Jan-2018 - 00:00,0.47,63.11,48.92,23.83,186.8,0.61,56.16,2.25,37.71,19.53,1.25,03-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
03-Jan-2018 - 00:00,0.59,62.9,51.45,23.51,149.78,0.67,64.01,2.47,44.57,23.02,1.23,04-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
04-Jan-2018 - 00:00,0.39,63.24,45.1,22.97,183.66,0.64,61.07,2.27,42.94,21.9,2.13,05-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
05-Jan-2018 - 00:00,0.62,77.31,52.43,22.09,182.47,0.66,52.17,2.39,43.59,22.49,7.28,06-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
06-Jan-2018 - 00:00,0.44,83.47,47.38,21.74,185.4,0.65,49.83,2.19,48.85,24.92,4.25,07-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
07-Jan-2018 - 00:00,0.48,83.76,58.1,21.9,180.54,0.61,49.47,2.08,35.84,18.51,1.51,08-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
08-Jan-2018 - 00:00,0.35,61.12,41.86,21.45,202.84,0.66,46.17,2.11,44.64,22.8,1.52,09-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
09-Jan-2018 - 00:00,0.37,58.93,29.46,21.87,203.2,0.67,63.46,1.95,37.54,19.21,1.18,10-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
10-Jan-2018 - 00:00,0.45,50.5,70.65,24.53,258.67,0.63,57.8,2.0,40.01,20.46,1.08,11-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
11-Jan-2018 - 00:00,0.56,48.34,64.18,24.11,204.43,0.63,62.39,2.2,39.87,20.53,1.18,12-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
12-Jan-2018 - 00:00,0.58,48.69,61.66,24.42,185.2,0.62,62.24,2.28,39.4,20.32,1.35,13-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
13-Jan-2018 - 00:00,0.5,49.13,52.47,25.04,217.69,0.64,51.35,2.46,44.36,22.86,1.54,14-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
14-Jan-2018 - 00:00,0.45,54.46,35.58,24.58,231.01,0.65,51.56,2.26,38.11,19.61,1.69,15-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
15-Jan-2018 - 00:00,0.38,53.1,27.68,24.47,241.29,0.61,51.96,2.45,37.78,19.16,2.46,16-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
16-Jan-2018 - 00:00,0.43,63.11,47.55,24.22,195.51,0.67,52.41,2.24,36.83,18.56,1.97,17-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
17-Jan-2018 - 00:00,0.41,62.47,26.8,23.25,235.56,0.62,53.74,2.33,35.05,17.79,2.72,18-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
18-Jan-2018 - 00:00,0.43,55.53,25.72,22.86,243.95,0.65,46.93,2.38,36.54,18.57,2.22,19-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
19-Jan-2018 - 00:00,0.41,51.54,24.43,21.83,240.42,0.62,45.4,2.24,38.67,19.62,1.69,20-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
20-Jan-2018 - 00:00,0.45,64.52,22.85,21.84,248.28,0.63,48.6,2.43,37.21,18.87,1.65,21-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
21-Jan-2018 - 00:00,0.36,57.77,33.47,22.21,227.92,0.68,49.35,2.15,32.5,16.57,1.28,22-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
22-Jan-2018 - 00:00,0.49,65.89,52.13,21.69,221.42,0.62,58.62,2.04,41.59,21.1,1.36,23-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
23-Jan-2018 - 00:00,0.64,77.19,152.04,22.84,190.78,0.44,62.33,2.04,44.19,22.56,1.14,24-Jan-2018 - 00:00,"Sanegurava Halli, Bengaluru - KSPCB"
