from date,PM10,PM2.5,NOx,NO2,NO,CO,CO2,Ozone,to date,station
01-Jan-2018 - 00:00,17.16,375.88,71.46,22.9,48.56,4.21,,22.06,02-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
02-Jan-2018 - 00:00,,356.17,66.45,20.47,45.98,4.2,,17.48,03-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
03-Jan-2018 - 00:00,452.41,264.92,68.13,19.25,48.88,3.6,,15.03,04-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
04-Jan-2018 - 00:00,353.14,198.83,76.85,21.95,54.9,3.55,,19.39,05-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
05-Jan-2018 - 00:00,384.3,301.34,63.33,21.53,41.8,4.0,,18.55,06-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
06-Jan-2018 - 00:00,421.83,368.15,93.6,28.73,64.88,4.28,,18.42,07-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
07-Jan-2018 - 00:00,423.72,223.47,79.01,23.79,59.11,4.43,,20.7,08-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
08-Jan-2018 - 00:00,335.66,183.86,73.35,23.29,50.06,4.24,,22.5,09-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
09-Jan-2018 - 00:00,438.48,269.98,67.32,23.08,44.24,4.36,,21.99,10-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
10-Jan-2018 - 00:00,244.07,161.07,54.23,31.44,22.79,4.26,,31.96,11-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
11-Jan-2018 - 00:00,227.17,132.47,48.1,29.54,18.56,4.21,,30.23,12-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
12-Jan-2018 - 00:00,307.95,153.14,62.73,20.09,59.05,4.18,,15.77,13-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
13-Jan-2018 - 00:00,376.89,228.14,74.74,21.25,53.49,4.39,,18.56,14-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
14-Jan-2018 - 00:00,305.19,183.81,65.78,23.82,41.96,4.43,,22.39,15-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
15-Jan-2018 - 00:00,303.86,233.07,73.31,26.06,52.81,3.12,,24.82,16-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
16-Jan-2018 - 00:00,215.79,105.12,53.36,30.43,22.93,1.76,,31.86,17-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
17-Jan-2018 - 00:00,364.37,294.32,86.85,25.21,94.71,1.97,,20.17,18-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
18-Jan-2018 - 00:00,312.18,288.68,92.04,23.02,92.49,2.17,,19.88,19-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
19-Jan-2018 - 00:00,678.76,321.92,80.33,28.31,56.78,2.34,,22.61,20-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
20-Jan-2018 - 00:00,,118.34,73.16,37.17,36.0,2.26,,28.14,21-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
21-Jan-2018 - 00:00,,129.44,75.43,23.15,52.28,2.26,,21.69,22-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
22-Jan-2018 - 00:00,,202.69,70.93,26.25,44.68,2.12,,28.01,23-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
23-Jan-2018 - 00:00,,262.59,96.03,19.26,98.3,2.18,,15.28,24-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
24-Jan-2018 - 00:00,,247.83,102.97,15.33,107.32,2.24,,9.4,25-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
25-Jan-2018 - 00:00,,165.08,69.97,16.75,53.21,2.28,,11.12,26-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
26-Jan-2018 - 00:00,,200.16,82.17,17.84,64.33,2.34,,13.38,27-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
27-Jan-2018 - 00:00,,220.15,71.45,21.08,50.36,2.38,,18.82,28-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
28-Jan-2018 - 00:00,,202.86,78.58,18.82,59.76,2.45,,14.89,29-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
29-Jan-2018 - 00:00,268.29,220.64,78.81,19.7,59.11,2.53,,16.14,30-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
30-Jan-2018 - 00:00,255.1,153.09,51.42,24.91,26.51,2.5,,23.43,31-Jan-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
31-Jan-2018 - 00:00,288.53,173.35,55.04,24.09,30.95,2.41,,21.69,01-Feb-2018 - 00:00,"NISE Gwal Pahari, Gurugram - IMD"
