from date,CH4,WD,BP,SR,NMHC,NO2,NOx,NO,CO,VWS,PM2.5,RH,WS,AT,THC,Temp,NH3,SO2,to date,station
29-Jan-2018 - 00:00,55.89,274.63,755.93,101.8,331.47,52.97,51.26,28.85,0.99,0.49,95.9,65.54,0.76,17.97,157.19,,70.05,10.81,30-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
30-Jan-2018 - 00:00,455.68,260.69,755.49,91.61,236.78,41.74,37.1,12.43,1.01,0.65,69.48,41.01,0.83,22.09,219.55,,68.12,6.92,31-Jan-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
31-Jan-2018 - 00:00,0.0,254.04,755.1,92.16,271.47,44.29,33.0,11.81,0.8,0.42,70.62,45.88,0.83,22.55,507.47,,80.89,5.7,01-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
01-Feb-2018 - 00:00,0.0,267.49,755.14,84.48,387.39,68.84,56.52,23.3,1.17,-0.05,81.46,42.42,0.76,23.81,172.11,,96.29,22.09,02-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
02-Feb-2018 - 00:00,0.0,284.27,754.4,97.66,264.7,50.65,40.01,16.67,0.83,1.18,65.58,46.74,0.77,23.49,208.67,,84.38,15.89,03-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
03-Feb-2018 - 00:00,3.48,292.67,755.53,101.04,232.71,47.09,35.41,12.95,0.84,1.9,71.96,35.76,0.79,22.26,240.97,,71.26,14.52,04-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
04-Feb-2018 - 00:00,261.83,274.27,755.71,106.78,249.81,46.68,35.11,12.85,0.87,1.97,70.46,37.62,0.81,21.19,476.3,,72.51,9.97,05-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
05-Feb-2018 - 00:00,0.0,284.52,756.74,76.08,300.54,62.93,45.63,15.19,1.03,0.85,89.76,29.87,0.77,20.84,254.56,,65.42,17.97,06-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
06-Feb-2018 - 00:00,0.0,280.25,756.66,66.49,244.48,52.9,39.11,14.46,1.27,0.24,92.08,34.91,0.83,21.42,408.35,,68.53,15.79,07-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
07-Feb-2018 - 00:00,0.0,278.07,755.34,109.66,306.31,53.19,39.67,14.22,0.74,0.35,86.43,31.7,0.81,21.32,311.87,,68.98,9.56,08-Feb-2018 - 00:00,"IHBAS, Dilshad Garden, Delhi - CPCB"
