from date,WD,RH,BP,SR,NO,NO2,Ozone,Temp,MH,WS,SO2,Benzene,Toluene,MP-Xylene,to date,station
01-Jan-2018 - 00:00,141.73,83.35,986.49,55.71,,71.67,34.16,13.52,30.77,1.25,4.91,10.38,,,02-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
02-Jan-2018 - 00:00,156.62,83.91,987.12,54.44,,72.27,33.4,11.86,80.42,1.55,2.55,8.59,,,03-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
03-Jan-2018 - 00:00,269.54,78.99,987.68,67.72,,69.22,31.96,12.42,93.96,1.78,2.07,7.87,,,04-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
04-Jan-2018 - 00:00,193.16,81.06,987.7,69.95,,88.79,33.04,11.98,5.42,1.8,6.21,8.32,,,05-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
05-Jan-2018 - 00:00,156.88,79.33,987.31,62.75,,75.19,32.42,11.54,98.18,1.49,3.07,7.18,,,06-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
06-Jan-2018 - 00:00,290.68,71.1,986.17,70.61,,90.43,36.19,13.51,0.0,1.99,4.31,10.04,,,07-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
07-Jan-2018 - 00:00,305.94,63.2,987.01,81.16,,75.61,32.78,14.16,0.0,2.99,4.86,6.6,,,08-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
08-Jan-2018 - 00:00,309.43,53.21,988.88,81.58,,85.59,37.26,15.21,0.0,2.63,6.12,7.57,,,09-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
09-Jan-2018 - 00:00,311.41,57.32,990.92,74.82,,96.17,45.73,15.39,0.0,2.44,12.69,9.28,,,10-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
10-Jan-2018 - 00:00,310.05,54.81,990.29,82.55,,83.63,33.34,16.02,0.0,3.52,6.54,6.4,,,11-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
11-Jan-2018 - 00:00,313.71,53.85,988.88,81.52,,80.01,36.81,16.24,0.0,3.84,4.9,6.51,,,12-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
12-Jan-2018 - 00:00,290.61,51.99,987.95,73.53,,96.32,36.54,17.13,0.0,2.46,7.37,7.86,,,13-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
13-Jan-2018 - 00:00,302.5,53.26,988.29,77.85,,107.9,45.96,17.24,0.0,2.28,15.65,11.33,,,14-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
14-Jan-2018 - 00:00,313.62,50.53,988.2,80.3,,93.38,38.66,17.13,0.0,2.6,10.02,8.41,,,15-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
15-Jan-2018 - 00:00,314.2,55.28,988.27,81.87,,78.65,37.42,16.51,0.0,3.63,7.53,5.68,,,16-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
16-Jan-2018 - 00:00,240.24,46.81,985.8,86.73,,81.74,45.9,17.44,27.5,2.91,6.08,6.7,,,17-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
17-Jan-2018 - 00:00,149.82,73.23,987.1,70.42,,77.33,34.89,14.6,0.0,1.83,6.42,7.53,,,18-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
18-Jan-2018 - 00:00,149.26,68.93,987.51,60.25,,123.16,42.09,17.92,31.36,0.83,9.34,11.34,,,19-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
19-Jan-2018 - 00:00,324.44,62.86,988.18,62.16,,98.5,38.43,18.27,19.09,2.68,8.61,8.53,,,20-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
20-Jan-2018 - 00:00,296.35,54.86,987.3,75.41,,81.45,38.44,16.88,0.0,3.21,7.72,6.05,,,21-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
21-Jan-2018 - 00:00,189.32,50.32,986.77,68.81,,88.55,46.02,17.23,0.0,1.17,7.49,7.12,,,22-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
22-Jan-2018 - 00:00,141.17,52.61,985.47,70.65,,100.38,39.76,17.49,0.0,1.18,10.39,5.78,,,23-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
23-Jan-2018 - 00:00,147.78,70.28,983.12,21.9,,77.65,29.91,14.46,0.0,2.84,7.39,5.79,,,24-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
24-Jan-2018 - 00:00,257.29,76.17,985.65,65.96,,57.75,32.41,14.0,0.0,2.42,5.25,4.82,,,25-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
25-Jan-2018 - 00:00,297.27,80.92,985.12,78.97,,64.73,30.19,13.76,,2.56,3.11,5.54,,,26-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
26-Jan-2018 - 00:00,197.95,85.31,986.03,72.77,,46.47,29.54,12.44,,2.36,2.23,6.95,,,27-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
27-Jan-2018 - 00:00,250.08,73.69,986.12,79.9,,59.32,37.79,13.33,,1.97,3.6,6.12,,,28-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
28-Jan-2018 - 00:00,260.68,71.92,986.81,88.35,,69.55,39.76,14.3,,2.11,3.81,6.27,,,29-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
29-Jan-2018 - 00:00,309.77,64.36,988.25,92.8,,76.7,49.48,15.82,,2.51,6.11,6.07,,,30-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
30-Jan-2018 - 00:00,315.51,50.04,987.43,93.48,,71.14,85.53,18.79,23.33,3.83,6.21,4.55,,,31-Jan-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
31-Jan-2018 - 00:00,313.05,54.64,986.43,89.79,,64.59,33.16,18.85,0.0,4.11,4.05,5.02,,,01-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
01-Feb-2018 - 00:00,307.38,50.57,986.7,87.89,,85.01,33.72,20.47,0.0,2.66,11.46,6.28,,,02-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
02-Feb-2018 - 00:00,295.92,54.83,984.88,87.61,,69.58,36.22,19.98,0.0,2.77,8.68,4.93,,,03-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
03-Feb-2018 - 00:00,228.28,46.12,987.48,92.51,,66.75,39.71,18.75,0.0,3.04,10.54,4.5,,,04-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
04-Feb-2018 - 00:00,313.24,47.72,987.92,98.48,,66.3,38.43,17.55,27.08,3.39,7.92,4.49,,,05-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
05-Feb-2018 - 00:00,299.27,41.62,990.15,66.77,,85.27,33.45,17.21,0.0,2.7,9.44,5.6,,,06-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
06-Feb-2018 - 00:00,302.28,44.72,989.94,64.27,,73.42,32.58,17.68,0.0,3.87,8.55,4.8,,,07-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
07-Feb-2018 - 00:00,317.23,43.09,986.97,101.72,,70.91,38.26,17.44,0.0,3.7,7.06,4.88,,,08-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
08-Feb-2018 - 00:00,287.25,46.49,986.13,83.56,,90.52,36.84,17.58,0.0,2.33,9.97,8.16,,,09-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
09-Feb-2018 - 00:00,261.14,47.57,986.2,97.03,,86.85,42.15,17.9,0.0,2.45,13.39,6.7,,,10-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
10-Feb-2018 - 00:00,174.62,41.64,988.53,84.49,,86.74,43.52,19.06,0.0,1.31,13.14,9.6,,,11-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
11-Feb-2018 - 00:00,145.39,42.45,987.91,76.12,,69.79,36.79,18.83,0.0,2.6,13.96,5.42,,,12-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
12-Feb-2018 - 00:00,149.89,69.37,990.07,49.79,,42.27,31.33,16.23,0.0,4.13,2.24,3.63,,,13-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
13-Feb-2018 - 00:00,236.01,72.97,994.38,90.28,,61.32,36.12,17.17,0.0,2.27,6.87,5.79,,,14-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
14-Feb-2018 - 00:00,316.76,58.1,994.01,105.27,,46.37,29.34,17.12,0.0,4.53,3.46,3.84,,,15-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
15-Feb-2018 - 00:00,320.79,60.14,991.92,98.26,,51.42,31.31,17.85,0.0,4.57,4.87,4.6,,,16-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
16-Feb-2018 - 00:00,319.55,61.73,990.54,90.81,,69.65,30.14,18.99,0.0,2.86,5.98,5.47,,,17-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
17-Feb-2018 - 00:00,312.51,58.66,985.36,93.84,,69.12,29.84,19.97,0.0,3.74,5.97,9.02,,,18-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
18-Feb-2018 - 00:00,294.93,55.45,984.6,100.52,,69.12,35.77,19.97,0.0,2.68,6.69,8.71,,,19-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
19-Feb-2018 - 00:00,311.77,46.76,986.12,95.44,,90.4,38.68,20.84,18.54,2.17,11.35,3.46,,,20-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
20-Feb-2018 - 00:00,305.85,50.02,985.7,96.75,,87.75,38.88,21.96,0.0,2.43,9.0,6.55,,,21-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
21-Feb-2018 - 00:00,219.86,48.58,983.52,90.55,,119.45,27.92,23.9,0.0,1.4,19.97,11.63,,,22-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
22-Feb-2018 - 00:00,,71.49,982.87,15.51,,,,20.34,0.0,,,,,,23-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
23-Feb-2018 - 00:00,,66.22,982.61,1.7,,75.32,62.53,22.05,0.0,,14.52,6.23,,,24-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
24-Feb-2018 - 00:00,,,,,,75.23,46.55,,0.0,,15.02,7.21,,,25-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
25-Feb-2018 - 00:00,,,,,,48.94,44.22,,0.0,,12.46,6.68,,,26-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
26-Feb-2018 - 00:00,,,,,,46.89,41.02,,0.0,,3.69,4.01,,,27-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
27-Feb-2018 - 00:00,,,,,,64.99,38.84,,0.0,,5.41,5.2,,,28-Feb-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
28-Feb-2018 - 00:00,,72.16,985.67,27.5,,64.19,48.09,21.72,20.83,,11.85,6.81,,,01-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
01-Mar-2018 - 00:00,,60.79,984.98,1.7,,68.54,44.03,22.34,0.0,,12.41,6.36,,,02-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
02-Mar-2018 - 00:00,,,,,,66.87,48.23,,0.0,,8.63,6.44,,,03-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
03-Mar-2018 - 00:00,,48.68,979.77,1.7,,56.08,40.16,24.44,0.0,,8.44,7.58,,,04-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
04-Mar-2018 - 00:00,,50.49,981.4,95.45,,51.03,36.08,24.05,0.0,,7.86,5.61,,,05-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
05-Mar-2018 - 00:00,,51.19,985.47,109.07,,52.78,40.35,23.14,23.96,,7.21,6.62,,,06-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
06-Mar-2018 - 00:00,314.25,51.45,986.14,110.99,,52.45,40.78,22.68,0.0,7.5,4.57,7.5,,,07-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
07-Mar-2018 - 00:00,313.5,48.85,985.18,114.46,,65.34,43.15,23.39,0.0,10.35,5.7,5.19,,,08-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
08-Mar-2018 - 00:00,41.48,48.43,986.15,92.99,,85.96,58.71,24.9,0.0,1.51,14.94,8.29,,,09-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
09-Mar-2018 - 00:00,,44.38,986.16,105.4,,66.71,49.87,25.54,0.0,,15.75,7.93,,,10-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
10-Mar-2018 - 00:00,322.49,43.83,985.06,116.15,,49.46,42.0,25.46,0.0,7.58,6.26,4.2,,,11-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
11-Mar-2018 - 00:00,312.0,46.24,984.12,110.25,,64.22,43.71,25.71,0.0,6.6,8.09,4.32,,,12-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
12-Mar-2018 - 00:00,262.42,48.86,984.3,102.81,,63.62,44.28,26.15,0.0,2.55,8.56,4.87,,,13-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
13-Mar-2018 - 00:00,234.22,41.6,982.51,229.84,,76.95,40.75,28.3,0.0,2.31,12.71,5.96,,,14-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
14-Mar-2018 - 00:00,153.45,35.03,980.7,187.59,,76.21,30.04,27.96,0.0,1.51,9.03,6.98,,,15-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
15-Mar-2018 - 00:00,220.56,44.01,980.88,199.49,,16.41,42.77,26.25,57.92,3.01,4.34,1.1,,,16-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
16-Mar-2018 - 00:00,257.24,44.75,982.15,204.8,,28.81,60.47,25.38,0.0,2.97,7.99,2.78,,,17-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
17-Mar-2018 - 00:00,304.3,39.44,983.37,241.25,,54.47,74.95,24.85,0.0,3.79,16.77,4.25,,,18-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
18-Mar-2018 - 00:00,301.64,37.62,984.76,242.22,,58.02,86.36,25.6,0.0,3.05,22.11,4.19,,,19-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
19-Mar-2018 - 00:00,277.41,35.71,986.09,222.17,,57.36,80.17,26.82,0.0,2.64,23.12,4.74,,,20-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
20-Mar-2018 - 00:00,191.2,38.07,983.17,205.36,,87.7,58.37,28.15,13.75,1.65,29.21,7.23,,,21-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
21-Mar-2018 - 00:00,181.72,48.28,980.94,163.73,,51.99,45.99,26.33,0.0,2.97,27.64,8.78,,,22-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
22-Mar-2018 - 00:00,220.06,52.03,981.84,182.91,,41.56,43.06,24.81,0.0,3.04,15.22,5.83,,,23-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
23-Mar-2018 - 00:00,300.09,50.07,983.11,232.32,,52.2,38.91,24.65,0.0,2.9,8.4,5.8,,,24-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
24-Mar-2018 - 00:00,304.05,47.41,985.53,229.49,,53.63,40.26,26.09,0.0,3.65,11.7,5.99,,,25-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
25-Mar-2018 - 00:00,300.42,46.3,986.71,228.88,,55.23,41.7,26.75,0.0,3.53,10.33,5.62,,,26-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
26-Mar-2018 - 00:00,308.4,41.61,985.05,229.63,,62.51,40.52,27.68,0.0,3.73,10.81,6.65,,,27-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
27-Mar-2018 - 00:00,227.69,34.07,981.61,203.88,,81.07,39.67,29.11,0.0,2.26,17.67,8.02,,,28-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
28-Mar-2018 - 00:00,257.56,32.03,980.8,233.08,,79.04,43.72,30.42,0.0,2.82,13.85,8.51,,,29-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
29-Mar-2018 - 00:00,301.38,34.63,980.15,231.61,,63.39,40.19,29.5,0.0,3.58,11.48,6.54,,,30-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
30-Mar-2018 - 00:00,280.83,34.44,977.91,256.31,,70.26,43.4,29.58,0.0,3.37,11.42,6.65,,,31-Mar-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
31-Mar-2018 - 00:00,99.84,43.94,980.6,225.85,,56.35,44.94,26.58,0.0,2.88,17.67,7.24,,,01-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
01-Apr-2018 - 00:00,102.15,43.42,982.14,230.2,,49.99,50.67,27.9,0.0,2.77,12.17,7.42,,,02-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
02-Apr-2018 - 00:00,100.66,41.22,982.51,216.73,,64.19,44.08,29.3,0.0,2.4,16.6,8.15,,,03-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
03-Apr-2018 - 00:00,118.02,39.16,981.05,207.82,,61.68,47.33,30.99,0.0,2.11,15.4,6.54,,,04-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
04-Apr-2018 - 00:00,89.46,38.4,978.67,210.56,,73.62,52.52,31.87,0.0,1.85,22.18,8.25,,,05-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
05-Apr-2018 - 00:00,162.43,39.6,977.39,207.13,,70.07,49.83,31.83,0.0,2.0,26.88,9.56,,,06-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
06-Apr-2018 - 00:00,118.41,38.28,979.32,142.26,,58.07,38.51,29.86,0.0,3.38,38.14,8.35,,,07-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
07-Apr-2018 - 00:00,114.61,46.04,981.61,244.01,,30.82,62.53,27.98,0.0,2.69,4.88,5.48,,,08-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
08-Apr-2018 - 00:00,103.0,45.73,982.24,235.1,,,,28.76,0.0,3.45,,,,,09-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
09-Apr-2018 - 00:00,124.91,55.69,983.49,156.21,,68.1,37.42,26.31,0.0,2.96,13.56,6.28,,,10-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
10-Apr-2018 - 00:00,151.56,50.45,981.61,221.64,,54.14,43.05,28.28,0.0,2.29,11.52,6.14,,,11-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
11-Apr-2018 - 00:00,95.91,55.07,981.47,183.33,,42.19,35.31,25.86,0.0,3.89,8.89,6.36,,,12-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
12-Apr-2018 - 00:00,224.9,45.41,980.72,254.65,,55.63,40.13,27.75,0.0,2.69,9.45,6.97,,,13-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
13-Apr-2018 - 00:00,237.95,27.24,981.63,275.55,,66.78,38.87,29.64,0.0,2.46,17.59,5.03,,,14-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
14-Apr-2018 - 00:00,279.21,25.82,980.44,251.7,,66.43,38.94,30.79,20.21,2.93,13.37,2.38,,,15-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
15-Apr-2018 - 00:00,254.75,27.7,979.81,244.15,,70.85,43.97,32.61,0.0,1.92,16.86,0.26,,,16-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
16-Apr-2018 - 00:00,101.01,30.75,980.2,179.77,,74.04,42.89,32.3,0.0,2.77,22.15,3.73,,,17-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
17-Apr-2018 - 00:00,199.08,28.93,981.26,237.4,,59.87,32.83,32.81,0.0,2.73,12.22,6.77,,,18-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
18-Apr-2018 - 00:00,301.26,26.15,980.44,260.42,,52.97,34.3,32.43,0.0,3.97,10.52,5.41,,,19-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
19-Apr-2018 - 00:00,292.81,26.5,977.44,304.03,,61.13,38.6,33.47,0.0,2.72,15.55,6.32,,,20-Apr-2018 - 00:00,"East Arjun Nagar, Delhi - CPCB"
