from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,SR,WD,WS,RH,to date,station
27-Jan-2018 - 00:00,68.09,161.59,5.32,19.41,58.73,81.36,12.69,1.04,17.11,5.6,7.23,5.4,12.13,279.4,220.82,1.01,93.03,28-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
28-Jan-2018 - 00:00,52.26,111.29,3.84,78.21,36.03,103.07,13.49,0.92,13.76,10.2,8.25,5.74,9.62,266.04,234.64,1.15,98.12,29-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
29-Jan-2018 - 00:00,47.12,104.77,3.4,58.31,45.72,117.7,14.26,0.94,15.69,10.67,8.38,6.32,11.47,294.85,233.94,1.07,89.02,30-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
30-Jan-2018 - 00:00,60.26,131.58,3.57,71.91,48.67,120.59,17.23,0.91,13.33,12.56,8.41,6.88,15.57,274.69,282.5,1.24,75.06,31-Jan-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
31-Jan-2018 - 00:00,57.84,136.74,3.02,72.34,53.39,141.53,16.36,0.95,13.13,12.49,8.19,6.71,16.04,268.74,279.24,1.11,64.89,01-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
01-Feb-2018 - 00:00,41.91,110.69,3.44,70.9,54.77,126.37,16.27,0.93,13.87,12.54,7.88,6.89,17.45,281.84,294.92,1.39,61.18,02-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
02-Feb-2018 - 00:00,33.6,99.86,2.44,67.08,59.47,140.91,14.95,0.82,13.14,11.74,7.31,6.14,16.48,278.19,283.46,1.36,49.06,03-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
03-Feb-2018 - 00:00,54.76,136.17,2.79,70.79,66.32,151.66,15.09,0.76,14.21,13.4,8.6,7.22,16.32,274.24,231.77,1.17,53.29,04-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
04-Feb-2018 - 00:00,50.97,133.05,2.75,58.21,71.46,143.23,14.16,0.65,14.03,11.05,7.45,5.76,15.61,275.18,271.32,1.28,51.48,05-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
05-Feb-2018 - 00:00,56.58,148.71,3.25,41.32,56.35,96.65,8.94,0.64,17.09,10.46,7.92,6.28,15.63,274.23,245.94,1.04,44.54,06-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
06-Feb-2018 - 00:00,48.51,137.02,2.82,28.33,49.11,82.1,4.71,0.62,13.77,11.82,7.82,6.55,15.78,278.76,283.32,1.34,45.43,07-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
07-Feb-2018 - 00:00,61.02,158.72,4.0,22.4,42.17,67.99,3.5,0.64,16.21,10.11,7.78,6.08,14.63,252.77,215.57,1.04,49.2,08-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
08-Feb-2018 - 00:00,66.53,158.67,3.42,19.83,50.59,73.38,4.74,0.61,14.31,11.25,8.26,6.4,15.3,273.68,187.79,1.11,56.56,09-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
09-Feb-2018 - 00:00,70.48,163.49,7.52,17.79,51.31,68.63,5.54,0.64,18.58,10.53,8.34,7.04,15.75,270.74,210.7,1.14,54.75,10-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
10-Feb-2018 - 00:00,66.49,167.08,4.31,30.16,61.0,103.61,13.29,0.63,19.44,11.42,8.22,6.96,15.85,267.62,186.25,1.31,61.7,11-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
11-Feb-2018 - 00:00,57.35,175.77,5.82,17.24,48.55,64.79,16.19,0.57,12.37,10.31,7.66,6.01,16.43,263.11,197.88,1.41,55.85,12-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
12-Feb-2018 - 00:00,47.48,83.79,2.81,12.8,34.57,60.29,14.83,0.52,12.58,8.41,6.71,4.99,14.23,231.28,144.36,2.59,90.42,13-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
13-Feb-2018 - 00:00,15.84,51.27,2.71,13.01,28.74,40.75,12.88,0.43,12.23,8.9,6.53,4.98,14.8,330.08,198.76,2.02,77.84,14-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
14-Feb-2018 - 00:00,16.03,50.55,2.64,16.24,33.52,48.76,13.44,0.54,11.97,9.28,6.59,5.09,14.78,312.01,312.64,1.9,72.96,15-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
15-Feb-2018 - 00:00,32.76,97.38,2.72,14.49,33.29,47.07,13.16,0.6,12.68,9.8,7.05,5.38,16.37,316.62,282.73,1.36,62.09,16-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
16-Feb-2018 - 00:00,66.25,182.63,4.97,19.11,29.23,55.76,13.25,1.61,12.81,10.11,7.76,6.18,16.26,246.47,281.7,1.34,69.36,17-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
17-Feb-2018 - 00:00,41.1,133.76,3.02,15.22,9.09,34.46,10.74,0.74,16.55,9.67,7.54,6.11,18.42,306.63,260.72,1.99,61.99,18-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
18-Feb-2018 - 00:00,54.26,161.75,3.09,15.39,11.65,37.71,11.03,0.73,15.92,10.01,8.05,6.21,18.18,309.9,260.35,1.13,51.96,19-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
19-Feb-2018 - 00:00,52.54,166.38,3.31,15.66,13.01,39.7,11.03,0.7,16.98,10.29,7.64,6.22,18.99,308.5,247.17,1.43,60.15,20-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
20-Feb-2018 - 00:00,69.4,205.47,3.84,16.65,13.21,40.35,10.93,0.65,12.87,11.45,8.09,6.16,20.03,310.62,248.96,1.84,57.42,21-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
21-Feb-2018 - 00:00,53.39,162.78,4.95,14.03,9.74,34.69,10.88,0.68,17.92,9.87,7.67,6.02,20.45,297.99,251.94,1.95,62.24,22-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
22-Feb-2018 - 00:00,43.74,124.36,4.79,14.77,10.26,36.67,11.63,0.61,17.04,9.72,7.5,5.86,20.47,285.09,267.49,2.16,65.83,23-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
23-Feb-2018 - 00:00,52.53,143.75,4.56,18.3,13.34,43.24,11.73,0.6,17.25,11.41,7.69,5.91,20.23,293.4,233.43,2.19,68.05,24-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
24-Feb-2018 - 00:00,28.24,85.64,4.26,16.52,11.0,38.93,11.42,0.54,17.84,10.46,7.09,5.42,19.79,292.83,159.19,2.6,66.1,25-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
26-Feb-2018 - 00:00,28.89,86.24,3.83,12.62,6.2,19.04,10.32,0.52,22.83,8.74,6.88,5.29,22.52,392.98,254.9,2.01,56.65,27-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
27-Feb-2018 - 00:00,58.96,153.94,4.09,15.74,9.88,35.71,10.58,0.56,18.44,11.45,7.71,5.83,21.67,325.87,259.17,1.81,66.19,28-Feb-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
28-Feb-2018 - 00:00,58.25,150.62,3.49,15.56,9.28,35.35,10.51,0.47,17.85,11.78,7.77,5.94,21.42,289.39,242.87,2.41,64.09,01-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
01-Mar-2018 - 00:00,45.12,122.79,3.91,16.36,9.45,35.78,10.49,0.54,16.53,12.0,7.79,6.14,20.08,255.71,194.42,2.96,66.0,02-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
02-Mar-2018 - 00:00,16.9,59.44,3.53,14.35,7.5,22.31,10.16,0.63,17.52,9.71,6.56,5.01,21.64,346.15,167.39,3.37,61.08,03-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
03-Mar-2018 - 00:00,25.23,75.83,3.52,16.15,9.03,35.35,10.16,0.65,17.97,11.06,7.15,5.67,18.89,222.87,218.67,3.19,71.38,04-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
04-Mar-2018 - 00:00,20.01,58.01,4.25,16.67,9.6,35.74,9.77,0.75,19.1,10.39,6.66,5.16,19.47,336.05,296.03,3.54,63.53,05-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
05-Mar-2018 - 00:00,26.9,74.29,3.53,12.29,6.13,26.85,8.61,0.7,23.98,10.05,6.88,5.17,20.9,335.56,285.3,2.35,59.14,06-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
06-Mar-2018 - 00:00,49.53,86.74,2.93,10.7,5.09,22.7,7.04,0.64,25.24,8.64,5.15,3.58,20.65,328.21,285.58,2.66,49.55,07-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
07-Mar-2018 - 00:00,59.04,154.04,3.79,10.95,9.49,20.44,7.06,0.68,18.98,7.23,3.17,1.82,22.03,333.96,274.79,2.16,53.49,08-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
08-Mar-2018 - 00:00,51.28,139.43,3.89,11.78,10.45,22.22,7.1,0.76,17.79,6.28,1.97,1.23,22.63,336.75,153.6,2.42,59.87,09-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
09-Mar-2018 - 00:00,27.75,101.78,3.54,11.78,9.21,27.89,7.2,0.69,18.24,5.15,1.4,0.84,22.37,351.31,267.63,2.83,52.54,10-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
10-Mar-2018 - 00:00,29.13,92.03,3.78,12.53,9.07,21.6,7.81,0.68,27.31,4.02,1.32,0.73,22.41,331.85,307.13,2.59,52.68,11-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
11-Mar-2018 - 00:00,43.12,130.92,3.83,12.69,9.54,29.84,8.0,0.64,30.87,4.92,1.44,0.87,23.41,336.2,262.06,2.36,53.84,12-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
12-Mar-2018 - 00:00,48.54,157.7,7.94,12.36,8.5,28.57,7.71,0.58,30.91,4.92,1.63,1.3,24.19,318.63,183.0,2.26,59.68,13-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
13-Mar-2018 - 00:00,53.71,155.28,3.56,11.73,8.08,19.82,8.78,0.88,29.17,5.04,1.71,1.36,25.37,338.9,138.67,2.19,58.97,14-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
14-Mar-2018 - 00:00,39.83,139.4,3.08,12.04,8.46,20.5,9.28,0.93,31.86,4.09,1.28,0.91,24.47,354.49,162.56,2.53,56.42,15-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
15-Mar-2018 - 00:00,26.66,102.08,3.8,14.99,7.04,28.65,8.37,1.3,35.09,3.47,0.98,0.66,22.74,340.15,213.43,2.62,51.98,16-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
16-Mar-2018 - 00:00,21.19,81.41,5.92,14.71,13.9,37.79,9.73,0.77,40.96,3.47,0.97,0.75,22.84,356.75,265.17,2.04,45.53,17-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
17-Mar-2018 - 00:00,30.26,96.76,1.99,13.58,14.2,27.88,9.8,0.76,37.18,3.83,1.07,0.74,23.0,349.67,283.64,2.67,40.71,18-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
18-Mar-2018 - 00:00,44.05,154.5,2.38,13.48,15.51,28.99,9.95,0.89,34.23,4.63,1.34,0.88,23.55,338.07,282.0,2.32,41.12,19-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
19-Mar-2018 - 00:00,43.4,129.51,2.63,12.01,14.46,26.47,9.21,0.84,35.33,3.64,1.3,0.8,23.36,346.83,224.75,2.67,50.15,20-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
20-Mar-2018 - 00:00,55.04,154.72,2.57,13.8,12.3,35.58,8.49,0.75,24.4,4.04,1.59,0.99,22.07,297.85,207.01,2.86,56.71,21-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
21-Mar-2018 - 00:00,21.02,76.06,2.72,13.84,4.89,22.06,5.64,0.84,29.58,4.19,2.82,1.35,19.32,343.78,205.09,2.72,70.81,22-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
22-Mar-2018 - 00:00,15.57,63.19,2.24,13.79,4.89,32.33,5.65,0.78,28.93,4.19,2.72,1.54,18.85,270.7,226.11,2.18,65.78,23-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
23-Mar-2018 - 00:00,43.23,121.93,2.6,16.52,6.64,26.28,6.7,0.97,32.03,4.16,3.07,1.65,21.33,210.57,320.98,2.85,58.96,24-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
24-Mar-2018 - 00:00,57.94,159.14,7.21,16.93,11.37,28.3,10.63,0.72,34.28,5.73,3.57,3.34,26.26,506.9,310.82,2.85,46.13,25-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
25-Mar-2018 - 00:00,57.62,140.23,1.67,18.48,13.25,31.73,13.05,0.94,37.39,3.54,3.1,2.44,25.72,438.04,302.61,2.39,49.74,26-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
26-Mar-2018 - 00:00,90.27,209.25,3.15,17.59,13.83,31.42,13.91,0.91,34.94,4.5,5.42,3.65,24.07,370.68,274.87,2.36,54.81,27-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
27-Mar-2018 - 00:00,70.68,158.46,7.25,20.05,12.92,14.3,14.39,0.42,21.82,3.39,5.16,2.74,22.27,144.2,130.58,3.27,67.2,28-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
28-Mar-2018 - 00:00,60.85,156.24,5.43,,12.49,,,1.02,,,,,,,,,,29-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
29-Mar-2018 - 00:00,40.59,132.01,1.22,,13.63,,11.58,1.05,,,,,,,,,,30-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
30-Mar-2018 - 00:00,,,5.94,,,,11.95,0.94,,,,,,,,,,31-Mar-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
31-Mar-2018 - 00:00,60.24,176.61,4.02,,6.46,,10.08,0.78,,,,,,,,,,01-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
01-Apr-2018 - 00:00,42.65,127.85,4.97,,8.85,,,0.77,,,,,,,,,,02-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
02-Apr-2018 - 00:00,34.55,131.75,3.8,,6.54,,10.07,0.74,,,,,,,,,,03-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
03-Apr-2018 - 00:00,65.87,164.22,4.32,,6.23,,7.71,0.83,,,,,,,,,,04-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
04-Apr-2018 - 00:00,57.39,177.76,5.47,,2.53,,,0.97,,,,,,,,,,05-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
05-Apr-2018 - 00:00,50.96,158.21,5.63,,16.91,,9.3,0.27,,,,,,,,,,06-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
06-Apr-2018 - 00:00,46.14,131.15,5.72,,17.59,,9.33,0.24,,,,,,,,,,07-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
07-Apr-2018 - 00:00,34.53,105.95,4.17,,17.8,,9.03,0.26,,,,,,,,,,08-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
08-Apr-2018 - 00:00,42.12,124.71,5.3,,17.46,,9.03,0.24,,,,,,,,,,09-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
09-Apr-2018 - 00:00,27.33,125.68,4.46,,11.57,,7.11,0.63,,,,,,,,,,10-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
10-Apr-2018 - 00:00,34.98,97.09,6.06,,2.54,,6.23,0.98,,,,,,,,,,11-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
11-Apr-2018 - 00:00,18.08,53.69,4.82,,4.58,,6.99,0.93,,,,,,,,,,12-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
12-Apr-2018 - 00:00,28.26,65.51,4.66,,237.27,,26.94,0.81,,,,,,,,,,13-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
13-Apr-2018 - 00:00,42.27,99.91,5.11,,25.06,,4.8,0.81,,,,,,,,,,14-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
14-Apr-2018 - 00:00,52.82,129.61,4.63,,22.42,,4.94,0.79,,,,,,,,,,15-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
15-Apr-2018 - 00:00,54.93,139.09,4.49,,21.22,,6.28,0.96,,,,,,,,,,16-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
16-Apr-2018 - 00:00,33.37,118.98,4.33,,16.23,,6.35,0.94,,,,,,,,,,17-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
17-Apr-2018 - 00:00,23.4,70.72,6.17,,16.99,,9.53,0.92,,,,,,,,,,18-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
18-Apr-2018 - 00:00,36.1,100.64,5.03,,4.88,,4.14,0.82,,,,,,,,,,19-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
19-Apr-2018 - 00:00,43.05,134.26,4.11,,9.02,,7.02,1.15,,,,,,,,,,20-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
20-Apr-2018 - 00:00,17.59,63.07,4.97,,9.46,,8.19,0.93,,,,,,,,,,21-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
21-Apr-2018 - 00:00,21.11,78.16,4.65,,8.67,,8.02,0.63,,,,,,,,,,22-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
22-Apr-2018 - 00:00,23.89,80.32,4.82,,8.81,,8.01,0.6,,,,,,,,,,23-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
23-Apr-2018 - 00:00,29.82,98.85,4.29,,8.82,,7.88,0.75,,,,,,,,,,24-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
24-Apr-2018 - 00:00,60.36,161.23,4.87,,8.63,,7.81,0.64,,,,,,,,,,25-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
25-Apr-2018 - 00:00,68.84,165.64,4.85,,9.25,,7.89,0.55,,,,,,,,,,26-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
26-Apr-2018 - 00:00,43.52,109.85,4.75,,8.67,,7.1,0.75,,,,,,,,,,27-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
27-Apr-2018 - 00:00,82.79,204.83,5.4,,10.0,,8.01,0.72,,,,,,,,,,28-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
28-Apr-2018 - 00:00,71.93,152.4,4.21,,10.58,,8.19,0.51,,,,,,,,,,29-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
29-Apr-2018 - 00:00,61.53,148.22,5.98,,10.57,,8.22,0.64,,,,,,,,,,30-Apr-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
30-Apr-2018 - 00:00,64.84,177.52,8.04,,10.64,,8.19,0.75,,,,,,,,,,01-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
01-May-2018 - 00:00,76.46,199.5,8.89,,11.04,,7.87,0.87,,,,,,,,,,02-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
02-May-2018 - 00:00,60.54,187.91,12.79,,10.23,,6.76,2.31,,,,,,,,,,03-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
03-May-2018 - 00:00,37.13,83.22,6.98,,8.35,,5.24,0.89,,,,,,,,,,04-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
04-May-2018 - 00:00,46.88,116.37,4.68,,8.23,,5.14,0.8,,,,,,,,,,05-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
05-May-2018 - 00:00,60.35,157.15,5.76,,8.23,,5.14,0.95,,,,,,,,,,06-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
06-May-2018 - 00:00,42.92,120.28,5.07,,8.22,,5.14,0.79,,,,,,,,,,07-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
07-May-2018 - 00:00,26.53,82.16,6.56,,8.25,,5.13,0.63,,,,,,,,,,08-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
08-May-2018 - 00:00,31.61,80.79,5.11,,8.21,,5.13,0.53,,,,,,,,,,09-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
09-May-2018 - 00:00,58.63,118.45,4.78,,8.25,,5.13,0.57,,,,,,,,,,10-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
10-May-2018 - 00:00,100.51,173.2,4.79,,8.25,,5.13,0.71,,,,,,,,,,11-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
11-May-2018 - 00:00,106.11,197.28,5.8,,8.24,,5.13,0.69,,,,,,,,,,12-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
12-May-2018 - 00:00,114.63,197.17,5.65,,8.25,,5.13,0.68,,,,,,,,,,13-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
13-May-2018 - 00:00,41.01,89.4,6.36,,8.23,,5.13,0.55,,,,,,,,,,14-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
14-May-2018 - 00:00,52.46,114.76,5.44,,8.21,,5.13,0.6,,,,,,,,,,15-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
15-May-2018 - 00:00,74.9,149.66,5.31,,8.23,,5.12,0.64,,,,,,,,,,16-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
16-May-2018 - 00:00,57.45,134.92,6.02,,8.27,,5.11,0.67,,,,,,,,,,17-May-2018 - 00:00,"Golden Temple, Amritsar - PPCB"
