from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene,to date,station
25-Jan-2018 - 00:00,0.57,1.62,0.9,3.6,4.78,69.57,127.92,,13.6,163.39,94.0,13.6,12.94,26.55,0.16,,12.86,0.0,0.0,0.0,0.62,0.0,26-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
26-Jan-2018 - 00:00,0.32,1.0,0.97,2.11,8.17,59.57,230.31,,13.6,217.43,121.42,16.12,13.25,29.37,0.67,,13.72,0.0,0.0,0.0,0.39,0.0,27-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
27-Jan-2018 - 00:00,0.14,1.42,0.51,1.92,7.22,63.12,250.1,,13.6,294.79,144.67,11.69,13.61,25.3,0.7,,16.48,0.0,0.0,0.0,0.37,0.0,28-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
28-Jan-2018 - 00:00,0.35,1.0,0.92,2.75,7.07,60.69,232.99,,13.6,239.15,124.8,20.98,13.31,34.29,0.91,,16.46,0.0,0.0,0.0,0.81,0.0,29-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
29-Jan-2018 - 00:00,0.42,1.04,1.18,3.19,8.91,58.99,295.7,,13.6,257.77,125.49,23.13,13.33,36.46,0.87,,15.95,0.0,0.0,0.0,0.76,0.0,30-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
30-Jan-2018 - 00:00,0.87,1.47,4.58,2.38,20.6,19.96,398.38,,13.6,211.34,101.71,12.83,12.49,25.32,0.48,0.0,16.76,0.0,0.0,0.0,1.12,0.0,31-Jan-2018 - 00:00,"Lodhi Road, Delhi - IMD"
31-Jan-2018 - 00:00,,,,,,,,,,222.46,101.42,8.7,12.33,21.03,0.52,,17.65,0.0,0.0,0.0,0.0,0.0,01-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
01-Feb-2018 - 00:00,,,,,,,,,,243.36,104.47,14.68,13.78,28.45,0.66,,20.78,0.0,0.0,0.0,0.0,0.0,02-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
02-Feb-2018 - 00:00,,,,,,,,,,242.94,93.63,20.37,14.64,32.87,0.51,,15.49,0.0,0.0,0.0,0.0,0.0,03-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
03-Feb-2018 - 00:00,,,,,,,,,,188.35,70.45,24.19,21.56,45.67,0.55,,17.48,0.0,0.0,0.0,0.0,0.0,04-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
04-Feb-2018 - 00:00,,,,,,,,,,205.47,78.3,18.86,21.79,40.65,1.16,,17.57,0.0,0.0,0.0,0.0,0.0,05-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
05-Feb-2018 - 00:00,,,,,,,,,,258.34,117.22,33.12,32.79,65.91,1.01,,21.46,0.0,0.0,0.0,0.0,0.0,06-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
06-Feb-2018 - 00:00,,,,,,,,,,226.45,95.36,18.05,40.31,58.36,1.04,,21.11,0.0,0.0,0.0,0.0,0.0,07-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
07-Feb-2018 - 00:00,,,,,,,,,,199.26,74.92,13.47,32.62,46.09,1.77,,18.22,0.0,0.0,0.0,,0.0,08-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
08-Feb-2018 - 00:00,,,,,,,,,,298.51,123.55,36.08,48.97,85.04,2.5,,16.5,0.0,0.0,0.0,,0.0,09-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
09-Feb-2018 - 00:00,,,,,,,,,,276.76,121.02,72.48,52.36,124.85,2.21,,17.51,0.0,0.0,0.0,,0.0,10-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
10-Feb-2018 - 00:00,,,,,,,,,,304.14,125.73,194.1,64.42,258.54,3.15,,18.43,0.0,0.0,0.0,,0.0,11-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
11-Feb-2018 - 00:00,,,,,,,,,,314.73,104.9,180.89,25.73,206.63,2.44,,15.9,0.0,0.0,0.0,,0.0,12-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
12-Feb-2018 - 00:00,,,,,,,,,,136.75,52.32,41.85,14.7,56.55,1.36,,14.18,0.0,0.0,0.0,,0.0,13-Feb-2018 - 00:00,"Lodhi Road, Delhi - IMD"
