from date,PM2.5,SR,RH,Temp,WS,WD,RF,PM10,CO,Ozone,Benzene,Toluene,O Xylene,NO,NO2,NH3,NOx,SO2,to date,station
23-Jan-2018 - 00:00,39.5,156.66,60.51,23.04,1.0,134.34,0.0,121.18,0.7,76.86,3.14,10.94,3.64,14.41,14.26,5.32,21.55,0.79,24-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
24-Jan-2018 - 00:00,38.64,149.88,61.4,22.9,0.8,207.72,0.0,110.53,0.69,62.82,2.71,7.36,1.68,16.04,14.27,4.33,22.78,1.06,25-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
25-Jan-2018 - 00:00,34.03,156.31,48.87,21.7,0.84,190.8,0.0,112.07,0.67,57.3,2.34,7.29,1.34,15.91,15.67,3.16,23.41,2.32,26-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
26-Jan-2018 - 00:00,34.57,133.23,48.67,21.04,0.66,155.06,0.0,103.59,0.69,53.53,2.35,6.9,1.18,17.22,2.77,2.79,16.08,3.47,27-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
27-Jan-2018 - 00:00,33.26,110.13,60.53,17.9,0.71,193.68,0.0,98.08,0.68,44.94,2.21,4.72,0.98,16.23,1.38,3.05,14.29,1.69,28-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
29-Jan-2018 - 00:00,36.95,170.19,35.03,26.19,0.89,124.88,0.0,113.62,0.67,97.52,3.42,10.78,2.69,19.52,1.56,2.23,16.06,2.7,30-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
30-Jan-2018 - 00:00,40.59,164.6,49.97,22.59,0.69,153.06,0.0,134.74,0.7,52.19,6.07,12.29,3.25,20.5,1.44,1.98,16.18,3.07,31-Jan-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
31-Jan-2018 - 00:00,35.2,157.29,45.94,23.0,0.67,185.61,0.0,120.72,0.68,46.88,5.22,11.45,2.71,21.55,1.37,2.17,16.21,1.96,01-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
01-Feb-2018 - 00:00,31.1,177.76,34.6,25.53,0.78,139.14,0.0,106.31,0.68,49.86,3.97,12.51,2.77,21.35,1.33,1.79,15.78,1.86,02-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
02-Feb-2018 - 00:00,31.37,153.16,44.6,23.17,0.72,177.31,0.0,101.73,0.71,47.34,3.53,12.85,3.36,22.02,1.2,1.68,16.52,2.38,03-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
03-Feb-2018 - 00:00,45.75,161.04,49.14,23.57,0.69,149.28,0.0,120.25,0.67,62.32,3.89,12.72,3.24,23.29,1.25,1.39,17.62,1.54,04-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
04-Feb-2018 - 00:00,38.18,153.06,50.91,24.03,0.81,144.77,0.0,281.2,0.69,70.49,3.48,11.69,3.24,24.19,0.91,1.74,16.81,2.01,05-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
05-Feb-2018 - 00:00,37.06,165.31,53.3,24.76,0.86,142.53,0.0,114.5,0.77,71.77,3.0,10.38,2.54,24.0,1.25,1.42,16.69,1.21,06-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
06-Feb-2018 - 00:00,43.25,141.1,56.27,24.99,0.64,158.49,0.0,140.04,0.76,58.71,4.75,16.52,4.03,24.92,1.18,1.23,17.36,4.7,07-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
07-Feb-2018 - 00:00,39.23,90.57,61.06,23.97,0.95,152.32,0.0,122.17,0.61,61.73,4.14,11.73,2.85,24.3,1.33,1.36,16.93,1.94,08-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
08-Feb-2018 - 00:00,35.54,162.64,53.91,25.18,0.63,155.42,0.0,109.19,0.7,58.96,3.78,14.5,5.31,23.79,1.15,1.54,16.2,1.97,09-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
09-Feb-2018 - 00:00,33.27,134.6,46.15,25.53,0.99,211.19,0.0,145.47,0.61,63.86,2.98,11.68,3.2,24.88,0.9,1.2,17.36,2.68,10-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
10-Feb-2018 - 00:00,45.24,127.18,55.11,24.29,0.69,150.55,0.0,136.27,0.73,50.11,5.18,14.06,4.27,24.79,1.03,1.17,17.31,1.6,11-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
11-Feb-2018 - 00:00,40.54,130.23,59.33,25.28,1.67,118.13,0.0,105.29,0.64,70.13,2.91,9.18,3.23,23.8,1.11,1.33,16.55,1.03,12-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
12-Feb-2018 - 00:00,34.25,99.52,58.26,26.1,1.61,110.63,0.65,125.04,0.63,65.15,13.5,19.55,19.79,9.5,6.38,6.3,13.44,1.3,13-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
13-Feb-2018 - 00:00,33.34,153.24,69.84,26.25,1.03,92.94,0.05,102.46,0.88,75.06,2.03,10.55,2.27,10.39,5.12,6.83,13.4,1.82,14-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
14-Feb-2018 - 00:00,23.01,179.87,71.33,23.74,0.95,87.21,0.0,51.03,0.93,53.84,1.27,5.55,1.38,10.44,4.91,6.78,13.37,0.63,15-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
15-Feb-2018 - 00:00,23.86,219.83,50.53,25.55,0.86,133.9,0.0,73.93,0.97,57.88,2.61,9.59,2.9,9.06,12.3,106.77,15.63,2.29,16-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
16-Feb-2018 - 00:00,26.51,198.21,58.31,23.55,0.58,204.24,0.0,106.62,0.95,38.88,3.35,15.5,4.84,6.74,36.0,0.13,24.21,1.01,17-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
17-Feb-2018 - 00:00,30.32,200.31,56.22,24.38,0.58,165.75,0.0,110.64,0.99,40.86,3.63,13.82,4.1,6.28,24.77,0.51,17.95,1.27,18-Feb-2018 - 00:00,"MIDC Khutala, Chandrapur - MPCB"
