from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,SO2,Ozone,CO,to date,station
26-Apr-2018 - 00:00,34.47,974.84,18.11,203.03,129.86,1.52,283.42,,0.0,1.27,0.82,0.92,32.84,30.39,86.4,90.03,38.17,44.29,1.49,27-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-Apr-2018 - 00:00,32.56,978.03,41.01,197.77,122.41,1.75,118.12,59.0,0.0,0.15,0.4,0.54,37.06,0.38,42.13,34.32,21.92,112.07,0.96,28-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-Apr-2018 - 00:00,33.18,977.82,40.58,197.74,120.89,1.9,82.63,54.61,0.0,0.09,0.19,,33.04,0.62,37.75,33.33,19.7,127.99,0.88,29-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
29-Apr-2018 - 00:00,32.65,974.95,44.29,200.2,135.43,1.21,73.56,51.49,0.0,0.12,0.13,,37.47,4.53,38.44,40.75,32.39,94.46,0.98,30-Apr-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
30-Apr-2018 - 00:00,32.63,973.31,41.61,218.64,135.65,1.57,95.48,46.25,0.0,0.1,0.17,,38.36,2.42,40.47,31.99,19.33,85.23,0.83,01-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-May-2018 - 00:00,30.87,976.55,52.1,218.1,123.06,2.19,60.3,42.68,0.0,0.11,0.1,,22.67,0.6,45.57,43.35,3.63,112.43,0.76,02-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-May-2018 - 00:00,29.88,978.03,53.4,217.46,120.08,2.29,73.04,40.3,0.0,0.12,0.18,,24.66,0.9,38.03,32.45,12.62,108.21,0.73,03-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-May-2018 - 00:00,28.71,978.47,50.66,176.92,131.1,2.4,98.76,28.57,0.0,0.09,0.12,,29.53,1.08,34.5,33.64,21.41,90.53,0.68,04-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-May-2018 - 00:00,30.35,978.73,51.22,245.59,107.57,1.79,91.24,33.89,0.0,0.56,1.62,0.28,26.96,1.0,35.95,39.15,22.22,104.97,0.79,05-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-May-2018 - 00:00,33.23,977.95,37.55,240.96,166.85,1.27,170.6,44.42,0.0,0.8,0.75,1.0,29.83,24.21,78.38,84.23,30.39,66.23,1.4,06-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-May-2018 - 00:00,32.18,978.58,34.44,212.78,100.71,1.79,240.11,34.04,0.0,0.65,1.1,0.67,31.77,11.99,63.19,67.8,42.0,88.15,1.07,07-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-May-2018 - 00:00,33.11,976.52,30.02,221.7,254.38,1.36,273.1,49.68,0.0,0.6,0.64,0.76,27.8,26.8,91.95,76.64,31.51,46.47,1.35,08-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-May-2018 - 00:00,30.32,977.18,35.68,239.23,272.1,2.46,100.23,32.86,0.0,0.17,0.27,0.65,22.5,5.4,38.75,39.67,20.54,109.77,0.72,09-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-May-2018 - 00:00,27.94,978.94,47.11,173.41,174.23,1.02,125.79,35.2,0.0,0.17,0.29,0.52,28.18,7.58,53.86,51.89,32.33,67.36,0.88,10-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-May-2018 - 00:00,31.1,979.7,40.41,244.56,235.75,1.27,152.58,57.3,0.0,0.16,0.5,0.88,30.27,9.12,66.05,58.67,28.76,63.71,1.15,11-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-May-2018 - 00:00,34.74,976.69,29.0,226.38,235.27,1.58,235.22,,0.0,0.29,0.65,0.69,29.83,9.52,67.32,68.44,28.21,86.39,1.31,12-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-May-2018 - 00:00,35.38,975.95,34.24,174.13,129.49,1.4,277.12,,0.0,0.19,0.65,0.59,34.6,1.76,44.72,51.52,28.33,98.45,1.35,13-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-May-2018 - 00:00,31.78,976.32,49.09,184.19,112.88,2.5,163.72,23.15,0.0,0.1,0.12,,24.01,1.39,42.53,30.35,23.62,119.6,0.8,14-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-May-2018 - 00:00,28.86,977.8,53.44,215.22,130.95,1.32,118.01,36.99,0.0,0.4,0.18,0.2,22.09,1.8,31.0,29.41,7.93,84.66,0.71,15-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
15-May-2018 - 00:00,31.66,976.35,49.28,210.59,114.47,1.46,144.64,48.6,0.0,0.13,0.44,0.93,23.67,3.1,48.94,48.86,13.63,98.6,0.99,16-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-May-2018 - 00:00,34.22,975.07,33.48,236.77,258.53,1.93,184.97,44.39,0.0,0.25,0.53,0.75,23.64,8.14,59.91,54.72,12.28,88.87,1.02,17-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-May-2018 - 00:00,35.28,975.14,24.4,217.79,246.5,1.56,341.03,,0.0,1.48,0.99,0.28,26.94,6.44,60.76,57.37,21.43,73.95,0.87,18-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-May-2018 - 00:00,34.05,975.07,29.42,215.16,138.73,1.29,224.47,46.7,0.0,0.56,0.88,0.6,27.88,16.45,71.68,70.08,21.33,72.32,1.18,19-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-May-2018 - 00:00,33.51,975.03,33.79,196.1,212.5,1.28,167.63,46.96,0.0,0.3,0.49,0.57,27.45,6.4,52.99,52.58,19.98,80.82,0.9,20-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
20-May-2018 - 00:00,34.76,976.16,24.72,211.24,232.15,1.66,148.69,47.98,0.0,0.56,0.49,0.93,25.48,18.82,76.13,70.21,22.49,62.23,1.19,21-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-May-2018 - 00:00,36.12,976.57,14.07,241.63,306.86,1.86,138.28,44.95,0.0,0.5,0.51,0.83,21.28,20.57,80.03,77.94,16.69,77.89,1.02,22-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-May-2018 - 00:00,36.89,975.48,14.93,240.36,197.09,1.44,147.96,52.0,0.0,0.58,0.64,0.69,22.49,19.93,78.51,86.56,23.33,51.32,1.1,23-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-May-2018 - 00:00,36.61,974.36,23.34,211.01,145.56,1.07,250.12,52.33,0.0,2.21,1.76,0.96,33.18,43.13,99.18,134.2,30.29,33.79,1.88,24-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
24-May-2018 - 00:00,35.2,973.64,25.36,176.89,204.74,1.13,321.54,50.6,0.0,1.44,1.34,0.71,35.49,28.94,99.76,104.68,31.31,42.27,1.56,25-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-May-2018 - 00:00,36.57,973.97,14.27,250.37,258.0,1.72,208.8,36.99,0.0,0.84,0.87,1.04,21.17,30.93,94.99,79.64,27.63,82.38,1.27,26-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-May-2018 - 00:00,37.23,972.87,14.21,244.79,252.93,1.46,251.96,38.87,0.0,0.95,1.01,0.98,24.16,23.4,92.16,86.43,31.73,70.08,1.3,27-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-May-2018 - 00:00,37.44,972.15,12.87,239.06,220.87,1.91,248.4,42.31,0.0,0.21,0.31,0.57,17.7,4.6,41.56,45.88,19.96,108.85,0.82,28-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-May-2018 - 00:00,35.67,970.86,24.07,203.41,103.32,1.1,191.62,55.17,0.0,0.34,0.53,0.67,33.24,12.91,76.51,66.44,26.07,52.21,1.33,29-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
29-May-2018 - 00:00,36.74,969.85,29.42,220.12,168.45,1.64,171.3,45.46,0.0,0.15,0.45,0.48,26.11,1.93,40.42,39.77,23.19,103.62,0.93,30-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
30-May-2018 - 00:00,33.76,971.84,41.97,189.45,136.65,2.18,229.05,45.89,0.0,0.19,0.16,,16.66,2.32,46.61,48.87,21.17,107.92,0.86,31-May-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
31-May-2018 - 00:00,35.41,973.43,39.59,208.41,130.28,1.48,197.36,46.84,0.0,0.1,0.37,0.48,21.51,1.43,36.73,34.48,12.36,98.66,0.9,01-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-Jun-2018 - 00:00,34.05,974.57,47.65,212.13,112.92,2.44,129.99,54.11,0.0,0.06,0.1,,11.31,0.85,38.52,31.46,8.28,111.78,0.81,02-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Jun-2018 - 00:00,31.37,975.25,46.04,207.65,126.58,2.05,78.6,37.13,0.0,0.06,0.1,,12.49,1.01,25.42,26.03,5.69,124.75,0.71,03-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Jun-2018 - 00:00,32.99,972.9,52.38,211.16,107.96,1.84,81.76,48.25,0.0,0.07,0.1,,14.78,0.9,32.79,28.3,6.57,104.44,0.85,04-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Jun-2018 - 00:00,35.29,972.03,46.91,192.5,122.94,2.25,115.18,52.74,0.0,0.1,,,12.8,20.3,10.3,34.48,0.1,0.74,0.12,05-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Jun-2018 - 00:00,35.66,974.32,45.64,193.06,114.28,2.09,100.74,45.97,0.0,,,,,19.3,9.32,32.07,0.11,0.9,0.1,06-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Jun-2018 - 00:00,33.06,975.94,57.45,154.83,87.54,1.73,108.42,50.83,0.0,0.1,0.19,,30.3,8.28,28.89,35.27,17.64,48.93,0.64,07-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Jun-2018 - 00:00,35.07,971.83,50.64,211.43,121.34,1.29,106.96,57.11,0.0,0.12,0.22,,18.45,1.73,36.67,34.66,11.08,103.57,0.9,08-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Jun-2018 - 00:00,35.04,969.56,53.5,141.62,132.19,1.73,120.25,47.62,0.0,0.11,0.1,,9.31,1.05,29.48,22.68,2.41,93.38,0.99,09-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Jun-2018 - 00:00,31.26,967.44,71.53,182.64,153.97,1.97,117.37,45.84,0.0,0.14,0.34,0.88,19.43,5.31,55.89,46.78,7.85,65.06,1.01,10-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Jun-2018 - 00:00,32.45,968.45,60.94,227.21,206.72,1.46,95.55,46.54,0.0,0.38,0.41,0.8,33.52,8.83,44.28,40.57,7.07,53.5,0.97,11-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-Jun-2018 - 00:00,35.35,966.49,48.17,239.54,227.23,2.54,145.88,56.17,0.0,0.3,0.47,0.86,32.01,7.44,59.73,48.48,6.25,73.94,1.05,12-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-Jun-2018 - 00:00,37.37,964.22,38.37,213.75,217.54,2.7,477.38,,0.0,0.27,0.35,0.6,27.52,6.76,41.51,34.15,11.83,58.36,0.76,13-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-Jun-2018 - 00:00,38.52,964.26,32.0,204.31,212.7,3.7,662.44,,0.0,0.17,0.28,,12.7,5.59,30.7,27.11,4.63,46.7,0.57,14-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-Jun-2018 - 00:00,37.5,966.27,30.51,186.38,205.98,3.66,569.32,,0.0,0.13,0.3,,8.58,5.71,28.47,29.27,1.9,54.56,0.7,15-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
15-Jun-2018 - 00:00,36.81,968.56,31.8,221.76,199.49,2.97,447.13,,0.0,0.12,0.26,,11.94,4.63,27.54,29.91,4.8,57.39,0.62,16-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-Jun-2018 - 00:00,35.22,970.88,43.33,193.63,137.08,2.13,349.33,,0.0,0.16,0.17,,13.3,2.93,27.93,25.91,15.1,55.37,0.71,17-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-Jun-2018 - 00:00,32.29,971.83,53.49,212.58,254.64,1.79,189.96,59.0,0.0,0.23,0.25,,19.38,2.18,27.8,25.05,10.67,73.98,0.7,18-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-Jun-2018 - 00:00,32.82,971.94,46.56,210.29,241.05,1.93,114.21,56.33,0.0,0.26,0.29,,23.93,4.39,38.82,35.91,13.14,104.68,0.87,19-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-Jun-2018 - 00:00,33.79,972.06,44.51,246.9,243.11,1.56,104.25,46.14,0.0,0.12,0.24,0.4,17.22,3.5,42.33,47.06,7.03,95.05,0.48,20-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
20-Jun-2018 - 00:00,35.94,972.6,42.39,206.62,219.27,1.66,122.28,1.0,0.0,0.2,0.24,,22.52,4.43,45.56,47.21,22.1,84.09,0.88,21-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-Jun-2018 - 00:00,36.3,972.46,38.54,208.82,241.43,1.29,129.96,0.73,0.0,0.18,0.16,,26.18,3.15,41.22,45.87,21.79,98.07,0.8,22-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-Jun-2018 - 00:00,37.2,971.41,37.22,188.78,197.07,1.04,121.5,,0.0,0.35,0.33,0.4,26.96,11.93,66.29,65.53,21.54,60.7,1.25,23-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-Jun-2018 - 00:00,37.29,970.86,36.37,194.49,225.48,1.36,162.54,,0.0,0.25,0.3,0.57,27.39,7.21,59.44,55.51,27.38,83.78,1.07,24-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
24-Jun-2018 - 00:00,37.43,970.25,36.24,215.63,231.44,1.93,119.05,9.25,0.0,0.19,0.21,0.58,22.56,4.48,47.14,47.94,22.57,91.6,0.85,25-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-Jun-2018 - 00:00,37.51,968.78,46.52,164.65,222.02,3.31,84.05,0.49,0.0,0.11,0.12,,22.24,2.76,25.82,30.36,15.29,88.67,0.72,26-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-Jun-2018 - 00:00,36.7,969.15,59.68,36.87,180.26,7.03,20.07,16.58,,0.18,1.6,,21.6,4.37,22.1,34.85,14.31,59.44,0.78,27-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-Jun-2018 - 00:00,30.66,971.06,71.89,181.44,108.15,1.88,45.54,46.8,,0.17,1.24,,36.31,1.83,13.75,23.04,14.0,71.82,0.8,28-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-Jun-2018 - 00:00,29.07,972.5,83.5,159.54,92.16,1.85,28.7,19.22,,0.34,2.73,,37.61,1.33,11.64,19.87,12.15,41.58,0.65,29-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
29-Jun-2018 - 00:00,28.87,972.15,88.43,71.95,101.21,1.26,,31.68,,0.86,9.13,,81.77,8.52,22.56,29.41,14.08,18.99,0.92,30-Jun-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
30-Jun-2018 - 00:00,31.42,972.81,73.93,216.31,116.73,1.3,,33.11,,1.1,6.61,,43.03,3.34,15.89,24.72,31.96,37.61,0.81,01-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-Jul-2018 - 00:00,32.36,971.51,70.89,188.03,200.69,2.08,,24.02,,0.63,4.55,,30.26,2.71,12.76,19.81,22.51,45.76,0.82,02-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Jul-2018 - 00:00,31.55,969.25,68.62,191.27,185.99,2.33,74.85,27.91,,0.48,3.78,,24.04,3.38,14.62,22.0,28.2,55.16,0.81,03-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Jul-2018 - 00:00,30.53,969.65,78.09,184.11,87.52,1.17,79.81,44.94,,1.23,12.79,,23.06,2.06,18.96,32.49,21.48,36.46,0.95,04-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Jul-2018 - 00:00,31.27,969.88,71.49,216.62,164.18,1.09,70.05,41.45,,1.32,10.74,,32.15,1.92,16.36,27.82,27.01,55.5,0.99,05-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Jul-2018 - 00:00,31.29,971.29,73.41,196.29,161.65,1.06,72.54,47.79,,2.22,18.82,,26.29,6.65,25.37,37.54,22.18,44.06,0.92,06-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Jul-2018 - 00:00,32.72,971.39,63.27,235.69,228.73,1.32,92.98,60.5,,2.36,22.81,,33.45,18.71,42.78,51.75,21.94,45.22,1.25,07-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Jul-2018 - 00:00,33.09,970.65,63.01,216.38,233.16,0.91,138.76,60.95,,2.73,24.94,,40.03,16.62,43.37,56.12,20.33,65.77,1.18,08-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Jul-2018 - 00:00,34.56,969.7,55.58,226.34,177.32,0.77,152.95,74.91,,2.38,23.22,,42.67,9.41,35.77,52.85,21.1,72.27,0.89,09-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Jul-2018 - 00:00,34.09,969.73,65.67,204.84,93.97,1.4,100.67,69.75,,1.18,6.79,,46.11,1.02,12.27,21.5,21.11,78.31,0.76,10-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Jul-2018 - 00:00,33.42,970.25,70.98,208.8,91.77,1.45,54.83,42.92,,0.82,5.22,,35.71,1.1,8.7,14.7,21.11,59.71,0.87,11-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-Jul-2018 - 00:00,31.23,969.76,77.58,119.96,113.44,1.24,49.71,41.67,,1.08,9.17,,28.85,1.68,13.69,23.19,10.6,49.15,0.81,12-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-Jul-2018 - 00:00,31.63,969.23,72.56,169.48,122.19,1.06,55.21,38.83,,0.91,7.95,,25.39,1.64,12.96,21.88,19.87,68.35,0.75,13-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-Jul-2018 - 00:00,28.91,970.38,86.66,144.84,119.94,1.19,47.62,26.36,,1.08,10.39,,21.72,4.04,17.26,26.21,20.88,35.79,1.03,14-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
15-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-Jul-2018 - 00:00,28.85,970.52,96.67,1.89,299.57,0.9,135.44,64.56,,5.2,95.21,,33.22,56.72,86.84,76.34,7.18,12.16,2.58,17-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-Jul-2018 - 00:00,32.39,970.55,75.6,207.08,75.88,1.07,84.1,27.15,,1.08,11.79,,36.77,4.04,16.3,24.44,16.02,31.45,0.8,18-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-Jul-2018 - 00:00,32.49,971.12,73.52,212.59,142.48,1.33,100.85,33.11,,1.52,12.68,,32.52,6.26,19.15,26.32,16.34,34.82,0.89,19-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-Jul-2018 - 00:00,31.99,970.91,76.0,181.31,132.16,1.07,89.08,21.07,,0.88,8.41,,31.57,2.3,11.12,17.33,21.48,38.39,0.82,20-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
20-Jul-2018 - 00:00,29.46,970.3,87.27,93.48,261.85,0.99,72.22,34.73,,2.35,26.11,,24.7,13.24,35.76,46.8,18.98,29.33,1.3,21-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-Jul-2018 - 00:00,29.0,970.66,90.64,80.06,167.56,0.73,68.17,41.9,,2.19,24.55,,29.96,10.9,28.7,37.18,22.32,39.86,1.04,22-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-Jul-2018 - 00:00,28.2,971.23,93.41,127.77,131.56,0.79,53.75,13.34,,0.97,10.11,,25.06,5.02,14.37,19.34,19.43,21.2,0.88,23-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-Jul-2018 - 00:00,30.55,971.02,80.52,215.42,138.69,1.24,72.33,24.44,,1.49,13.66,,28.19,11.13,19.16,18.94,16.1,33.46,0.91,24-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
24-Jul-2018 - 00:00,31.87,971.51,73.55,218.86,145.65,0.86,72.35,17.31,,1.07,10.43,,26.54,4.45,13.49,18.52,18.19,48.39,0.82,25-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-Jul-2018 - 00:00,28.76,971.07,90.47,59.92,147.18,1.23,66.19,16.51,,0.78,8.18,,21.35,3.46,10.75,14.91,18.46,25.49,0.81,26-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-Jul-2018 - 00:00,26.85,970.85,97.47,53.56,230.63,1.5,60.1,19.15,,1.77,19.47,,22.96,11.66,23.2,25.76,17.77,13.96,1.02,27-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-Jul-2018 - 00:00,26.76,969.9,96.85,61.53,254.27,1.34,52.62,14.77,,2.36,23.72,,20.27,12.05,25.7,29.8,18.92,14.61,1.05,28-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-Jul-2018 - 00:00,27.25,970.54,94.01,109.86,230.72,1.99,64.89,24.93,,1.96,18.37,,16.72,8.34,20.14,25.03,16.65,22.18,1.04,29-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
29-Jul-2018 - 00:00,29.91,971.25,83.23,224.62,218.21,1.37,103.11,33.57,,1.68,14.55,,22.15,10.33,21.62,24.77,16.02,29.56,1.05,30-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
30-Jul-2018 - 00:00,29.84,970.87,80.7,209.9,206.94,1.75,126.99,27.38,,1.15,10.04,,21.62,9.0,19.19,21.99,13.73,34.67,1.04,31-Jul-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
31-Jul-2018 - 00:00,29.66,970.14,78.91,99.03,185.06,1.79,163.51,36.86,,1.1,14.26,,17.06,5.28,20.87,31.15,15.34,30.08,1.0,01-Aug-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-Aug-2018 - 00:00,30.41,970.62,73.86,228.73,197.92,1.73,182.27,36.32,,0.94,8.89,,19.68,8.18,19.5,24.1,17.41,31.34,0.85,02-Aug-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Aug-2018 - 00:00,31.22,971.9,68.13,213.16,204.11,2.14,231.03,48.36,,0.86,9.0,,16.87,6.69,16.54,20.88,16.8,30.75,0.79,03-Aug-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Aug-2018 - 00:00,30.59,972.41,67.62,150.53,208.21,2.14,206.54,45.49,,1.01,10.47,,15.06,8.18,19.38,23.85,19.69,25.03,0.7,04-Aug-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Aug-2018 - 00:00,30.76,972.1,68.16,172.27,183.13,1.63,196.17,46.58,,0.72,7.82,,14.05,4.92,13.08,17.04,17.33,31.52,0.99,05-Aug-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Aug-2018 - 00:00,28.88,972.37,79.82,72.91,144.97,1.68,180.0,43.31,,0.86,7.72,,14.35,3.26,10.41,14.57,19.51,20.91,0.77,06-Aug-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Aug-2018 - 00:00,27.5,972.57,89.81,61.19,187.07,0.88,109.09,48.03,,1.68,21.28,,32.26,4.76,17.75,26.12,17.85,27.55,0.98,07-Aug-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Aug-2018 - 00:00,27.89,972.49,89.32,128.65,160.68,0.8,106.55,36.68,,2.21,22.45,,27.43,20.21,30.92,27.12,19.9,26.73,1.2,08-Aug-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Aug-2018 - 00:00,29.78,973.03,83.27,183.04,96.72,0.99,87.86,23.57,,1.48,15.81,,29.0,13.96,22.6,21.18,16.09,28.31,0.82,09-Aug-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Aug-2018 - 00:00,31.08,975.43,76.34,233.31,91.31,1.1,92.67,26.24,,1.11,10.64,,27.78,7.33,16.94,20.55,18.53,34.53,0.91,10-Aug-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Aug-2018 - 00:00,29.75,974.28,86.35,138.4,127.19,0.7,80.34,35.2,,1.34,14.9,,24.83,6.69,19.19,25.87,18.17,32.9,1.08,11-Aug-2018 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
