from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
28-Mar-2018 - 00:00,,,,,,,,,,,,,,29-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Mar-2018 - 00:00,,,,,,,,,,,,,,30-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Mar-2018 - 00:00,,,,,,,,,,,,,,31-Mar-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-Apr-2018 - 00:00,,,,,,,,,,,,,,03-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-Apr-2018 - 00:00,,,,,,,,,,,,,,05-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-Apr-2018 - 00:00,,,,,,,,,,,,,,06-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-Apr-2018 - 00:00,,,,,,,,,,,,,,07-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-Apr-2018 - 00:00,,,,,,,,,,,,,,08-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-Apr-2018 - 00:00,,,,,,,,,,,,,,10-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
10-Apr-2018 - 00:00,,,,,,,,,,,,,,11-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
11-Apr-2018 - 00:00,,,,,,,,,,,,,,12-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
12-Apr-2018 - 00:00,,,,,,,,,,,,,,13-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
13-Apr-2018 - 00:00,,,,,,,,,,,,,,14-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,15-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
16-Apr-2018 - 00:00,,,,,,,,,,,,,,17-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
17-Apr-2018 - 00:00,,,,,,,,,,,,,,18-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
18-Apr-2018 - 00:00,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
19-Apr-2018 - 00:00,,,,,,,,,,,,,,20-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
20-Apr-2018 - 00:00,,,,,,,,,,,,,,21-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
21-Apr-2018 - 00:00,,,,,,,,,,,,,,22-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
22-Apr-2018 - 00:00,,,,,,,,,,,,,,23-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
23-Apr-2018 - 00:00,,,,,,,,,,,,,,24-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
24-Apr-2018 - 00:00,,,,,,,,,,,,,,25-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
25-Apr-2018 - 00:00,,,,,,,,,,,,,,26-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
26-Apr-2018 - 00:00,,,,,,,,,,,,,,27-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
27-Apr-2018 - 00:00,,,,,,,,,,,,,,28-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
28-Apr-2018 - 00:00,,,,,,,,,,,,,,29-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
29-Apr-2018 - 00:00,,,,,,,,,,,,,,30-Apr-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
30-Apr-2018 - 00:00,,,,,,,,,,,,,,01-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
01-May-2018 - 00:00,,,,,,,,,,,,,,02-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
02-May-2018 - 00:00,,,,,,,,,,,,,,03-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
03-May-2018 - 00:00,,,,,,,,,,,,,,04-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
04-May-2018 - 00:00,,,,,,,,,,,,,,05-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
05-May-2018 - 00:00,,,,,,,,,,,,,,06-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
06-May-2018 - 00:00,,,,,,,,,,,,,,07-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
07-May-2018 - 00:00,,,,,,,,,,,,,,08-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
08-May-2018 - 00:00,,,,,,,,,,,,,,09-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
09-May-2018 - 00:00,,,,,,,,,,,,,,10-May-2018 - 00:00,"Sector-2 IMT, Manesar - HSPCB"
