from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
01-Feb-2018 - 00:00,23.61,990.93,359.44,173.48,43.8,182.1,220.56,1.59,0.0,,,,71.84,9.28,31.35,22.41,1.07,,14.02,02-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
02-Feb-2018 - 00:00,19.78,989.63,277.71,135.54,57.79,122.45,198.17,1.42,0.0,,,,72.47,8.7,28.9,19.27,0.73,,12.43,03-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
03-Feb-2018 - 00:00,18.59,992.31,248.42,110.83,46.89,129.16,139.14,1.44,4.14,,,,64.32,5.79,25.69,19.65,0.66,,13.18,04-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
04-Feb-2018 - 00:00,17.51,992.6,276.71,147.08,48.38,134.23,261.74,2.0,4.14,,,,65.65,5.18,25.33,20.71,0.76,2.61,12.18,05-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
05-Feb-2018 - 00:00,16.85,994.67,322.04,173.5,42.48,85.27,218.62,1.17,471.66,0.92,2.17,,42.73,10.08,37.56,28.01,0.79,30.21,8.39,06-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
06-Feb-2018 - 00:00,17.62,993.44,282.12,138.29,45.35,89.06,289.54,2.37,0.0,1.04,1.67,0.17,30.73,7.71,28.35,22.02,0.67,33.39,4.57,07-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
07-Feb-2018 - 00:00,17.47,991.68,280.12,144.0,42.88,136.02,243.22,2.0,0.04,0.39,1.17,0.21,57.16,5.4,26.74,21.04,0.81,44.07,10.97,08-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
08-Feb-2018 - 00:00,15.99,990.93,391.96,225.46,56.56,113.93,136.04,1.01,0.01,0.58,1.2,0.27,62.72,23.97,56.97,40.33,1.46,28.74,10.13,09-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
09-Feb-2018 - 00:00,16.5,990.97,355.38,202.79,55.42,127.53,164.06,1.15,0.0,0.51,1.08,0.24,64.85,16.09,42.17,26.33,1.12,31.32,13.16,10-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
10-Feb-2018 - 00:00,16.23,993.67,456.82,247.59,56.31,115.18,155.4,0.57,0.0,0.79,1.42,1.36,34.12,22.05,61.38,99.18,2.48,23.74,6.66,11-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
11-Feb-2018 - 00:00,17.89,,322.67,157.67,47.06,98.9,179.84,0.97,0.0,0.38,1.17,0.31,52.42,18.91,41.58,31.79,0.71,29.45,10.19,12-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
12-Feb-2018 - 00:00,16.49,997.07,149.88,69.21,71.61,58.12,182.56,1.52,0.0,0.15,0.69,0.11,47.64,2.8,23.03,12.56,0.51,36.73,8.58,13-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
13-Feb-2018 - 00:00,16.73,998.52,199.98,134.42,78.22,148.84,132.31,1.28,0.0,0.42,0.76,0.18,45.73,14.83,36.89,24.89,0.77,36.6,6.81,14-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
14-Feb-2018 - 00:00,17.51,998.59,174.26,80.62,59.16,274.78,235.92,1.82,0.0,0.13,0.98,0.13,47.91,4.08,21.53,16.41,0.7,28.13,7.11,15-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
15-Feb-2018 - 00:00,18.39,996.75,203.28,111.17,60.55,179.97,262.67,1.86,0.0,0.1,0.94,0.14,54.33,2.7,20.87,18.05,0.81,33.52,8.08,16-Feb-2018 - 00:00,"Vivek Vihar, Delhi - DPCC"
