from date,BP,PM2.5,RH,SR,Temp,VWS,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NO,NOx,NO2,SO2,Ozone,to date,station
01-Jan-2018 - 00:00,738.0,183.8,90.0,209.0,14.64,-0.24,209.59,0.42,0.0,0.0,0.0,0.0,0.0,1.02,5.71,24.71,29.4,7.84,7.79,02-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
02-Jan-2018 - 00:00,,,84.47,69.18,,0.02,,,,,,,,0.92,,21.9,21.68,9.66,,03-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
03-Jan-2018 - 00:00,,149.44,,,,,264.58,0.88,0.0,0.0,3.89,0.0,1.65,0.6,7.37,17.44,19.99,7.94,36.85,04-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
04-Jan-2018 - 00:00,736.41,145.49,89.44,108.23,13.95,-0.19,212.36,0.68,0.0,0.0,0.07,0.0,0.32,0.72,8.48,24.03,22.96,7.88,12.75,05-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
05-Jan-2018 - 00:00,735.62,158.91,88.6,62.5,13.22,0.1,168.39,0.57,0.0,0.0,0.0,0.0,0.0,0.73,7.69,20.91,20.44,5.31,11.88,06-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
06-Jan-2018 - 00:00,735.62,114.19,80.37,82.76,13.24,0.02,186.57,0.64,0.0,0.0,0.0,0.0,0.0,0.73,6.74,17.6,19.48,5.63,17.38,07-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
07-Jan-2018 - 00:00,734.93,82.78,67.49,82.87,15.22,-0.48,189.67,0.51,0.0,0.0,0.0,0.0,0.0,0.54,6.73,17.65,19.53,4.94,48.06,08-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
08-Jan-2018 - 00:00,734.68,80.02,65.58,83.0,15.08,-0.1,179.8,0.59,0.66,0.35,0.0,0.11,0.0,0.63,7.43,18.79,21.84,5.63,46.11,09-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
09-Jan-2018 - 00:00,734.97,94.91,70.72,82.68,15.43,-0.08,145.64,0.68,0.13,0.12,0.0,0.04,0.0,0.51,6.89,20.62,26.37,14.52,46.08,10-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
10-Jan-2018 - 00:00,734.91,100.91,68.99,81.45,15.81,-0.38,183.06,0.63,0.0,0.0,0.0,0.0,0.0,0.88,5.99,21.63,28.57,7.23,48.3,11-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
11-Jan-2018 - 00:00,734.66,90.06,62.07,87.52,17.08,-0.47,162.88,0.54,0.0,0.0,0.0,0.0,0.0,0.66,6.0,21.54,28.44,6.25,49.99,12-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
12-Jan-2018 - 00:00,734.55,98.9,57.73,90.75,17.92,-0.12,189.51,0.55,0.42,0.4,0.0,0.13,0.0,0.65,7.29,22.11,26.31,8.12,31.18,13-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
13-Jan-2018 - 00:00,734.65,98.34,61.66,81.49,16.5,-0.33,158.33,0.63,0.0,0.0,0.0,0.0,0.0,0.75,8.37,22.38,24.66,7.19,50.04,14-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
14-Jan-2018 - 00:00,734.49,90.2,61.98,80.43,16.63,-0.36,166.04,0.55,0.0,0.0,0.0,0.0,0.0,0.71,8.35,22.55,24.66,6.48,46.11,15-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
15-Jan-2018 - 00:00,734.76,103.49,65.17,80.05,16.12,-0.47,197.93,0.57,0.0,0.0,0.83,0.0,1.65,0.75,6.95,20.04,23.21,8.78,53.96,16-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
16-Jan-2018 - 00:00,735.05,129.01,71.63,80.51,16.41,-0.05,133.77,0.66,0.0,0.0,1.52,0.0,2.98,0.72,5.63,17.95,21.95,8.58,40.3,17-Jan-2018 - 00:00,"Sector-6, Panchkula - HSPCB "
