from date,AT,Benzene,BP,CO,NO,NO2,NOx,Ozone,PM2.5,RF,RH,SO2,SR,Toluene,VWS,WD,WS,Xylene,to date,station
24-Jan-2018 - 00:00,14.94,7.73,746.84,1.66,17.91,30.34,31.36,5.2,93.7,0.0,53.53,8.65,37.01,9.96,0.0,251.53,0.61,237.81,25-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
25-Jan-2018 - 00:00,15.02,3.2,747.0,0.87,11.75,29.1,25.56,20.72,75.04,0.0,54.6,5.47,43.17,0.0,0.0,290.19,1.34,295.19,26-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
26-Jan-2018 - 00:00,12.52,1.84,747.0,0.51,8.59,27.97,22.32,22.31,54.71,0.0,60.7,6.31,45.21,9.49,0.0,282.49,1.18,171.96,27-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
27-Jan-2018 - 00:00,14.4,0.29,747.0,0.96,11.42,26.68,23.98,23.54,72.01,0.0,53.21,6.22,46.49,0.38,0.0,217.78,1.39,33.07,28-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
28-Jan-2018 - 00:00,14.43,0.27,747.0,0.99,11.77,27.49,24.71,20.53,97.94,0.0,50.92,6.67,45.54,0.29,-0.0,194.73,0.99,29.75,29-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
29-Jan-2018 - 00:00,14.39,0.33,747.07,1.07,13.86,28.96,27.24,16.83,103.31,0.0,52.01,5.45,45.07,0.38,0.0,75.72,1.16,32.26,30-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
30-Jan-2018 - 00:00,15.5,0.28,747.0,0.87,14.51,26.69,26.57,21.65,91.43,0.0,50.12,6.16,41.92,0.31,0.0,153.2,1.72,26.16,31-Jan-2018 - 00:00,"Collectorate, Gaya - BSPCB"
31-Jan-2018 - 00:00,16.64,4.91,747.0,1.1,12.13,25.03,23.67,34.02,65.65,0.0,51.65,6.64,49.75,11.5,-0.0,320.74,1.54,45.03,01-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
01-Feb-2018 - 00:00,15.46,11.09,747.0,1.55,31.12,77.68,67.99,53.54,94.44,0.0,56.36,1.96,45.67,23.3,0.0,325.35,1.27,16.23,02-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
02-Feb-2018 - 00:00,17.76,18.2,747.0,2.85,94.25,156.23,162.98,73.28,109.81,0.0,53.12,5.96,47.85,54.47,0.0,332.81,1.0,39.53,03-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
03-Feb-2018 - 00:00,19.57,15.23,747.0,2.28,56.17,113.79,108.45,73.47,106.11,0.0,49.79,4.13,46.72,47.02,0.0,203.0,0.66,34.28,04-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
04-Feb-2018 - 00:00,19.57,13.0,747.0,1.72,46.22,105.99,95.95,67.24,103.51,0.0,52.26,2.68,46.8,32.73,0.0,290.67,0.9,22.42,05-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
05-Feb-2018 - 00:00,18.85,24.02,747.32,1.68,62.56,119.64,116.07,56.98,100.87,0.0,48.85,4.27,49.59,88.55,0.0,318.5,0.94,66.44,06-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
06-Feb-2018 - 00:00,19.03,29.54,747.18,1.45,30.06,121.2,90.8,74.09,121.36,0.0,44.98,2.64,49.12,115.06,0.0,313.82,1.63,76.01,07-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
07-Feb-2018 - 00:00,20.14,21.38,747.0,1.47,25.24,132.19,100.34,105.92,102.85,0.0,37.14,1.16,40.54,92.44,0.0,308.62,1.94,60.94,08-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
08-Feb-2018 - 00:00,18.8,26.15,747.0,1.34,26.95,72.16,61.57,95.29,96.74,0.0,38.58,3.07,51.31,103.79,0.0,216.11,1.65,77.98,09-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
09-Feb-2018 - 00:00,18.42,32.58,747.0,1.82,43.32,78.87,78.8,79.89,100.38,0.0,40.5,5.1,41.82,122.65,-0.0,52.21,1.12,90.8,10-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
10-Feb-2018 - 00:00,17.66,32.92,747.19,1.32,49.54,76.06,82.66,97.13,117.21,0.0,40.3,9.71,38.74,113.59,0.0,51.51,1.23,98.77,11-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
11-Feb-2018 - 00:00,19.24,30.45,747.48,1.26,18.82,62.75,49.6,110.11,99.57,0.0,41.19,10.02,50.86,102.63,0.0,161.6,0.73,71.09,12-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
12-Feb-2018 - 00:00,15.1,36.93,747.93,2.14,29.09,52.69,52.77,68.76,90.88,0.0,61.04,8.84,17.59,120.09,0.0,286.5,0.88,83.76,13-Feb-2018 - 00:00,"Collectorate, Gaya - BSPCB"
