from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,BP,PM2.5,PM10,RF,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,4.21,1.57,3.36,1.59,0.67,744.88,167.41,307.16,0.0,204.01,12.74,131.1,0.33,1.8,56.03,30.36,47.13,77.5,26.85,7.98,02-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
02-Jan-2018 - 00:00,4.67,2.09,2.93,1.36,0.66,744.88,186.72,328.01,0.0,204.57,11.21,129.36,0.31,1.79,53.07,29.79,42.46,72.25,23.41,8.14,03-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
03-Jan-2018 - 00:00,5.23,2.6,3.29,1.56,0.68,744.88,153.45,268.0,0.0,234.97,9.66,132.65,0.37,1.97,53.97,27.37,42.13,69.51,20.83,9.13,04-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
04-Jan-2018 - 00:00,3.11,1.96,2.23,1.01,0.44,744.88,110.18,213.14,0.0,214.68,11.96,149.47,0.34,1.28,44.92,19.71,44.37,64.08,33.7,16.12,05-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
05-Jan-2018 - 00:00,3.87,0.93,1.41,0.64,0.46,744.88,123.2,212.19,0.0,242.68,11.49,148.68,0.47,1.48,38.86,7.44,32.98,40.41,28.27,8.5,06-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
06-Jan-2018 - 00:00,3.78,0.69,0.6,0.25,0.54,744.88,135.73,257.77,0.0,220.91,2.99,123.26,0.38,1.49,51.2,22.81,42.96,65.77,31.84,10.04,07-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
07-Jan-2018 - 00:00,2.6,0.0,0.0,0.0,0.45,744.88,97.22,198.24,0.0,231.85,0.0,154.55,0.41,1.12,42.55,21.82,43.97,65.79,37.23,10.67,08-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
08-Jan-2018 - 00:00,3.1,0.72,2.11,1.01,0.57,744.88,102.31,222.5,0.0,218.34,7.72,167.99,0.4,1.44,53.46,32.67,54.32,86.99,47.31,12.71,09-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
09-Jan-2018 - 00:00,2.9,1.16,3.25,1.51,0.57,744.88,74.7,210.95,0.0,217.83,13.48,176.3,0.33,1.34,48.71,27.46,53.65,81.11,32.81,16.09,10-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
10-Jan-2018 - 00:00,2.92,1.54,3.62,1.69,0.62,744.88,100.82,247.86,0.0,226.19,14.81,202.15,0.31,1.51,56.77,40.25,53.94,94.19,33.54,22.18,11-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
11-Jan-2018 - 00:00,3.52,1.8,3.9,1.83,0.92,744.88,77.92,206.28,0.0,235.4,15.6,197.83,0.39,1.66,51.31,37.81,52.15,89.96,29.27,12.01,12-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
12-Jan-2018 - 00:00,3.06,1.49,3.37,1.58,0.61,744.88,95.75,232.69,0.0,223.01,16.16,191.43,0.37,1.24,44.36,26.37,48.91,75.28,25.67,12.75,13-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
13-Jan-2018 - 00:00,2.74,0.47,1.35,0.63,0.49,744.88,97.87,151.73,0.0,223.68,4.99,154.58,0.4,1.18,55.7,29.67,48.05,77.72,32.52,13.52,14-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
14-Jan-2018 - 00:00,2.36,1.13,2.03,0.92,0.49,744.88,91.26,292.96,0.0,225.93,13.18,169.0,0.35,0.9,78.15,28.43,58.97,87.4,25.57,25.47,15-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
15-Jan-2018 - 00:00,2.62,1.36,3.34,1.55,0.59,744.88,90.96,280.73,0.0,230.55,15.76,172.97,0.37,1.65,78.67,40.61,62.03,102.63,30.77,21.0,16-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
16-Jan-2018 - 00:00,2.83,1.27,3.41,1.61,0.62,744.88,102.49,274.9,0.0,222.47,15.81,193.31,0.34,1.27,66.25,28.99,53.33,82.32,31.57,17.59,17-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
17-Jan-2018 - 00:00,3.0,1.8,3.52,1.67,0.66,744.88,103.79,259.62,0.0,225.27,15.22,202.69,0.33,1.46,50.97,29.37,50.95,80.28,30.63,10.63,18-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
18-Jan-2018 - 00:00,3.93,1.75,4.36,2.2,0.74,744.88,142.93,333.29,0.0,234.41,17.1,173.09,0.32,1.65,69.09,39.54,50.59,90.14,29.01,14.85,19-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
19-Jan-2018 - 00:00,2.47,0.98,2.16,0.99,0.4,744.88,92.27,190.44,0.0,218.08,17.8,128.21,0.51,1.0,54.71,20.79,44.15,64.95,41.3,13.0,20-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
20-Jan-2018 - 00:00,1.84,1.0,1.47,0.62,0.26,744.88,99.95,99.3,0.0,243.41,16.9,132.0,0.64,0.75,43.53,10.33,45.15,55.48,61.31,12.82,21-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
21-Jan-2018 - 00:00,1.41,1.41,1.47,0.7,0.23,744.87,104.29,,0.0,324.34,17.65,194.37,0.47,1.38,53.7,48.68,50.67,99.35,56.97,16.2,22-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
22-Jan-2018 - 00:00,2.34,1.69,2.38,1.14,0.4,744.88,113.92,,0.0,238.52,15.43,152.06,0.39,1.63,63.0,50.46,52.01,102.47,41.91,15.93,23-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
23-Jan-2018 - 00:00,2.42,1.08,2.16,1.01,0.36,744.88,144.94,,0.01,235.76,15.23,141.81,0.37,1.04,55.8,26.9,43.3,69.64,30.72,12.99,24-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
24-Jan-2018 - 00:00,0.88,0.15,0.43,0.18,0.08,744.88,76.22,,0.01,286.69,12.41,71.43,0.85,0.64,36.84,10.33,27.01,37.34,28.49,10.08,25-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
25-Jan-2018 - 00:00,0.0,0.0,0.0,0.01,0.0,744.88,59.68,,0.0,251.77,12.99,124.14,0.43,1.02,47.23,31.87,38.49,69.73,26.97,7.81,26-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
26-Jan-2018 - 00:00,2.84,1.99,3.94,2.01,2.35,744.88,53.05,,0.0,236.33,14.7,111.6,0.62,0.81,37.05,18.79,35.12,53.91,33.1,9.52,27-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
27-Jan-2018 - 00:00,2.56,1.33,2.25,1.14,2.19,744.88,80.29,,0.0,245.33,12.95,126.79,0.44,1.71,43.17,28.58,40.84,69.42,26.84,7.92,28-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
28-Jan-2018 - 00:00,2.57,1.37,2.33,1.19,22.8,744.88,9.56,,0.0,239.46,14.99,153.5,0.45,1.29,32.91,19.6,40.46,60.06,36.67,9.11,29-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
29-Jan-2018 - 00:00,2.18,0.91,1.64,0.82,1.3,744.88,7.82,,0.0,233.57,16.08,135.22,0.41,1.22,33.25,47.78,54.2,101.31,34.72,9.32,30-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
30-Jan-2018 - 00:00,1.55,0.8,1.75,0.86,0.0,744.88,36.96,,0.0,243.59,19.84,204.52,0.43,1.59,33.03,61.76,68.23,129.99,40.85,12.92,31-Jan-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
31-Jan-2018 - 00:00,2.17,2.5,3.27,1.61,0.55,744.88,59.36,,0.0,226.99,20.9,221.05,0.74,0.78,15.44,9.18,38.53,47.72,67.18,9.55,01-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
01-Feb-2018 - 00:00,0.93,0.92,1.53,0.79,7.72,744.88,76.53,,0.0,247.94,19.81,176.23,0.5,1.42,28.52,31.19,61.4,92.6,36.66,12.29,02-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
02-Feb-2018 - 00:00,1.32,1.21,2.12,1.04,0.0,744.88,80.84,,0.0,300.1,18.06,66.15,0.46,0.86,23.21,9.18,47.75,51.71,42.36,10.07,03-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
03-Feb-2018 - 00:00,0.69,0.97,1.52,0.8,0.0,744.88,47.67,,0.0,325.74,19.58,21.02,1.13,0.54,10.42,2.91,26.25,29.17,92.71,16.78,04-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
04-Feb-2018 - 00:00,1.58,1.9,3.0,1.58,,744.88,61.66,,0.0,268.0,18.01,129.51,0.92,1.26,17.02,32.54,64.83,97.37,63.62,17.38,05-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
05-Feb-2018 - 00:00,3.14,2.69,4.42,2.26,3.81,744.88,90.67,,0.0,158.09,12.36,158.28,0.19,1.57,28.25,60.89,87.71,148.59,18.46,10.5,06-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
06-Feb-2018 - 00:00,,2.49,4.13,2.04,,744.88,74.19,,0.0,241.14,18.71,123.23,0.97,0.93,24.72,19.48,59.15,78.15,54.57,28.49,07-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
07-Feb-2018 - 00:00,,,,,,744.88,25.94,,0.0,364.14,19.51,92.74,1.03,0.61,20.2,3.88,35.85,39.69,66.55,13.01,08-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
08-Feb-2018 - 00:00,0.21,0.22,0.37,0.2,0.34,744.88,38.45,141.93,0.0,355.32,18.64,129.95,0.47,0.93,37.39,16.88,61.66,44.9,63.27,19.82,09-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
09-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,744.89,48.94,72.78,0.0,419.87,20.87,134.77,0.63,0.89,21.64,17.04,35.48,52.49,72.34,23.52,10-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
10-Feb-2018 - 00:00,,,,,,744.89,58.73,86.41,0.0,437.0,20.68,150.92,0.71,0.68,30.42,6.45,13.51,19.55,97.46,21.33,11-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
11-Feb-2018 - 00:00,,,,,,744.88,47.42,89.66,0.0,101.39,15.72,251.43,0.47,0.67,36.47,10.78,15.78,26.56,48.49,5.08,12-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
12-Feb-2018 - 00:00,0.0,0.02,0.04,0.02,0.0,744.88,26.35,49.96,0.0,189.68,14.18,140.46,0.47,0.55,31.29,12.53,9.54,22.31,38.62,4.91,13-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
13-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,744.88,47.3,80.62,0.0,155.87,18.28,146.42,0.71,0.68,24.18,11.33,22.47,33.47,56.62,10.79,14-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
14-Feb-2018 - 00:00,,,,,,744.88,40.85,63.17,0.0,244.26,16.12,213.47,0.57,0.59,18.26,16.13,22.54,38.67,56.12,7.01,15-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
15-Feb-2018 - 00:00,,,0.0,0.0,,744.88,48.63,102.81,0.0,267.14,16.38,156.8,0.64,0.86,15.54,11.75,20.75,65.07,38.02,7.32,16-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
16-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,17-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
20-Feb-2018 - 00:00,1.9,0.47,1.26,0.53,0.47,744.92,40.31,84.23,0.0,508.52,26.54,130.08,0.58,0.31,17.29,8.99,24.38,33.37,96.24,12.73,21-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
21-Feb-2018 - 00:00,2.9,2.06,1.35,1.3,0.28,744.91,55.32,127.31,0.0,409.92,26.56,190.6,0.69,1.0,37.64,31.48,60.72,92.2,58.19,14.23,22-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
22-Feb-2018 - 00:00,1.16,0.62,0.56,0.76,0.07,744.91,66.43,166.8,0.0,488.72,25.01,181.25,0.67,0.78,38.04,13.63,45.66,59.29,62.72,14.69,23-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
27-Feb-2018 - 00:00,,,,,,,45.03,159.19,,,,,,0.63,17.99,,13.25,,,,28-Feb-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
28-Feb-2018 - 00:00,,,,,,,47.71,125.34,,,,,,0.59,,,15.58,,,11.24,01-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
01-Mar-2018 - 00:00,,,,,,,75.96,146.06,,,,,,0.93,28.99,,42.13,,,,02-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
02-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,03-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
03-Mar-2018 - 00:00,,,,,,,39.98,140.95,,,,,,0.49,,,13.94,,,4.11,04-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
04-Mar-2018 - 00:00,,,,,,,52.54,131.65,,,,,,0.64,,,24.41,,,23.45,05-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
05-Mar-2018 - 00:00,,,,,,,32.89,107.39,,,,,,0.58,25.01,,28.92,,,,06-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
06-Mar-2018 - 00:00,,,,,,,38.65,88.18,,,,,,0.58,21.48,,,,,8.05,07-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
07-Mar-2018 - 00:00,1.32,0.49,1.84,0.73,0.56,744.92,45.26,107.38,0.0,776.82,26.45,97.33,1.01,0.97,22.7,9.77,54.06,26.96,115.13,15.87,08-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
08-Mar-2018 - 00:00,,,,,,,56.93,111.34,,,,,,1.09,23.56,,33.97,,,11.86,09-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
09-Mar-2018 - 00:00,,,,,,,83.72,127.33,,,,,,1.1,,,23.32,,,9.72,10-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
10-Mar-2018 - 00:00,,,,,,,32.79,82.21,,,,,,1.45,,,14.32,,,19.26,11-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
11-Mar-2018 - 00:00,,,,,,,36.16,86.3,,,,,,0.76,1.37,,15.21,,,,12-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
12-Mar-2018 - 00:00,,,,,,,30.2,88.53,,,,,,1.02,5.9,,15.3,,,,13-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
13-Mar-2018 - 00:00,,,,,,,41.74,100.71,,,,,,1.16,,,18.19,,,9.06,14-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
14-Mar-2018 - 00:00,,,,,,,65.15,140.54,,,,,,0.93,1.5,,19.3,,,8.34,15-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
15-Mar-2018 - 00:00,,,,,,,37.96,71.2,,,,,,0.87,0.42,,11.54,,,4.95,16-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
16-Mar-2018 - 00:00,,,,,,,42.1,80.69,,,,,,0.6,0.56,,11.53,,,8.0,17-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
17-Mar-2018 - 00:00,,,,,,,31.08,77.44,,,,,,0.45,0.45,,9.56,,,6.88,18-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
18-Mar-2018 - 00:00,,,,,,,9.0,53.8,,,,,,1.05,4.17,,6.01,,,6.33,19-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
19-Mar-2018 - 00:00,,,,,,,47.81,447.73,,,,,,1.35,4.75,,15.98,,,15.03,20-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
20-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,21-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
21-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,22-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
22-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,23-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
23-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,24-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
24-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,25-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
25-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
26-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,27-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
27-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,28-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
28-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,29-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
29-Mar-2018 - 00:00,,,,,,,111.48,94.89,,,,,,2.14,4.67,,19.77,,,10.06,30-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
30-Mar-2018 - 00:00,,,,,,,111.4,104.48,,,,,,0.95,5.05,,11.46,,,4.96,31-Mar-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
31-Mar-2018 - 00:00,,,,,,,0.0,96.52,,,,,,0.85,10.2,,15.15,,,14.71,01-Apr-2018 - 00:00,"Moti Doongri, Alwar - RSPCB"
