from date,BP,PM2.5,PM10,RF,RH,SR,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Ozone,Toluene,CO,NH3,NO,NO2,NOx,SO2,to date,station
14-Sep-2018 - 00:00,749.29,51.94,178.28,0.0,64.23,102.19,207.83,0.88,0.37,0.09,0.65,1.22,22.32,0.23,0.42,7.05,9.25,22.03,31.14,7.62,15-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
15-Sep-2018 - 00:00,749.3,75.29,238.77,0.0,61.09,101.4,219.8,0.77,1.44,0.73,2.79,3.9,36.22,0.91,0.55,3.24,6.65,16.3,22.98,12.05,16-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
16-Sep-2018 - 00:00,749.13,65.95,230.67,0.0,62.46,42.81,207.91,0.81,1.42,0.19,1.23,1.49,18.99,0.23,0.67,2.64,6.24,11.68,16.46,17.65,17-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
17-Sep-2018 - 00:00,749.03,103.39,320.78,0.0,61.68,86.28,246.17,1.12,1.42,0.54,2.53,5.6,36.26,0.47,0.62,2.62,6.03,12.16,17.35,12.26,18-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
18-Sep-2018 - 00:00,749.22,87.26,282.53,0.0,55.52,97.37,244.53,0.89,0.92,0.14,1.08,1.6,31.92,0.44,1.13,7.62,6.08,14.61,20.68,19.4,19-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
19-Sep-2018 - 00:00,811.06,122.41,372.93,0.0,56.77,97.29,207.36,1.01,1.11,0.67,4.04,4.78,25.11,0.44,0.62,8.65,6.36,15.11,21.47,41.8,20-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
20-Sep-2018 - 00:00,754.24,137.54,416.08,0.0,69.3,23.88,131.52,0.47,0.07,0.8,3.93,1.35,18.7,0.28,0.61,9.67,4.7,12.36,15.83,17.85,21-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
21-Sep-2018 - 00:00,756.59,66.21,170.72,0.0,69.39,82.72,119.45,0.57,0.04,0.06,0.45,0.19,30.26,0.2,0.7,15.11,4.02,8.38,12.11,9.94,22-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
22-Sep-2018 - 00:00,757.8,22.21,91.77,0.27,85.38,13.44,83.21,0.47,0.01,0.02,0.17,0.08,18.54,0.16,0.48,55.92,4.19,22.79,21.64,11.38,23-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
23-Sep-2018 - 00:00,756.6,26.63,71.28,0.4,90.74,20.51,123.13,0.6,0.02,0.02,0.13,0.08,21.12,0.25,0.81,30.1,2.9,22.47,24.64,9.38,24-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
24-Sep-2018 - 00:00,755.62,21.1,63.81,0.11,91.56,26.24,190.33,1.17,0.21,0.04,0.27,0.17,13.81,0.19,0.61,17.83,35.49,16.91,46.2,9.02,25-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
25-Sep-2018 - 00:00,757.2,44.77,157.3,0.0,81.27,68.85,293.07,1.56,0.59,0.09,0.57,0.25,20.01,0.25,0.4,7.1,40.6,22.33,59.09,20.96,26-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
26-Sep-2018 - 00:00,757.0,85.55,225.49,0.0,73.36,73.41,213.52,0.68,0.86,0.36,2.08,0.73,32.08,0.22,0.71,6.71,6.9,25.01,31.91,17.61,27-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
27-Sep-2018 - 00:00,757.62,89.3,258.72,0.0,69.46,70.86,166.79,0.61,1.57,2.17,8.25,2.56,32.01,1.02,0.97,8.01,6.01,24.86,30.87,17.69,28-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
28-Sep-2018 - 00:00,758.5,105.99,331.32,0.0,54.06,73.15,186.39,0.69,1.9,3.39,5.57,5.23,27.46,1.7,0.86,9.05,10.29,27.98,38.27,15.48,29-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
29-Sep-2018 - 00:00,759.19,119.49,332.14,0.0,49.27,69.77,211.07,0.81,0.9,0.59,3.49,4.4,34.55,0.53,0.65,7.64,11.36,30.07,41.38,32.58,30-Sep-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
30-Sep-2018 - 00:00,758.48,107.16,307.87,0.0,59.98,70.11,255.53,0.99,0.84,0.4,2.14,3.41,34.0,0.43,0.63,7.6,9.39,30.54,39.93,33.97,01-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
01-Oct-2018 - 00:00,758.59,119.48,380.78,0.0,55.37,68.05,193.12,0.68,1.61,0.57,3.36,5.17,27.18,0.92,0.83,6.09,11.11,31.83,42.89,34.93,02-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
02-Oct-2018 - 00:00,760.14,87.33,263.64,0.0,55.51,150.42,201.1,0.69,0.36,0.28,1.62,2.12,26.1,0.69,0.97,21.72,20.78,19.04,25.68,21.68,03-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
03-Oct-2018 - 00:00,758.74,66.69,240.31,0.0,51.14,144.02,194.22,0.55,1.32,0.15,1.18,2.78,37.52,0.66,0.46,8.54,35.62,56.79,80.86,17.29,04-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
04-Oct-2018 - 00:00,760.1,102.64,324.07,0.0,55.54,128.25,152.47,0.57,2.67,0.56,3.39,7.98,29.88,0.66,0.57,10.83,35.46,53.27,74.41,28.68,05-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
05-Oct-2018 - 00:00,759.95,54.63,252.94,0.0,55.43,15.94,158.47,0.61,0.91,0.1,0.81,1.28,8.11,0.52,0.44,8.17,23.21,50.71,37.34,29.35,06-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
06-Oct-2018 - 00:00,761.01,120.84,442.96,0.0,52.38,143.31,189.16,0.61,2.59,0.26,2.01,3.61,33.72,0.63,0.81,,,,0.0,33.58,07-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
07-Oct-2018 - 00:00,761.13,79.68,397.1,0.0,66.67,124.81,147.33,0.49,1.78,0.75,3.31,4.21,27.59,0.36,0.33,197.0,,,4.67,34.97,08-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
08-Oct-2018 - 00:00,763.69,70.88,336.18,0.0,46.66,118.71,159.16,0.45,0.56,0.22,1.43,3.03,74.73,0.43,0.66,8.05,2.35,4.79,5.77,21.95,09-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
09-Oct-2018 - 00:00,763.73,105.94,300.5,0.0,53.82,131.18,177.18,0.47,0.5,0.15,0.88,1.97,62.35,0.82,0.94,7.8,3.47,5.4,8.17,27.04,10-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
10-Oct-2018 - 00:00,763.78,99.69,266.95,0.0,63.57,124.83,135.95,0.41,0.51,0.15,0.98,2.07,58.38,0.9,0.94,8.98,3.25,3.66,6.91,17.87,11-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
11-Oct-2018 - 00:00,760.56,107.73,305.32,0.0,64.01,115.48,158.63,0.72,0.53,0.19,1.15,2.39,40.4,0.74,0.86,11.9,4.16,5.04,8.26,17.89,12-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
12-Oct-2018 - 00:00,759.91,103.43,278.94,0.0,52.77,127.19,134.1,0.58,0.56,0.38,2.45,4.46,38.96,1.08,0.69,9.14,11.24,19.73,30.91,42.43,13-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
13-Oct-2018 - 00:00,760.38,292.42,494.86,0.0,53.06,128.14,198.35,0.76,1.02,0.5,3.32,4.93,33.99,1.25,0.84,9.95,20.23,37.99,57.7,62.38,14-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
14-Oct-2018 - 00:00,759.66,129.79,359.04,0.0,51.9,130.65,177.65,0.67,1.03,0.47,2.64,3.44,43.8,1.05,0.71,10.07,17.44,37.17,57.48,25.3,15-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
15-Oct-2018 - 00:00,759.7,144.98,412.67,0.0,45.33,123.76,143.21,0.51,1.02,0.49,2.58,2.85,47.06,1.09,0.67,13.11,14.11,34.38,52.54,36.69,16-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
16-Oct-2018 - 00:00,759.3,141.01,385.57,0.0,47.92,114.43,145.86,0.53,0.86,0.51,1.41,1.09,43.42,1.04,0.82,19.45,29.22,37.27,66.49,30.19,17-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
17-Oct-2018 - 00:00,757.89,165.37,449.86,0.0,39.85,130.74,188.07,0.58,1.15,0.94,2.73,1.85,26.33,1.01,0.79,21.82,34.72,48.02,82.74,32.1,18-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
18-Oct-2018 - 00:00,757.35,131.65,445.27,0.0,41.84,119.98,183.62,0.58,1.25,0.87,2.96,1.49,35.8,0.98,0.8,19.42,33.8,40.54,74.14,31.57,19-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
19-Oct-2018 - 00:00,759.15,167.17,452.09,0.0,47.0,110.16,193.69,0.59,0.84,0.19,0.59,0.32,52.42,0.78,0.69,14.06,7.51,10.87,18.12,22.25,20-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
20-Oct-2018 - 00:00,761.26,243.96,585.98,0.0,46.51,102.64,141.57,0.52,1.25,0.23,0.84,0.47,46.38,1.35,0.88,15.11,5.84,10.02,13.54,51.9,21-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
21-Oct-2018 - 00:00,762.0,185.62,469.26,0.0,41.74,109.63,198.48,0.7,1.33,0.39,1.15,0.64,38.54,1.21,0.9,18.61,8.5,21.53,27.34,61.08,22-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
22-Oct-2018 - 00:00,761.19,87.42,308.16,0.0,44.11,119.96,202.51,0.79,1.21,0.69,1.78,1.16,24.87,1.19,0.84,20.7,24.46,46.58,71.04,39.28,23-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
23-Oct-2018 - 00:00,760.76,78.16,314.23,0.0,37.29,120.44,160.66,0.55,1.15,0.8,2.13,1.26,32.9,1.61,0.68,12.89,20.68,30.28,50.97,37.81,24-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
24-Oct-2018 - 00:00,760.4,98.06,314.59,0.0,41.06,107.4,127.24,0.53,1.25,0.84,2.7,1.45,53.95,1.77,0.85,13.84,14.68,26.37,41.05,39.51,25-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
25-Oct-2018 - 00:00,761.66,94.28,321.26,0.0,44.08,108.96,127.8,0.55,1.3,0.51,1.41,0.79,28.62,1.37,0.92,14.42,14.61,21.62,36.09,48.73,26-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
26-Oct-2018 - 00:00,763.92,110.1,358.36,0.0,51.93,98.42,164.27,0.51,1.83,1.21,2.63,1.73,24.58,1.4,0.97,16.54,33.79,25.09,58.86,58.51,27-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
27-Oct-2018 - 00:00,763.97,129.93,371.58,0.0,48.56,95.46,136.94,0.51,1.88,1.12,2.77,1.87,49.02,1.72,1.21,16.61,18.66,60.1,78.75,51.54,28-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
28-Oct-2018 - 00:00,763.64,110.29,284.77,0.0,54.29,100.51,188.52,0.65,1.93,1.13,2.44,1.19,42.96,1.45,1.17,14.12,16.47,71.99,88.46,38.55,29-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
29-Oct-2018 - 00:00,763.93,94.27,285.58,0.0,54.15,100.36,183.03,0.65,1.81,0.86,2.16,1.33,29.27,1.85,1.03,11.15,17.47,23.47,39.49,43.03,30-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
30-Oct-2018 - 00:00,764.4,83.97,234.84,0.0,52.95,88.26,156.39,0.51,7.34,1.61,6.18,9.69,28.46,1.53,1.11,10.82,14.88,26.82,39.64,43.05,31-Oct-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
31-Oct-2018 - 00:00,764.46,68.53,231.93,0.0,53.7,113.26,189.25,0.65,4.64,1.59,6.39,10.38,44.99,0.49,0.9,9.81,10.29,15.5,19.86,27.54,01-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
01-Nov-2018 - 00:00,764.35,150.12,285.97,0.0,58.24,95.44,133.97,0.47,2.37,1.48,3.2,4.4,51.19,0.39,0.89,11.71,12.36,16.89,18.7,32.45,02-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
02-Nov-2018 - 00:00,764.18,116.04,299.74,0.0,53.45,97.88,167.59,0.52,0.63,0.13,0.3,0.27,56.58,0.24,0.99,8.85,4.12,9.66,11.24,28.06,03-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
03-Nov-2018 - 00:00,764.04,111.37,350.39,0.0,50.98,96.18,139.06,0.61,0.34,0.15,0.27,0.3,47.63,0.17,0.78,10.34,5.4,13.16,17.44,38.8,04-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
04-Nov-2018 - 00:00,764.24,82.82,222.38,0.0,55.68,102.14,195.99,0.82,0.35,0.06,0.12,0.1,31.7,2.35,0.62,9.96,10.83,24.27,34.03,24.84,05-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
05-Nov-2018 - 00:00,764.33,191.02,439.44,0.0,60.0,85.51,255.16,0.93,0.86,0.3,0.39,0.3,19.48,10.0,0.86,10.42,11.66,32.62,44.3,7.82,06-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
06-Nov-2018 - 00:00,761.94,127.71,353.11,0.0,43.28,108.91,268.36,1.14,0.65,0.12,0.23,0.2,32.95,8.49,0.92,13.73,31.5,52.4,71.72,44.06,07-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
07-Nov-2018 - 00:00,759.98,71.91,279.15,0.0,40.73,108.79,194.54,0.53,1.32,0.2,0.39,0.3,46.39,12.4,0.81,20.53,43.23,41.67,82.59,20.59,08-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
08-Nov-2018 - 00:00,754.38,187.64,414.63,0.0,47.26,97.88,154.48,0.47,2.51,0.69,1.79,1.13,67.56,14.62,0.97,13.26,8.03,43.68,51.7,15.16,09-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
09-Nov-2018 - 00:00,752.81,269.88,617.61,0.0,58.14,89.27,179.09,0.51,2.36,0.65,0.85,0.69,45.94,15.84,1.37,21.19,23.3,47.07,70.36,21.97,10-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
10-Nov-2018 - 00:00,753.7,110.46,441.18,0.0,68.08,95.73,154.15,0.56,1.24,0.52,0.52,0.41,36.46,10.32,0.6,23.07,30.48,45.08,39.63,21.41,11-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
11-Nov-2018 - 00:00,753.7,51.68,240.81,0.0,33.74,149.82,198.32,0.6,0.66,0.25,0.38,0.33,67.66,11.92,0.72,17.41,15.47,44.36,44.3,21.45,12-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
12-Nov-2018 - 00:00,751.8,92.91,301.06,0.0,46.48,98.95,176.18,0.56,1.06,0.38,0.75,0.47,38.82,17.57,1.11,18.21,15.39,47.55,62.87,37.91,13-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
13-Nov-2018 - 00:00,749.5,135.12,354.64,0.0,57.9,83.31,119.43,0.5,1.65,0.86,0.91,0.77,37.54,15.5,1.26,22.12,9.37,48.1,57.48,43.8,14-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
14-Nov-2018 - 00:00,750.66,86.94,184.06,0.0,64.44,104.0,148.76,0.6,0.8,0.31,0.43,0.51,39.15,9.16,0.59,32.65,31.24,65.13,96.35,28.59,15-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
15-Nov-2018 - 00:00,754.13,111.63,230.87,0.0,76.54,87.62,226.1,1.01,0.82,0.21,0.2,0.16,25.42,1.65,0.54,18.55,12.79,46.24,59.03,22.58,16-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
16-Nov-2018 - 00:00,757.93,120.89,255.25,0.0,63.42,103.58,289.68,1.01,1.39,0.39,0.96,1.39,24.3,0.6,0.61,23.15,37.39,76.41,113.74,37.83,17-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
17-Nov-2018 - 00:00,759.85,119.27,310.13,0.0,58.5,98.21,253.05,0.79,1.39,0.48,3.31,4.81,27.6,0.16,0.72,24.05,44.37,72.6,116.97,37.59,18-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
18-Nov-2018 - 00:00,760.44,83.88,376.93,0.0,57.51,92.01,128.76,0.57,0.99,0.34,2.07,3.09,55.91,0.07,0.51,15.3,9.12,44.52,53.65,36.2,19-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
19-Nov-2018 - 00:00,762.24,139.02,307.47,0.0,57.83,89.25,139.05,0.48,0.75,0.06,0.47,1.15,69.3,0.03,0.58,12.59,2.4,40.3,42.69,57.28,20-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
20-Nov-2018 - 00:00,763.07,210.9,521.7,0.0,66.85,88.91,232.49,0.71,1.41,0.15,1.37,2.33,33.33,0.19,0.85,18.44,9.73,55.03,64.76,58.3,21-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
21-Nov-2018 - 00:00,763.7,149.48,558.73,0.0,57.6,89.25,229.88,0.67,1.3,0.31,2.31,3.46,16.0,0.18,0.66,19.81,19.13,54.86,73.53,56.26,22-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
22-Nov-2018 - 00:00,764.08,181.13,547.3,0.0,47.74,80.93,173.24,0.53,2.25,1.17,7.08,11.32,27.71,0.19,0.7,21.77,30.3,61.73,92.03,52.46,23-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
23-Nov-2018 - 00:00,765.6,151.45,540.4,0.0,49.22,71.01,252.53,1.02,1.67,0.6,3.92,7.31,26.24,0.18,0.69,29.85,26.99,81.56,107.12,48.34,24-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
24-Nov-2018 - 00:00,764.28,130.95,373.37,0.0,48.97,95.71,256.06,1.17,0.84,0.13,1.26,1.86,23.51,0.1,0.67,42.41,48.23,105.54,153.48,44.16,25-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
25-Nov-2018 - 00:00,763.84,113.16,325.52,0.0,52.38,108.63,201.91,0.68,0.88,1.03,4.59,5.54,30.5,0.06,0.58,38.06,26.61,80.36,106.97,38.75,26-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
26-Nov-2018 - 00:00,761.03,137.54,439.57,0.0,58.65,85.65,198.19,0.66,1.93,1.58,7.34,11.95,27.73,0.23,0.84,51.92,50.04,97.87,147.86,46.06,27-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
27-Nov-2018 - 00:00,756.19,229.23,448.89,0.0,61.17,71.85,147.31,0.47,3.66,1.69,5.97,13.49,32.42,2.91,0.68,46.83,29.99,83.2,108.07,33.86,28-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
28-Nov-2018 - 00:00,759.21,246.06,449.02,0.0,69.67,67.22,151.44,0.42,6.07,2.85,5.09,11.28,32.68,8.66,0.85,48.42,17.52,88.76,106.28,30.75,29-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
29-Nov-2018 - 00:00,761.62,469.73,377.77,0.0,70.99,71.25,200.21,0.65,4.64,3.35,5.29,6.83,32.66,11.9,0.83,43.64,19.35,83.55,101.83,32.93,30-Nov-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
30-Nov-2018 - 00:00,764.46,147.39,366.85,0.0,62.42,79.19,211.41,0.79,6.06,2.24,5.02,7.54,23.33,12.4,0.87,43.29,22.72,77.46,99.4,43.53,01-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
01-Dec-2018 - 00:00,759.66,138.95,385.05,0.0,55.89,81.01,187.97,0.65,6.8,4.25,7.77,10.7,22.94,12.77,0.83,45.28,33.04,63.67,96.72,30.8,02-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
02-Dec-2018 - 00:00,760.73,178.6,514.38,0.0,57.32,62.16,143.01,0.53,10.49,6.13,10.97,25.66,23.94,11.65,1.03,44.49,31.6,51.92,86.92,21.34,03-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
03-Dec-2018 - 00:00,763.61,131.6,419.94,0.0,53.64,75.65,188.1,0.61,9.3,5.64,8.52,14.7,27.4,16.96,0.85,49.55,37.62,72.94,110.56,36.82,04-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
04-Dec-2018 - 00:00,765.26,233.55,513.8,0.0,55.61,70.2,194.91,0.58,12.88,8.12,11.94,22.64,25.29,19.57,1.22,55.56,47.2,54.81,102.02,48.6,05-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
05-Dec-2018 - 00:00,762.97,230.5,485.87,0.0,57.55,68.39,189.06,0.56,10.39,3.7,6.55,11.94,21.55,15.43,0.96,60.94,38.28,61.06,99.55,44.26,06-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
06-Dec-2018 - 00:00,762.2,158.32,396.05,0.0,56.43,69.94,178.37,0.6,8.45,2.46,4.39,9.14,24.19,10.36,0.83,54.18,23.75,60.81,84.55,40.06,07-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
07-Dec-2018 - 00:00,763.17,142.56,323.12,0.0,62.86,66.5,186.99,0.6,8.05,3.68,6.07,8.15,27.77,12.69,0.86,41.81,13.84,43.8,57.64,37.88,08-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
08-Dec-2018 - 00:00,764.07,107.22,523.7,0.0,71.84,57.48,179.19,0.54,7.93,3.14,5.26,9.29,15.21,9.71,0.86,51.48,21.16,59.51,76.25,30.13,09-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
09-Dec-2018 - 00:00,763.97,165.94,430.97,0.0,75.85,37.88,172.72,0.59,6.31,6.88,9.39,15.16,5.42,7.47,0.42,54.69,26.75,76.4,65.61,16.65,10-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
10-Dec-2018 - 00:00,762.11,247.72,369.48,0.0,68.18,59.78,145.3,0.55,6.97,2.52,3.62,6.24,38.37,5.39,0.89,42.21,5.27,65.5,70.77,17.86,11-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
11-Dec-2018 - 00:00,758.15,213.5,364.67,0.0,69.73,47.21,131.55,0.51,7.08,2.07,3.85,9.91,36.98,8.4,0.84,40.11,5.05,49.62,54.67,18.31,12-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
12-Dec-2018 - 00:00,760.06,166.8,257.36,0.0,72.4,53.35,128.84,0.45,4.78,0.48,1.04,2.47,35.0,2.67,0.74,25.79,1.6,32.36,33.96,18.67,13-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
13-Dec-2018 - 00:00,766.71,137.6,246.9,0.0,76.69,61.95,265.67,0.9,4.51,0.37,1.09,1.91,14.51,8.63,0.57,17.75,11.43,32.06,43.49,47.92,14-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
14-Dec-2018 - 00:00,768.98,117.72,241.66,0.0,70.54,71.82,271.88,0.92,3.28,0.31,0.97,1.37,15.41,4.11,0.62,22.41,29.5,53.23,82.64,39.69,15-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
15-Dec-2018 - 00:00,768.51,118.82,235.9,0.0,64.23,70.37,268.39,1.02,3.33,0.41,1.04,1.76,17.85,6.47,0.58,18.06,13.4,48.41,61.79,46.89,16-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
16-Dec-2018 - 00:00,768.97,140.8,433.35,0.0,66.29,29.0,249.23,0.69,3.49,0.17,0.57,1.04,9.37,3.19,0.63,20.98,26.68,42.77,69.44,44.68,17-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
17-Dec-2018 - 00:00,767.25,153.71,336.98,0.0,61.52,47.38,244.62,0.7,4.8,0.25,0.94,1.49,14.37,6.23,0.68,21.98,10.66,12.04,21.83,47.21,18-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
18-Dec-2018 - 00:00,765.78,136.06,398.62,0.0,59.66,68.98,254.74,0.84,4.35,0.29,1.03,1.74,14.32,3.56,0.7,19.01,17.58,28.98,44.03,32.42,19-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
19-Dec-2018 - 00:00,764.69,132.82,280.3,0.0,57.45,67.69,205.84,0.61,5.53,4.25,5.64,9.35,21.1,7.3,0.85,11.36,30.66,77.99,108.64,30.12,20-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
20-Dec-2018 - 00:00,764.9,188.21,389.18,0.0,59.3,68.01,185.61,0.64,11.85,5.58,8.63,19.32,20.36,16.26,1.18,11.35,18.86,54.43,73.29,28.02,21-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
21-Dec-2018 - 00:00,763.89,189.0,530.47,0.0,62.29,65.31,193.85,0.62,6.32,4.46,7.82,12.01,20.5,11.81,1.06,12.48,11.64,49.01,60.65,32.94,22-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
22-Dec-2018 - 00:00,764.05,198.81,343.21,0.0,68.41,61.91,138.89,0.41,5.53,2.51,4.32,6.34,26.83,4.32,1.0,13.17,5.15,35.14,39.89,23.89,23-Dec-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
