from date,BP,PM2.5,PM10,RF,RH,SR,WD,WS,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Ozone,Toluene,CO,NH3,NO,NO2,NOx,SO2,to date,station
06-Jul-2018 - 00:00,756.49,109.52,322.63,0.0,57.91,151.97,219.56,0.92,0.46,0.47,0.46,0.46,35.45,0.46,0.55,34.49,12.0,33.1,41.32,17.35,07-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
07-Jul-2018 - 00:00,756.39,24.34,248.13,0.0,46.12,263.28,276.91,1.13,0.14,0.14,0.13,0.15,43.91,0.15,0.11,20.09,14.31,39.06,15.03,17.15,08-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
08-Jul-2018 - 00:00,756.39,3.57,441.07,0.0,63.14,13.44,161.42,0.54,0.01,0.01,0.01,0.01,35.51,0.01,0.01,19.32,8.52,36.42,0.95,19.62,09-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
09-Jul-2018 - 00:00,756.25,51.45,247.58,0.0,54.85,135.46,106.41,0.78,0.34,0.33,0.33,0.33,30.63,0.33,0.43,8.76,20.31,27.44,23.88,26.45,10-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
10-Jul-2018 - 00:00,756.31,63.1,156.93,0.0,64.31,123.04,124.34,0.83,0.49,0.52,0.52,0.5,43.43,0.5,0.57,18.31,24.16,41.72,65.88,19.13,11-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
11-Jul-2018 - 00:00,756.28,59.0,164.19,0.0,67.09,117.38,173.12,0.95,0.51,0.49,0.51,0.5,36.38,0.49,0.53,24.47,24.61,36.83,61.44,17.88,12-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
12-Jul-2018 - 00:00,756.24,40.25,141.91,0.94,68.72,105.89,187.28,0.88,0.49,0.5,0.5,0.5,42.64,0.5,0.65,29.87,27.91,39.46,67.38,19.54,13-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
13-Jul-2018 - 00:00,756.36,43.46,99.71,0.24,89.22,73.04,146.21,0.7,0.49,0.49,0.49,0.51,47.21,0.5,0.91,17.51,25.41,47.75,73.17,18.4,14-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
14-Jul-2018 - 00:00,756.31,48.98,117.12,0.01,86.8,59.12,130.45,0.73,0.5,0.5,0.49,0.5,51.63,0.5,0.71,28.53,24.89,34.2,59.09,19.13,15-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
15-Jul-2018 - 00:00,756.08,35.49,90.98,0.0,81.64,124.7,123.26,0.67,0.49,0.5,0.5,0.5,54.16,0.51,0.72,27.66,21.39,24.67,44.24,18.84,16-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
16-Jul-2018 - 00:00,756.06,43.39,110.29,0.0,81.04,78.06,146.96,0.72,0.48,0.49,0.48,0.47,42.92,0.48,0.76,6.82,6.66,6.08,10.93,18.2,17-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
17-Jul-2018 - 00:00,753.6,59.59,165.32,0.0,76.39,66.18,130.94,0.59,0.47,0.46,0.45,0.47,45.59,0.46,0.71,13.07,14.21,9.88,21.52,20.64,18-Jul-2018 - 00:00,"RIICO Ind. Area III, Bhiwadi - RSPCB"
