from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
01-Jan-2018 - 00:00,,,0.0,6.01,12.14,96.94,83.84,982.7,13.76,451.83,265.45,,,0.0,0.0,0.0,22.42,0.0,1.18,0.33,0.76,02-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
02-Jan-2018 - 00:00,0.45,46.5,0.04,6.62,10.95,98.82,87.61,982.74,13.77,623.72,272.88,,,0.0,0.0,0.0,22.13,0.0,0.08,0.14,1.0,03-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
03-Jan-2018 - 00:00,,,0.0,6.1,11.14,94.67,99.98,982.7,13.76,467.45,234.08,,,0.0,0.0,0.0,22.66,0.0,0.15,0.19,1.18,04-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
04-Jan-2018 - 00:00,1.54,145.33,0.24,4.47,10.66,96.95,90.02,982.74,13.77,599.47,341.72,,,0.0,0.0,0.0,22.31,0.0,0.01,0.13,1.51,05-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
05-Jan-2018 - 00:00,,,0.0,1.81,10.47,94.89,86.82,982.72,13.77,505.63,291.14,,,0.0,0.0,0.0,22.55,0.0,0.0,0.17,1.02,06-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
06-Jan-2018 - 00:00,,,0.0,4.21,11.32,88.3,98.83,982.7,13.76,454.68,285.4,,,0.0,0.0,0.0,22.49,0.0,0.16,0.22,1.72,07-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
07-Jan-2018 - 00:00,,,0.0,5.15,9.86,95.47,89.54,982.86,13.78,348.58,215.36,,,0.0,0.0,0.0,22.58,0.0,0.11,0.02,0.81,08-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
08-Jan-2018 - 00:00,,,,,,,,,,278.65,154.51,,,0.0,0.0,0.0,22.47,0.0,1.87,6.88,1.56,09-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
09-Jan-2018 - 00:00,,,,,,,,,,474.28,284.72,89.6,48.4,0.0,0.0,0.0,22.79,0.0,6.66,18.8,3.11,10-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
10-Jan-2018 - 00:00,,,0.0,5.78,15.88,69.03,139.12,982.53,13.73,332.91,194.97,58.65,31.89,0.0,0.0,0.0,22.79,0.0,3.27,7.96,2.29,11-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
11-Jan-2018 - 00:00,,,0.0,5.39,15.06,73.53,120.02,982.58,13.74,291.93,165.53,46.71,25.53,0.0,0.0,0.0,23.41,0.0,5.44,13.24,3.08,12-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
12-Jan-2018 - 00:00,,,0.0,4.11,14.35,78.78,112.39,982.56,13.75,340.58,193.24,45.64,24.95,0.0,0.0,0.0,23.05,0.0,6.66,18.93,6.66,13-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
13-Jan-2018 - 00:00,,,0.0,4.6,13.84,80.42,127.75,982.58,13.75,522.27,315.66,38.02,20.88,0.0,0.0,0.0,22.99,0.0,14.75,43.13,16.05,14-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
14-Jan-2018 - 00:00,,,,,,,,,,424.61,254.13,31.91,17.59,0.0,0.0,0.0,22.89,0.0,7.75,19.22,6.86,15-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
15-Jan-2018 - 00:00,,,0.0,7.64,17.12,63.08,141.11,982.35,13.72,339.61,195.57,27.96,15.49,0.0,0.0,0.0,22.93,0.0,4.59,11.54,4.49,16-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
16-Jan-2018 - 00:00,,,0.0,4.6,13.53,78.13,112.44,982.67,13.76,260.5,127.75,56.94,31.57,0.0,0.0,0.0,27.09,0.0,2.37,6.69,1.49,17-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
17-Jan-2018 - 00:00,,,0.0,2.11,11.24,97.39,131.36,982.9,13.77,493.76,268.2,22.77,12.69,7.57,0.0,0.0,34.96,0.0,5.56,13.57,1.38,18-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
18-Jan-2018 - 00:00,0.5,84.0,0.02,7.18,15.32,89.56,80.66,982.59,13.74,587.24,336.42,23.62,13.17,36.78,0.0,0.0,56.38,0.0,1.54,4.26,0.1,19-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
19-Jan-2018 - 00:00,,,0.0,4.2,15.96,85.64,109.02,982.5,13.74,485.07,262.0,22.79,12.71,35.5,0.0,0.0,25.25,0.0,0.0,0.0,0.0,20-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
20-Jan-2018 - 00:00,,,0.0,3.83,15.65,72.3,159.17,982.46,13.75,280.5,144.22,22.89,12.75,35.65,0.0,0.0,28.95,0.0,0.0,0.0,0.0,21-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
21-Jan-2018 - 00:00,,,0.0,2.67,14.33,76.17,127.25,982.57,13.74,345.37,176.81,22.53,12.56,35.1,0.0,0.0,30.97,0.0,0.0,0.0,0.0,22-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
22-Jan-2018 - 00:00,,,0.0,2.71,11.93,86.85,89.93,982.75,13.77,380.87,194.41,20.79,11.63,32.43,0.0,0.0,30.11,0.0,0.0,0.0,0.0,23-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
23-Jan-2018 - 00:00,,,,,,,,,,285.64,157.64,21.06,11.78,32.83,0.0,0.0,32.58,0.0,0.0,0.0,0.0,24-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
24-Jan-2018 - 00:00,,,,,,,,,,203.98,123.44,21.5,12.01,33.51,0.0,0.0,36.49,0.0,0.0,0.0,0.0,25-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
25-Jan-2018 - 00:00,,,0.0,4.88,12.39,97.55,66.25,982.75,13.75,207.36,111.54,22.75,12.71,35.46,0.0,0.0,25.12,0.0,1.26,4.9,1.28,26-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
26-Jan-2018 - 00:00,,,0.0,6.16,11.81,97.28,136.9,982.69,13.76,232.06,132.32,24.16,13.45,37.61,0.0,0.0,24.58,0.0,2.34,8.04,2.23,27-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
27-Jan-2018 - 00:00,,,0.0,4.01,12.04,90.77,159.24,982.67,13.76,316.13,161.65,23.89,13.3,37.19,0.0,0.0,26.77,0.0,2.2,6.44,2.35,28-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
28-Jan-2018 - 00:00,,,0.0,4.66,12.68,86.51,164.16,982.64,13.76,249.69,139.17,23.45,13.07,36.52,0.0,0.0,26.35,0.0,2.89,9.37,3.28,29-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
29-Jan-2018 - 00:00,,,0.0,6.28,15.6,75.25,171.6,982.47,13.74,310.03,165.62,25.17,14.0,39.17,0.37,0.0,26.44,0.0,2.96,10.08,2.97,30-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
30-Jan-2018 - 00:00,,,0.0,4.55,23.98,39.06,289.03,982.0,13.71,226.36,117.73,26.68,14.79,41.46,1.26,0.0,29.0,0.0,1.96,5.87,1.88,31-Jan-2018 - 00:00,"North Campus, DU, Delhi - IMD"
31-Jan-2018 - 00:00,,,,,,,,,,214.75,110.71,26.1,14.51,40.6,1.3,0.0,29.43,0.0,1.15,4.04,1.54,01-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
01-Feb-2018 - 00:00,,,,,,,,,,350.64,191.41,24.93,13.85,38.78,1.33,0.0,27.13,0.0,2.11,10.0,2.73,02-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
02-Feb-2018 - 00:00,,,,,,,,,,245.53,114.23,24.71,13.74,38.45,1.66,0.0,26.2,0.0,1.65,12.19,2.94,03-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
03-Feb-2018 - 00:00,,,,,,,,,,216.37,96.11,25.27,14.02,39.29,1.61,0.0,28.91,0.0,1.04,7.61,1.81,04-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
04-Feb-2018 - 00:00,,,,,,,,,,215.34,109.6,26.5,14.71,41.21,1.41,0.0,30.76,0.0,1.4,5.0,1.6,05-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
05-Feb-2018 - 00:00,,,,,,,,,,268.24,159.37,46.48,35.31,53.64,1.12,0.0,28.35,0.0,2.37,7.29,1.44,06-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
06-Feb-2018 - 00:00,,,,,,,,,,224.57,135.04,10.17,19.27,24.43,1.07,0.0,24.24,0.0,2.74,8.61,1.64,07-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
07-Feb-2018 - 00:00,,,,,,,,,,203.38,107.52,5.03,15.02,14.74,1.08,0.0,23.77,0.0,1.65,5.18,1.55,08-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
08-Feb-2018 - 00:00,,,,,,,,,,252.72,166.65,32.98,23.81,41.84,1.02,0.0,21.45,0.0,3.69,13.62,3.15,09-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
09-Feb-2018 - 00:00,,,,,,,,,,251.44,161.48,4.42,17.15,16.13,1.03,0.0,21.32,0.0,2.6,11.1,2.36,10-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
10-Feb-2018 - 00:00,,,,,,,,,,265.84,156.93,58.78,30.14,64.02,1.05,0.0,20.92,0.0,5.14,17.05,4.91,11-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
11-Feb-2018 - 00:00,,,,,,,,,,190.15,128.67,1.2,16.5,10.54,1.02,0.0,21.45,0.0,2.47,6.61,2.51,12-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
12-Feb-2018 - 00:00,,,,,,,,,,112.09,62.94,0.27,11.53,3.34,1.06,0.0,18.72,0.0,1.03,2.65,1.12,13-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
13-Feb-2018 - 00:00,,,,,,,,,,140.28,100.69,4.04,15.52,12.06,1.02,0.0,22.47,0.0,1.61,5.0,1.42,14-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
14-Feb-2018 - 00:00,,,,,,,,,,101.08,94.07,0.24,10.99,3.22,1.05,0.0,19.2,0.0,0.82,2.83,0.88,15-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
15-Feb-2018 - 00:00,,,,,,,,,,116.18,109.32,0.28,10.79,2.83,1.05,0.0,19.32,0.0,0.92,2.21,0.66,16-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
16-Feb-2018 - 00:00,,,,,,,,,,158.41,108.68,4.32,12.26,8.83,1.1,0.0,17.95,0.0,1.41,3.96,0.9,17-Feb-2018 - 00:00,"North Campus, DU, Delhi - IMD"
