from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WS,WD,RH,BP,Toluene,to date,station
12-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,13-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,14-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,15-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,17-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,18-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,20-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,21-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,22-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,23-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,24-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,25-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,26-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,27-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,28-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,29-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,30-Apr-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,01-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-May-2018 - 00:00,,,,,,,,,,,,,,,,,02-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-May-2018 - 00:00,,,,,,,,,,,,,,,,,03-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-May-2018 - 00:00,,,,,,,,,,,,,,,,,04-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-May-2018 - 00:00,,,,,,,,,,,,,,,,,05-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-May-2018 - 00:00,,,,,,,,,,,,,,,,,06-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-May-2018 - 00:00,,,,,,,,,,,,,,,,,07-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-May-2018 - 00:00,,,,,,,,,,,,,,,,,08-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-May-2018 - 00:00,,,,,,,,,,,,,,,,,09-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-May-2018 - 00:00,,,,,,,,,,,,,,,,,10-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-May-2018 - 00:00,,,,,,,,,,,,,,,,,11-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-May-2018 - 00:00,,,,,,,,,,,,,,,,,12-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-May-2018 - 00:00,,,,,,,,,,,,,,,,,13-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-May-2018 - 00:00,,,,,,,,,,,,,,,,,14-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-May-2018 - 00:00,,,,,,,,,,,,,,,,,15-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-May-2018 - 00:00,,,,,,,,,,,,,,,,,16-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-May-2018 - 00:00,,,,,,,,,,,,,,,,,17-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-May-2018 - 00:00,,,,,,,,,,,,,,,,,18-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-May-2018 - 00:00,,,,,,,,,,,,,,,,,19-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-May-2018 - 00:00,,,,,,,,,,,,,,,,,20-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-May-2018 - 00:00,,,,,,,,,,,,,,,,,21-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-May-2018 - 00:00,,,,,,,,,,,,,,,,,22-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-May-2018 - 00:00,,,,,,,,,,,,,,,,,23-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-May-2018 - 00:00,,,,,,,,,,,,,,,,,24-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-May-2018 - 00:00,,,,,,,,,,,,,,,,,25-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-May-2018 - 00:00,,,,,,,,,,,,,,,,,26-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-May-2018 - 00:00,,,,,,,,,,,,,,,,,27-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-May-2018 - 00:00,,,,,,,,,,,,,,,,,28-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-May-2018 - 00:00,,,,,,,,,,,,,,,,,29-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-May-2018 - 00:00,,,,,,,,,,,,,,,,,30-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-May-2018 - 00:00,,,,,,,,,,,,,,,,,31-May-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
31-May-2018 - 00:00,,,,,,,,,,,,,,,,,01-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,02-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,03-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,04-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,05-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,06-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,07-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,08-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,09-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,10-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,11-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,12-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,13-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,14-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,15-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,16-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,17-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,18-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,19-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,20-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,21-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,22-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Jun-2018 - 00:00,42.3,9.2,7.6,28.8,6.0,0.5,14.5,18.0,74.0,0.2,28.2,1.6,298.0,53.0,703.0,2.3,23-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,24-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,25-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,26-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,27-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,28-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,29-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,30-Jun-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,01-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,02-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,03-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Jul-2018 - 00:00,38.15,11.0,5.86,25.04,5.42,0.34,12.64,21.16,79.5,0.15,28.37,1.92,292.98,49.34,705.92,1.65,04-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Jul-2018 - 00:00,36.77,15.39,6.16,24.56,4.47,0.3,9.48,18.35,71.23,0.13,27.64,1.89,293.95,56.95,707.08,1.96,05-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Jul-2018 - 00:00,35.58,11.9,5.9,23.71,4.77,0.27,9.92,14.55,79.54,0.13,27.24,2.04,291.18,51.31,706.48,1.32,06-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Jul-2018 - 00:00,34.98,11.39,5.58,23.14,5.13,0.31,10.33,12.7,57.19,0.15,25.76,2.01,287.68,60.65,705.23,1.16,07-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Jul-2018 - 00:00,34.8,11.48,5.66,23.11,7.34,0.3,11.62,10.14,64.17,0.15,24.73,,297.98,59.27,703.98,1.14,08-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Jul-2018 - 00:00,33.45,11.8,5.12,21.95,6.51,0.19,11.98,11.83,50.32,0.13,26.28,,296.95,61.75,703.27,0.81,09-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Jul-2018 - 00:00,35.66,11.24,7.0,24.42,5.42,0.8,10.52,13.26,52.44,0.15,24.96,,295.16,65.59,703.41,1.1,10-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Jul-2018 - 00:00,37.2,10.67,7.61,25.98,5.11,1.36,9.95,11.56,45.22,0.14,26.14,,294.44,66.83,704.38,1.18,11-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Jul-2018 - 00:00,35.93,9.71,7.91,25.54,6.05,1.22,9.06,10.75,51.35,0.12,25.91,,291.67,70.97,704.85,0.92,12-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Jul-2018 - 00:00,35.4,9.88,7.41,24.86,6.0,0.67,9.88,10.51,37.61,0.12,25.42,,295.9,67.92,703.81,0.97,13-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Jul-2018 - 00:00,35.49,9.67,7.47,24.95,6.94,0.75,9.77,12.3,48.78,0.13,25.15,,295.02,65.41,703.7,0.91,14-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Jul-2018 - 00:00,35.4,9.73,7.43,24.86,5.9,0.71,9.72,12.51,55.66,0.13,27.52,,295.46,66.27,703.16,0.93,15-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Jul-2018 - 00:00,33.98,9.57,6.64,23.49,4.81,0.41,9.02,15.08,71.58,0.11,23.51,,295.8,61.56,702.54,0.62,16-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Jul-2018 - 00:00,33.77,9.81,6.67,23.39,4.8,0.33,8.71,10.13,45.28,0.11,24.47,,293.38,63.9,703.1,0.6,17-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Jul-2018 - 00:00,36.47,8.2,8.73,26.5,12.38,1.26,10.53,9.0,45.0,0.1,26.92,,295.0,59.17,703.5,1.1,18-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Jul-2018 - 00:00,35.29,8.87,7.9,24.93,9.79,1.08,10.05,6.61,49.64,0.11,25.01,,292.93,61.99,704.53,0.77,19-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Jul-2018 - 00:00,35.55,9.64,6.98,24.6,8.52,0.58,9.84,8.75,37.92,0.12,25.42,,293.36,66.84,704.58,0.76,20-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Jul-2018 - 00:00,34.87,9.8,6.7,24.0,5.56,0.37,11.91,9.58,32.93,0.11,25.93,,293.71,63.31,704.71,0.76,21-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Jul-2018 - 00:00,35.51,9.64,7.0,24.58,6.65,0.34,12.07,13.5,52.17,0.12,25.19,,295.84,62.81,705.56,1.02,22-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Jul-2018 - 00:00,34.39,10.23,6.55,23.62,6.33,0.25,10.71,16.35,70.54,0.12,26.43,,294.79,59.84,705.44,0.75,23-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Jul-2018 - 00:00,35.37,9.88,7.17,24.65,6.83,0.34,9.27,13.45,56.89,0.16,24.55,,296.33,62.47,705.07,0.99,24-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Jul-2018 - 00:00,35.9,9.64,7.63,25.31,4.7,0.31,8.07,10.67,51.53,0.14,28.22,,289.87,64.18,706.21,1.03,25-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Jul-2018 - 00:00,35.75,9.32,7.79,25.34,6.81,0.31,7.93,9.26,47.74,0.14,29.21,,293.06,62.54,706.65,1.08,26-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Jul-2018 - 00:00,35.85,9.11,7.82,25.43,7.9,0.28,8.7,12.33,53.39,0.14,29.45,,289.88,61.0,707.02,1.0,27-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Jul-2018 - 00:00,36.31,9.38,7.37,25.31,7.69,0.32,8.37,13.82,60.32,0.14,27.21,,285.4,65.43,706.84,0.84,28-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Jul-2018 - 00:00,36.33,9.83,7.59,25.51,7.56,0.4,9.09,12.18,68.94,0.15,26.77,,285.69,61.95,705.95,1.03,29-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Jul-2018 - 00:00,36.59,14.01,7.68,25.71,17.02,0.85,11.72,14.47,78.55,0.11,27.73,,285.83,46.5,704.6,1.6,30-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Jul-2018 - 00:00,36.34,9.75,8.01,25.86,11.27,0.45,9.24,18.39,84.1,0.16,28.65,,289.7,56.56,705.32,1.08,31-Jul-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
31-Jul-2018 - 00:00,35.5,9.92,7.42,24.93,8.15,0.35,8.58,11.69,55.28,0.12,26.23,,285.19,63.5,706.08,0.81,01-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Aug-2018 - 00:00,35.84,9.54,7.2,24.91,8.08,0.28,9.09,14.3,75.36,0.12,27.63,,281.84,62.35,706.98,0.83,02-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Aug-2018 - 00:00,35.47,9.88,7.22,24.72,6.54,0.31,8.67,14.52,92.77,0.12,26.76,,284.62,56.47,707.38,0.82,03-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Aug-2018 - 00:00,35.32,9.46,7.74,25.08,6.78,0.27,7.84,14.08,91.76,0.17,26.53,,290.75,57.53,707.77,0.88,04-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Aug-2018 - 00:00,35.08,9.38,7.91,25.1,8.02,0.28,8.26,17.67,86.82,0.16,27.41,,295.08,58.28,707.54,0.9,05-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Aug-2018 - 00:00,33.69,9.79,6.95,23.57,8.4,0.23,8.49,11.86,67.97,0.12,28.55,,290.26,56.67,707.47,0.69,06-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Aug-2018 - 00:00,35.1,9.35,7.88,25.08,6.57,0.28,7.92,16.11,74.76,0.14,27.64,,293.96,58.94,706.12,0.85,07-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Aug-2018 - 00:00,36.37,9.91,8.21,26.02,5.57,0.35,7.68,11.62,38.0,0.17,27.63,,291.94,66.54,704.63,1.12,08-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Aug-2018 - 00:00,36.06,9.72,7.76,25.49,6.81,0.31,8.09,11.09,36.73,0.14,27.89,,290.46,66.32,704.29,1.01,09-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Aug-2018 - 00:00,35.04,9.87,7.59,24.8,7.5,0.3,8.28,11.2,49.17,0.16,26.67,,293.49,60.01,706.44,0.91,10-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Aug-2018 - 00:00,35.41,9.8,8.01,25.36,7.64,0.29,7.63,12.11,52.91,0.22,27.03,,297.1,63.54,707.53,1.05,11-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Aug-2018 - 00:00,34.39,9.98,7.66,24.52,6.48,0.27,8.09,8.51,39.11,0.14,27.16,,298.76,67.43,706.47,0.83,12-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Aug-2018 - 00:00,33.4,9.84,6.56,23.11,6.4,0.28,8.02,6.59,16.83,0.12,27.01,,298.34,73.98,705.1,0.59,13-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Aug-2018 - 00:00,33.71,9.82,7.28,23.85,6.39,0.28,7.91,8.27,26.74,0.13,26.13,,297.49,68.03,704.58,0.69,14-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Aug-2018 - 00:00,34.2,9.52,7.24,24.08,7.07,0.29,7.65,6.3,17.62,0.15,25.52,,296.83,72.57,703.68,0.76,15-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Aug-2018 - 00:00,33.67,10.21,6.64,23.31,7.09,0.25,9.38,7.98,22.29,0.12,26.46,,298.99,71.41,703.34,0.69,16-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Aug-2018 - 00:00,34.31,9.76,6.84,23.82,6.0,0.29,10.27,7.57,20.37,0.11,26.17,,295.63,69.84,703.2,0.7,17-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Aug-2018 - 00:00,34.48,9.56,6.87,23.93,6.62,0.31,10.54,14.16,64.45,0.13,24.83,,298.0,57.53,703.22,0.84,18-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Aug-2018 - 00:00,34.61,9.49,7.07,24.16,7.06,0.31,9.75,14.54,63.82,0.15,26.5,,296.93,61.87,703.77,0.79,19-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Aug-2018 - 00:00,33.66,9.48,6.56,23.23,7.96,0.18,10.12,12.79,53.16,0.12,27.49,,296.09,62.11,703.94,0.59,20-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Aug-2018 - 00:00,34.86,9.41,7.39,24.55,8.27,0.35,8.64,15.03,70.39,0.13,27.36,,299.0,62.55,704.72,0.87,21-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Aug-2018 - 00:00,35.36,9.64,7.23,24.68,7.42,0.26,9.72,14.54,63.22,0.12,27.2,,292.61,58.56,705.85,0.71,22-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Aug-2018 - 00:00,34.82,10.04,7.11,24.31,6.78,0.26,8.91,13.48,59.95,0.13,26.87,,295.1,57.85,706.73,0.71,23-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Aug-2018 - 00:00,35.18,9.93,7.74,24.99,6.51,0.29,8.08,9.29,42.68,0.13,27.35,,295.67,59.97,707.29,0.85,24-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Aug-2018 - 00:00,34.31,9.74,6.98,23.93,5.35,0.23,8.37,9.75,40.99,0.13,27.43,,295.85,59.74,706.83,0.66,25-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Aug-2018 - 00:00,34.96,9.9,7.41,24.62,5.01,0.25,8.62,10.81,60.89,0.12,27.71,,292.56,57.82,706.17,0.81,26-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Aug-2018 - 00:00,34.88,10.14,6.93,24.2,6.66,0.23,7.97,9.61,45.54,0.12,27.62,,280.69,61.46,705.36,0.65,27-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Aug-2018 - 00:00,35.11,9.71,7.25,24.58,6.37,0.28,8.11,9.79,39.76,0.13,27.6,,281.09,65.07,705.28,0.75,28-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Aug-2018 - 00:00,35.56,9.39,7.81,25.26,4.94,0.26,9.3,9.43,50.21,0.15,28.5,,292.82,59.82,705.51,0.8,29-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Aug-2018 - 00:00,35.79,9.29,8.15,25.68,4.55,0.28,9.18,7.69,38.35,0.13,28.45,,293.19,62.55,706.9,0.81,30-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Aug-2018 - 00:00,36.04,9.78,8.09,25.75,5.05,0.3,8.5,9.11,46.68,0.17,28.28,,294.43,61.38,706.41,0.98,31-Aug-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
31-Aug-2018 - 00:00,35.58,10.0,7.56,25.07,5.64,0.3,8.62,10.18,45.05,0.16,24.99,,291.46,60.03,706.72,0.85,01-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Sep-2018 - 00:00,36.22,9.53,7.93,25.71,6.46,0.36,9.23,15.15,56.52,0.17,24.68,,288.01,55.21,707.57,1.01,02-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Sep-2018 - 00:00,35.27,9.89,7.08,24.52,6.25,0.27,10.54,14.49,62.99,0.15,26.95,,279.74,53.09,707.85,0.79,03-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Sep-2018 - 00:00,36.19,9.7,7.76,25.56,5.25,0.26,9.5,15.83,65.95,0.18,25.25,,277.84,49.72,707.78,0.91,04-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Sep-2018 - 00:00,37.57,10.18,7.93,26.43,6.46,0.32,9.8,15.26,63.56,0.18,24.26,,274.86,48.95,708.15,1.06,05-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Sep-2018 - 00:00,35.04,9.56,7.8,24.99,7.93,0.26,8.62,12.57,52.25,0.18,25.83,,274.75,57.75,708.17,0.7,06-Sep-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
