from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WS,WD,RH,BP,Toluene,to date,station
13-Dec-2018 - 00:00,44.11,7.86,6.76,28.97,8.08,0.53,24.62,57.72,106.21,0.27,25.17,,184.66,62.47,711.33,0.82,14-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Dec-2018 - 00:00,40.9,8.29,6.66,27.16,8.54,0.42,22.59,39.66,78.11,0.19,24.42,,155.01,54.48,711.3,0.55,15-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Dec-2018 - 00:00,38.56,9.36,6.83,26.06,7.15,0.51,25.17,44.17,83.02,0.17,25.81,,109.18,59.79,711.41,0.29,16-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Dec-2018 - 00:00,48.4,7.6,7.17,31.58,17.14,0.7,29.36,68.87,113.84,0.34,26.25,,115.07,55.96,710.5,0.96,17-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Dec-2018 - 00:00,58.19,7.69,9.86,38.97,20.5,0.81,25.95,74.29,155.25,0.53,26.34,,210.2,43.95,709.82,1.74,18-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Dec-2018 - 00:00,54.41,8.16,9.86,36.97,12.89,0.77,28.45,51.15,122.06,0.39,26.91,,161.27,51.22,710.81,1.39,19-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Dec-2018 - 00:00,43.91,8.71,7.44,29.4,8.68,0.48,26.72,22.29,66.71,0.16,27.09,,139.75,60.47,711.16,0.54,20-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Dec-2018 - 00:00,41.24,8.86,7.12,27.73,9.3,0.32,25.36,32.43,74.39,0.14,25.06,,135.57,54.83,711.28,0.36,21-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Dec-2018 - 00:00,38.42,8.46,6.25,25.51,8.62,0.36,19.91,31.8,70.58,0.12,23.82,,133.18,56.81,710.84,0.41,22-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Dec-2018 - 00:00,40.23,9.26,5.82,25.76,10.56,1.21,18.27,32.83,61.42,0.2,25.62,,131.11,59.93,710.81,0.6,23-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Dec-2018 - 00:00,35.35,10.58,4.22,22.23,10.78,1.32,20.24,38.02,69.28,0.11,26.25,,127.35,61.16,711.17,0.16,24-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Dec-2018 - 00:00,37.93,10.41,4.09,23.49,10.34,0.42,19.6,42.89,80.82,0.19,26.03,,130.54,57.19,711.23,0.29,25-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Dec-2018 - 00:00,40.18,10.6,4.2,24.79,11.16,0.94,22.81,52.96,89.37,0.31,27.42,,156.29,57.54,711.51,0.51,26-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Dec-2018 - 00:00,40.23,10.55,4.17,24.79,11.64,0.39,21.3,46.89,85.29,0.28,25.03,,191.23,51.58,710.95,0.55,27-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Dec-2018 - 00:00,44.73,9.78,4.26,27.25,10.28,0.84,21.97,60.32,118.83,0.29,25.33,,199.92,54.58,710.07,1.21,28-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Dec-2018 - 00:00,39.6,9.15,5.47,25.52,8.45,0.37,18.84,47.23,86.06,0.19,24.77,,145.23,58.44,709.54,0.49,29-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Dec-2018 - 00:00,38.91,7.79,7.3,26.63,8.5,0.47,22.28,62.3,98.6,0.11,24.33,,129.48,62.91,711.43,0.29,30-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Dec-2018 - 00:00,41.55,7.77,7.42,28.14,8.0,0.44,23.44,57.25,89.78,0.14,25.6,,125.15,56.62,713.2,0.29,31-Dec-2018 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
31-Dec-2018 - 00:00,58.25,8.75,9.1,38.35,8.4,0.32,14.89,45.0,81.0,0.2,28.1,,156.5,71.0,714.0,0.55,01-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
