from date,NO,NO2,NOx,Ozone,CO,NH3,PM10,PM2.5,SO2,to date,station
14-Feb-2018 - 00:00,25.9,64.66,55.35,,,27.06,113.48,61.7,,15-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
15-Feb-2018 - 00:00,29.61,73.04,62.73,,,30.44,131.56,76.23,,16-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
16-Feb-2018 - 00:00,46.16,87.37,83.89,,,37.01,182.85,118.65,,17-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
17-Feb-2018 - 00:00,46.18,88.74,84.66,,,37.29,206.85,125.03,,18-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
18-Feb-2018 - 00:00,61.19,71.14,135.71,,,57.67,182.81,122.11,,19-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
19-Feb-2018 - 00:00,125.6,70.29,205.84,,,109.5,221.23,143.31,,20-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
20-Feb-2018 - 00:00,152.48,75.85,225.37,,,93.5,249.83,146.4,,21-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
21-Feb-2018 - 00:00,75.19,87.36,194.96,,,138.57,289.18,154.61,,22-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
22-Feb-2018 - 00:00,185.47,84.12,196.89,,,77.05,216.52,127.06,,23-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
23-Feb-2018 - 00:00,199.61,80.72,220.25,,,88.39,235.58,134.21,,24-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
24-Feb-2018 - 00:00,187.48,93.25,202.86,,,82.87,253.8,137.39,,25-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
25-Feb-2018 - 00:00,54.18,61.74,76.77,,,35.98,111.3,66.61,,26-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
26-Feb-2018 - 00:00,23.03,58.76,49.76,,,27.25,81.55,37.22,,27-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
27-Feb-2018 - 00:00,79.55,72.32,104.84,,,44.92,123.77,65.07,,28-Feb-2018 - 00:00,"ITO, Delhi - CPCB"
28-Feb-2018 - 00:00,143.54,78.19,161.46,,,64.95,225.79,134.45,,01-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
01-Mar-2018 - 00:00,169.06,75.89,177.75,,,70.32,199.6,111.7,,02-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
02-Mar-2018 - 00:00,140.55,70.38,151.57,,,60.05,187.7,126.19,,03-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
03-Mar-2018 - 00:00,92.69,70.13,112.58,,,47.6,167.5,97.2,,04-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
04-Mar-2018 - 00:00,65.38,63.3,86.4,,,38.89,133.05,67.5,,05-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
05-Mar-2018 - 00:00,75.68,65.36,95.98,,,41.78,111.52,58.24,,06-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
06-Mar-2018 - 00:00,25.0,67.8,56.25,,,27.7,108.76,63.53,,07-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
07-Mar-2018 - 00:00,74.5,72.52,99.05,,,41.64,122.02,73.71,,08-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
08-Mar-2018 - 00:00,93.74,85.94,223.41,,,125.15,200.32,117.03,,09-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
09-Mar-2018 - 00:00,87.55,80.87,136.63,,,73.03,192.25,121.83,,10-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
10-Mar-2018 - 00:00,22.41,64.89,52.31,,,26.43,115.23,63.14,,11-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
11-Mar-2018 - 00:00,74.11,73.69,99.3,,,42.21,151.01,86.26,,12-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
12-Mar-2018 - 00:00,41.22,79.7,75.62,,,34.48,153.16,91.19,,13-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
13-Mar-2018 - 00:00,105.34,74.83,136.06,,,78.37,180.17,94.47,,14-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
14-Mar-2018 - 00:00,222.23,80.67,235.64,,,92.16,253.47,100.27,,15-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
15-Mar-2018 - 00:00,96.61,66.92,128.16,,,57.71,217.35,90.82,,16-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
16-Mar-2018 - 00:00,73.03,56.99,103.47,,,48.0,184.07,99.52,,17-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
17-Mar-2018 - 00:00,25.72,63.38,54.48,,,27.17,118.11,61.54,,18-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
18-Mar-2018 - 00:00,47.88,71.41,76.74,,,35.2,152.06,85.84,,19-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
19-Mar-2018 - 00:00,89.98,75.97,113.39,,,48.19,138.57,69.65,,20-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
20-Mar-2018 - 00:00,142.93,92.72,167.91,,,69.77,210.1,101.21,,21-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
21-Mar-2018 - 00:00,81.21,70.15,102.98,,,46.53,267.61,141.45,,22-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
22-Mar-2018 - 00:00,34.98,61.51,60.78,,,30.76,166.76,84.75,,23-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
23-Mar-2018 - 00:00,24.48,57.65,50.31,,,26.73,123.7,55.55,,24-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
24-Mar-2018 - 00:00,19.59,55.72,45.45,,,24.21,151.33,66.35,,25-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
25-Mar-2018 - 00:00,20.54,57.1,46.9,,,24.94,161.4,82.39,,26-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
26-Mar-2018 - 00:00,41.76,65.96,68.97,,,32.7,161.09,72.19,,27-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
27-Mar-2018 - 00:00,76.0,71.26,141.74,,,64.3,207.73,96.56,,28-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
28-Mar-2018 - 00:00,69.04,65.71,161.88,,,81.11,197.64,95.3,,29-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
29-Mar-2018 - 00:00,26.66,65.59,56.35,,,28.48,159.83,83.66,,30-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
30-Mar-2018 - 00:00,61.77,78.45,91.73,,,40.38,172.56,82.12,,31-Mar-2018 - 00:00,"ITO, Delhi - CPCB"
