from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,MP-Xylene,AT,RH,WS,WD,SR,BP,RF,to date,station
01-Jan-2018 - 00:00,25.79,0.64,9.01,2.43,20.26,12.75,16.82,8.78,84.89,155.05,0.28,1.16,1.21,0.12,23.15,45.59,1.38,187.34,113.78,742.47,0.0,02-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
02-Jan-2018 - 00:00,25.95,0.57,9.52,2.78,20.64,13.24,18.28,8.44,101.11,182.67,0.3,1.36,1.52,0.24,22.79,47.02,1.1,182.2,107.18,742.5,0.0,03-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
03-Jan-2018 - 00:00,23.79,0.56,8.96,2.36,20.53,12.84,14.3,8.29,96.12,171.69,0.25,1.2,1.24,0.13,22.92,45.09,1.41,200.39,113.34,743.0,0.0,04-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
04-Jan-2018 - 00:00,26.51,0.67,9.85,2.48,20.75,13.06,15.98,9.3,97.7,178.85,0.29,1.14,1.23,0.2,22.29,44.61,1.2,163.0,111.14,743.0,0.0,05-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
05-Jan-2018 - 00:00,26.4,0.71,10.62,2.59,20.47,12.99,15.13,8.4,75.45,142.61,0.26,1.27,1.47,0.18,22.53,44.93,1.47,150.04,115.25,742.91,0.0,06-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
06-Jan-2018 - 00:00,26.07,0.53,10.54,2.44,20.32,12.79,15.38,8.46,78.17,152.25,0.25,1.15,1.41,0.18,22.89,45.34,1.44,160.68,113.5,742.62,0.0,07-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
07-Jan-2018 - 00:00,25.16,0.63,10.74,2.11,20.46,12.59,17.07,8.12,80.83,140.22,0.23,0.92,1.37,0.44,22.82,46.47,1.36,191.08,103.2,742.94,0.0,08-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
08-Jan-2018 - 00:00,24.23,0.44,9.28,2.16,19.87,12.32,16.06,8.22,64.97,130.1,0.18,0.77,1.07,0.46,22.67,45.77,1.86,176.6,108.06,743.0,0.0,09-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
09-Jan-2018 - 00:00,23.83,0.56,9.28,2.53,20.05,12.72,15.64,8.41,85.79,152.24,0.21,0.83,0.98,0.31,22.42,43.43,1.36,196.85,117.17,743.17,0.0,10-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
10-Jan-2018 - 00:00,24.31,0.59,9.55,2.57,20.33,12.9,15.65,8.65,72.57,150.79,0.22,1.01,1.14,0.25,22.79,43.67,1.25,190.11,115.89,743.21,0.0,11-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
11-Jan-2018 - 00:00,24.32,0.71,11.02,3.08,21.1,13.72,16.15,9.84,91.75,191.78,0.29,1.45,1.49,0.33,23.68,44.33,1.05,235.56,116.08,743.16,0.0,12-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
12-Jan-2018 - 00:00,21.88,0.73,10.73,3.82,20.93,14.24,12.81,9.36,93.43,185.96,0.34,1.75,1.64,0.25,24.35,44.77,1.05,226.77,115.7,743.0,0.0,13-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
13-Jan-2018 - 00:00,23.87,0.41,9.23,2.45,20.2,12.75,13.19,8.88,59.71,127.82,0.23,1.04,1.06,0.2,24.95,40.03,1.51,206.34,115.75,743.0,0.0,14-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
14-Jan-2018 - 00:00,23.22,0.63,12.09,2.85,19.93,12.92,12.72,8.08,107.5,185.51,0.26,0.97,0.98,0.23,25.43,42.24,1.22,172.17,103.82,743.0,0.0,15-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
15-Jan-2018 - 00:00,23.76,0.67,14.08,2.53,20.1,12.73,13.33,8.24,60.18,128.53,0.18,0.97,1.11,0.15,26.49,42.1,1.39,195.91,114.07,743.07,0.0,16-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
16-Jan-2018 - 00:00,25.74,0.52,12.8,2.88,21.04,13.54,13.32,8.84,53.45,130.56,0.22,1.24,1.42,0.33,24.93,41.91,1.65,211.12,125.1,743.0,0.0,17-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
17-Jan-2018 - 00:00,23.28,0.71,12.77,3.31,20.81,13.75,13.75,9.07,54.31,134.6,0.24,2.07,2.37,1.34,24.31,40.02,1.41,176.24,125.5,743.0,0.0,18-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
18-Jan-2018 - 00:00,27.24,0.56,13.36,2.82,20.79,13.35,18.17,9.41,45.88,136.3,0.28,2.0,2.4,1.44,24.04,39.91,1.79,210.13,133.46,743.0,0.0,19-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
19-Jan-2018 - 00:00,27.8,0.42,13.42,2.62,20.77,13.17,17.24,8.87,51.3,125.21,0.29,1.73,2.27,1.56,23.11,38.92,1.48,228.13,132.2,743.01,0.0,20-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
20-Jan-2018 - 00:00,23.84,0.6,12.95,2.87,20.38,13.18,14.03,8.98,71.77,148.9,0.35,1.6,1.53,0.83,23.15,40.8,1.18,188.68,133.73,743.0,0.0,21-Jan-2018 - 00:00,"Chandrapur, Chandrapur - MPCB"
