from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
01-Feb-2018 - 00:00,21.93,991.06,334.56,154.44,55.71,467.77,312.26,1.88,0.0,,,,31.91,8.81,38.86,27.25,1.1,4.8,6.33,02-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
02-Feb-2018 - 00:00,18.03,989.69,285.52,134.58,70.7,430.86,294.32,1.63,0.0,,,,35.69,28.91,55.68,24.14,0.92,,4.71,03-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
03-Feb-2018 - 00:00,16.71,992.31,261.7,116.08,64.28,435.87,297.72,1.84,0.0,,,,35.57,17.38,43.31,24.05,0.8,,6.45,04-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
04-Feb-2018 - 00:00,16.15,992.71,276.42,147.38,62.84,421.73,298.67,1.9,0.0,0.69,3.27,0.3,27.9,10.68,38.09,24.97,0.88,5.62,6.14,05-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
05-Feb-2018 - 00:00,14.99,994.89,381.42,199.5,60.64,393.33,296.78,1.49,0.0,0.92,2.75,0.16,34.14,33.35,63.84,33.16,1.15,46.14,6.94,06-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
06-Feb-2018 - 00:00,16.63,994.77,307.0,149.42,57.85,425.72,305.45,2.31,0.0,0.97,2.17,0.09,31.97,10.57,36.15,23.06,0.87,54.42,6.04,07-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
07-Feb-2018 - 00:00,16.12,991.71,289.88,152.25,55.33,453.27,308.19,2.05,0.0,1.13,2.2,0.11,29.22,6.29,35.34,28.11,0.86,66.1,6.18,08-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
08-Feb-2018 - 00:00,14.34,990.87,391.0,203.79,69.59,424.04,278.76,1.31,0.0,1.58,3.83,0.34,31.03,93.79,129.45,38.38,1.77,56.42,4.76,09-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
09-Feb-2018 - 00:00,14.7,991.07,398.71,216.96,70.39,427.81,279.15,1.43,0.0,1.33,3.18,0.36,39.08,65.42,98.71,44.27,1.88,49.55,5.99,10-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
10-Feb-2018 - 00:00,15.21,993.64,377.58,199.75,65.72,431.93,244.09,1.03,0.0,1.22,3.28,0.45,40.82,70.79,102.29,39.14,2.03,50.81,7.01,11-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
11-Feb-2018 - 00:00,17.51,,402.71,176.33,59.07,417.54,169.83,1.8,0.0,0.83,2.98,0.31,51.44,35.73,65.63,32.1,1.46,46.72,9.34,12-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
12-Feb-2018 - 00:00,17.05,997.11,206.58,80.83,77.33,308.29,130.91,2.75,0.0,0.56,2.36,0.16,45.69,2.41,19.44,15.56,0.81,40.29,5.06,13-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
13-Feb-2018 - 00:00,15.74,998.68,177.04,114.67,87.85,427.26,274.14,1.71,0.0,1.12,1.95,0.14,28.7,8.18,34.34,24.68,0.72,39.29,2.6,14-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
14-Feb-2018 - 00:00,16.49,998.76,152.88,70.58,70.76,437.65,308.85,2.49,0.0,1.04,1.06,0.04,20.07,1.84,25.6,16.3,0.55,51.06,2.11,15-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
15-Feb-2018 - 00:00,17.38,996.74,192.0,104.42,73.31,437.8,305.89,2.44,0.0,0.72,1.65,0.04,33.67,3.37,28.17,21.14,0.67,49.08,3.31,16-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
16-Feb-2018 - 00:00,18.15,995.26,237.21,137.12,76.55,435.74,303.83,1.78,0.0,0.78,1.82,0.07,42.6,5.36,30.13,19.07,1.01,57.26,5.12,17-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
17-Feb-2018 - 00:00,19.19,990.12,254.92,135.46,72.62,433.22,291.49,1.95,0.0,0.63,1.81,0.07,43.78,5.32,32.23,24.68,0.86,51.31,4.88,18-Feb-2018 - 00:00,"Sonia Vihar, Delhi - DPCC"
