from date,AT,BP,PM10,PM2.5,RH,SR,Toluene,WD,WS,CO,Benzene,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
31-Aug-2018 - 00:00,31.28,976.06,159.6,39.29,77.56,159.55,56.02,220.51,1.17,1.21,2.61,28.0,43.2,40.46,56.91,9.65,8.1,01-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
01-Sep-2018 - 00:00,27.95,978.27,118.48,39.83,93.3,52.58,67.2,174.42,0.77,1.71,4.48,28.25,70.12,50.77,84.07,4.49,12.07,02-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
02-Sep-2018 - 00:00,26.9,978.04,79.05,34.21,94.85,67.48,77.02,233.04,0.95,1.39,3.69,,49.03,37.93,59.98,8.65,8.26,03-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
03-Sep-2018 - 00:00,26.75,978.32,71.82,38.42,96.2,50.17,60.34,114.62,0.62,1.53,2.61,,37.05,39.18,51.06,29.94,8.81,04-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
04-Sep-2018 - 00:00,27.56,978.89,183.9,62.04,92.76,60.53,70.43,179.0,0.62,2.48,4.69,31.95,122.73,64.77,134.61,20.13,9.57,05-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
05-Sep-2018 - 00:00,28.24,978.13,160.62,42.29,87.6,112.75,80.6,225.94,0.88,1.97,4.57,32.36,112.01,55.51,121.25,5.36,7.69,06-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
06-Sep-2018 - 00:00,29.51,977.45,140.23,33.67,80.91,189.81,69.53,241.13,1.27,1.58,3.13,28.3,75.64,48.38,87.63,10.14,8.93,07-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
07-Sep-2018 - 00:00,26.81,979.79,85.24,28.7,94.6,28.41,79.77,122.97,0.7,2.02,6.42,31.82,61.62,64.2,84.24,8.92,12.28,08-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
08-Sep-2018 - 00:00,28.05,980.59,55.34,19.35,87.33,134.82,57.88,75.79,2.37,0.97,2.28,23.64,8.19,22.36,18.66,24.39,8.31,09-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
09-Sep-2018 - 00:00,27.74,981.99,42.74,11.58,85.36,169.25,47.56,113.36,2.15,0.71,0.8,16.8,12.96,15.63,18.99,18.18,12.74,10-Sep-2018 - 00:00,"Pusa, Delhi - DPCC"
