from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,VWS,to date,station
22-Jan-2018 - 00:00,33.75,3.4,38.15,28.05,43.86,28.98,48.78,201.16,0.69,3.72,2.02,12.32,86.45,0.3,199.89,34.38,754.02,-0.13,23-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
23-Jan-2018 - 00:00,32.27,3.18,35.2,53.83,69.4,53.0,48.05,195.82,0.73,3.74,2.79,14.37,80.97,0.3,199.36,37.54,753.27,-0.12,24-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
24-Jan-2018 - 00:00,31.26,1.91,42.63,22.32,35.46,23.71,47.58,167.68,0.58,3.26,2.23,16.24,74.8,0.3,193.89,29.76,752.73,-0.16,25-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
25-Jan-2018 - 00:00,31.88,1.22,55.6,7.13,21.4,10.08,49.66,115.04,0.35,2.7,1.22,15.42,76.25,0.3,229.72,35.23,753.26,-0.13,26-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
26-Jan-2018 - 00:00,32.06,1.31,46.18,7.31,9.29,6.99,48.74,109.29,0.36,2.81,0.81,11.54,90.95,0.3,202.69,16.46,754.04,-0.12,27-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
27-Jan-2018 - 00:00,31.85,2.49,43.3,42.11,46.19,40.34,45.81,155.55,0.48,2.99,1.63,13.35,82.94,0.3,189.44,35.19,753.96,-0.13,28-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
28-Jan-2018 - 00:00,31.88,2.66,45.5,21.9,23.01,19.66,29.81,241.24,0.62,3.64,1.85,13.82,77.83,0.3,192.55,34.31,754.46,-0.12,29-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
29-Jan-2018 - 00:00,31.93,2.32,32.03,18.51,14.24,14.91,31.19,198.88,0.67,3.6,1.7,9.88,93.54,0.3,204.54,3.0,754.75,-0.1,30-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
30-Jan-2018 - 00:00,31.59,2.82,34.49,61.58,90.52,70.64,36.02,286.85,0.61,3.27,2.16,14.26,80.68,0.3,194.15,32.89,753.67,-0.11,31-Jan-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
31-Jan-2018 - 00:00,30.84,2.86,50.29,30.88,68.17,37.17,36.85,256.52,0.63,3.14,1.96,15.16,79.49,0.3,151.69,26.32,753.53,-0.12,01-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
01-Feb-2018 - 00:00,28.91,2.86,34.42,10.5,14.73,10.41,34.26,209.66,0.63,3.33,1.53,14.84,85.88,0.3,208.21,27.75,753.95,-0.12,02-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
02-Feb-2018 - 00:00,30.17,2.95,51.71,12.34,8.61,9.91,37.37,196.56,0.68,3.25,1.87,17.05,80.38,0.3,178.18,27.67,753.56,-0.12,03-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
03-Feb-2018 - 00:00,30.96,2.78,44.31,47.21,100.41,82.6,30.63,150.45,0.82,3.81,2.59,18.02,81.97,0.3,151.55,25.46,754.04,-0.13,04-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
04-Feb-2018 - 00:00,29.7,2.31,38.9,33.23,119.2,52.12,34.64,101.28,0.59,3.59,1.85,19.57,74.68,0.3,212.86,31.9,753.89,-0.12,05-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
05-Feb-2018 - 00:00,29.89,1.68,55.01,9.2,49.48,18.79,34.58,80.3,0.38,3.05,1.27,18.95,65.23,0.3,203.93,36.85,755.51,-0.12,06-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
06-Feb-2018 - 00:00,30.51,1.33,66.16,5.2,32.92,11.93,36.63,102.64,0.35,2.6,0.94,17.99,63.44,0.3,207.16,35.29,754.62,-0.11,07-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
07-Feb-2018 - 00:00,31.75,1.14,66.77,4.52,28.75,10.4,36.56,126.44,0.35,2.97,0.84,17.91,60.91,0.31,214.04,26.31,753.4,-0.12,08-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
08-Feb-2018 - 00:00,33.09,1.1,76.36,4.05,25.34,9.21,26.98,109.64,0.35,2.51,0.84,18.5,53.67,0.32,220.75,37.55,753.33,-0.15,09-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
09-Feb-2018 - 00:00,32.65,1.13,90.6,3.95,24.42,8.9,38.65,101.23,0.33,2.69,0.79,19.69,48.36,0.31,227.59,34.39,753.27,-0.13,10-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
10-Feb-2018 - 00:00,32.55,1.22,76.41,4.25,21.58,8.33,39.67,121.15,0.33,2.65,0.71,17.49,52.05,0.32,203.41,31.04,754.92,-0.11,11-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
11-Feb-2018 - 00:00,32.53,1.65,23.21,9.61,20.89,11.25,37.47,157.82,0.35,3.21,0.79,13.76,62.27,0.3,179.07,16.9,755.88,-0.11,12-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
12-Feb-2018 - 00:00,32.55,2.11,42.6,11.0,28.1,13.94,31.54,183.13,0.36,2.83,1.55,17.82,73.71,0.31,178.87,7.58,757.02,-0.12,13-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
13-Feb-2018 - 00:00,32.33,1.4,25.47,11.0,25.02,13.44,36.71,149.1,0.35,2.89,1.21,17.05,84.01,0.31,207.05,16.99,756.96,-0.11,14-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
14-Feb-2018 - 00:00,31.61,0.85,44.2,6.39,22.1,9.81,31.03,105.62,0.35,2.89,0.85,19.55,72.5,0.34,222.52,51.72,756.34,-0.13,15-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
15-Feb-2018 - 00:00,31.5,0.9,54.66,5.72,20.79,9.04,38.06,97.59,0.25,2.3,0.71,17.77,63.48,0.32,206.11,53.83,756.5,-0.11,16-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
16-Feb-2018 - 00:00,31.94,1.09,38.09,6.66,22.45,10.07,33.74,138.03,0.35,2.72,0.86,18.42,68.52,0.31,198.45,49.45,755.6,-0.12,17-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
17-Feb-2018 - 00:00,31.46,1.03,47.66,17.45,51.64,26.86,34.7,156.36,0.35,2.51,0.79,19.17,71.89,0.31,199.07,47.47,753.52,-0.11,18-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
18-Feb-2018 - 00:00,32.4,1.54,61.64,27.04,49.47,29.84,54.63,163.24,0.4,3.34,1.06,20.74,68.05,0.31,189.83,49.09,753.35,-0.11,19-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
19-Feb-2018 - 00:00,31.21,1.42,60.05,14.32,27.19,16.07,50.55,157.56,0.46,3.15,1.66,21.7,62.39,0.3,166.89,47.47,753.76,-0.12,20-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
20-Feb-2018 - 00:00,29.86,1.5,47.73,23.96,55.18,37.86,42.77,171.86,0.42,2.98,1.48,21.33,63.27,0.3,160.25,45.08,753.95,-0.12,21-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
21-Feb-2018 - 00:00,31.8,2.12,49.86,21.32,36.51,22.87,39.24,176.61,0.43,3.35,1.58,20.73,62.31,0.31,185.62,47.19,753.09,-0.11,22-Feb-2018 - 00:00,"IGSC Planetarium Complex, Patna - BSPCB"
