from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,to date,station
24-Jan-2018 - 00:00,30.24,0.64,69.02,2.2,29.37,17.41,43.61,15.93,66.08,136.79,0.35,7.17,0.9,24.71,56.06,1.83,216.42,101.04,724.26,25-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
25-Jan-2018 - 00:00,30.52,0.69,76.34,2.18,30.91,18.21,30.05,22.22,64.0,155.58,0.36,11.77,0.96,25.04,48.14,1.17,195.18,105.36,724.33,26-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
26-Jan-2018 - 00:00,30.66,0.67,90.74,1.61,31.85,18.24,27.43,20.94,64.03,156.75,0.3,5.47,0.04,25.22,44.04,0.97,82.35,106.97,724.56,27-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
27-Jan-2018 - 00:00,30.74,0.71,81.45,2.0,39.27,22.51,27.73,16.79,67.72,157.29,0.34,5.29,0.21,25.39,46.3,0.8,104.17,103.97,724.69,28-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
28-Jan-2018 - 00:00,30.37,0.71,68.85,1.56,31.87,18.21,31.9,12.49,73.82,154.49,0.31,6.38,0.15,25.31,53.22,1.13,109.42,102.75,725.33,29-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
29-Jan-2018 - 00:00,30.51,0.65,70.06,1.8,32.72,18.87,31.6,10.13,70.32,151.55,0.34,5.35,0.07,25.19,53.84,1.21,92.96,108.28,726.43,30-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
30-Jan-2018 - 00:00,30.91,0.59,87.87,1.86,33.53,19.35,17.97,18.34,53.33,139.95,0.16,0.9,0.02,25.28,41.48,1.38,68.85,116.45,726.71,31-Jan-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
31-Jan-2018 - 00:00,31.07,0.69,69.32,2.14,33.77,19.7,16.05,20.16,44.95,121.99,0.26,3.52,0.04,25.92,36.57,1.29,70.48,119.04,726.83,01-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
01-Feb-2018 - 00:00,30.99,0.72,56.56,10.27,57.52,38.94,42.34,39.45,50.09,135.78,1.23,15.48,0.21,26.52,35.54,1.06,104.93,118.31,726.61,02-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
02-Feb-2018 - 00:00,31.32,0.62,53.91,4.46,49.79,30.13,31.57,25.43,43.08,121.65,0.57,9.71,0.2,26.91,35.43,1.01,110.83,119.69,725.77,03-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
03-Feb-2018 - 00:00,30.96,0.7,66.54,2.73,39.9,23.44,22.92,10.49,47.93,136.18,0.26,3.18,0.18,26.28,39.9,1.06,124.44,114.51,725.75,04-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
04-Feb-2018 - 00:00,30.86,0.54,71.12,2.49,31.31,18.68,19.26,11.91,44.08,125.38,0.19,3.96,0.25,25.66,41.53,1.04,125.62,114.73,726.12,05-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
05-Feb-2018 - 00:00,30.58,0.52,68.13,2.11,30.72,18.05,22.95,8.49,45.1,125.74,0.18,2.32,0.36,25.46,47.67,1.12,113.29,109.35,727.22,06-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
06-Feb-2018 - 00:00,30.67,0.74,50.41,3.01,45.27,26.54,26.91,18.39,51.52,146.38,0.76,7.38,0.21,25.71,48.11,1.02,102.97,112.81,727.06,07-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
07-Feb-2018 - 00:00,30.71,0.69,62.04,3.09,42.17,24.94,31.91,23.42,59.21,144.52,0.47,10.88,0.17,25.93,45.26,0.78,144.68,63.45,726.48,08-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
08-Feb-2018 - 00:00,30.45,0.9,41.49,11.65,60.28,41.54,45.82,32.6,51.17,123.85,0.57,17.32,0.39,27.13,45.56,0.84,160.15,113.83,725.38,09-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
09-Feb-2018 - 00:00,30.57,0.84,46.1,8.87,50.18,33.9,37.83,23.34,57.65,146.19,0.68,9.64,0.58,26.78,45.54,1.32,216.11,92.35,725.18,10-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
10-Feb-2018 - 00:00,30.31,0.69,39.53,3.1,38.2,22.84,36.99,14.58,55.65,127.76,0.33,6.46,0.14,26.5,54.17,0.99,118.09,70.47,726.18,11-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
11-Feb-2018 - 00:00,30.34,0.5,44.16,1.8,18.04,11.07,27.95,6.26,46.95,99.34,0.12,1.27,0.03,26.53,54.33,1.9,129.19,102.93,726.48,12-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
12-Feb-2018 - 00:00,30.14,0.45,40.53,1.96,18.11,11.23,27.11,4.85,53.03,97.07,0.09,1.12,0.02,25.91,62.02,2.23,121.27,103.91,727.56,13-Feb-2018 - 00:00,"Bollaram Industrial Area, Hyderabad - TSPCB"
