from date,PM10,SO2,NOx,CO,WD,WS,Temp,RH,SR,to date,station
01-Jan-2018 - 00:00,130.55,35.79,48.0,1.4,70.29,0.21,22.5,54.34,153.65,02-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Jan-2018 - 00:00,127.05,35.93,48.57,1.41,125.11,0.23,22.25,55.67,143.89,03-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Jan-2018 - 00:00,141.18,37.47,50.13,1.41,145.91,0.26,22.58,63.54,135.64,04-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Jan-2018 - 00:00,118.73,41.6,53.88,1.61,88.39,0.19,22.46,67.32,163.54,05-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Jan-2018 - 00:00,129.14,41.04,53.75,1.73,81.1,0.24,22.97,61.05,131.39,06-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Jan-2018 - 00:00,92.53,36.85,50.01,1.76,68.12,0.31,23.35,44.65,143.7,07-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Jan-2018 - 00:00,86.11,35.5,48.1,1.76,62.71,0.32,22.35,40.95,140.26,08-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Jan-2018 - 00:00,112.91,39.34,52.01,1.81,99.75,0.23,21.67,55.79,131.44,09-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Jan-2018 - 00:00,147.6,43.69,56.46,1.82,124.99,0.31,23.21,58.49,133.14,10-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Jan-2018 - 00:00,163.12,45.64,58.4,1.83,76.88,0.26,24.47,52.79,131.93,11-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Jan-2018 - 00:00,134.23,43.93,56.79,1.82,112.92,0.24,26.13,45.19,122.83,12-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
