from date,PM10,SO2,NOx,CO,WD,WS,Temp,RH,SR,to date,station
12-Jan-2018 - 00:00,127.93,46.21,58.91,1.88,101.31,0.25,27.43,50.23,94.83,13-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Jan-2018 - 00:00,123.58,45.95,59.46,1.86,119.72,0.18,26.26,53.39,106.24,14-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Jan-2018 - 00:00,134.45,48.95,61.87,1.86,126.65,0.27,26.64,59.84,115.47,15-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Jan-2018 - 00:00,145.15,49.61,62.51,1.78,84.49,0.25,27.22,57.97,110.76,16-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Jan-2018 - 00:00,126.61,51.12,64.09,1.71,107.05,0.28,27.53,49.13,116.24,17-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Jan-2018 - 00:00,102.18,50.11,63.04,1.79,96.7,0.27,26.73,47.25,160.69,18-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Jan-2018 - 00:00,73.96,41.5,54.25,1.84,65.63,0.52,27.35,40.4,162.56,19-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Jan-2018 - 00:00,75.5,41.54,54.29,1.78,72.17,0.33,26.19,39.71,148.81,20-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Jan-2018 - 00:00,98.92,40.96,53.61,1.65,124.36,0.23,25.66,40.33,155.29,21-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Jan-2018 - 00:00,102.25,43.92,56.71,1.63,123.93,0.23,24.87,47.07,149.72,22-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Jan-2018 - 00:00,118.5,44.83,57.66,1.57,133.13,0.2,24.44,52.61,152.39,23-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Jan-2018 - 00:00,103.59,43.75,56.56,1.5,69.59,0.32,23.14,60.39,155.87,24-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Jan-2018 - 00:00,108.69,41.52,54.25,1.46,92.61,0.26,22.57,48.79,175.14,25-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Jan-2018 - 00:00,129.81,42.88,55.66,1.43,79.98,0.25,23.59,48.44,179.03,26-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Jan-2018 - 00:00,81.1,39.72,52.42,1.39,100.9,0.29,24.68,39.36,182.83,27-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Jan-2018 - 00:00,95.79,40.51,53.21,1.31,84.4,0.29,24.02,42.41,164.38,28-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Jan-2018 - 00:00,94.68,42.91,55.67,1.29,81.73,0.25,23.19,44.6,188.15,29-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Jan-2018 - 00:00,118.41,44.07,56.85,1.25,93.96,0.28,24.6,46.47,156.88,30-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Jan-2018 - 00:00,127.39,45.28,58.21,1.23,111.8,0.15,26.37,39.79,164.83,31-Jan-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
31-Jan-2018 - 00:00,145.25,48.64,61.54,1.21,137.68,0.18,25.86,37.91,144.34,01-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Feb-2018 - 00:00,135.58,50.12,63.05,1.07,131.54,0.17,25.34,39.27,135.05,02-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Feb-2018 - 00:00,136.1,49.39,62.29,1.0,126.73,0.21,25.17,42.98,143.52,03-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Feb-2018 - 00:00,149.3,50.06,63.01,0.91,69.99,0.2,25.38,46.73,137.35,04-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Feb-2018 - 00:00,124.37,50.7,63.37,0.8,124.02,0.12,26.63,43.32,131.45,05-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Feb-2018 - 00:00,136.26,52.52,65.52,0.67,162.79,0.15,25.21,49.07,127.36,06-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Feb-2018 - 00:00,145.41,50.31,66.17,0.59,146.26,0.2,25.92,50.13,91.28,07-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Feb-2018 - 00:00,145.05,50.06,65.77,0.46,172.25,0.19,25.59,53.76,61.34,08-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Feb-2018 - 00:00,148.08,57.85,70.89,0.45,162.28,0.21,25.41,65.81,133.14,09-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Feb-2018 - 00:00,106.22,52.15,67.87,0.25,98.53,0.22,24.07,51.43,165.69,10-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Feb-2018 - 00:00,83.71,48.11,66.81,0.04,92.55,0.25,22.84,41.4,144.88,11-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Feb-2018 - 00:00,66.22,49.65,65.47,0.13,128.76,0.24,23.88,58.57,172.22,12-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Feb-2018 - 00:00,58.23,47.15,62.66,0.09,169.94,0.36,22.59,59.9,169.78,13-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Feb-2018 - 00:00,106.14,52.35,64.71,0.12,118.76,,24.78,57.66,194.1,14-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Feb-2018 - 00:00,99.88,52.15,64.51,1.63,104.5,,28.45,50.3,139.77,15-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Feb-2018 - 00:00,77.41,50.48,51.43,1.75,112.31,,30.68,43.68,142.19,16-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Feb-2018 - 00:00,103.88,56.43,28.81,2.5,111.55,,30.05,45.29,147.66,17-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Feb-2018 - 00:00,121.3,54.37,28.21,2.42,100.04,,29.08,36.75,174.4,18-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Feb-2018 - 00:00,102.32,51.3,27.32,2.37,101.16,,28.87,35.72,154.28,19-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Feb-2018 - 00:00,141.72,53.42,27.94,2.32,123.28,,28.8,38.64,174.65,20-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Feb-2018 - 00:00,170.13,60.68,30.06,2.28,136.31,,28.75,46.92,159.91,21-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Feb-2018 - 00:00,141.0,,,,,,,,,22-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Feb-2018 - 00:00,123.58,45.44,25.61,1.69,170.29,,33.84,36.79,201.21,23-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Feb-2018 - 00:00,164.79,32.44,21.82,1.82,158.61,,29.69,57.01,166.0,24-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Feb-2018 - 00:00,147.9,31.32,21.49,1.93,173.06,,29.74,45.79,160.58,25-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Feb-2018 - 00:00,119.52,29.03,20.83,1.95,141.17,,31.83,34.89,157.39,26-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Feb-2018 - 00:00,124.26,30.41,21.23,1.97,153.0,,31.1,36.22,166.12,27-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Feb-2018 - 00:00,138.6,33.68,22.18,1.99,173.81,,31.11,34.85,158.77,28-Feb-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Feb-2018 - 00:00,149.79,33.64,22.17,2.04,187.0,,31.15,38.66,158.72,01-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Mar-2018 - 00:00,160.86,35.92,22.83,2.09,194.75,,30.1,48.47,151.81,02-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Mar-2018 - 00:00,140.07,35.89,22.83,2.14,139.82,,30.44,59.41,139.01,03-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Mar-2018 - 00:00,112.92,35.35,22.67,2.16,219.21,,30.51,58.69,158.85,04-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Mar-2018 - 00:00,88.54,34.4,22.39,2.18,215.09,,30.38,63.62,158.13,05-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Mar-2018 - 00:00,107.64,33.6,22.16,2.22,97.89,,30.26,51.2,177.06,06-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Mar-2018 - 00:00,119.38,36.27,22.94,2.35,148.56,,31.25,44.4,171.35,07-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Mar-2018 - 00:00,94.06,35.1,22.6,2.39,189.14,,30.79,49.92,151.1,08-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Mar-2018 - 00:00,99.7,30.69,21.31,2.5,192.35,,28.91,57.86,192.0,09-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Mar-2018 - 00:00,95.36,30.33,21.2,2.49,119.11,,28.88,42.85,205.47,10-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Mar-2018 - 00:00,114.37,32.54,21.85,2.43,198.57,,30.53,47.63,173.94,11-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Mar-2018 - 00:00,106.25,32.5,21.84,2.5,88.97,,32.08,40.88,179.92,12-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Mar-2018 - 00:00,101.74,33.05,22.0,2.53,123.08,,31.86,29.84,194.23,13-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Mar-2018 - 00:00,117.56,33.82,22.22,2.55,97.55,,31.78,28.45,158.73,14-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Mar-2018 - 00:00,74.53,33.91,22.25,2.55,90.08,,32.51,26.18,123.96,15-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Mar-2018 - 00:00,95.38,30.26,21.18,2.75,143.79,,29.14,49.33,20.36,16-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Mar-2018 - 00:00,93.3,30.96,21.39,2.77,190.0,,29.71,46.16,148.02,17-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Mar-2018 - 00:00,108.43,30.67,21.3,2.79,155.24,,30.63,44.74,182.19,18-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Mar-2018 - 00:00,96.09,31.68,21.6,2.79,230.02,,30.59,58.96,152.57,19-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Mar-2018 - 00:00,76.48,30.04,21.12,2.75,244.36,,30.27,58.36,229.52,20-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Mar-2018 - 00:00,79.49,29.29,20.9,2.77,153.03,,30.28,58.02,232.58,21-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Mar-2018 - 00:00,75.3,28.32,20.62,2.84,129.37,,29.64,58.43,219.41,22-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Mar-2018 - 00:00,90.85,28.15,20.57,2.97,182.47,,28.33,57.77,225.03,23-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Mar-2018 - 00:00,114.7,28.84,20.77,3.05,165.79,,28.45,58.43,219.79,24-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Mar-2018 - 00:00,121.0,29.63,21.0,3.11,184.46,,30.24,52.35,223.81,25-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Mar-2018 - 00:00,,27.05,20.25,3.19,122.15,,37.81,22.8,165.01,26-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Mar-2018 - 00:00,128.02,30.31,24.69,2.9,192.81,,34.58,33.43,181.04,27-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Mar-2018 - 00:00,80.01,31.08,35.97,2.27,207.43,,30.74,73.67,180.97,28-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Mar-2018 - 00:00,72.99,29.57,34.83,2.25,270.82,,30.43,73.84,238.37,29-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Mar-2018 - 00:00,72.04,28.64,34.13,2.23,195.44,,30.13,72.01,242.91,30-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Mar-2018 - 00:00,65.31,25.4,31.68,2.27,208.03,,30.0,72.38,250.86,31-Mar-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
31-Mar-2018 - 00:00,64.3,24.57,31.05,2.18,271.43,,30.22,71.69,255.47,01-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Apr-2018 - 00:00,76.33,24.93,31.32,2.27,146.77,,30.14,69.21,206.24,02-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Apr-2018 - 00:00,81.46,25.72,31.92,2.34,172.07,,30.68,61.54,213.45,03-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Apr-2018 - 00:00,98.84,27.61,33.35,2.32,99.89,,30.25,61.59,193.58,04-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Apr-2018 - 00:00,95.89,27.73,33.44,2.4,167.16,,31.51,53.72,230.61,05-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Apr-2018 - 00:00,109.87,27.67,33.39,2.41,176.66,,31.44,57.73,198.87,06-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Apr-2018 - 00:00,123.81,27.51,33.27,2.46,138.93,,31.05,56.51,161.91,07-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Apr-2018 - 00:00,114.28,26.3,32.35,2.56,150.09,,31.52,60.1,170.78,08-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Apr-2018 - 00:00,113.43,26.6,32.58,2.7,188.76,,30.85,58.61,183.44,09-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Apr-2018 - 00:00,107.18,25.21,31.53,2.85,107.08,,30.79,56.96,247.41,10-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Apr-2018 - 00:00,96.28,25.26,31.57,2.24,97.73,,31.59,61.35,219.37,11-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Apr-2018 - 00:00,91.15,27.86,33.54,1.0,145.01,,31.12,67.06,189.16,12-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Apr-2018 - 00:00,86.64,109.33,55.01,1.13,183.46,,30.98,69.58,211.48,13-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Apr-2018 - 00:00,89.38,14.7,43.55,1.25,138.79,,31.33,67.02,240.21,14-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Apr-2018 - 00:00,63.26,10.67,35.02,1.27,170.82,,31.09,68.76,197.39,15-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-Apr-2018 - 00:00,62.62,24.83,44.0,1.28,236.03,,31.12,72.0,163.57,16-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-Apr-2018 - 00:00,83.27,25.87,31.33,1.31,137.27,,32.39,66.27,181.85,17-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-Apr-2018 - 00:00,91.61,30.09,23.45,1.36,102.65,,33.48,63.08,153.34,18-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-Apr-2018 - 00:00,83.51,31.82,20.32,1.41,180.46,,33.86,63.27,185.41,19-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-Apr-2018 - 00:00,109.28,29.22,18.94,1.46,134.87,,33.74,55.26,182.69,20-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-Apr-2018 - 00:00,76.69,27.31,17.93,1.5,184.96,,31.65,63.34,195.53,21-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-Apr-2018 - 00:00,69.79,26.26,17.37,1.53,139.73,,32.02,62.55,210.75,22-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-Apr-2018 - 00:00,79.57,24.99,16.7,1.55,96.92,,32.44,49.52,193.49,23-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-Apr-2018 - 00:00,93.87,24.64,16.52,1.63,192.93,,31.57,60.12,190.98,24-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-Apr-2018 - 00:00,88.86,23.83,16.09,1.7,166.73,,32.62,60.57,190.41,25-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-Apr-2018 - 00:00,82.17,23.39,15.86,1.75,75.23,,31.89,60.6,181.16,26-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-Apr-2018 - 00:00,64.67,22.97,15.64,1.76,168.73,,30.88,65.66,150.5,27-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-Apr-2018 - 00:00,52.66,22.59,15.43,1.83,131.12,,30.84,69.86,168.76,28-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-Apr-2018 - 00:00,36.55,22.42,15.35,1.87,143.68,,30.93,70.56,155.64,29-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-Apr-2018 - 00:00,52.53,21.75,14.99,1.86,205.7,,31.06,72.14,215.83,30-Apr-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-Apr-2018 - 00:00,68.49,49.37,32.16,1.9,167.55,,31.37,69.03,264.14,01-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-May-2018 - 00:00,57.17,70.79,45.17,1.94,243.51,,31.39,70.76,205.5,02-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-May-2018 - 00:00,52.16,66.09,43.18,2.02,238.92,,31.27,69.37,240.27,03-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-May-2018 - 00:00,52.84,40.37,27.2,2.08,176.08,,31.34,70.06,194.08,04-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-May-2018 - 00:00,48.97,22.46,16.15,2.13,225.31,,31.76,69.69,235.72,05-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-May-2018 - 00:00,48.94,20.72,15.65,2.18,114.77,,31.93,68.52,221.06,06-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-May-2018 - 00:00,55.01,19.21,15.21,2.23,135.87,,31.72,72.95,200.46,07-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-May-2018 - 00:00,43.21,17.19,14.64,2.28,159.52,,32.45,63.96,223.18,08-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-May-2018 - 00:00,99.7,39.87,17.75,1.77,174.95,,32.18,64.36,222.34,09-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-May-2018 - 00:00,106.91,57.21,20.08,1.39,116.11,,33.0,62.01,263.16,10-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-May-2018 - 00:00,83.23,55.12,19.63,1.42,187.19,,32.24,71.44,160.19,11-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-May-2018 - 00:00,50.37,76.68,24.19,1.46,236.07,,33.0,65.5,200.15,12-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-May-2018 - 00:00,62.01,31.99,24.45,1.47,128.66,,31.73,63.77,161.51,13-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-May-2018 - 00:00,65.35,15.42,25.16,1.52,126.54,,32.17,69.95,151.86,14-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-May-2018 - 00:00,121.19,14.06,24.01,1.57,128.94,,32.35,69.56,206.03,15-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
15-May-2018 - 00:00,89.87,27.94,17.83,1.71,186.14,,31.89,70.48,148.67,16-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
16-May-2018 - 00:00,84.98,49.8,17.13,1.86,124.77,,32.58,69.03,176.32,17-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
17-May-2018 - 00:00,86.99,51.2,17.42,1.9,136.03,,33.61,69.08,182.23,18-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
18-May-2018 - 00:00,80.21,46.44,21.03,2.0,126.29,,32.95,67.83,121.76,19-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
19-May-2018 - 00:00,76.64,44.01,22.66,2.08,204.77,,32.74,69.37,159.23,20-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
20-May-2018 - 00:00,76.13,43.67,22.54,1.99,254.66,,32.3,70.1,195.21,21-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
21-May-2018 - 00:00,73.35,41.73,21.87,2.04,130.86,,32.45,67.49,144.43,22-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
22-May-2018 - 00:00,72.63,41.23,21.69,2.1,292.34,,32.02,67.1,102.58,23-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
23-May-2018 - 00:00,70.99,40.09,21.3,2.15,237.79,,32.03,67.81,92.57,24-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
24-May-2018 - 00:00,68.16,38.12,20.61,2.21,112.01,,32.97,65.01,142.81,25-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
25-May-2018 - 00:00,68.34,38.24,20.65,2.28,68.19,,32.33,66.23,161.54,26-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
26-May-2018 - 00:00,69.87,39.31,21.02,2.39,95.87,,30.86,67.73,95.45,27-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
27-May-2018 - 00:00,65.06,36.1,19.91,2.47,159.67,,31.79,71.46,107.55,28-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
28-May-2018 - 00:00,64.18,35.36,19.65,2.52,124.46,,31.77,70.18,111.18,29-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
29-May-2018 - 00:00,88.45,35.05,19.54,2.56,145.53,,31.37,68.5,125.64,30-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
30-May-2018 - 00:00,105.96,38.18,27.9,2.63,145.39,,31.85,67.55,74.24,31-May-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
31-May-2018 - 00:00,104.42,40.55,34.34,2.75,210.48,,31.99,67.14,171.38,01-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
01-Jun-2018 - 00:00,97.8,38.0,32.75,2.24,105.51,,32.9,66.85,138.42,02-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
02-Jun-2018 - 00:00,99.56,38.64,33.15,1.21,144.28,,32.37,71.46,126.51,03-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
03-Jun-2018 - 00:00,102.5,39.82,33.88,1.24,112.6,,30.49,78.78,150.26,04-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
04-Jun-2018 - 00:00,99.47,38.6,33.13,1.22,160.15,,31.56,74.78,116.78,05-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
05-Jun-2018 - 00:00,96.45,37.42,32.39,1.38,145.8,,29.86,76.19,130.84,06-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
06-Jun-2018 - 00:00,53.8,19.24,21.04,1.07,285.51,,33.98,66.13,138.22,07-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
07-Jun-2018 - 00:00,53.19,18.4,20.52,1.17,241.15,,29.55,88.79,37.04,08-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
08-Jun-2018 - 00:00,74.81,27.19,26.0,1.14,218.27,,31.39,79.66,78.8,09-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
09-Jun-2018 - 00:00,42.33,19.16,20.99,0.94,208.47,,27.69,97.0,20.55,10-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
10-Jun-2018 - 00:00,29.9,17.9,20.2,0.51,222.57,,30.37,90.62,32.87,11-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
11-Jun-2018 - 00:00,58.66,17.4,19.89,0.59,225.16,,31.62,82.59,53.07,12-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
12-Jun-2018 - 00:00,73.0,18.94,21.52,0.69,231.42,,32.09,80.35,54.68,13-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
13-Jun-2018 - 00:00,103.77,23.2,26.41,0.8,236.09,,32.95,74.85,80.3,14-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
14-Jun-2018 - 00:00,103.69,23.31,26.46,0.86,225.03,,32.72,74.77,97.88,15-Jun-2018 - 00:00,"Airoli, Navi Mumbai - MPCB"
