from date,BP,PM2.5,RH,SR,Temp,THC,CO,NH3,NO,NO2,NOx,to date,CH4,SO2,station
01-Jan-2018 - 00:00,,,,,,0.53,,,,,,02-Jan-2018 - 00:00,,,"Peenya, Bengaluru - CPCB"
02-Jan-2018 - 00:00,,,,,,0.65,,,,,,03-Jan-2018 - 00:00,,,"Peenya, Bengaluru - CPCB"
03-Jan-2018 - 00:00,,,,,,0.65,,,,,,04-Jan-2018 - 00:00,,,"Peenya, Bengaluru - CPCB"
04-Jan-2018 - 00:00,,,,,,0.71,,,,,,05-Jan-2018 - 00:00,,,"Peenya, Bengaluru - CPCB"
05-Jan-2018 - 00:00,,,,,,0.4,,,,,,06-Jan-2018 - 00:00,,,"Peenya, Bengaluru - CPCB"
06-Jan-2018 - 00:00,,,,,,0.5,,,,,,07-Jan-2018 - 00:00,,,"Peenya, Bengaluru - CPCB"
07-Jan-2018 - 00:00,,,,,,0.62,,,,,,08-Jan-2018 - 00:00,,,"Peenya, Bengaluru - CPCB"
08-Jan-2018 - 00:00,,,,,,0.68,,,,,,09-Jan-2018 - 00:00,994.56,,"Peenya, Bengaluru - CPCB"
09-Jan-2018 - 00:00,,0.41,,,,5.95,,,,,,10-Jan-2018 - 00:00,962.68,,"Peenya, Bengaluru - CPCB"
10-Jan-2018 - 00:00,,26.53,195.99,14.56,23.27,,996.07,45.64,4.9,10.35,7.53,11-Jan-2018 - 00:00,,374.98,"Peenya, Bengaluru - CPCB"
11-Jan-2018 - 00:00,,38.76,53.98,114.66,23.8,,,48.24,4.14,19.78,12.21,12-Jan-2018 - 00:00,,3.82,"Peenya, Bengaluru - CPCB"
12-Jan-2018 - 00:00,996.63,39.87,54.46,85.26,23.48,,,42.18,2.38,8.58,5.62,13-Jan-2018 - 00:00,,3.6,"Peenya, Bengaluru - CPCB"
13-Jan-2018 - 00:00,,49.43,40.34,133.42,24.18,,996.34,41.25,2.25,11.34,6.79,14-Jan-2018 - 00:00,,3.92,"Peenya, Bengaluru - CPCB"
14-Jan-2018 - 00:00,772.07,35.15,34.4,46.98,17.84,,765.66,30.01,1.06,12.64,8.84,15-Jan-2018 - 00:00,816.68,3.27,"Peenya, Bengaluru - CPCB"
15-Jan-2018 - 00:00,895.65,46.45,35.49,104.9,21.0,,899.47,32.34,1.0,13.81,8.15,16-Jan-2018 - 00:00,880.54,3.29,"Peenya, Bengaluru - CPCB"
16-Jan-2018 - 00:00,,55.74,55.64,95.77,23.71,,992.73,36.94,1.29,14.9,7.98,17-Jan-2018 - 00:00,,3.95,"Peenya, Bengaluru - CPCB"
17-Jan-2018 - 00:00,,63.91,63.29,113.08,22.81,,,36.45,1.0,10.12,5.58,18-Jan-2018 - 00:00,,4.32,"Peenya, Bengaluru - CPCB"
18-Jan-2018 - 00:00,959.7,51.36,50.98,114.91,21.55,,,34.12,0.88,7.46,3.83,19-Jan-2018 - 00:00,888.29,3.44,"Peenya, Bengaluru - CPCB"
19-Jan-2018 - 00:00,,102.02,57.41,133.16,22.45,,,36.41,2.65,16.27,8.89,20-Jan-2018 - 00:00,977.74,4.15,"Peenya, Bengaluru - CPCB"
20-Jan-2018 - 00:00,,37.9,59.02,134.07,22.23,,,40.49,3.88,24.93,14.29,21-Jan-2018 - 00:00,994.55,4.09,"Peenya, Bengaluru - CPCB"
21-Jan-2018 - 00:00,,34.96,59.14,133.3,22.48,,,45.54,1.83,19.97,10.6,22-Jan-2018 - 00:00,981.17,3.56,"Peenya, Bengaluru - CPCB"
