from date,BP,PM2.5,RH,SR,Temp,THC,CO,NH3,NO,NO2,NOx,to date,CH4,SO2,station
22-Jan-2018 - 00:00,,42.42,69.15,123.2,22.01,,,50.21,2.24,22.76,12.01,23-Jan-2018 - 00:00,,3.77,"Peenya, Bengaluru - CPCB"
23-Jan-2018 - 00:00,,58.13,70.99,114.44,22.95,,,58.12,2.63,23.2,12.52,24-Jan-2018 - 00:00,,4.46,"Peenya, Bengaluru - CPCB"
24-Jan-2018 - 00:00,,56.98,68.99,86.71,23.54,,,68.28,3.46,22.01,12.56,25-Jan-2018 - 00:00,,4.09,"Peenya, Bengaluru - CPCB"
25-Jan-2018 - 00:00,993.56,44.83,62.8,105.52,23.2,,,62.97,2.14,14.67,8.28,26-Jan-2018 - 00:00,,2.92,"Peenya, Bengaluru - CPCB"
26-Jan-2018 - 00:00,,49.09,54.71,118.9,23.35,,,58.89,2.19,14.3,7.85,27-Jan-2018 - 00:00,940.68,3.82,"Peenya, Bengaluru - CPCB"
27-Jan-2018 - 00:00,971.35,62.14,56.57,91.99,22.45,,,57.87,4.07,18.06,11.71,28-Jan-2018 - 00:00,954.44,4.17,"Peenya, Bengaluru - CPCB"
28-Jan-2018 - 00:00,929.89,46.51,57.21,78.86,20.89,,958.2,53.29,2.5,12.09,9.93,29-Jan-2018 - 00:00,935.75,3.92,"Peenya, Bengaluru - CPCB"
29-Jan-2018 - 00:00,897.92,42.15,53.96,121.98,21.16,,975.74,58.61,2.74,13.41,9.45,30-Jan-2018 - 00:00,904.96,3.92,"Peenya, Bengaluru - CPCB"
30-Jan-2018 - 00:00,,65.16,67.3,120.51,22.9,,,70.24,3.65,16.98,10.19,31-Jan-2018 - 00:00,,3.67,"Peenya, Bengaluru - CPCB"
31-Jan-2018 - 00:00,,59.01,58.79,125.87,23.03,,,73.86,4.02,18.13,10.82,01-Feb-2018 - 00:00,942.67,3.86,"Peenya, Bengaluru - CPCB"
01-Feb-2018 - 00:00,,50.83,36.58,127.09,23.2,906.58,,81.56,5.7,21.39,13.62,02-Feb-2018 - 00:00,593.74,4.65,"Peenya, Bengaluru - CPCB"
02-Feb-2018 - 00:00,,39.17,27.75,123.12,23.76,606.76,,75.9,4.3,16.91,10.42,03-Feb-2018 - 00:00,373.39,2.33,"Peenya, Bengaluru - CPCB"
03-Feb-2018 - 00:00,,33.07,27.6,132.84,23.24,603.69,991.03,75.82,3.56,14.7,8.83,04-Feb-2018 - 00:00,371.5,2.32,"Peenya, Bengaluru - CPCB"
04-Feb-2018 - 00:00,204.31,4.71,10.9,100.77,5.12,681.94,173.16,15.07,0.65,1.55,7.42,05-Feb-2018 - 00:00,85.38,0.77,"Peenya, Bengaluru - CPCB"
05-Feb-2018 - 00:00,952.96,41.05,49.27,125.31,21.78,963.62,880.68,71.59,3.19,17.37,10.33,06-Feb-2018 - 00:00,556.44,3.36,"Peenya, Bengaluru - CPCB"
06-Feb-2018 - 00:00,,39.99,80.62,108.51,24.31,,940.11,83.26,2.8,18.74,10.46,07-Feb-2018 - 00:00,,2.59,"Peenya, Bengaluru - CPCB"
07-Feb-2018 - 00:00,,38.96,96.69,61.98,23.66,,902.84,89.5,3.31,26.33,14.55,08-Feb-2018 - 00:00,,4.57,"Peenya, Bengaluru - CPCB"
08-Feb-2018 - 00:00,,53.5,78.39,67.54,24.16,,,94.59,5.53,36.21,21.02,09-Feb-2018 - 00:00,,7.03,"Peenya, Bengaluru - CPCB"
09-Feb-2018 - 00:00,,50.77,87.81,75.87,24.45,,908.97,98.35,4.05,36.19,19.86,10-Feb-2018 - 00:00,,7.91,"Peenya, Bengaluru - CPCB"
10-Feb-2018 - 00:00,921.59,40.22,83.7,127.18,21.8,,978.0,90.63,6.19,34.11,21.82,11-Feb-2018 - 00:00,,44.18,"Peenya, Bengaluru - CPCB"
11-Feb-2018 - 00:00,,35.7,22.49,167.28,24.32,,9.54,1.04,0.04,0.27,13.19,12-Feb-2018 - 00:00,795.72,0.25,"Peenya, Bengaluru - CPCB"
12-Feb-2018 - 00:00,,44.4,24.83,149.2,23.83,,1.01,0.0,0.0,0.0,10.96,13-Feb-2018 - 00:00,,0.0,"Peenya, Bengaluru - CPCB"
13-Feb-2018 - 00:00,,40.74,16.6,167.21,24.08,,1.02,0.0,0.0,0.0,6.24,14-Feb-2018 - 00:00,270.49,0.0,"Peenya, Bengaluru - CPCB"
14-Feb-2018 - 00:00,,41.31,23.57,178.56,23.88,,0.95,0.0,0.0,0.0,5.1,15-Feb-2018 - 00:00,501.9,0.0,"Peenya, Bengaluru - CPCB"
15-Feb-2018 - 00:00,,42.99,0.0,169.49,23.97,,1.02,0.0,0.0,0.0,7.81,16-Feb-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
16-Feb-2018 - 00:00,,44.26,0.0,190.04,24.57,,0.99,0.0,0.0,0.0,9.59,17-Feb-2018 - 00:00,0.0,0.16,"Peenya, Bengaluru - CPCB"
17-Feb-2018 - 00:00,,47.68,0.0,156.63,24.22,,1.02,0.0,0.0,0.0,9.13,18-Feb-2018 - 00:00,0.0,0.1,"Peenya, Bengaluru - CPCB"
18-Feb-2018 - 00:00,,36.11,0.0,182.56,24.81,,0.89,0.0,0.0,0.0,4.7,19-Feb-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
19-Feb-2018 - 00:00,,39.7,0.0,188.97,24.7,,0.98,0.0,0.0,0.0,5.56,20-Feb-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
20-Feb-2018 - 00:00,,38.34,0.0,178.48,24.67,,0.97,0.0,0.0,0.0,6.16,21-Feb-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
21-Feb-2018 - 00:00,,49.34,0.0,180.11,24.84,,0.89,0.0,0.0,0.0,8.26,22-Feb-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
22-Feb-2018 - 00:00,,53.49,0.0,177.56,25.22,,0.92,0.0,0.0,0.0,10.87,23-Feb-2018 - 00:00,159.4,0.13,"Peenya, Bengaluru - CPCB"
23-Feb-2018 - 00:00,,54.36,0.0,182.03,24.86,,0.92,0.0,0.0,0.0,11.0,24-Feb-2018 - 00:00,10.58,0.0,"Peenya, Bengaluru - CPCB"
24-Feb-2018 - 00:00,,39.41,10.95,183.97,23.97,,0.91,0.0,0.0,0.0,6.86,25-Feb-2018 - 00:00,501.02,0.0,"Peenya, Bengaluru - CPCB"
25-Feb-2018 - 00:00,,29.93,23.9,186.29,24.46,,0.91,0.0,0.0,0.0,8.13,26-Feb-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
26-Feb-2018 - 00:00,,33.78,19.05,182.77,25.01,,0.96,0.0,0.0,0.0,14.35,27-Feb-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
27-Feb-2018 - 00:00,,33.29,0.0,181.78,25.28,,0.87,0.0,0.0,0.0,8.75,28-Feb-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
28-Feb-2018 - 00:00,,44.43,0.0,172.55,25.34,,0.89,0.0,0.0,0.0,13.89,01-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
01-Mar-2018 - 00:00,,43.72,0.0,177.07,25.44,,0.91,0.0,0.0,0.0,7.97,02-Mar-2018 - 00:00,0.0,0.23,"Peenya, Bengaluru - CPCB"
02-Mar-2018 - 00:00,,23.92,0.0,177.76,25.75,,0.87,0.0,0.0,0.0,9.02,03-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
03-Mar-2018 - 00:00,,0.0,0.0,172.88,26.18,,0.9,0.0,0.0,0.0,11.8,04-Mar-2018 - 00:00,0.0,0.04,"Peenya, Bengaluru - CPCB"
04-Mar-2018 - 00:00,,0.0,0.0,168.36,26.19,,0.83,0.0,0.0,0.0,5.79,05-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
05-Mar-2018 - 00:00,,0.0,0.0,168.49,26.23,,0.86,0.0,0.0,0.0,8.03,06-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
06-Mar-2018 - 00:00,,0.0,0.0,176.81,25.97,,0.84,0.0,0.0,0.0,7.95,07-Mar-2018 - 00:00,0.0,0.06,"Peenya, Bengaluru - CPCB"
07-Mar-2018 - 00:00,,0.0,0.0,175.63,25.46,,0.94,0.0,0.0,0.0,8.28,08-Mar-2018 - 00:00,196.18,0.0,"Peenya, Bengaluru - CPCB"
08-Mar-2018 - 00:00,,0.0,0.0,168.2,25.6,,0.96,0.0,0.0,0.0,9.39,09-Mar-2018 - 00:00,0.0,0.1,"Peenya, Bengaluru - CPCB"
09-Mar-2018 - 00:00,,0.0,0.0,156.94,26.03,,0.99,0.0,0.0,0.0,13.92,10-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
10-Mar-2018 - 00:00,,0.0,0.0,189.83,25.75,,0.9,0.0,0.0,0.0,9.38,11-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
11-Mar-2018 - 00:00,,,,,,,,,,,,12-Mar-2018 - 00:00,,,"Peenya, Bengaluru - CPCB"
12-Mar-2018 - 00:00,,0.0,0.0,121.06,27.17,,0.72,0.0,0.0,0.0,9.54,13-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
13-Mar-2018 - 00:00,,0.0,12.7,143.37,25.31,,0.81,0.0,0.0,0.0,9.42,14-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
14-Mar-2018 - 00:00,,0.0,0.0,136.58,25.9,,0.76,0.0,0.0,0.0,19.18,15-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
15-Mar-2018 - 00:00,,0.0,0.0,109.06,25.07,,0.82,0.0,0.0,0.0,12.81,16-Mar-2018 - 00:00,0.0,0.17,"Peenya, Bengaluru - CPCB"
16-Mar-2018 - 00:00,,0.0,2.09,136.75,24.24,,0.77,0.0,0.0,0.0,6.0,17-Mar-2018 - 00:00,42.47,0.0,"Peenya, Bengaluru - CPCB"
17-Mar-2018 - 00:00,,0.0,0.0,128.18,24.16,,0.84,0.0,0.0,0.0,6.33,18-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
18-Mar-2018 - 00:00,,0.0,0.0,165.34,25.09,,0.79,0.0,0.0,0.0,4.19,19-Mar-2018 - 00:00,555.69,0.0,"Peenya, Bengaluru - CPCB"
19-Mar-2018 - 00:00,,0.0,0.0,184.43,25.62,,0.8,0.0,0.0,0.0,6.12,20-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
20-Mar-2018 - 00:00,,0.0,0.0,175.01,26.35,,0.81,0.0,0.0,0.0,9.23,21-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
21-Mar-2018 - 00:00,,0.0,0.0,156.43,26.47,,0.82,0.0,0.0,0.0,11.59,22-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
22-Mar-2018 - 00:00,,0.0,0.0,178.16,26.66,,0.81,0.0,0.0,0.0,8.74,23-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
23-Mar-2018 - 00:00,,0.0,0.0,177.49,27.04,,0.77,0.0,0.0,0.0,9.17,24-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
24-Mar-2018 - 00:00,,0.0,0.0,134.87,27.23,,0.84,0.0,0.0,0.0,8.54,25-Mar-2018 - 00:00,58.34,0.0,"Peenya, Bengaluru - CPCB"
25-Mar-2018 - 00:00,,,,,,,,,,,,26-Mar-2018 - 00:00,,,"Peenya, Bengaluru - CPCB"
26-Mar-2018 - 00:00,,0.0,0.0,43.95,27.86,,0.85,0.0,0.0,0.0,11.83,27-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
27-Mar-2018 - 00:00,,0.0,0.0,149.9,27.14,,0.9,0.0,0.0,0.0,14.16,28-Mar-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
28-Mar-2018 - 00:00,,0.0,0.0,152.25,26.93,,0.84,0.0,0.0,0.0,11.93,29-Mar-2018 - 00:00,11.5,0.0,"Peenya, Bengaluru - CPCB"
29-Mar-2018 - 00:00,,0.0,0.0,123.91,26.78,,0.84,0.0,0.0,0.0,9.11,30-Mar-2018 - 00:00,581.63,0.18,"Peenya, Bengaluru - CPCB"
30-Mar-2018 - 00:00,,0.0,3.2,121.31,25.3,,0.78,0.0,0.0,0.0,13.02,31-Mar-2018 - 00:00,0.0,0.05,"Peenya, Bengaluru - CPCB"
31-Mar-2018 - 00:00,,0.0,4.25,163.73,24.96,,0.85,0.0,0.0,0.0,10.26,01-Apr-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
01-Apr-2018 - 00:00,,0.0,0.0,128.31,26.46,,0.76,0.0,0.0,0.0,6.85,02-Apr-2018 - 00:00,628.55,0.0,"Peenya, Bengaluru - CPCB"
02-Apr-2018 - 00:00,,0.0,0.0,156.74,25.51,,0.8,0.0,0.0,0.0,6.91,03-Apr-2018 - 00:00,540.87,0.0,"Peenya, Bengaluru - CPCB"
03-Apr-2018 - 00:00,,0.0,0.0,133.28,25.89,,0.87,0.0,0.0,0.0,9.87,04-Apr-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
04-Apr-2018 - 00:00,,0.0,0.0,176.2,26.65,,0.77,0.0,0.0,0.0,6.88,05-Apr-2018 - 00:00,27.3,0.0,"Peenya, Bengaluru - CPCB"
05-Apr-2018 - 00:00,,0.0,0.0,157.96,26.62,,0.8,0.0,0.0,0.0,7.45,06-Apr-2018 - 00:00,0.0,0.15,"Peenya, Bengaluru - CPCB"
06-Apr-2018 - 00:00,,0.0,0.0,169.73,26.94,,0.77,0.0,0.0,0.0,9.7,07-Apr-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
07-Apr-2018 - 00:00,,0.0,0.0,153.54,26.96,,0.76,0.0,0.0,0.0,8.82,08-Apr-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
08-Apr-2018 - 00:00,,0.0,0.0,184.34,26.58,,0.71,0.0,0.0,0.0,4.77,09-Apr-2018 - 00:00,82.42,0.26,"Peenya, Bengaluru - CPCB"
09-Apr-2018 - 00:00,,0.0,0.0,177.99,25.95,,0.73,0.0,0.0,0.0,5.85,10-Apr-2018 - 00:00,330.58,0.0,"Peenya, Bengaluru - CPCB"
10-Apr-2018 - 00:00,,0.0,0.0,174.19,26.22,,0.77,0.0,0.0,0.0,4.9,11-Apr-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
11-Apr-2018 - 00:00,,0.0,0.0,174.09,26.43,,0.78,0.0,0.0,0.0,7.18,12-Apr-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
12-Apr-2018 - 00:00,,0.0,0.0,144.29,26.71,,0.75,0.0,0.0,0.0,5.57,13-Apr-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
13-Apr-2018 - 00:00,,0.0,0.0,147.06,26.79,,0.74,0.0,0.0,0.0,4.1,14-Apr-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
14-Apr-2018 - 00:00,,0.0,0.0,181.62,27.17,,0.41,0.0,0.0,0.0,4.06,15-Apr-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
15-Apr-2018 - 00:00,,0.0,0.0,168.03,27.2,,0.37,0.0,0.0,0.0,3.12,16-Apr-2018 - 00:00,0.0,0.17,"Peenya, Bengaluru - CPCB"
16-Apr-2018 - 00:00,,0.0,0.0,123.9,26.71,,0.5,0.0,0.0,0.0,3.37,17-Apr-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
17-Apr-2018 - 00:00,,0.0,0.0,194.85,27.15,,0.59,0.0,0.0,0.0,10.32,18-Apr-2018 - 00:00,0.0,0.07,"Peenya, Bengaluru - CPCB"
18-Apr-2018 - 00:00,,0.0,0.0,91.36,27.27,,0.69,0.0,0.0,0.0,14.65,19-Apr-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
19-Apr-2018 - 00:00,,0.0,0.0,134.16,27.04,,0.81,0.0,0.0,0.0,10.54,20-Apr-2018 - 00:00,29.94,0.0,"Peenya, Bengaluru - CPCB"
20-Apr-2018 - 00:00,,0.0,0.0,159.08,26.08,,0.74,0.0,0.0,0.0,10.2,21-Apr-2018 - 00:00,0.0,0.06,"Peenya, Bengaluru - CPCB"
21-Apr-2018 - 00:00,,0.0,0.0,138.26,26.94,,0.99,0.0,0.0,0.0,17.61,22-Apr-2018 - 00:00,41.32,0.0,"Peenya, Bengaluru - CPCB"
22-Apr-2018 - 00:00,,0.0,0.0,160.74,26.23,,0.71,0.0,0.0,0.0,7.05,23-Apr-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
23-Apr-2018 - 00:00,,0.0,0.0,187.38,26.68,,0.78,0.0,0.0,0.0,9.84,24-Apr-2018 - 00:00,0.0,0.18,"Peenya, Bengaluru - CPCB"
24-Apr-2018 - 00:00,,0.0,0.0,123.09,25.88,,0.87,0.0,0.0,0.0,10.57,25-Apr-2018 - 00:00,33.73,0.0,"Peenya, Bengaluru - CPCB"
25-Apr-2018 - 00:00,,0.0,0.0,167.58,25.94,,1.01,0.0,0.0,0.0,12.54,26-Apr-2018 - 00:00,31.02,0.0,"Peenya, Bengaluru - CPCB"
26-Apr-2018 - 00:00,,0.0,0.0,147.36,26.15,,0.78,0.0,0.0,0.0,8.57,27-Apr-2018 - 00:00,35.43,0.0,"Peenya, Bengaluru - CPCB"
27-Apr-2018 - 00:00,,0.0,0.0,166.37,27.02,,0.78,0.0,0.0,0.0,11.95,28-Apr-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
28-Apr-2018 - 00:00,,0.0,0.0,184.27,27.19,,0.84,0.0,0.0,0.0,10.64,29-Apr-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
29-Apr-2018 - 00:00,,0.0,0.0,116.28,26.46,,0.76,0.0,0.0,0.0,40.7,30-Apr-2018 - 00:00,0.0,0.48,"Peenya, Bengaluru - CPCB"
30-Apr-2018 - 00:00,,0.0,0.0,142.97,26.51,,0.75,0.0,0.0,0.0,10.29,01-May-2018 - 00:00,0.0,0.06,"Peenya, Bengaluru - CPCB"
01-May-2018 - 00:00,,0.0,0.0,118.89,26.04,,0.72,0.0,0.0,0.0,8.2,02-May-2018 - 00:00,0.0,0.08,"Peenya, Bengaluru - CPCB"
02-May-2018 - 00:00,,0.0,0.0,149.68,25.93,,0.74,0.0,0.0,0.0,9.51,03-May-2018 - 00:00,0.0,0.44,"Peenya, Bengaluru - CPCB"
03-May-2018 - 00:00,,0.0,0.0,22.16,23.83,,0.64,0.0,0.0,0.0,6.94,04-May-2018 - 00:00,204.96,0.0,"Peenya, Bengaluru - CPCB"
04-May-2018 - 00:00,,0.0,0.0,123.26,27.83,,0.94,0.0,0.0,0.0,13.04,05-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
05-May-2018 - 00:00,,0.0,0.0,133.81,26.63,,0.86,0.0,0.0,0.0,11.17,06-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
06-May-2018 - 00:00,,0.0,0.0,132.13,26.87,,0.71,0.0,0.0,0.0,7.23,07-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
07-May-2018 - 00:00,,0.0,0.0,128.47,26.78,,0.81,0.0,0.0,0.0,10.22,08-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
08-May-2018 - 00:00,,0.0,0.0,91.93,25.53,,0.72,0.0,0.0,0.0,7.61,09-May-2018 - 00:00,57.34,0.36,"Peenya, Bengaluru - CPCB"
09-May-2018 - 00:00,,0.0,0.0,114.27,25.75,,0.7,0.0,0.0,0.0,8.42,10-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
10-May-2018 - 00:00,,0.0,12.59,130.11,25.43,,0.72,0.0,0.0,0.0,8.3,11-May-2018 - 00:00,56.02,0.16,"Peenya, Bengaluru - CPCB"
11-May-2018 - 00:00,,0.0,22.96,136.93,24.18,,0.82,0.0,0.0,0.0,8.54,12-May-2018 - 00:00,0.0,0.13,"Peenya, Bengaluru - CPCB"
12-May-2018 - 00:00,,0.0,73.02,156.06,25.37,,0.77,0.0,0.0,0.0,6.59,13-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
13-May-2018 - 00:00,,0.0,73.31,108.65,24.91,,0.78,0.0,0.0,0.0,6.07,14-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
14-May-2018 - 00:00,,0.0,79.48,51.47,24.04,,0.74,0.0,0.0,0.0,13.61,15-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
15-May-2018 - 00:00,,0.0,71.96,139.15,25.17,,0.78,0.0,0.0,0.0,13.66,16-May-2018 - 00:00,23.46,0.0,"Peenya, Bengaluru - CPCB"
16-May-2018 - 00:00,,0.0,72.3,108.57,25.75,,0.9,0.0,0.0,0.0,9.83,17-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
17-May-2018 - 00:00,,0.0,67.25,120.45,26.15,,0.93,0.0,0.0,0.0,21.23,18-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
18-May-2018 - 00:00,,0.0,77.87,109.32,24.91,,1.07,0.0,0.0,0.0,19.87,19-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
19-May-2018 - 00:00,,0.0,68.45,122.86,26.7,,1.11,0.0,0.0,0.0,11.24,20-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
20-May-2018 - 00:00,,0.0,73.26,142.1,26.17,,0.82,0.0,0.0,0.0,5.17,21-May-2018 - 00:00,0.0,0.26,"Peenya, Bengaluru - CPCB"
21-May-2018 - 00:00,,0.0,75.1,116.43,25.78,,0.81,0.0,0.0,0.0,6.81,22-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
22-May-2018 - 00:00,,0.0,67.05,138.12,27.12,,0.9,0.0,0.0,0.0,6.9,23-May-2018 - 00:00,0.0,0.07,"Peenya, Bengaluru - CPCB"
23-May-2018 - 00:00,,0.0,74.7,87.97,26.31,,0.97,0.0,0.0,0.0,7.36,24-May-2018 - 00:00,134.08,0.0,"Peenya, Bengaluru - CPCB"
24-May-2018 - 00:00,,0.0,67.45,128.39,27.07,,0.93,0.0,0.0,0.0,6.74,25-May-2018 - 00:00,175.91,0.0,"Peenya, Bengaluru - CPCB"
25-May-2018 - 00:00,,0.0,83.22,69.51,25.77,,0.93,0.0,0.0,0.0,6.6,26-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
26-May-2018 - 00:00,,0.0,81.36,97.57,26.21,,1.11,0.0,0.0,0.0,8.06,27-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
27-May-2018 - 00:00,,0.0,70.24,123.78,27.71,,0.84,0.0,0.0,0.0,7.08,28-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
28-May-2018 - 00:00,,0.0,72.75,125.16,27.26,,0.92,0.0,0.0,0.0,6.06,29-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
29-May-2018 - 00:00,,0.0,75.36,137.51,26.7,,1.35,0.0,0.0,0.0,17.55,30-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
30-May-2018 - 00:00,,13.53,79.46,109.0,26.17,,0.75,0.0,0.0,0.0,11.07,31-May-2018 - 00:00,0.0,0.0,"Peenya, Bengaluru - CPCB"
31-May-2018 - 00:00,,25.05,80.05,114.52,26.54,,0.72,0.0,0.0,0.0,6.92,01-Jun-2018 - 00:00,18.17,0.0,"Peenya, Bengaluru - CPCB"
