from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,to date,station
11-Jan-2018 - 00:00,30.53,1.45,44.88,17.48,93.12,67.95,61.31,21.27,186.57,357.44,0.84,5.59,2.2,15.51,59.16,1.61,70.89,51.98,748.95,0.0,12-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
12-Jan-2018 - 00:00,30.52,2.51,51.06,84.99,117.79,132.52,66.96,27.69,244.51,431.46,1.38,10.09,4.53,15.86,58.32,1.09,110.11,45.18,748.09,0.0,13-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
13-Jan-2018 - 00:00,30.52,3.49,51.7,168.55,123.66,261.98,77.47,26.31,300.93,524.79,1.81,15.11,8.23,15.45,61.03,0.69,98.52,49.33,748.41,0.0,14-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
14-Jan-2018 - 00:00,30.42,2.37,53.47,91.61,112.46,136.89,70.65,23.22,262.67,407.47,1.21,8.39,4.39,15.71,58.4,0.76,106.26,51.0,748.27,0.0,15-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
15-Jan-2018 - 00:00,30.53,1.9,53.99,72.77,103.54,114.83,73.67,24.34,247.64,420.21,1.15,9.15,4.21,15.52,62.52,1.23,97.33,49.78,748.31,0.0,16-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
16-Jan-2018 - 00:00,30.6,1.23,64.19,26.09,96.35,76.36,53.63,18.27,171.55,331.49,0.72,6.78,2.54,16.04,54.18,1.08,100.92,53.06,745.95,0.0,17-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
17-Jan-2018 - 00:00,30.68,1.99,42.67,25.59,81.17,68.32,84.24,15.95,279.82,416.06,1.09,8.57,2.78,12.77,80.81,0.47,274.36,42.97,747.29,0.0,18-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
18-Jan-2018 - 00:00,30.57,3.14,47.18,76.44,110.52,118.3,97.8,16.3,389.48,486.51,2.07,15.42,6.76,14.42,81.42,0.42,246.95,43.7,747.63,0.0,19-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
19-Jan-2018 - 00:00,30.45,2.87,36.64,105.2,130.99,155.21,84.53,19.7,379.48,494.65,1.6,14.95,7.25,17.25,69.84,0.91,86.7,44.35,748.27,0.0,20-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
20-Jan-2018 - 00:00,30.61,1.74,43.01,46.85,102.04,92.36,57.68,20.42,259.7,388.27,0.9,7.9,3.11,15.56,63.49,1.23,91.24,49.6,747.41,0.0,21-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
21-Jan-2018 - 00:00,30.59,1.84,46.81,85.66,106.86,126.48,61.76,17.43,228.98,427.52,3.0,18.45,11.65,15.08,64.18,0.54,199.51,50.11,746.82,0.0,22-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
22-Jan-2018 - 00:00,30.64,2.14,55.54,88.47,72.99,118.94,72.94,20.2,257.53,432.04,,,,15.34,70.67,0.48,250.3,47.75,745.44,0.0,23-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
23-Jan-2018 - 00:00,30.55,1.2,35.04,6.94,58.97,37.0,70.26,16.57,213.43,309.42,,,,13.16,78.23,1.09,223.65,16.55,743.33,0.0,24-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
24-Jan-2018 - 00:00,30.56,1.32,31.47,31.12,66.53,60.69,61.44,16.33,193.15,269.77,,,,13.1,81.24,1.07,122.91,44.23,745.71,0.0,25-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
25-Jan-2018 - 00:00,30.75,1.35,19.61,27.97,60.73,55.05,57.19,11.94,165.64,247.93,,,,13.06,84.1,1.44,76.55,53.57,745.21,0.0,26-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
26-Jan-2018 - 00:00,30.83,1.76,25.5,41.32,65.83,68.62,65.14,10.32,206.26,302.29,,,,12.7,84.28,0.96,103.08,43.99,746.02,0.0,27-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
27-Jan-2018 - 00:00,30.78,1.75,36.57,42.47,76.65,75.3,56.31,12.09,223.68,358.91,,,,13.05,75.1,0.92,101.04,50.32,746.12,0.0,28-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
28-Jan-2018 - 00:00,30.74,1.79,31.73,65.11,72.32,91.4,60.44,12.87,186.35,301.29,,,,13.96,70.62,0.85,125.8,57.65,746.8,0.0,29-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
29-Jan-2018 - 00:00,30.83,2.11,29.73,92.64,74.5,115.19,65.96,18.51,205.6,354.82,,,,15.21,67.28,1.18,79.22,61.08,748.26,0.0,30-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
30-Jan-2018 - 00:00,30.86,1.25,35.87,12.73,69.0,47.05,56.39,21.54,136.02,297.35,,,,18.52,54.04,1.97,78.19,61.39,747.52,0.0,31-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
31-Jan-2018 - 00:00,30.64,1.36,39.04,13.87,60.15,43.27,59.05,19.86,156.1,318.82,,,,18.29,59.64,2.01,74.92,58.64,746.43,0.0,01-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
01-Feb-2018 - 00:00,30.66,1.73,34.03,45.3,99.47,89.74,52.4,35.09,157.03,330.44,,,,19.97,53.98,1.21,94.16,56.11,746.78,0.0,02-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
02-Feb-2018 - 00:00,30.76,1.59,34.3,53.63,84.83,88.72,64.88,25.06,156.27,331.3,,,,19.07,62.04,1.07,108.15,55.2,744.93,0.0,03-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
03-Feb-2018 - 00:00,30.95,1.12,36.38,24.46,81.68,63.34,53.27,31.77,116.02,258.85,,,,17.97,53.14,1.09,90.89,59.38,747.51,0.0,04-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
04-Feb-2018 - 00:00,30.92,1.07,41.57,22.07,73.31,56.93,52.51,22.12,137.61,282.73,,,,16.68,54.92,1.49,72.36,64.0,747.97,0.0,05-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
05-Feb-2018 - 00:00,30.88,1.71,28.22,66.61,96.43,105.44,53.6,28.04,172.31,351.4,,,,16.25,49.26,1.01,105.64,45.0,750.22,0.0,06-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
06-Feb-2018 - 00:00,30.87,1.41,28.35,39.08,84.93,76.95,54.62,31.52,138.95,312.64,,,,17.13,49.74,1.55,95.33,38.54,750.0,0.0,07-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
07-Feb-2018 - 00:00,30.93,1.26,43.79,35.63,76.0,69.4,47.76,24.12,126.43,272.71,,,,16.64,49.34,1.52,83.68,64.86,747.06,0.0,08-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
08-Feb-2018 - 00:00,30.84,2.56,29.15,165.75,104.31,191.23,61.44,24.74,190.53,404.28,,,,15.94,55.27,0.83,103.08,51.38,746.12,0.0,09-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
09-Feb-2018 - 00:00,30.86,2.32,37.64,125.07,101.39,155.61,64.99,32.61,207.36,404.18,,,,16.52,56.16,0.94,112.39,59.26,746.22,0.0,10-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
10-Feb-2018 - 00:00,30.78,3.52,47.63,145.01,112.0,189.01,70.16,31.07,242.95,475.5,,,,17.54,51.67,0.63,187.09,54.3,748.57,0.0,11-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
11-Feb-2018 - 00:00,30.87,1.41,57.5,48.72,57.44,70.17,62.0,40.03,143.24,324.74,,,,18.2,50.75,0.9,246.9,48.73,748.02,0.0,12-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
12-Feb-2018 - 00:00,29.37,0.64,32.79,5.1,20.01,14.7,51.3,15.65,82.44,168.3,,,,15.34,76.14,1.45,271.66,29.45,750.28,0.0,13-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
13-Feb-2018 - 00:00,25.71,1.2,27.57,33.01,52.66,54.84,62.04,17.63,120.42,208.44,,,,16.46,76.67,1.01,126.61,54.91,754.49,0.0,14-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
14-Feb-2018 - 00:00,25.35,0.54,35.29,4.86,36.01,23.11,40.74,14.76,73.46,175.96,,,,16.92,61.33,1.96,85.45,65.57,754.09,0.0,15-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
15-Feb-2018 - 00:00,25.68,0.8,40.07,7.04,41.75,27.92,42.39,17.55,84.44,184.39,,,,17.86,62.47,1.86,85.95,61.83,751.9,0.0,16-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
16-Feb-2018 - 00:00,25.85,1.22,33.18,25.47,66.44,56.05,51.28,22.94,144.83,273.02,,,,18.55,66.61,1.38,78.2,55.55,750.49,0.0,17-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
17-Feb-2018 - 00:00,25.99,1.16,33.26,25.34,67.69,56.6,48.26,23.7,133.03,278.7,,,,19.3,63.1,1.47,75.15,59.1,745.33,0.0,18-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
18-Feb-2018 - 00:00,26.05,1.12,40.94,40.09,61.72,65.42,45.84,19.54,123.92,244.98,,,,19.41,57.78,1.16,99.59,64.83,744.62,0.0,19-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
19-Feb-2018 - 00:00,26.09,2.45,36.81,151.51,92.2,172.22,49.04,27.11,168.82,379.24,,,,19.27,55.71,0.86,148.45,61.04,746.17,0.0,20-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
20-Feb-2018 - 00:00,26.29,2.24,38.7,108.87,87.4,135.01,56.12,28.22,174.45,392.79,,,,20.63,55.27,0.94,106.95,61.06,745.6,0.0,21-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
21-Feb-2018 - 00:00,26.63,2.66,55.46,93.73,85.83,121.86,69.9,44.71,203.3,481.32,,,,22.41,55.75,0.53,254.28,53.39,743.49,0.0,22-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
22-Feb-2018 - 00:00,26.89,2.22,53.6,112.68,88.27,138.56,81.27,38.46,167.22,377.5,,,,23.27,58.83,0.73,158.26,54.09,742.53,0.0,23-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
23-Feb-2018 - 00:00,26.91,2.47,44.55,110.49,88.34,136.82,81.52,52.95,187.8,439.88,,,,24.03,58.38,0.66,172.3,45.41,742.73,0.0,24-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
24-Feb-2018 - 00:00,27.02,1.57,31.59,8.04,42.86,29.33,79.24,33.02,175.89,367.75,,,,23.99,60.44,0.87,252.88,47.16,744.72,0.0,25-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
25-Feb-2018 - 00:00,27.14,0.9,44.59,13.87,37.66,31.31,59.79,30.72,110.34,235.07,,,,23.17,58.72,1.48,126.89,55.61,747.68,0.0,26-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
26-Feb-2018 - 00:00,27.46,0.54,36.04,4.84,31.27,20.55,46.98,19.84,67.92,180.69,,,,21.45,61.47,2.06,81.93,67.68,745.76,0.0,27-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
27-Feb-2018 - 00:00,27.35,0.99,31.62,20.62,52.57,44.72,46.98,21.46,87.55,210.65,,,,22.86,60.84,1.4,84.6,61.49,745.22,0.0,28-Feb-2018 - 00:00,"Sector - 125, Noida - UPPCB"
28-Feb-2018 - 00:00,27.98,1.58,30.87,49.34,70.84,77.8,64.89,35.91,137.62,290.09,0.48,7.25,2.67,23.6,64.15,0.89,123.62,53.88,745.29,0.0,01-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
01-Mar-2018 - 00:00,28.05,1.46,39.27,49.25,66.34,75.33,54.4,38.4,118.95,267.11,0.61,8.56,2.49,23.19,58.3,1.0,136.77,55.2,743.7,0.0,02-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
02-Mar-2018 - 00:00,27.67,1.91,60.94,46.73,44.56,61.7,68.8,32.98,156.98,283.97,0.65,7.06,2.77,24.13,58.14,1.04,166.39,60.91,742.04,0.0,03-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
03-Mar-2018 - 00:00,28.41,1.1,32.73,14.62,43.37,34.95,56.29,30.98,100.46,217.39,0.33,5.45,1.7,25.18,53.96,0.94,132.47,55.98,739.95,0.0,04-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
04-Mar-2018 - 00:00,28.8,0.97,35.91,17.81,35.89,33.57,47.46,31.0,78.03,198.19,0.33,5.26,1.62,23.61,54.32,1.19,121.49,50.36,741.28,0.0,05-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
05-Mar-2018 - 00:00,29.07,0.83,34.96,19.44,44.59,39.53,46.75,23.24,75.15,172.54,0.42,5.66,1.73,22.28,56.54,1.3,103.43,70.17,745.08,0.0,06-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
06-Mar-2018 - 00:00,29.07,0.87,37.13,8.8,48.13,32.76,42.86,22.97,79.75,191.54,0.39,4.98,1.29,21.9,56.35,1.85,72.66,69.07,745.91,0.0,07-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
07-Mar-2018 - 00:00,29.34,1.16,44.65,23.61,52.75,47.25,40.67,22.92,93.51,216.07,0.56,6.29,2.0,22.55,53.18,1.58,112.81,70.64,744.86,0.0,08-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
08-Mar-2018 - 00:00,29.35,2.24,51.01,150.09,79.24,164.31,56.13,34.3,134.04,320.46,0.84,11.63,5.46,23.14,58.67,0.58,255.65,61.85,745.79,0.0,09-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
09-Mar-2018 - 00:00,29.4,1.83,56.44,91.67,72.91,113.31,55.72,38.43,129.62,327.4,0.89,11.92,4.2,24.35,54.85,1.08,141.19,62.27,745.75,0.0,10-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
10-Mar-2018 - 00:00,29.63,0.72,40.35,6.56,42.56,27.97,43.26,23.56,71.99,225.15,0.29,5.55,1.04,24.96,48.19,1.72,86.26,70.62,744.72,0.0,11-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
11-Mar-2018 - 00:00,29.86,0.88,49.62,12.92,49.87,37.03,43.68,24.93,93.07,210.42,0.42,5.52,1.54,24.91,51.57,1.36,82.72,65.88,743.69,0.0,12-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
12-Mar-2018 - 00:00,30.23,1.13,37.91,21.98,66.56,53.27,46.21,28.59,104.36,255.77,0.5,7.12,2.61,26.01,49.76,1.37,82.46,67.51,743.67,0.0,13-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
13-Mar-2018 - 00:00,30.64,1.2,38.14,40.82,69.6,70.21,49.46,33.03,110.15,298.16,0.48,8.02,2.94,27.51,45.43,1.13,122.02,67.57,742.03,0.0,14-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
14-Mar-2018 - 00:00,30.76,1.02,44.36,11.62,35.23,28.19,51.73,34.27,114.98,336.64,0.64,6.57,1.65,25.95,44.52,0.85,242.26,57.85,740.25,0.0,15-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
15-Mar-2018 - 00:00,26.72,0.84,35.82,7.92,44.71,30.23,43.34,30.4,73.29,307.19,0.33,5.54,1.46,26.85,45.16,1.55,134.01,63.18,740.35,0.0,16-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
16-Mar-2018 - 00:00,22.82,1.05,36.96,29.25,49.4,50.03,47.64,38.43,114.55,286.72,0.05,5.82,1.46,24.51,51.24,1.33,107.09,58.62,741.58,0.0,17-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
17-Mar-2018 - 00:00,23.73,0.67,43.73,6.56,40.72,27.0,33.22,25.12,72.65,198.07,0.09,3.94,0.85,24.33,43.17,1.74,81.57,73.06,742.96,0.0,18-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
18-Mar-2018 - 00:00,23.71,0.88,47.05,18.83,52.0,42.97,36.2,28.82,98.26,217.69,0.04,4.69,1.27,24.78,42.93,1.46,89.33,73.89,744.23,0.0,19-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
19-Mar-2018 - 00:00,23.77,1.03,39.28,24.61,58.5,51.13,39.82,27.05,77.05,235.28,0.05,5.47,1.84,25.76,42.56,1.05,148.47,66.42,745.54,0.0,20-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
20-Mar-2018 - 00:00,23.61,1.29,44.9,56.44,67.96,82.03,55.01,30.85,104.36,319.54,0.09,8.46,3.33,26.94,45.3,0.74,199.85,62.14,742.69,0.0,21-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
21-Mar-2018 - 00:00,26.87,1.28,57.15,24.65,41.59,42.16,66.49,45.13,126.73,302.2,0.26,8.35,1.82,26.29,51.23,1.4,146.78,57.46,740.33,0.0,22-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
22-Mar-2018 - 00:00,29.67,0.63,46.53,1.72,27.24,15.88,48.37,30.23,77.48,185.5,0.44,4.8,0.95,24.37,54.63,1.58,147.76,39.74,741.72,0.0,23-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
23-Mar-2018 - 00:00,29.98,0.72,41.97,6.73,47.26,30.61,39.85,20.64,63.56,173.06,0.42,4.85,0.92,23.95,54.57,1.46,87.81,61.9,742.54,0.0,24-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
24-Mar-2018 - 00:00,29.98,0.83,56.25,7.82,37.17,26.12,42.55,23.93,82.65,216.12,0.55,4.78,0.97,25.63,51.14,1.75,80.24,102.43,744.82,0.0,25-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
25-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,26-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
26-Mar-2018 - 00:00,30.26,1.15,67.82,27.75,51.32,49.85,39.46,25.32,83.0,260.09,0.58,5.92,1.92,29.31,36.17,1.85,90.2,110.39,743.86,0.0,27-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
27-Mar-2018 - 00:00,30.31,1.88,56.55,66.6,65.17,88.82,40.11,23.37,85.38,310.09,0.69,9.85,3.89,30.91,29.67,1.29,134.5,100.14,740.75,0.0,28-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
28-Mar-2018 - 00:00,29.98,2.1,29.08,59.8,60.65,80.87,58.06,40.74,149.94,456.15,0.82,13.92,5.65,26.12,42.83,0.69,228.56,75.15,740.92,0.0,29-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
29-Mar-2018 - 00:00,30.2,0.94,43.5,8.9,49.3,33.4,48.5,27.9,91.0,251.0,0.5,5.5,1.6,28.7,39.0,1.5,74.0,89.0,740.0,0.0,30-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
30-Mar-2018 - 00:00,30.2,1.16,51.4,14.9,53.9,40.8,46.0,30.2,88.0,286.0,0.4,6.3,2.2,28.8,38.0,1.6,127.0,93.0,738.0,0.0,31-Mar-2018 - 00:00,"Sector - 125, Noida - UPPCB"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
01-Apr-2018 - 00:00,30.3,0.76,71.9,1.1,20.9,12.0,48.7,19.9,71.0,983.0,0.4,3.5,0.4,27.4,47.0,1.3,243.0,86.0,742.0,0.0,02-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
02-Apr-2018 - 00:00,30.1,0.96,62.9,1.9,33.7,19.5,50.4,24.8,164.0,970.0,0.6,4.2,1.0,28.8,45.0,1.2,250.0,82.0,742.0,0.0,03-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
04-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
05-Apr-2018 - 00:00,29.8,1.81,52.5,40.0,82.5,76.4,71.8,38.3,144.0,379.0,0.4,9.4,3.5,30.7,44.0,1.0,153.0,78.0,737.0,0.0,06-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
06-Apr-2018 - 00:00,30.06,0.63,75.82,2.98,28.18,17.41,56.32,28.12,51.04,172.25,0.28,4.27,0.66,29.75,43.35,2.39,162.87,66.94,739.57,0.0,07-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
07-Apr-2018 - 00:00,30.19,0.42,57.84,3.43,23.23,15.14,59.18,18.94,40.99,123.1,0.26,4.1,0.45,27.32,52.58,1.18,247.61,112.43,741.39,0.0,08-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
08-Apr-2018 - 00:00,30.17,0.54,58.29,1.23,12.06,7.4,59.01,19.53,50.51,146.73,0.35,3.18,0.29,28.15,51.34,1.68,252.64,107.98,742.07,0.0,09-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
09-Apr-2018 - 00:00,30.2,0.72,36.69,5.31,30.81,20.7,54.12,19.22,59.42,140.77,0.31,3.69,0.64,25.34,61.56,1.44,247.04,76.59,743.26,0.0,10-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
10-Apr-2018 - 00:00,30.24,0.83,50.8,3.72,32.62,20.36,62.74,29.03,93.4,265.74,0.5,4.83,1.24,27.96,54.24,1.14,233.16,104.51,741.32,0.0,11-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
11-Apr-2018 - 00:00,30.25,0.44,43.31,2.0,17.42,10.89,56.52,23.22,43.97,125.96,0.29,3.57,0.43,25.69,59.01,2.11,223.71,86.41,741.07,0.0,12-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
12-Apr-2018 - 00:00,30.46,0.77,56.8,21.88,55.52,46.24,44.37,22.3,45.27,129.5,0.3,5.15,1.73,27.13,49.93,1.49,132.6,114.08,740.31,0.0,13-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
13-Apr-2018 - 00:00,30.68,1.11,69.02,48.71,74.0,78.95,47.3,34.69,68.26,174.05,0.51,7.5,2.4,28.56,33.19,1.14,122.06,123.41,741.2,0.0,14-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
14-Apr-2018 - 00:00,30.81,1.76,43.7,108.02,76.64,128.58,66.53,29.62,90.9,255.72,0.62,8.74,4.04,29.13,34.66,1.15,116.33,114.51,740.04,0.0,15-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
15-Apr-2018 - 00:00,31.47,1.56,51.47,80.23,81.31,108.47,72.88,32.95,96.32,279.9,0.6,8.75,3.56,30.9,35.18,0.87,158.59,110.18,739.36,0.0,16-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
16-Apr-2018 - 00:00,31.8,1.72,46.98,70.78,57.93,88.35,80.49,41.23,114.01,377.12,0.83,9.02,3.86,31.26,37.91,1.15,227.65,82.52,739.75,0.0,17-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
17-Apr-2018 - 00:00,31.77,0.95,41.53,14.13,57.27,41.95,56.2,30.96,87.46,285.6,0.43,6.91,2.1,31.83,32.65,1.39,171.22,106.58,740.83,0.0,18-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
18-Apr-2018 - 00:00,30.55,0.78,40.98,8.59,54.64,35.88,47.68,25.58,95.15,268.61,0.13,4.52,1.37,31.72,29.58,1.78,87.82,117.1,740.26,0.0,19-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
19-Apr-2018 - 00:00,29.91,0.9,46.14,30.02,77.56,65.67,48.82,37.03,70.2,299.86,0.04,6.24,2.06,32.75,28.47,1.34,86.56,108.39,736.98,0.0,20-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
20-Apr-2018 - 00:00,30.28,0.54,52.25,1.96,25.44,15.11,45.48,30.92,75.98,462.83,0.15,4.05,0.67,32.45,27.86,1.9,203.23,87.82,735.99,0.0,21-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
21-Apr-2018 - 00:00,29.89,0.51,59.41,2.45,32.47,19.26,42.46,22.36,87.3,545.5,0.15,3.75,0.68,29.53,32.17,1.68,88.38,101.89,740.38,0.0,22-Apr-2018 - 00:00,"Sector - 125, Noida - UPPCB"
