from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,to date,station
01-Jan-2018 - 00:00,30.41,3.92,32.16,132.33,106.8,187.29,109.55,11.89,441.57,589.64,2.35,16.79,7.35,12.11,89.77,0.42,156.16,28.53,746.18,0.0,02-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
02-Jan-2018 - 00:00,30.53,2.09,36.02,22.04,109.61,79.98,90.11,9.22,373.49,591.4,2.08,11.55,3.2,11.1,87.81,0.67,179.68,30.55,746.89,0.0,03-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
03-Jan-2018 - 00:00,30.39,2.21,31.19,44.92,105.53,96.05,76.44,9.16,296.43,462.1,1.56,9.98,3.43,11.84,82.14,0.81,104.33,40.84,747.34,0.0,04-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
04-Jan-2018 - 00:00,30.39,2.18,35.1,33.99,84.08,76.36,75.98,8.17,277.28,390.84,1.53,7.67,2.77,10.53,87.39,0.57,202.42,40.45,747.48,0.0,05-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
05-Jan-2018 - 00:00,30.47,1.56,29.7,17.95,63.89,53.2,68.31,8.28,251.45,353.17,1.37,6.31,1.52,10.14,85.56,0.48,275.0,38.4,747.12,0.0,06-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
06-Jan-2018 - 00:00,30.45,2.52,38.52,49.58,91.76,90.11,69.69,11.42,260.8,358.34,1.84,12.98,4.65,11.53,76.54,0.59,189.6,44.31,745.91,0.0,07-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
07-Jan-2018 - 00:00,30.34,1.86,38.4,39.57,95.88,87.02,69.1,13.88,238.91,372.79,1.25,7.81,3.19,13.2,69.21,1.14,68.0,50.3,746.77,0.0,08-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
08-Jan-2018 - 00:00,30.45,2.36,36.76,74.15,111.3,122.4,64.14,16.28,222.76,399.67,1.36,8.24,3.81,13.95,61.67,0.88,112.79,49.92,748.65,0.0,09-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
09-Jan-2018 - 00:00,30.46,2.35,42.18,91.37,116.04,138.8,74.15,23.73,292.81,469.64,1.67,9.88,4.83,14.41,64.06,0.86,96.69,55.17,750.54,0.0,10-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
10-Jan-2018 - 00:00,30.33,1.56,23.73,18.02,103.9,67.0,57.32,27.58,238.73,359.93,0.92,7.12,3.18,18.43,47.35,1.61,76.02,63.23,749.65,0.0,11-Jan-2018 - 00:00,"Sector - 125, Noida - UPPCB"
