from date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,WS,WD,AT,RH,RF,SR,BP,VWS,O Xylene,SO2,to date,station
01-Jan-2018 - 00:00,49.16,102.0,10.46,54.85,65.52,7.24,1.21,5.77,0.76,0.0,1.75,0.0,0.53,223.26,25.13,52.31,0.0,112.81,753.65,5.0,1.88,13.71,02-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
02-Jan-2018 - 00:00,40.45,83.48,10.31,53.66,64.19,7.53,1.02,6.8,0.7,0.0,1.74,0.0,0.69,188.89,25.52,62.96,0.0,117.79,753.83,5.0,1.85,12.7,03-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
03-Jan-2018 - 00:00,46.04,101.66,13.64,76.04,90.08,6.15,1.18,6.32,0.86,0.0,1.68,0.0,0.9,308.81,26.54,57.28,0.0,120.57,755.21,5.0,1.78,13.37,04-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
04-Jan-2018 - 00:00,46.02,113.05,15.12,85.36,101.12,5.93,1.17,20.77,0.73,0.0,1.77,0.0,0.77,262.92,25.79,54.2,0.0,105.84,756.14,5.0,1.86,13.41,05-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
05-Jan-2018 - 00:00,71.81,114.85,13.34,61.09,74.32,6.34,1.13,26.88,0.86,0.0,1.81,0.0,0.76,245.22,25.16,60.3,0.0,103.79,755.36,5.0,1.9,13.1,06-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
06-Jan-2018 - 00:00,56.93,100.82,14.26,59.34,68.64,8.13,1.04,7.54,0.93,0.0,1.87,0.0,0.74,224.94,24.92,56.65,0.0,130.33,754.91,5.0,1.87,13.88,07-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
07-Jan-2018 - 00:00,53.5,94.16,13.85,56.03,70.67,7.73,1.06,6.32,0.83,0.0,1.92,0.0,0.71,199.65,24.73,59.16,0.0,124.41,755.47,5.0,1.76,13.08,08-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
08-Jan-2018 - 00:00,56.73,97.99,14.05,59.87,74.9,7.04,1.18,15.16,0.84,0.0,1.84,0.0,0.86,185.83,25.1,59.94,0.0,146.68,756.42,5.0,1.95,14.23,09-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
09-Jan-2018 - 00:00,44.03,93.91,13.49,51.92,64.07,7.55,1.1,37.07,0.83,0.0,1.91,0.0,0.84,171.64,25.45,55.21,0.0,121.27,757.74,5.0,1.77,14.37,10-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
10-Jan-2018 - 00:00,41.95,88.61,8.88,27.5,36.62,15.46,1.14,13.11,0.79,0.0,1.94,0.0,0.8,209.21,26.62,60.01,0.0,116.93,758.06,5.0,1.83,13.62,11-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
11-Jan-2018 - 00:00,44.88,85.08,10.32,40.26,50.89,7.33,1.06,16.31,0.76,0.0,1.85,0.0,0.73,240.47,27.52,63.47,0.0,111.37,757.36,5.0,2.0,15.22,12-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
12-Jan-2018 - 00:00,52.51,96.79,10.03,41.25,51.53,8.03,0.98,11.61,0.86,0.0,1.8,0.0,0.74,188.23,27.68,67.77,0.0,103.84,756.49,5.0,1.93,13.32,13-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
13-Jan-2018 - 00:00,43.96,82.52,9.71,41.87,51.87,9.42,1.06,2.81,0.8,0.0,1.99,0.0,0.64,139.35,27.8,70.58,0.0,116.08,756.24,5.0,1.96,12.63,14-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
14-Jan-2018 - 00:00,66.38,106.01,9.9,43.3,53.49,8.44,1.2,2.9,0.93,0.0,1.99,0.0,0.67,128.27,27.51,71.36,0.0,100.57,756.79,5.0,1.86,15.47,15-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
15-Jan-2018 - 00:00,47.75,75.9,9.16,41.27,49.64,7.69,1.23,5.55,0.96,0.0,1.77,0.08,0.73,178.91,27.49,66.67,0.0,95.23,756.56,5.0,1.91,14.27,16-Jan-2018 - 00:00,"PWD Grounds, Vijayawada - APPCB"
