from date,AT,PM2.5,PM10,RF,RH,SR,Temp,WD,WS,Benzene,Eth-Benzene,Toluene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
02-Jan-2018 - 00:00,23.55,77.72,143.04,13.59,56.5,109.67,26.83,,0.81,0.06,0.37,1.32,2.4,8.14,3.62,18.16,12.61,78.13,19.07,03-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
03-Jan-2018 - 00:00,21.13,84.79,182.45,15.08,61.44,149.45,26.81,,0.64,0.35,118.45,5.58,2.61,8.08,11.14,15.61,17.36,51.0,25.05,04-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
04-Jan-2018 - 00:00,21.54,104.66,216.29,15.07,64.67,154.24,27.25,,0.53,0.21,1.78,2.48,2.37,7.39,7.49,7.16,9.9,45.45,25.09,05-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
05-Jan-2018 - 00:00,22.47,112.54,231.83,15.14,65.97,157.93,28.23,,0.47,0.24,1.95,34.45,2.76,6.61,2.58,2.91,3.64,47.65,37.94,06-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
06-Jan-2018 - 00:00,22.28,96.62,195.33,15.27,66.52,160.66,28.24,,0.52,0.28,1.38,67.58,2.74,5.76,0.61,2.21,1.67,43.86,26.0,07-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
07-Jan-2018 - 00:00,22.2,82.15,159.24,14.89,63.86,136.62,27.95,,0.65,0.26,0.9,71.23,2.63,5.25,0.63,3.49,2.37,52.47,19.41,08-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
08-Jan-2018 - 00:00,22.19,111.21,554.46,8.91,61.46,95.66,27.72,96.5,0.6,0.21,1.02,64.61,2.58,5.35,0.7,3.02,2.18,55.55,28.85,09-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
09-Jan-2018 - 00:00,22.07,446.98,210.49,0.0,61.61,40.7,27.0,141.09,0.58,0.2,1.06,60.21,2.47,5.7,0.63,2.19,1.68,56.16,23.45,10-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
10-Jan-2018 - 00:00,21.66,70.89,162.62,0.0,59.62,43.27,28.24,132.96,0.75,0.18,1.05,62.03,2.72,5.56,0.64,2.53,1.86,49.05,25.68,11-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
11-Jan-2018 - 00:00,22.48,89.58,206.16,0.0,57.81,41.79,28.22,172.27,0.47,0.27,1.31,45.36,2.91,5.24,0.69,3.36,2.35,51.75,18.22,12-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
12-Jan-2018 - 00:00,22.88,82.9,201.56,0.0,56.78,41.48,28.22,146.95,0.76,0.17,0.9,2.64,2.85,5.24,0.66,3.49,2.39,45.08,16.21,13-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
13-Jan-2018 - 00:00,23.87,95.34,214.16,0.0,59.69,35.47,27.95,142.29,0.49,0.19,1.58,3.04,2.82,5.24,0.65,3.56,2.42,43.97,32.46,14-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
14-Jan-2018 - 00:00,24.74,85.94,179.6,0.0,61.95,39.05,26.15,158.86,0.48,0.14,1.41,2.27,2.69,5.24,0.62,3.44,2.33,47.43,28.43,15-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
15-Jan-2018 - 00:00,24.14,69.18,172.92,0.0,62.0,42.4,26.84,172.01,0.59,0.12,1.67,2.21,2.7,5.62,0.63,2.47,1.82,40.33,21.52,16-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
16-Jan-2018 - 00:00,22.89,73.47,210.47,0.0,62.34,43.18,28.5,164.24,0.73,0.15,1.02,2.16,2.92,5.95,0.66,1.65,1.42,42.18,20.11,17-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
17-Jan-2018 - 00:00,23.19,67.86,179.8,0.0,62.11,40.31,29.33,188.18,0.59,0.13,1.43,2.51,2.68,6.17,5.2,10.0,9.55,43.0,27.17,18-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
18-Jan-2018 - 00:00,23.82,61.74,178.12,0.0,57.4,43.25,28.39,172.7,0.66,0.15,2.27,3.68,2.31,6.05,3.81,4.44,5.46,42.42,26.51,19-Jan-2018 - 00:00,"Sector-D Industrial Area, Mandideep - MPPCB"
