from date,AT,BP,PM2.5,PM10,RF,RH,SR,Temp,WD,WS,VWS,Benzene,Toluene,Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,22.12,716.12,62.7,124.84,0.0,48.7,108.93,30.53,182.05,0.4,-0.2,1.24,5.89,0.61,1.18,,,,,42.75,4.19,02-Jan-2018 - 00:00,"Zoo Park, Hyderabad - TSPCB"
02-Jan-2018 - 00:00,22.74,714.46,75.68,153.32,0.0,47.66,39.44,30.15,116.03,0.58,-0.2,1.26,4.87,1.88,1.08,22.77,12.61,69.28,39.1,58.17,7.77,03-Jan-2018 - 00:00,"Zoo Park, Hyderabad - TSPCB"
03-Jan-2018 - 00:00,22.84,712.04,79.96,162.77,0.0,47.02,82.95,30.85,122.18,0.67,-0.2,3.24,20.65,14.58,1.2,26.4,13.12,54.34,39.57,60.47,6.66,04-Jan-2018 - 00:00,"Zoo Park, Hyderabad - TSPCB"
04-Jan-2018 - 00:00,21.76,713.3,79.09,172.68,0.0,44.71,55.43,30.83,119.62,0.59,-0.2,2.14,9.74,17.34,1.34,27.13,14.45,59.82,43.57,53.93,14.98,05-Jan-2018 - 00:00,"Zoo Park, Hyderabad - TSPCB"
05-Jan-2018 - 00:00,21.08,715.93,80.29,171.66,0.0,45.38,102.28,31.45,124.15,0.44,-0.2,1.56,7.17,1.96,1.39,27.47,14.43,59.39,43.33,53.15,7.65,06-Jan-2018 - 00:00,"Zoo Park, Hyderabad - TSPCB"
06-Jan-2018 - 00:00,20.84,716.09,76.87,167.85,0.0,46.43,109.88,30.24,106.88,0.45,-0.2,8.54,56.09,21.78,1.42,28.71,17.45,57.38,44.71,51.34,5.78,07-Jan-2018 - 00:00,"Zoo Park, Hyderabad - TSPCB"
07-Jan-2018 - 00:00,21.35,716.8,77.28,167.6,0.0,45.69,105.21,27.58,118.43,0.56,-0.23,1.58,16.17,1.14,1.28,21.78,13.49,58.9,42.29,49.37,6.69,08-Jan-2018 - 00:00,"Zoo Park, Hyderabad - TSPCB"
08-Jan-2018 - 00:00,21.01,717.0,77.57,166.02,0.0,46.38,103.45,28.96,127.47,0.63,-0.25,0.94,3.63,0.53,1.24,22.14,12.96,58.05,41.42,49.34,6.63,09-Jan-2018 - 00:00,"Zoo Park, Hyderabad - TSPCB"
09-Jan-2018 - 00:00,21.29,717.2,79.86,173.78,0.0,49.95,90.31,29.85,113.72,0.65,-0.25,0.94,3.98,0.56,0.99,25.2,13.5,59.48,42.62,58.16,6.98,10-Jan-2018 - 00:00,"Zoo Park, Hyderabad - TSPCB"
10-Jan-2018 - 00:00,22.51,717.28,79.53,173.41,0.0,47.14,102.7,30.0,110.8,0.68,-0.26,1.06,4.22,0.7,1.18,25.47,15.7,60.47,44.92,54.35,8.86,11-Jan-2018 - 00:00,"Zoo Park, Hyderabad - TSPCB"
