from date,NH3,NO2,NO,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM2.5,PM10,AT,RH,RF,SR,WD,WS,Temp,to date,station
01-Jan-2018 - 00:00,17.53,29.56,1.99,17.34,0.67,89.71,11.27,1.0,0.2,2.47,96.34,152.26,23.7,61.65,0.0,54.03,195.86,2.43,27.48,02-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
02-Jan-2018 - 00:00,12.48,28.32,2.31,16.96,0.52,91.2,9.73,0.71,0.13,1.82,68.77,132.14,23.12,47.92,0.0,57.59,217.73,3.54,27.08,03-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
03-Jan-2018 - 00:00,9.77,33.15,4.15,20.98,0.5,78.84,5.12,0.73,0.23,2.24,50.23,98.08,22.74,42.34,0.0,61.62,179.11,2.72,27.58,04-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
04-Jan-2018 - 00:00,10.85,33.4,3.22,20.39,0.59,90.34,6.49,0.82,0.38,2.84,54.29,104.56,23.91,44.65,0.0,59.68,164.67,1.99,27.42,05-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
05-Jan-2018 - 00:00,15.48,32.63,5.52,21.84,0.73,84.4,10.48,1.26,72.87,4.46,69.93,136.17,24.2,49.05,0.0,59.46,201.46,1.8,27.9,06-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
06-Jan-2018 - 00:00,16.28,36.1,9.81,27.18,0.79,75.66,12.48,1.19,0.42,6.93,82.64,158.64,24.14,45.81,0.0,58.26,209.97,1.81,26.91,07-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
07-Jan-2018 - 00:00,12.76,26.54,2.19,15.9,0.46,90.62,7.17,0.6,0.1,2.1,53.75,108.51,23.55,46.35,0.0,60.84,227.2,2.54,25.66,08-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
08-Jan-2018 - 00:00,11.96,27.26,2.47,16.51,0.49,91.29,5.0,0.68,0.33,2.68,51.77,107.72,23.51,45.92,0.0,60.64,181.95,2.83,25.9,09-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
09-Jan-2018 - 00:00,11.35,30.4,2.57,18.25,0.51,88.75,7.58,0.68,0.36,2.1,56.16,115.88,23.45,48.53,0.0,58.62,140.74,2.86,26.48,10-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
10-Jan-2018 - 00:00,9.71,32.47,3.67,20.19,0.46,87.53,9.15,0.61,0.23,2.2,48.16,111.55,23.76,37.67,0.0,64.05,213.59,2.34,26.5,11-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
11-Jan-2018 - 00:00,16.81,43.19,6.75,28.45,0.64,74.7,15.03,1.06,1.53,4.5,65.54,147.71,24.44,37.48,0.0,59.83,274.47,2.14,26.32,12-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
12-Jan-2018 - 00:00,10.55,33.41,3.37,20.38,0.43,94.81,8.79,0.58,0.32,2.13,50.15,119.23,25.08,32.6,0.0,59.24,163.29,2.05,26.33,13-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
13-Jan-2018 - 00:00,12.85,34.7,3.06,20.94,0.5,74.12,6.27,0.67,0.22,2.41,52.67,110.84,25.29,38.43,0.0,39.11,146.29,2.19,26.37,14-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
14-Jan-2018 - 00:00,14.74,29.65,2.67,17.95,0.86,82.42,6.2,0.79,0.68,3.18,66.05,126.89,26.27,43.59,0.0,51.02,156.93,2.12,26.63,15-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
15-Jan-2018 - 00:00,13.99,25.83,2.21,15.53,0.58,83.22,7.42,0.5,0.24,2.06,53.36,107.88,25.79,44.61,0.0,63.47,212.85,2.57,26.69,16-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
16-Jan-2018 - 00:00,11.37,23.58,2.05,14.16,0.5,98.51,7.77,0.5,0.51,2.18,43.56,129.61,25.6,41.0,0.0,63.66,141.93,2.09,26.55,17-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
17-Jan-2018 - 00:00,11.9,32.7,10.89,26.24,0.66,67.17,7.99,0.88,1.17,4.17,47.32,109.05,26.07,41.06,0.0,63.25,178.39,2.09,26.3,18-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
18-Jan-2018 - 00:00,8.95,19.2,4.28,13.48,0.4,78.48,5.37,0.5,0.49,2.58,28.36,65.99,26.09,38.38,0.0,69.32,166.61,2.15,26.56,19-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
19-Jan-2018 - 00:00,14.74,36.43,8.75,26.49,0.68,54.71,21.19,1.29,2.25,11.56,50.1,124.3,25.96,42.51,0.0,61.31,184.72,1.92,26.26,20-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
20-Jan-2018 - 00:00,19.85,32.37,9.41,24.86,0.62,57.83,6.93,1.19,1.12,5.21,64.51,137.7,25.55,47.52,0.0,65.51,220.33,1.96,26.51,21-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
21-Jan-2018 - 00:00,12.14,25.22,2.33,15.3,0.51,81.56,7.5,0.49,0.31,2.26,35.88,83.92,25.72,43.22,0.0,65.44,194.29,2.02,26.46,22-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
22-Jan-2018 - 00:00,10.39,23.93,2.29,14.6,0.42,99.67,8.68,0.41,0.36,1.6,43.35,90.97,25.73,42.03,0.0,62.12,112.8,2.07,26.37,23-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
23-Jan-2018 - 00:00,12.76,22.14,1.19,12.74,0.46,91.18,14.43,0.61,0.46,3.01,54.68,130.79,24.86,48.78,0.0,58.83,196.45,3.19,26.24,24-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
24-Jan-2018 - 00:00,10.79,24.22,2.3,14.75,0.43,87.88,8.59,0.54,0.18,1.87,49.76,147.4,23.61,42.17,0.0,66.3,270.03,3.09,26.33,25-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
25-Jan-2018 - 00:00,10.29,29.36,2.0,17.23,0.42,102.18,13.01,0.64,0.24,2.02,60.27,134.79,23.57,33.53,0.0,66.86,185.49,1.88,26.5,26-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
26-Jan-2018 - 00:00,9.09,24.81,2.17,14.96,0.42,92.77,6.96,0.51,0.2,1.77,42.05,90.08,23.87,31.34,0.0,69.9,137.52,2.08,26.17,27-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
27-Jan-2018 - 00:00,9.0,28.31,2.65,17.21,0.54,94.89,6.72,0.62,0.32,2.39,42.52,100.47,24.52,34.86,0.0,67.58,141.78,2.15,26.26,28-Jan-2018 - 00:00,"Bhopal Chauraha, Dewas - MPPCB"
