from date,NO2,NH3,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM10,PM2.5,AT,RF,RH,SR,Temp,WD,WS,to date,station
07-Apr-2018 - 00:00,12.08,30.12,6.84,0.62,93.23,12.54,0.2,0.29,5.89,208.34,66.46,33.02,0.0,28.01,150.95,30.56,245.68,3.23,08-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Apr-2018 - 00:00,20.13,33.76,11.63,0.86,90.09,10.14,0.21,0.29,7.39,178.43,69.18,32.85,0.0,26.83,146.49,30.27,179.55,2.19,09-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Apr-2018 - 00:00,17.34,31.39,9.67,0.71,100.02,16.23,0.18,0.24,6.14,180.97,81.1,33.39,0.0,24.99,126.89,30.38,188.34,2.61,10-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Apr-2018 - 00:00,18.19,35.53,10.39,1.06,104.21,10.88,0.18,0.24,5.66,173.12,76.39,33.66,0.0,25.9,133.94,30.08,149.55,2.04,11-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Apr-2018 - 00:00,19.47,33.17,10.9,0.62,104.64,7.6,0.14,0.31,6.08,148.25,54.77,33.32,0.0,28.72,127.66,30.61,187.85,2.65,12-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Apr-2018 - 00:00,16.56,37.11,9.49,0.87,80.45,11.06,0.14,0.31,5.86,149.5,56.72,32.17,0.0,39.21,116.08,29.44,182.75,2.6,13-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Apr-2018 - 00:00,21.51,39.96,12.34,1.22,77.07,11.71,0.16,0.26,5.64,148.97,57.83,33.08,0.0,35.97,149.0,29.95,222.78,2.28,14-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Apr-2018 - 00:00,15.94,33.24,9.05,0.65,103.02,9.87,0.17,0.21,5.24,162.68,62.21,33.93,0.0,24.97,145.62,30.18,207.48,2.95,15-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Apr-2018 - 00:00,12.86,29.59,7.54,0.86,83.46,10.16,0.15,0.46,5.9,154.62,48.29,33.95,0.0,23.58,152.55,29.68,259.77,3.61,16-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Apr-2018 - 00:00,12.32,28.35,7.24,0.68,69.38,5.43,0.12,0.23,5.29,138.78,42.75,34.12,0.0,21.17,157.65,29.9,263.26,2.81,17-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Apr-2018 - 00:00,10.88,25.76,6.32,0.71,82.5,6.63,0.11,0.19,5.24,129.86,42.15,34.33,0.0,21.91,145.97,29.47,247.0,2.85,18-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Apr-2018 - 00:00,15.16,24.78,8.69,0.57,88.59,5.74,0.12,0.17,5.35,143.41,48.59,34.12,0.0,16.77,160.71,29.91,256.6,2.23,19-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Apr-2018 - 00:00,10.11,23.73,5.86,0.73,91.74,6.73,0.1,0.14,5.16,169.92,42.62,34.3,0.0,17.9,154.83,30.17,250.47,3.52,20-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Apr-2018 - 00:00,11.26,21.01,6.6,0.67,75.07,10.32,0.1,0.09,4.81,153.16,41.17,33.72,0.0,21.22,157.98,29.58,265.91,4.42,21-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Apr-2018 - 00:00,15.35,24.51,8.9,0.76,72.6,10.76,0.11,0.14,5.29,145.0,44.69,33.2,0.0,24.44,159.33,29.87,255.08,3.15,22-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Apr-2018 - 00:00,18.38,22.98,10.96,0.9,94.96,8.79,0.14,0.18,4.7,235.34,60.49,33.38,0.0,16.8,153.24,28.93,142.19,2.15,23-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Apr-2018 - 00:00,20.96,24.39,11.61,1.15,105.13,6.73,0.16,0.23,4.24,172.49,50.33,33.52,0.0,13.4,159.98,29.17,130.98,2.22,24-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Apr-2018 - 00:00,21.97,23.3,13.02,1.07,125.28,12.63,0.17,0.23,4.49,130.84,47.14,35.04,0.0,9.19,207.26,29.19,183.15,1.97,25-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Apr-2018 - 00:00,15.1,21.97,9.19,0.79,112.26,12.84,0.14,0.18,4.77,118.92,37.18,34.07,0.0,11.62,160.28,28.97,226.26,2.79,26-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Apr-2018 - 00:00,9.51,19.13,5.44,0.85,111.51,13.63,0.1,166.35,4.56,109.77,31.77,34.55,0.0,16.0,159.75,29.73,231.94,3.12,27-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Apr-2018 - 00:00,9.8,22.06,5.62,0.71,102.72,11.45,0.1,0.1,4.65,132.75,43.95,35.13,0.0,22.8,152.33,29.42,259.65,3.61,28-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Apr-2018 - 00:00,10.15,24.19,5.81,0.54,109.2,7.75,0.1,0.1,4.5,138.57,45.7,35.4,0.0,23.55,152.77,30.2,268.49,3.83,29-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Apr-2018 - 00:00,8.94,23.69,5.19,0.6,104.3,9.16,0.1,0.08,3.95,154.84,47.26,35.0,0.0,24.4,164.17,29.77,267.61,5.77,30-Apr-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-Apr-2018 - 00:00,7.54,26.22,4.48,0.7,87.64,7.45,0.09,0.06,3.55,165.03,41.25,34.71,0.0,33.11,155.3,29.61,264.69,6.29,01-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-May-2018 - 00:00,7.04,25.62,4.18,0.47,87.78,8.72,0.1,0.06,3.67,154.15,38.74,35.0,0.0,32.22,153.69,29.27,264.41,5.6,02-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-May-2018 - 00:00,7.73,22.15,4.58,0.43,93.35,10.17,0.1,0.09,4.17,141.76,40.31,35.16,0.0,28.1,158.32,29.48,269.66,4.46,03-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-May-2018 - 00:00,9.33,21.65,5.4,0.76,94.47,6.77,0.1,0.08,3.88,118.5,32.62,34.8,0.0,23.74,163.32,29.78,248.09,3.68,04-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-May-2018 - 00:00,9.8,25.02,5.62,0.45,98.16,7.58,0.1,0.09,4.44,122.53,49.42,34.24,0.0,27.7,162.26,30.33,254.67,3.95,05-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-May-2018 - 00:00,8.61,24.63,4.99,0.55,106.05,7.93,0.09,0.1,4.15,163.88,45.05,35.17,0.0,28.95,153.42,30.39,256.96,3.0,06-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-May-2018 - 00:00,7.56,22.18,4.48,1.12,112.61,6.37,0.06,0.08,3.81,160.57,39.72,35.29,0.0,22.62,160.18,30.27,270.19,5.04,07-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-May-2018 - 00:00,8.23,22.59,4.94,0.84,101.09,7.59,0.07,0.08,3.81,149.12,36.62,34.27,0.0,21.9,162.16,31.08,270.55,4.77,08-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-May-2018 - 00:00,9.73,24.56,5.96,0.68,82.4,9.71,0.05,0.06,3.68,126.41,35.97,33.86,0.0,28.15,162.25,31.22,260.19,4.52,09-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-May-2018 - 00:00,7.54,26.85,4.52,0.68,89.91,12.37,0.07,0.1,4.07,171.74,48.92,34.66,0.0,29.29,151.66,30.08,254.78,3.13,10-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-May-2018 - 00:00,11.08,27.45,6.44,0.79,82.05,11.91,0.11,0.11,3.4,181.77,54.18,35.61,0.0,23.64,140.75,30.13,201.39,2.22,11-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-May-2018 - 00:00,7.41,25.27,4.51,0.48,88.43,9.59,0.08,0.1,3.53,145.93,41.6,35.99,0.0,18.67,153.19,30.04,257.09,3.18,12-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-May-2018 - 00:00,7.21,26.45,4.37,0.45,99.09,9.12,0.07,0.09,3.65,132.25,37.23,35.68,0.0,19.55,152.59,31.06,267.46,3.9,13-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-May-2018 - 00:00,8.42,28.1,5.3,0.95,85.03,11.84,0.09,290.5,4.24,145.12,38.61,35.04,0.0,22.78,155.04,31.96,269.24,4.12,14-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-May-2018 - 00:00,7.35,25.94,4.52,0.77,81.22,11.79,0.07,0.1,3.97,179.48,44.61,35.0,0.0,25.11,151.27,31.48,237.15,3.23,15-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-May-2018 - 00:00,8.38,28.74,5.1,0.42,85.99,11.12,0.1,350.66,3.85,168.29,47.39,34.64,0.0,29.55,113.21,31.57,220.45,3.07,16-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-May-2018 - 00:00,5.82,26.96,3.67,0.59,77.54,6.01,0.85,682.88,23.09,223.12,57.25,35.35,0.0,28.26,141.89,31.66,257.72,3.87,17-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-May-2018 - 00:00,7.27,23.53,4.47,0.74,80.37,10.26,1.83,,31.55,211.06,55.11,35.82,0.0,20.58,155.5,30.65,258.82,3.99,18-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-May-2018 - 00:00,6.82,22.05,4.21,0.49,91.34,14.06,0.15,902.89,7.84,246.11,57.38,36.43,0.0,19.6,154.7,30.33,267.01,5.01,19-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-May-2018 - 00:00,6.35,22.93,4.0,0.4,99.54,15.04,0.07,119.4,3.44,229.66,50.93,37.52,0.0,24.11,152.17,30.16,264.21,4.48,20-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-May-2018 - 00:00,6.91,23.19,4.33,1.01,116.3,14.18,0.08,0.09,3.41,255.48,54.92,37.71,0.0,25.92,150.82,29.95,250.8,3.67,21-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-May-2018 - 00:00,5.86,22.56,3.65,0.79,99.84,9.37,0.96,712.8,15.43,203.86,47.93,38.22,0.0,24.27,150.56,30.14,255.52,3.59,22-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-May-2018 - 00:00,5.74,22.61,3.57,0.4,110.18,12.38,1.23,,3.08,168.92,44.84,38.35,0.0,21.73,153.91,30.67,253.27,3.39,23-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-May-2018 - 00:00,5.73,23.23,3.57,0.43,118.67,12.89,0.07,842.37,3.22,192.51,89.07,38.34,0.0,22.86,156.16,30.94,271.73,4.21,24-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-May-2018 - 00:00,6.62,22.79,4.05,0.42,120.93,13.15,0.07,117.27,2.7,190.2,322.17,38.25,0.0,18.42,167.45,30.54,267.04,4.82,25-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-May-2018 - 00:00,6.96,23.38,4.23,0.36,98.86,16.69,0.07,0.07,2.82,195.47,292.28,37.86,0.0,19.29,146.02,29.87,260.08,2.97,26-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-May-2018 - 00:00,7.79,23.53,4.69,0.63,105.65,8.95,0.08,0.09,2.84,131.17,265.36,38.28,0.0,19.64,101.04,30.26,259.72,2.86,27-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-May-2018 - 00:00,10.35,22.44,6.22,1.16,110.96,12.06,0.08,0.08,2.87,164.45,369.97,38.72,0.0,17.15,153.96,29.54,236.2,2.54,28-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-May-2018 - 00:00,7.59,26.57,4.63,0.65,104.42,13.95,6.38,7.45,2.84,168.92,45.11,38.81,0.0,20.8,155.1,30.71,250.7,3.18,29-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-May-2018 - 00:00,6.28,27.31,4.16,0.83,86.64,12.96,0.03,0.04,2.63,199.41,41.73,38.16,0.0,30.8,149.65,31.28,271.05,5.03,30-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-May-2018 - 00:00,5.88,34.51,3.76,0.62,76.36,10.47,0.02,0.01,2.36,136.48,77.18,37.23,0.0,40.2,161.22,30.78,269.62,5.48,31-May-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
31-May-2018 - 00:00,6.61,31.18,4.1,0.33,82.09,7.83,0.07,0.07,2.61,241.27,53.74,37.02,0.0,43.2,149.31,31.41,241.14,3.86,01-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Jun-2018 - 00:00,8.41,26.99,5.19,1.11,90.2,9.44,0.06,0.06,2.79,189.84,44.3,36.63,0.09,42.95,143.31,31.13,238.84,3.98,02-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Jun-2018 - 00:00,12.38,34.41,7.38,1.06,95.05,9.86,0.1,0.08,2.72,154.96,44.14,36.18,0.0,46.25,144.04,31.02,234.18,4.15,03-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Jun-2018 - 00:00,11.48,30.57,7.44,1.35,91.13,10.85,0.06,0.03,2.17,159.26,40.81,36.35,0.0,44.82,145.7,31.06,257.04,6.02,04-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Jun-2018 - 00:00,9.92,27.48,6.69,0.69,81.63,11.29,0.05,0.02,2.42,163.64,39.23,37.39,0.0,39.81,148.19,31.13,275.05,5.55,05-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Jun-2018 - 00:00,11.42,27.78,7.2,1.16,81.63,16.09,0.08,0.08,2.46,137.85,43.22,37.43,0.0,40.66,142.92,31.07,243.1,4.44,06-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Jun-2018 - 00:00,8.55,29.64,5.22,0.92,83.04,10.43,0.06,0.06,2.37,147.1,36.65,36.74,0.06,46.7,140.62,31.17,229.6,4.83,07-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Jun-2018 - 00:00,9.21,30.46,5.67,0.97,79.74,9.99,0.06,0.03,2.52,153.91,40.12,36.77,0.0,44.83,141.49,31.03,249.44,4.85,08-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Jun-2018 - 00:00,7.14,27.23,4.57,0.56,78.17,8.83,0.02,0.01,2.14,132.57,32.25,36.89,0.0,44.0,147.07,30.96,268.14,6.56,09-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Jun-2018 - 00:00,8.19,26.47,5.15,1.02,66.49,8.93,0.04,0.02,2.01,117.71,30.86,35.64,0.0,55.73,109.67,30.91,232.07,6.5,10-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Jun-2018 - 00:00,9.0,26.73,5.72,1.23,72.04,5.82,0.06,0.05,2.65,121.32,34.91,35.43,0.0,56.7,109.14,31.03,235.35,4.48,11-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Jun-2018 - 00:00,6.35,23.88,4.08,1.03,68.47,5.02,0.02,0.01,1.83,164.12,41.85,35.64,0.0,55.49,126.49,31.16,253.52,7.5,12-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Jun-2018 - 00:00,5.58,22.21,3.59,1.01,70.16,3.94,0.0,0.0,1.51,192.72,40.99,35.29,0.0,55.54,137.04,30.95,257.42,10.15,13-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Jun-2018 - 00:00,4.64,30.99,3.0,0.9,65.84,6.41,0.0,0.0,1.38,189.32,41.39,35.56,0.0,54.09,142.43,31.0,254.86,10.02,14-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Jun-2018 - 00:00,4.03,16.3,2.64,0.45,70.92,4.57,0.0,0.0,1.34,239.72,44.95,35.44,0.0,49.82,143.24,30.71,253.59,10.34,15-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Jun-2018 - 00:00,4.43,12.24,2.91,0.34,64.75,4.15,0.0,0.0,1.39,163.11,36.53,35.4,0.0,48.34,136.57,30.71,248.43,9.29,16-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Jun-2018 - 00:00,6.24,13.4,4.51,0.35,67.44,4.07,0.01,0.0,1.52,122.36,34.49,35.34,0.0,49.29,129.59,30.75,249.69,8.41,17-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Jun-2018 - 00:00,5.15,14.39,3.33,0.4,69.58,2.62,0.0,0.0,1.91,98.47,26.35,35.56,0.0,49.62,121.26,30.73,259.25,6.29,18-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Jun-2018 - 00:00,9.43,13.66,5.54,1.07,66.33,7.56,0.04,0.03,2.32,113.75,33.46,35.4,0.0,54.29,118.97,30.97,232.09,4.63,19-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Jun-2018 - 00:00,7.42,14.54,4.4,0.86,79.85,5.89,0.04,0.04,2.31,113.82,32.8,35.31,0.1,57.54,134.95,30.73,226.98,4.22,20-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Jun-2018 - 00:00,12.18,20.24,7.17,0.94,91.86,6.0,0.06,0.05,2.79,79.89,31.06,34.74,0.0,58.65,133.55,30.87,205.72,2.68,21-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Jun-2018 - 00:00,10.7,19.18,6.31,0.83,103.49,6.01,0.03,0.01,2.49,97.49,36.19,35.38,0.01,55.54,123.16,30.59,225.02,3.46,22-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Jun-2018 - 00:00,9.91,19.49,5.92,0.78,89.63,5.18,0.02,0.0,2.45,76.01,31.96,33.93,0.0,68.95,101.68,30.54,249.26,4.62,23-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Jun-2018 - 00:00,14.99,19.33,8.58,0.97,86.16,5.03,0.04,0.04,2.7,62.07,27.45,34.13,0.06,68.09,104.42,30.65,216.16,2.88,24-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
24-Jun-2018 - 00:00,12.85,22.74,7.38,0.99,116.83,5.3,0.04,0.01,2.52,44.5,20.49,33.57,0.08,75.0,131.78,30.51,220.18,3.57,25-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
25-Jun-2018 - 00:00,12.89,26.52,7.44,0.87,96.46,5.75,0.06,0.02,2.73,62.42,29.53,33.71,0.0,75.61,93.53,30.63,243.26,3.46,26-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
26-Jun-2018 - 00:00,8.38,16.71,5.0,0.74,67.2,3.16,0.01,0.01,2.66,59.17,26.88,32.46,0.0,82.9,31.97,30.56,257.31,4.19,27-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
27-Jun-2018 - 00:00,6.63,17.19,4.01,0.62,61.97,4.71,0.01,0.01,2.33,84.96,31.4,33.15,0.04,77.47,80.7,30.69,258.88,4.23,28-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
28-Jun-2018 - 00:00,7.67,21.09,4.63,0.62,58.81,2.3,0.02,0.02,3.01,63.43,29.01,32.07,0.05,86.16,40.01,30.66,250.0,3.41,29-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
29-Jun-2018 - 00:00,7.26,22.01,4.4,0.59,60.68,5.35,0.02,0.04,2.74,67.01,27.9,32.14,0.18,84.68,57.6,30.54,227.18,4.15,30-Jun-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
30-Jun-2018 - 00:00,5.72,21.17,3.57,0.56,67.21,2.07,0.02,0.02,2.88,74.11,25.01,33.66,0.0,69.39,136.8,30.77,235.8,4.07,01-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
01-Jul-2018 - 00:00,6.47,19.88,3.94,0.58,74.11,8.09,0.0,0.0,2.75,86.88,29.56,34.16,0.0,63.66,125.99,30.89,266.86,4.74,02-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
02-Jul-2018 - 00:00,5.33,18.56,3.34,0.52,62.72,8.7,0.0,0.0,2.39,54.53,16.51,34.36,0.0,63.27,116.97,31.11,252.47,5.79,03-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
03-Jul-2018 - 00:00,4.05,17.1,2.73,0.55,51.94,5.6,0.0,0.0,1.72,20.02,8.04,33.1,0.01,75.5,65.48,30.85,237.25,6.44,04-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
04-Jul-2018 - 00:00,3.25,17.76,2.54,0.44,48.11,3.6,0.0,0.0,2.12,21.15,7.55,31.95,0.38,86.36,39.62,30.99,239.95,5.25,05-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
05-Jul-2018 - 00:00,3.86,18.13,3.1,0.33,52.92,4.36,0.0,0.01,2.57,75.48,23.46,32.84,0.0,81.04,52.26,30.65,259.29,4.56,06-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
06-Jul-2018 - 00:00,6.84,19.39,4.49,0.41,58.79,4.08,0.03,0.03,2.71,80.39,31.27,33.23,0.03,77.65,70.81,30.72,242.52,4.22,07-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
07-Jul-2018 - 00:00,5.8,21.6,3.99,0.43,69.68,3.07,0.05,0.02,2.95,81.72,32.4,32.91,0.01,79.42,88.76,30.56,251.36,3.41,08-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
08-Jul-2018 - 00:00,4.03,20.32,2.96,0.34,79.38,2.3,0.0,0.0,2.87,86.21,32.84,33.32,0.02,79.46,109.93,30.26,265.03,4.44,09-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
09-Jul-2018 - 00:00,5.37,19.7,4.39,0.43,83.61,4.81,0.03,0.01,2.49,95.73,73.59,33.51,0.19,76.69,98.69,30.27,264.49,5.42,10-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
10-Jul-2018 - 00:00,4.14,20.08,3.24,0.52,83.11,3.12,0.05,0.02,2.46,48.61,22.45,32.86,0.82,83.12,91.74,30.29,262.85,4.94,11-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
11-Jul-2018 - 00:00,3.52,18.67,2.58,0.43,78.87,2.93,0.01,0.0,2.88,36.78,19.24,31.77,0.36,91.51,25.79,29.96,260.55,3.58,12-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
12-Jul-2018 - 00:00,2.8,17.87,2.31,0.43,57.36,2.73,0.0,0.0,2.78,26.93,14.01,31.85,0.3,89.77,32.61,29.9,263.54,3.92,13-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
13-Jul-2018 - 00:00,3.38,18.75,2.64,0.41,61.87,3.82,0.01,0.01,2.88,38.76,19.02,32.2,0.31,87.18,54.94,30.26,250.04,3.73,14-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
14-Jul-2018 - 00:00,5.17,17.79,3.5,0.5,69.01,3.33,0.02,0.04,3.0,19.76,11.29,32.11,1.14,91.07,67.46,30.3,244.5,3.38,15-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
15-Jul-2018 - 00:00,6.28,19.32,4.19,0.59,86.01,3.49,0.04,0.07,3.48,34.64,17.05,33.05,0.0,83.07,86.72,30.44,227.17,1.71,16-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
16-Jul-2018 - 00:00,4.78,25.58,3.43,0.57,60.78,1.94,0.05,0.06,3.34,29.41,15.41,32.9,0.04,88.46,63.93,31.54,241.33,2.54,17-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
17-Jul-2018 - 00:00,3.46,20.74,2.78,0.46,58.07,4.11,0.01,0.01,3.4,22.79,10.42,32.45,0.0,87.32,38.23,31.57,258.5,3.7,18-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
18-Jul-2018 - 00:00,2.99,21.4,2.47,0.43,53.69,3.42,0.0,0.0,3.18,22.91,50.16,32.34,0.0,87.02,34.34,31.63,257.04,4.65,19-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
19-Jul-2018 - 00:00,2.91,20.23,2.37,0.4,56.32,3.26,0.01,0.0,2.76,20.09,9.66,32.03,0.05,90.2,38.41,31.66,256.43,5.56,20-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
20-Jul-2018 - 00:00,2.69,19.5,2.41,0.37,59.25,2.1,0.0,0.0,2.64,13.91,5.07,31.97,0.0,88.98,48.58,31.51,253.61,5.52,21-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
21-Jul-2018 - 00:00,2.81,19.54,2.44,0.38,59.99,3.05,0.0,0.0,2.73,25.04,12.28,32.06,0.03,88.9,50.48,31.47,257.39,5.53,22-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
22-Jul-2018 - 00:00,2.63,20.24,2.15,0.37,59.69,1.93,0.0,0.0,2.73,64.59,24.71,31.99,0.0,86.82,44.53,31.33,266.11,5.55,23-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
23-Jul-2018 - 00:00,2.22,20.33,1.95,0.39,50.76,2.18,0.0,0.0,2.84,42.7,17.83,31.38,0.88,92.23,12.71,31.15,268.44,4.65,24-Jul-2018 - 00:00,"Mahakaleshwar Temple, Ujjain - MPPCB"
