from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,VWS,Benzene,Toluene,P-Xylene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
08-Mar-2018 - 00:00,23.28,989.6,59.43,103.32,118.22,1.05,433.59,168.46,0.0,,,,49.09,98.82,20.99,64.38,2.02,54.23,19.19,09-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
09-Mar-2018 - 00:00,23.77,989.58,56.68,114.72,87.45,1.74,351.04,133.74,0.0,,,,56.25,71.69,12.4,50.69,1.39,33.93,12.45,10-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
10-Mar-2018 - 00:00,24.22,988.48,51.64,123.73,110.11,2.48,205.39,72.5,0.0,,,,63.3,14.52,3.58,24.1,0.46,39.28,11.1,11-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
11-Mar-2018 - 00:00,24.06,987.51,55.9,117.8,130.64,1.53,252.66,89.26,0.0,,,,51.61,20.89,7.53,31.01,0.66,44.53,10.81,12-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
12-Mar-2018 - 00:00,25.29,987.57,53.59,119.58,188.05,1.47,283.58,104.42,0.0,,,,62.95,19.65,9.41,32.35,0.77,35.91,12.8,13-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
13-Mar-2018 - 00:00,26.77,985.88,48.75,123.03,199.11,1.39,402.33,137.08,0.0,,,,54.77,68.93,17.86,44.28,1.71,35.57,15.13,14-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
14-Mar-2018 - 00:00,28.56,983.64,35.97,121.43,143.83,1.22,465.14,119.64,0.0,,,,35.37,93.18,29.43,72.49,1.63,47.09,10.47,15-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
15-Mar-2018 - 00:00,25.07,984.52,49.91,93.95,122.63,2.02,446.08,164.62,0.0,,,,64.56,25.22,23.76,53.37,0.89,27.2,13.05,16-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
16-Mar-2018 - 00:00,23.78,985.83,54.49,108.69,75.05,2.06,382.42,147.21,0.0,,,,60.73,20.67,12.46,42.58,0.84,36.99,13.53,17-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
17-Mar-2018 - 00:00,21.26,986.95,55.12,120.42,120.4,1.83,292.2,109.72,0.0,,,,56.11,16.12,2.87,22.17,0.6,54.59,14.53,18-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
18-Mar-2018 - 00:00,27.37,988.46,33.91,180.63,57.29,2.43,218.79,72.86,0.0,,,,33.93,16.38,2.48,23.81,0.67,99.15,10.09,19-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
19-Mar-2018 - 00:00,24.88,989.66,46.65,103.75,160.56,1.62,284.08,100.96,0.0,,,,59.89,24.22,18.25,41.8,0.99,60.5,11.15,20-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
20-Mar-2018 - 00:00,26.42,986.76,45.78,104.29,168.31,1.1,394.22,135.65,0.0,,,,65.89,32.11,23.09,51.13,1.51,59.36,15.95,21-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
21-Mar-2018 - 00:00,25.8,984.68,52.04,98.64,84.18,2.36,315.33,86.08,0.0,,,,73.19,26.35,12.63,36.25,1.12,69.11,17.48,22-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
22-Mar-2018 - 00:00,24.2,985.56,58.31,102.91,51.53,2.4,218.71,60.79,0.0,,,,67.85,16.1,5.04,22.2,0.87,63.64,10.33,23-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
23-Mar-2018 - 00:00,23.6,986.75,56.54,125.17,54.9,2.08,212.38,56.38,0.0,,,,58.27,15.37,3.71,19.89,0.77,60.9,10.02,24-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
24-Mar-2018 - 00:00,25.16,989.11,52.55,127.15,23.45,2.7,253.25,64.77,0.0,,,,57.84,14.54,3.06,18.28,0.81,70.53,10.96,25-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
25-Mar-2018 - 00:00,25.69,990.31,51.58,124.38,99.87,2.44,240.5,60.65,0.0,,,,55.93,13.54,2.61,16.91,0.85,80.03,10.94,26-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
26-Mar-2018 - 00:00,26.31,988.63,48.17,124.88,47.52,2.41,278.09,70.87,0.0,,,,51.33,14.73,8.65,23.66,1.09,72.29,13.98,27-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
27-Mar-2018 - 00:00,27.57,985.19,41.02,124.58,182.25,1.34,466.3,128.86,0.0,,,,63.02,54.26,24.93,55.47,1.95,59.2,18.6,28-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
28-Mar-2018 - 00:00,28.69,984.39,39.83,123.74,126.81,2.06,406.42,110.17,0.0,,,,43.49,108.48,16.15,58.98,1.82,57.46,11.57,29-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
29-Mar-2018 - 00:00,28.17,983.63,39.27,124.81,92.86,2.34,316.25,82.17,0.0,,,,54.28,16.41,5.99,23.05,0.96,67.56,13.43,30-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
30-Mar-2018 - 00:00,28.3,981.44,38.69,129.93,142.7,2.43,341.54,89.08,0.0,,,,56.23,20.27,8.84,29.92,1.02,68.24,11.57,31-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
31-Mar-2018 - 00:00,26.82,984.03,44.49,113.97,146.4,2.29,400.29,101.54,0.0,,,,62.29,23.17,9.69,34.82,1.16,65.88,12.77,01-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
01-Apr-2018 - 00:00,29.78,986.09,40.2,157.06,148.7,2.27,286.77,72.51,0.0,,,,61.62,19.5,3.24,23.11,1.19,96.44,10.59,02-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
02-Apr-2018 - 00:00,29.65,986.0,41.88,107.0,147.1,1.8,352.17,91.88,0.0,,,,61.97,27.42,11.11,39.76,1.39,85.15,12.31,03-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
03-Apr-2018 - 00:00,31.27,984.48,39.52,104.71,160.07,1.69,337.12,98.58,0.0,,,,66.36,33.21,17.9,46.79,1.6,80.42,13.03,04-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
04-Apr-2018 - 00:00,31.32,982.19,43.68,198.37,106.79,1.23,443.29,130.67,0.0,,,,94.25,28.2,18.83,49.49,1.8,46.11,15.46,05-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
05-Apr-2018 - 00:00,30.97,980.89,42.75,198.53,67.72,1.62,451.96,117.08,0.0,,,,70.74,22.64,13.04,53.26,1.15,28.14,23.55,06-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
06-Apr-2018 - 00:00,29.9,982.68,39.49,160.45,129.07,2.15,307.72,98.13,0.0,2.26,12.78,,56.93,16.12,10.1,36.72,0.88,37.97,16.13,07-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
07-Apr-2018 - 00:00,28.25,984.89,46.27,229.11,151.48,2.11,179.16,54.62,0.0,0.78,17.09,,44.79,27.46,7.18,37.52,0.65,49.93,5.68,08-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
08-Apr-2018 - 00:00,29.46,975.19,45.41,208.84,157.59,2.68,169.38,50.62,0.0,0.59,2.05,,55.23,19.85,7.69,31.29,0.61,52.35,8.13,09-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
09-Apr-2018 - 00:00,26.01,967.75,63.44,32.11,130.56,2.34,235.57,65.43,0.01,27.8,60.76,,47.13,38.1,15.7,48.73,1.16,43.76,6.17,10-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
10-Apr-2018 - 00:00,28.47,985.32,53.66,189.61,167.8,1.74,364.08,101.33,0.0,39.31,213.64,,96.28,21.02,28.07,54.33,1.17,60.95,9.27,11-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
11-Apr-2018 - 00:00,26.07,985.25,56.84,161.88,118.84,3.12,179.0,53.5,0.0,70.38,213.74,,56.6,14.72,6.55,36.41,0.82,35.98,7.17,12-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
12-Apr-2018 - 00:00,27.64,984.48,46.59,225.72,120.05,1.9,127.25,58.04,0.0,84.49,87.62,,32.29,19.36,7.33,38.08,0.79,49.7,6.28,13-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
13-Apr-2018 - 00:00,28.22,985.32,34.08,242.09,100.88,1.71,338.54,148.71,0.0,1.52,2.86,,52.59,64.84,20.2,41.83,1.28,48.59,13.15,14-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
14-Apr-2018 - 00:00,28.76,984.52,29.81,302.73,126.27,2.08,345.81,164.76,0.0,0.85,4.28,,70.06,30.06,15.23,38.64,0.85,50.22,14.28,15-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
16-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
17-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
18-Apr-2018 - 00:00,33.99,982.37,20.21,105.9,21.52,3.3,400.89,73.78,0.0,0.2,1.94,,43.35,23.74,1.41,18.01,0.63,59.37,7.39,19-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
19-Apr-2018 - 00:00,32.42,980.75,27.51,206.58,124.04,1.62,367.38,103.58,0.0,0.4,2.25,,56.15,22.81,10.34,30.36,0.82,49.35,11.68,20-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
20-Apr-2018 - 00:00,32.74,979.66,24.18,176.71,153.84,3.24,483.86,94.46,0.0,0.39,1.83,,51.63,21.0,8.51,29.03,0.67,44.61,9.55,21-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
21-Apr-2018 - 00:00,29.0,984.34,33.72,193.84,56.75,2.47,540.42,95.46,0.0,0.49,1.26,,45.33,12.66,1.77,12.66,0.47,57.86,10.03,22-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
22-Apr-2018 - 00:00,28.39,985.15,24.99,247.57,24.2,2.86,291.08,69.38,0.0,0.29,1.21,,37.4,15.06,2.42,13.81,0.52,72.31,12.67,23-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
23-Apr-2018 - 00:00,29.55,984.13,21.18,244.73,63.61,2.52,373.57,93.12,0.0,0.57,1.7,,33.6,30.55,5.64,21.02,0.71,75.77,10.33,24-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
24-Apr-2018 - 00:00,30.47,983.02,25.69,231.73,149.1,1.7,430.12,154.12,0.0,2.38,1.89,,41.27,92.07,21.53,39.12,1.65,62.66,10.84,25-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
25-Apr-2018 - 00:00,32.66,980.2,21.81,231.72,209.3,1.3,473.5,144.25,0.0,4.12,4.58,,36.05,108.13,37.69,53.32,2.51,51.45,8.52,26-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
26-Apr-2018 - 00:00,34.91,978.78,20.3,192.0,132.83,1.62,505.45,152.53,0.0,2.47,4.91,,46.56,63.99,21.38,47.44,1.64,66.71,13.0,27-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
27-Apr-2018 - 00:00,32.85,981.91,41.95,187.61,157.67,2.51,431.65,123.01,0.0,1.33,3.54,,78.96,35.69,9.56,33.71,1.17,75.52,10.04,28-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
28-Apr-2018 - 00:00,33.42,981.8,42.15,195.89,138.7,2.91,391.28,101.03,0.0,0.44,1.7,,65.1,18.4,2.58,23.53,0.84,83.83,9.91,29-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
29-Apr-2018 - 00:00,33.99,978.84,39.22,191.5,133.88,1.47,352.81,110.2,0.0,0.59,2.27,,64.56,31.12,9.59,40.86,1.13,80.41,11.34,30-Apr-2018 - 00:00,"Rohini, Delhi - DPCC"
30-Apr-2018 - 00:00,34.03,977.15,36.07,218.04,150.33,2.11,287.38,88.19,0.0,0.61,2.41,,60.81,27.91,9.97,37.62,0.86,71.78,8.69,01-May-2018 - 00:00,"Rohini, Delhi - DPCC"
01-May-2018 - 00:00,31.5,980.48,50.57,216.03,135.25,3.15,223.54,59.21,0.0,0.42,1.58,,65.72,18.36,3.36,28.9,0.58,74.17,6.8,02-May-2018 - 00:00,"Rohini, Delhi - DPCC"
02-May-2018 - 00:00,30.24,981.96,51.15,196.38,163.35,3.41,184.32,61.92,0.0,0.51,1.5,,50.42,16.91,3.0,31.74,0.52,78.12,5.12,03-May-2018 - 00:00,"Rohini, Delhi - DPCC"
03-May-2018 - 00:00,29.54,982.41,47.81,199.68,158.26,3.4,220.35,62.17,0.0,0.39,1.52,,50.87,19.43,4.03,26.6,0.52,55.9,7.0,04-May-2018 - 00:00,"Rohini, Delhi - DPCC"
04-May-2018 - 00:00,30.75,982.86,50.94,239.39,100.35,2.79,152.62,55.17,0.0,0.32,1.49,,57.09,15.22,2.87,21.71,0.54,79.16,6.81,05-May-2018 - 00:00,"Rohini, Delhi - DPCC"
05-May-2018 - 00:00,33.48,981.98,40.89,232.82,164.07,1.31,268.88,94.17,0.0,1.11,2.53,,51.7,45.66,14.11,44.0,1.14,59.55,7.57,06-May-2018 - 00:00,"Rohini, Delhi - DPCC"
06-May-2018 - 00:00,32.38,982.67,37.9,218.65,99.94,2.66,430.7,164.29,0.0,1.45,4.09,,72.19,51.49,19.35,47.3,1.23,61.36,11.64,07-May-2018 - 00:00,"Rohini, Delhi - DPCC"
07-May-2018 - 00:00,33.1,980.62,34.45,217.47,234.12,1.52,449.42,154.96,0.0,0.91,3.53,,66.45,31.54,14.56,42.23,1.13,65.44,11.61,08-May-2018 - 00:00,"Rohini, Delhi - DPCC"
08-May-2018 - 00:00,29.21,981.23,41.99,248.88,268.93,3.58,184.67,61.22,0.0,0.88,1.14,,18.08,17.95,2.32,8.16,0.24,74.44,1.98,09-May-2018 - 00:00,"Rohini, Delhi - DPCC"
09-May-2018 - 00:00,27.92,983.17,55.51,158.36,157.67,1.48,247.46,97.04,0.01,2.21,3.8,,58.64,43.61,15.98,42.57,1.03,54.9,3.13,10-May-2018 - 00:00,"Rohini, Delhi - DPCC"
10-May-2018 - 00:00,31.2,983.84,45.49,236.37,223.36,1.25,272.93,112.4,0.0,1.12,3.83,,80.57,44.49,16.4,48.72,1.17,70.36,7.34,11-May-2018 - 00:00,"Rohini, Delhi - DPCC"
11-May-2018 - 00:00,33.95,980.79,39.03,213.91,228.34,1.36,443.69,123.16,0.0,1.69,4.97,,85.46,58.2,27.92,65.36,1.67,67.18,11.1,12-May-2018 - 00:00,"Rohini, Delhi - DPCC"
12-May-2018 - 00:00,35.02,980.0,40.96,177.07,132.86,1.89,425.77,134.31,0.0,1.41,4.56,,92.89,48.51,15.69,54.7,1.52,65.01,13.24,13-May-2018 - 00:00,"Rohini, Delhi - DPCC"
13-May-2018 - 00:00,32.2,980.22,49.07,178.0,103.7,3.69,298.76,73.76,0.0,0.7,1.82,,63.5,14.46,2.35,35.12,0.66,79.69,8.43,14-May-2018 - 00:00,"Rohini, Delhi - DPCC"
