from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,VWS,Benzene,Toluene,P-Xylene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Rohini, Delhi - DPCC"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
01-Feb-2018 - 00:00,21.99,990.02,53.9,137.48,107.81,1.42,397.88,167.38,0.0,,,,52.09,85.09,19.42,53.63,1.69,,6.41,02-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
02-Feb-2018 - 00:00,18.96,988.66,62.89,114.91,110.61,1.72,315.91,135.03,0.0,,,,81.68,25.2,11.38,38.41,0.93,5.0,6.36,03-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
03-Feb-2018 - 00:00,17.06,991.12,58.11,103.76,73.78,1.77,331.71,143.62,0.0,,,,68.95,36.87,17.6,40.76,0.87,,10.31,04-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
04-Feb-2018 - 00:00,15.86,991.61,58.79,105.24,83.05,1.88,343.38,161.33,0.0,21.25,0.0,,70.22,29.44,9.63,40.24,0.83,6.25,9.73,05-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
05-Feb-2018 - 00:00,15.5,993.76,53.66,85.15,100.55,1.47,435.97,215.38,4.14,4.06,1.54,,66.54,45.62,19.04,58.83,1.13,30.67,12.38,06-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
06-Feb-2018 - 00:00,16.58,993.67,53.61,78.6,66.47,2.59,362.83,166.02,0.0,0.57,3.82,,68.42,25.57,9.49,36.36,0.81,34.26,10.67,07-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
07-Feb-2018 - 00:00,15.84,990.66,52.55,107.71,60.54,2.12,332.74,152.57,0.0,0.81,3.38,,57.28,30.69,11.71,36.01,0.9,54.26,10.35,08-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
08-Feb-2018 - 00:00,15.36,989.81,61.92,102.29,101.09,1.2,526.22,259.18,0.0,3.08,5.34,,60.06,70.61,35.6,69.61,1.73,34.91,10.25,09-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
09-Feb-2018 - 00:00,15.6,989.92,63.92,100.98,93.21,1.16,517.87,243.11,0.0,3.18,4.5,,69.56,78.66,28.45,60.15,1.58,34.61,12.89,10-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
10-Feb-2018 - 00:00,16.74,992.49,58.69,97.17,107.63,0.89,538.97,249.2,0.0,11.4,7.81,,37.4,177.83,36.52,82.2,2.94,32.0,7.04,11-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
11-Feb-2018 - 00:00,18.38,,48.53,80.25,154.55,1.94,357.67,144.54,0.0,1.69,5.47,,70.58,51.3,30.89,72.0,1.1,24.49,10.45,12-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
12-Feb-2018 - 00:00,16.96,995.58,69.92,69.5,178.52,3.13,180.08,70.83,0.0,0.38,2.45,,66.33,23.94,7.09,31.97,0.58,22.51,5.43,13-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
13-Feb-2018 - 00:00,16.36,997.86,80.8,91.65,63.36,1.75,223.89,114.47,0.0,0.96,4.37,,72.42,28.86,22.49,49.1,1.06,26.35,8.35,14-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
14-Feb-2018 - 00:00,16.04,997.86,67.08,102.17,47.82,2.76,186.92,86.96,0.0,0.35,1.94,,65.42,16.21,2.74,21.05,0.48,32.36,7.87,15-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
15-Feb-2018 - 00:00,16.78,995.73,68.77,98.41,27.05,2.47,213.88,106.5,0.0,0.45,1.88,,67.16,18.11,3.01,21.96,0.66,36.03,9.33,16-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
16-Feb-2018 - 00:00,17.98,994.24,70.94,94.65,78.11,1.89,277.33,133.88,0.0,0.53,2.44,,79.02,25.15,6.9,33.21,0.77,30.86,9.52,17-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
17-Feb-2018 - 00:00,18.92,989.16,66.86,96.3,143.94,1.92,299.96,143.61,0.0,0.5,2.52,,77.33,19.7,4.9,28.16,0.7,30.21,10.2,18-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
18-Feb-2018 - 00:00,18.69,988.23,64.85,106.66,131.34,1.64,358.0,152.25,0.0,,,,52.83,41.35,8.66,50.43,0.68,23.93,10.29,19-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
19-Feb-2018 - 00:00,18.56,989.69,61.89,105.89,131.23,1.09,377.22,232.21,0.0,,,,50.06,93.31,22.98,83.73,1.58,20.41,18.67,20-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
20-Feb-2018 - 00:00,19.86,989.33,65.53,102.81,148.93,0.95,460.75,198.71,0.0,,,,86.87,51.58,26.53,68.38,1.58,34.39,13.98,21-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
21-Feb-2018 - 00:00,22.37,987.08,60.55,96.72,138.07,1.12,464.73,213.58,0.0,,,,58.3,152.43,25.28,106.89,2.28,46.12,15.25,22-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
22-Feb-2018 - 00:00,22.73,986.16,63.49,95.74,147.74,1.11,445.06,186.18,0.0,,,,100.26,38.24,35.98,72.97,1.36,38.6,18.46,23-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
23-Feb-2018 - 00:00,23.82,986.45,59.66,89.36,75.27,1.23,430.62,177.21,0.0,,,,97.79,38.89,21.35,60.17,1.32,26.54,18.91,24-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
24-Feb-2018 - 00:00,24.47,988.18,54.85,74.34,122.8,1.52,471.54,205.78,0.0,,,,95.18,52.27,18.42,62.67,1.36,40.61,19.33,25-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
25-Feb-2018 - 00:00,22.25,991.54,59.62,95.36,32.71,2.45,235.71,,0.0,,,,64.65,19.05,8.85,45.28,0.41,21.46,14.39,26-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
26-Feb-2018 - 00:00,20.56,989.51,67.5,112.79,35.46,2.96,184.58,53.83,0.0,,,,60.37,13.61,2.45,29.39,0.39,34.95,8.23,27-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
27-Feb-2018 - 00:00,22.29,988.8,65.85,102.54,98.31,1.7,234.25,94.12,0.0,,,,66.42,16.19,8.32,32.81,0.59,33.22,11.07,28-Feb-2018 - 00:00,"Rohini, Delhi - DPCC"
28-Feb-2018 - 00:00,22.83,989.07,69.06,89.97,82.43,1.54,396.47,164.99,0.0,,,,94.66,17.85,14.38,39.11,1.02,25.61,12.8,01-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
01-Mar-2018 - 00:00,22.47,987.42,62.5,91.38,118.84,1.44,328.67,128.8,0.0,,,,79.7,18.86,17.26,38.99,1.1,25.83,12.65,02-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
02-Mar-2018 - 00:00,23.42,985.91,61.83,102.57,112.37,1.45,322.63,134.68,0.0,,,,80.89,20.66,26.24,57.16,1.36,30.8,11.36,03-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
03-Mar-2018 - 00:00,24.18,983.84,58.58,92.34,152.2,1.33,286.0,108.17,0.0,,,,78.16,17.92,12.48,36.56,0.84,24.51,12.64,04-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
04-Mar-2018 - 00:00,22.83,985.13,57.31,83.65,73.25,2.0,205.17,77.88,0.0,,,,68.0,15.28,5.08,25.98,0.54,25.67,11.43,05-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
05-Mar-2018 - 00:00,21.8,988.94,60.35,115.1,93.37,1.97,201.54,72.35,0.0,,,,56.21,15.84,5.79,28.7,0.48,31.74,11.12,06-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
06-Mar-2018 - 00:00,21.42,989.62,58.66,114.69,126.83,2.15,199.04,70.54,0.0,,,,53.49,13.77,2.23,20.12,0.49,40.44,10.34,07-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
07-Mar-2018 - 00:00,21.75,988.64,58.4,119.47,98.21,1.98,252.0,93.35,0.0,,,,48.87,41.81,9.96,28.06,0.99,43.09,10.66,08-Mar-2018 - 00:00,"Rohini, Delhi - DPCC"
