from date,SO2,NO2,NH3,NOx,NO,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,WS,WD,RH,BP,to date,station
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,03-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,06-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,07-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,08-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,09-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,10-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,11-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,12-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,13-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,14-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,15-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,16-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,17-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,21-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,22-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,23-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,28-Feb-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,01-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,02-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,03-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,04-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,05-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,06-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,07-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,08-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,09-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,10-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,11-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,12-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,13-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,14-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,15-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,16-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,17-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,18-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,19-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,21-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,22-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,23-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,24-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,25-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,26-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,27-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,28-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,29-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,30-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,31-Mar-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,03-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,05-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,06-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,07-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,08-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,10-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,11-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,12-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,13-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,14-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,15-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,17-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,18-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,20-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,21-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,22-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,23-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,24-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,25-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,26-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,27-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,28-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,29-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,30-Apr-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,01-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-May-2018 - 00:00,,,,,,,,,,,,,,,,,02-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-May-2018 - 00:00,,,,,,,,,,,,,,,,,03-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-May-2018 - 00:00,,,,,,,,,,,,,,,,,04-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-May-2018 - 00:00,,,,,,,,,,,,,,,,,05-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-May-2018 - 00:00,,,,,,,,,,,,,,,,,06-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-May-2018 - 00:00,,,,,,,,,,,,,,,,,07-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-May-2018 - 00:00,,,,,,,,,,,,,,,,,08-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-May-2018 - 00:00,,,,,,,,,,,,,,,,,09-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-May-2018 - 00:00,,,,,,,,,,,,,,,,,10-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-May-2018 - 00:00,,,,,,,,,,,,,,,,,11-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-May-2018 - 00:00,,,,,,,,,,,,,,,,,12-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-May-2018 - 00:00,,,,,,,,,,,,,,,,,13-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-May-2018 - 00:00,,,,,,,,,,,,,,,,,14-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-May-2018 - 00:00,,,,,,,,,,,,,,,,,15-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-May-2018 - 00:00,,,,,,,,,,,,,,,,,16-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-May-2018 - 00:00,,,,,,,,,,,,,,,,,17-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-May-2018 - 00:00,,,,,,,,,,,,,,,,,18-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-May-2018 - 00:00,,,,,,,,,,,,,,,,,19-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-May-2018 - 00:00,,,,,,,,,,,,,,,,,20-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-May-2018 - 00:00,,,,,,,,,,,,,,,,,21-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-May-2018 - 00:00,,,,,,,,,,,,,,,,,22-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-May-2018 - 00:00,,,,,,,,,,,,,,,,,23-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-May-2018 - 00:00,,,,,,,,,,,,,,,,,24-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-May-2018 - 00:00,,,,,,,,,,,,,,,,,25-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-May-2018 - 00:00,,,,,,,,,,,,,,,,,26-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-May-2018 - 00:00,,,,,,,,,,,,,,,,,27-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-May-2018 - 00:00,,,,,,,,,,,,,,,,,28-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-May-2018 - 00:00,,,,,,,,,,,,,,,,,29-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-May-2018 - 00:00,,,,,,,,,,,,,,,,,30-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-May-2018 - 00:00,,,,,,,,,,,,,,,,,31-May-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
31-May-2018 - 00:00,,,,,,,,,,,,,,,,,01-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,02-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,03-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,04-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,05-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,06-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,07-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,08-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,09-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,10-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,11-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,12-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,13-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,14-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,15-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,16-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,17-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,18-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,19-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,20-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,21-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,22-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,23-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,24-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
24-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,25-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
25-Jun-2018 - 00:00,5.83,19.87,16.53,17.2,8.2,0.46,22.34,13.33,39.67,0.3,3.47,29.6,,204.0,63.67,710.67,26-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
26-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,27-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
27-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,28-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
28-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,29-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
29-Jun-2018 - 00:00,6.5,30.05,11.88,30.18,17.49,0.76,5.25,25.13,65.57,0.06,1.01,26.0,1.55,200.5,75.2,712.6,30-Jun-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
30-Jun-2018 - 00:00,8.0,22.36,11.88,22.04,12.48,0.58,10.68,22.7,53.95,0.06,0.98,26.42,1.84,215.4,72.43,713.4,01-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
01-Jul-2018 - 00:00,7.5,16.99,12.91,15.44,7.86,0.52,10.94,24.09,54.64,0.05,0.97,26.53,1.73,228.21,72.91,713.7,02-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Jul-2018 - 00:00,6.22,15.26,11.41,14.18,7.46,0.36,10.24,18.42,49.07,0.0,0.84,26.69,2.36,150.86,67.82,713.23,03-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Jul-2018 - 00:00,7.41,16.14,11.85,15.92,9.02,0.45,7.48,24.33,61.6,0.1,0.85,26.64,,14.09,68.42,714.09,04-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Jul-2018 - 00:00,4.95,15.13,10.94,15.25,8.87,0.39,8.1,19.28,65.05,0.1,0.77,26.66,,13.61,67.12,714.93,05-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Jul-2018 - 00:00,8.41,16.01,10.81,16.15,9.39,0.49,9.24,23.39,69.89,0.1,0.75,26.67,,12.52,64.67,714.36,06-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Jul-2018 - 00:00,5.58,16.87,11.11,15.41,7.91,0.41,9.78,19.3,51.51,0.1,0.71,26.79,,8.71,74.75,713.3,07-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Jul-2018 - 00:00,6.11,17.51,10.92,14.89,6.85,0.37,11.44,18.01,41.9,0.1,0.65,26.49,,10.69,76.4,712.06,08-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Jul-2018 - 00:00,6.29,14.44,11.48,12.81,6.3,0.39,9.08,17.03,39.66,,0.71,26.49,,29.56,80.52,711.47,09-Jul-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
