from date,SO2,NO2,NH3,NOx,NO,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Temp,WS,WD,RH,BP,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Bapuji Nagar, Bengaluru - KSPCB"
