from date,NO2,NH3,NO,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM2.5,PM10,AT,SR,RH,RF,WD,WS,Temp,to date,station
04-Jul-2018 - 00:00,3.19,21.71,1.81,3.16,0.4,26.14,7.55,0.12,0.31,4.73,7.31,27.58,17.71,108.17,87.52,0.17,227.61,5.53,28.23,05-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
05-Jul-2018 - 00:00,4.77,23.84,2.02,4.17,0.39,28.88,8.9,0.07,0.25,5.23,20.96,94.9,20.64,145.76,78.49,0.0,270.34,5.38,28.99,06-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
06-Jul-2018 - 00:00,4.21,24.33,1.65,3.59,0.42,36.8,8.93,0.12,0.29,5.25,35.68,133.55,22.84,191.88,71.18,0.0,275.48,5.74,28.36,07-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
07-Jul-2018 - 00:00,5.56,23.64,1.8,4.42,0.49,34.99,11.47,0.16,0.65,7.56,30.65,85.8,18.91,96.91,85.18,0.09,265.6,4.63,27.74,08-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
08-Jul-2018 - 00:00,3.82,23.46,1.71,3.43,0.46,44.57,10.42,0.12,0.25,6.17,36.68,107.43,21.63,184.42,79.6,0.0,282.26,5.22,27.76,09-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
09-Jul-2018 - 00:00,4.2,22.4,1.66,3.58,0.49,40.24,11.3,0.15,0.3,5.53,37.9,114.18,20.78,127.8,80.75,0.08,260.84,5.9,27.76,10-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
10-Jul-2018 - 00:00,3.83,22.81,1.64,3.37,0.48,44.26,10.98,0.14,0.46,5.31,25.25,61.02,19.69,134.33,85.08,0.03,279.12,5.85,28.09,11-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
11-Jul-2018 - 00:00,4.11,23.01,1.74,3.59,0.47,43.8,8.44,0.11,0.43,6.25,21.35,44.69,17.1,60.74,90.73,0.06,272.67,5.56,28.22,12-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
12-Jul-2018 - 00:00,2.44,22.23,1.67,2.64,0.35,37.71,5.72,0.08,0.24,5.59,9.49,21.68,16.78,79.09,91.18,1.23,258.24,5.73,28.01,13-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
13-Jul-2018 - 00:00,2.57,22.0,1.71,2.75,0.29,32.48,6.79,0.09,0.38,5.67,10.55,26.49,18.18,114.33,87.14,0.0,255.0,4.8,28.17,14-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
14-Jul-2018 - 00:00,2.84,23.2,1.57,2.78,0.34,35.36,5.94,0.12,0.21,5.66,15.66,36.33,18.75,90.95,88.95,0.02,277.21,4.48,28.22,15-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
15-Jul-2018 - 00:00,4.01,23.56,1.59,3.42,0.4,50.47,6.92,0.14,0.41,7.61,14.53,31.66,19.93,114.0,85.95,0.05,270.01,3.05,28.09,16-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
16-Jul-2018 - 00:00,5.21,24.62,1.6,4.07,0.41,37.11,6.48,0.14,0.51,7.33,14.7,35.08,19.46,110.98,89.21,0.22,247.59,3.36,28.12,17-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
17-Jul-2018 - 00:00,2.7,23.27,1.72,2.84,0.32,30.61,6.61,0.1,0.62,5.24,10.25,26.21,18.18,73.17,89.85,0.0,247.15,4.61,28.47,18-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
18-Jul-2018 - 00:00,2.11,23.42,1.56,2.38,0.3,32.04,6.69,0.1,0.66,5.39,8.88,24.1,18.28,77.76,87.88,0.0,256.07,5.84,28.24,19-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
19-Jul-2018 - 00:00,2.61,22.54,1.69,2.69,0.29,29.99,5.31,0.09,0.68,8.89,8.17,17.94,17.14,44.79,92.28,0.02,253.89,6.28,28.08,20-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
20-Jul-2018 - 00:00,1.35,21.88,1.42,1.85,0.25,31.7,4.57,0.09,0.33,4.81,5.99,16.23,16.53,59.81,93.02,0.02,246.96,6.44,28.16,21-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
21-Jul-2018 - 00:00,2.98,21.97,1.89,3.11,0.3,30.99,5.97,0.08,0.3,3.91,11.46,30.07,17.55,85.66,90.47,0.01,252.33,6.16,28.26,22-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
22-Jul-2018 - 00:00,3.52,21.57,1.82,3.35,0.28,31.31,7.81,0.1,0.31,5.29,23.56,71.94,17.41,78.16,88.32,0.0,269.25,5.89,28.23,23-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
