from date,AT,PM10,PM2.5,BP,WD,WS,RH,SR,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
23-Feb-2018 - 00:00,23.57,421.64,235.57,987.44,87.03,0.41,62.48,62.81,0.0,3.53,4.87,0.17,68.43,37.46,118.66,101.86,15.63,16.3,2.02,24-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Feb-2018 - 00:00,24.26,464.71,250.12,989.22,146.81,0.58,56.82,56.7,0.0,1.87,3.87,0.18,76.74,39.39,106.6,99.22,20.3,22.26,2.08,25-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-Feb-2018 - 00:00,22.64,290.96,164.21,992.48,46.84,1.14,60.06,115.97,0.0,1.11,3.74,0.1,102.4,13.92,52.15,65.84,17.36,17.72,1.58,26-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-Feb-2018 - 00:00,21.14,258.83,122.71,990.61,29.7,1.65,66.63,141.92,0.0,1.31,6.44,0.13,135.16,17.9,59.13,81.14,9.65,7.18,1.23,27-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
27-Feb-2018 - 00:00,23.35,291.54,151.42,989.69,34.69,0.96,61.92,134.39,0.0,1.56,8.16,0.19,105.13,31.03,69.96,105.42,9.15,6.9,1.48,28-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
28-Feb-2018 - 00:00,23.51,405.83,231.5,989.94,61.54,0.71,67.49,108.86,0.0,2.42,8.16,0.17,97.22,50.96,68.67,119.24,17.06,7.12,1.75,01-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
01-Mar-2018 - 00:00,22.8,350.46,183.33,988.31,92.75,0.73,61.24,101.93,0.0,1.31,7.22,0.15,72.34,39.74,57.38,98.28,11.15,7.52,1.62,02-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
02-Mar-2018 - 00:00,23.9,351.5,237.46,986.72,107.93,0.68,61.72,113.82,0.0,1.54,6.11,0.16,68.22,39.77,60.42,96.73,9.52,6.5,2.38,03-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-Mar-2018 - 00:00,24.53,269.71,144.17,984.76,119.46,0.54,57.84,101.89,0.0,1.02,4.72,0.13,64.7,21.63,53.08,76.07,7.37,6.95,1.43,04-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
04-Mar-2018 - 00:00,23.29,244.17,117.96,985.99,63.78,1.02,56.93,96.4,0.0,0.86,4.25,0.13,62.05,19.71,54.33,74.0,9.92,13.0,1.3,05-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-Mar-2018 - 00:00,22.55,247.0,124.54,989.83,59.0,1.1,57.74,112.23,0.0,0.69,4.17,0.1,56.22,18.48,51.22,70.36,8.66,14.4,1.2,06-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-Mar-2018 - 00:00,22.23,248.33,120.33,990.43,59.3,1.29,56.13,116.1,0.0,0.73,4.06,0.1,53.11,11.79,53.17,61.14,10.82,12.64,0.98,07-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
07-Mar-2018 - 00:00,22.69,276.88,143.62,989.42,61.58,1.12,54.45,120.71,0.0,1.45,4.84,0.12,49.65,21.56,69.06,73.7,12.34,16.73,1.38,08-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
08-Mar-2018 - 00:00,23.23,433.35,245.08,990.54,117.55,0.42,60.75,109.25,0.0,6.25,4.33,0.17,48.56,64.93,178.95,97.55,16.84,17.56,2.53,09-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-Mar-2018 - 00:00,24.3,375.54,208.42,990.51,67.74,0.92,53.47,116.58,0.0,2.82,7.77,0.18,55.72,40.09,104.43,91.48,10.69,21.47,1.83,10-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-Mar-2018 - 00:00,25.06,256.0,116.21,989.28,88.87,1.2,48.64,130.1,0.0,1.18,7.74,0.1,48.24,10.64,54.77,59.24,10.05,21.83,1.12,11-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-Mar-2018 - 00:00,24.87,278.5,146.79,988.25,56.04,0.88,51.56,122.42,0.0,1.29,7.89,0.12,49.51,16.64,57.65,64.66,10.42,19.74,1.32,12-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-Mar-2018 - 00:00,26.11,304.64,152.87,988.41,99.67,0.8,51.86,122.76,0.0,1.73,7.26,0.13,51.66,18.26,62.83,68.32,15.84,23.14,1.31,13-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
13-Mar-2018 - 00:00,27.32,367.35,172.33,986.79,190.34,0.51,46.71,125.17,0.0,2.3,7.34,0.14,49.08,36.21,97.02,88.21,11.4,28.06,1.95,14-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-Mar-2018 - 00:00,26.29,452.04,172.42,985.02,159.54,0.44,43.3,112.92,0.0,6.26,9.1,0.25,46.36,54.0,155.37,88.73,15.68,14.93,2.07,15-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-Mar-2018 - 00:00,25.47,418.88,155.21,985.28,111.21,0.86,49.83,102.0,0.0,2.02,10.95,0.2,52.49,35.58,63.68,91.24,9.2,22.8,1.51,16-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-Mar-2018 - 00:00,24.49,347.7,160.06,986.55,53.83,0.9,51.31,120.85,0.0,2.83,6.89,0.18,47.54,34.39,64.16,89.84,10.03,19.44,1.47,17-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-Mar-2018 - 00:00,21.95,283.83,146.83,987.54,96.03,0.79,52.91,126.22,0.0,1.66,7.91,0.13,48.42,16.57,50.14,63.5,7.05,24.56,0.98,18-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
18-Mar-2018 - 00:00,27.94,249.0,102.5,989.25,49.7,1.0,32.45,194.75,0.0,0.98,6.11,0.1,27.38,10.68,52.87,61.79,8.27,17.26,1.26,19-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-Mar-2018 - 00:00,25.63,289.62,121.29,990.42,126.99,0.53,41.46,120.18,0.0,1.05,7.41,0.11,40.13,29.34,73.87,100.54,8.89,25.84,1.37,20-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-Mar-2018 - 00:00,25.9,371.52,161.0,987.96,151.87,0.29,46.61,115.63,0.0,2.25,8.38,0.17,52.76,43.87,102.11,120.86,10.02,30.88,1.74,21-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-Mar-2018 - 00:00,26.27,296.65,148.83,985.28,77.49,0.91,52.61,116.4,0.0,1.77,6.29,0.15,51.53,21.65,61.99,67.46,11.25,25.34,1.47,22-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-Mar-2018 - 00:00,24.61,211.82,100.17,986.23,51.74,0.93,57.7,105.98,0.0,0.48,4.75,0.1,52.56,10.91,43.08,53.94,11.1,19.83,1.15,23-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
23-Mar-2018 - 00:00,24.47,278.76,128.62,987.35,39.76,0.79,53.58,133.38,0.0,0.85,5.53,0.1,48.59,10.27,46.13,55.16,10.18,20.89,1.19,24-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Mar-2018 - 00:00,26.33,284.55,128.83,989.77,35.54,0.93,48.82,149.05,0.0,0.91,6.11,0.1,46.32,9.9,48.04,56.08,20.03,23.41,1.1,25-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-Mar-2018 - 00:00,26.68,281.67,132.12,990.96,49.18,0.86,49.04,194.6,0.0,1.07,5.54,0.1,43.14,8.93,50.17,54.29,46.63,25.58,1.06,26-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-Mar-2018 - 00:00,27.49,312.29,141.08,989.21,32.67,0.84,43.73,193.61,0.0,1.03,6.28,0.1,40.66,13.76,59.76,69.03,41.52,31.09,1.27,27-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
27-Mar-2018 - 00:00,28.41,402.05,191.08,985.8,158.75,0.51,36.79,196.46,0.0,2.89,5.16,0.1,37.22,34.43,97.74,91.26,35.94,27.87,1.8,28-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
28-Mar-2018 - 00:00,29.84,407.37,160.04,984.94,134.13,0.64,36.26,198.16,0.0,4.99,5.42,0.19,43.2,49.46,123.92,68.4,38.16,19.65,2.46,29-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
29-Mar-2018 - 00:00,29.35,318.17,139.79,984.25,58.67,0.82,36.05,194.69,0.0,1.23,5.73,0.1,43.12,13.07,59.13,63.84,35.8,31.31,1.21,30-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
30-Mar-2018 - 00:00,29.43,329.33,143.17,981.99,144.04,0.73,35.63,200.57,0.0,1.11,6.12,0.1,41.98,12.26,71.23,74.39,39.27,36.7,1.4,31-Mar-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
31-Mar-2018 - 00:00,26.82,355.42,126.54,984.74,161.81,1.11,44.54,172.58,0.0,1.1,4.22,0.07,41.7,18.95,60.09,73.43,46.17,30.01,1.28,01-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
01-Apr-2018 - 00:00,29.42,252.94,96.57,986.6,166.93,1.04,41.33,240.76,0.0,0.55,3.12,0.05,43.31,8.33,47.58,54.56,64.03,27.16,1.26,02-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
02-Apr-2018 - 00:00,29.11,331.88,158.08,986.64,161.05,0.81,43.52,165.85,0.0,0.87,3.36,0.07,44.15,26.15,68.61,90.46,47.61,36.39,1.62,03-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-Apr-2018 - 00:00,30.63,321.29,147.83,985.13,161.3,0.75,41.85,156.45,0.0,0.84,3.67,0.1,49.26,28.33,72.72,96.63,65.3,35.93,1.57,04-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
04-Apr-2018 - 00:00,31.33,365.07,182.3,983.04,123.14,0.51,43.24,179.2,0.0,0.98,3.84,0.1,56.03,26.83,67.79,90.17,58.81,35.51,1.77,05-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-Apr-2018 - 00:00,33.73,314.18,112.73,980.91,61.9,0.59,34.08,164.1,0.0,0.72,4.69,0.09,204.26,16.85,57.95,75.08,7.22,11.95,2.01,06-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-Apr-2018 - 00:00,29.5,250.78,113.92,983.72,143.96,0.91,41.46,124.92,0.0,1.04,4.6,0.1,106.9,30.34,65.96,97.82,17.73,13.11,1.25,07-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
07-Apr-2018 - 00:00,28.37,164.14,56.3,986.1,169.05,1.04,45.75,178.85,0.0,0.49,3.89,0.09,68.85,18.48,61.31,75.79,19.69,18.78,1.04,08-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
08-Apr-2018 - 00:00,29.28,170.75,56.92,986.58,178.14,1.27,45.69,184.36,0.0,0.97,4.0,0.1,109.39,17.05,68.87,88.06,7.64,7.85,1.02,09-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-Apr-2018 - 00:00,25.94,167.72,63.12,987.6,155.67,0.8,60.2,125.88,0.0,0.93,4.68,0.11,103.18,29.7,74.63,106.01,5.05,9.76,1.49,10-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-Apr-2018 - 00:00,29.04,325.62,123.29,985.62,163.67,0.67,50.48,163.31,0.0,1.58,5.11,0.09,78.84,45.01,80.81,118.36,35.17,12.62,1.7,11-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-Apr-2018 - 00:00,26.26,150.16,61.95,985.91,126.95,1.02,56.95,133.84,0.0,0.54,3.05,0.07,49.03,10.12,42.82,48.84,30.81,19.51,0.87,12-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-Apr-2018 - 00:00,27.72,158.41,65.04,985.18,129.24,0.8,47.01,194.47,0.01,0.57,3.06,0.1,35.12,13.9,48.15,61.75,31.66,20.99,1.23,13-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
13-Apr-2018 - 00:00,28.48,262.92,117.93,985.92,86.33,0.57,31.86,207.43,0.0,1.28,3.23,0.1,39.1,38.09,78.25,100.3,27.53,20.91,1.59,14-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-Apr-2018 - 00:00,29.81,339.86,139.41,984.8,90.16,0.64,27.55,188.35,0.0,1.1,4.35,0.1,50.71,30.84,75.98,104.63,28.71,33.21,1.51,15-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-Apr-2018 - 00:00,31.18,391.43,157.5,984.08,143.24,0.42,30.99,176.62,0.0,1.48,3.03,0.1,50.61,44.1,105.41,104.63,32.41,25.43,2.05,16-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-Apr-2018 - 00:00,31.4,348.71,133.67,984.55,149.08,0.69,32.85,138.56,0.0,1.52,3.75,0.19,55.35,45.78,109.91,111.56,34.64,26.53,1.84,17-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-Apr-2018 - 00:00,32.4,305.12,96.71,985.63,72.87,0.75,30.89,177.52,0.0,1.74,3.6,0.17,43.44,38.72,96.75,76.41,30.51,18.31,1.5,18-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
18-Apr-2018 - 00:00,32.62,332.72,95.5,984.65,37.07,1.02,25.14,187.29,0.0,0.54,3.38,0.1,43.75,11.24,55.87,65.03,24.75,28.07,1.26,19-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-Apr-2018 - 00:00,33.17,361.6,115.08,981.86,122.79,0.65,25.12,232.13,0.0,0.84,2.98,0.08,40.91,27.68,69.52,88.55,25.16,34.34,1.16,20-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-Apr-2018 - 00:00,32.65,442.91,82.52,980.6,165.3,1.26,25.24,190.88,0.0,0.88,2.31,0.1,35.83,19.51,56.4,57.31,23.18,19.71,0.77,21-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-Apr-2018 - 00:00,29.62,483.77,89.11,984.85,56.49,0.88,33.1,157.01,0.0,0.52,2.81,0.1,37.68,9.29,45.72,51.13,27.77,27.03,1.09,22-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-Apr-2018 - 00:00,29.32,300.87,86.17,985.75,34.08,0.99,24.05,199.16,0.0,0.87,2.6,0.1,37.3,9.4,52.73,54.89,39.31,29.7,1.03,23-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
23-Apr-2018 - 00:00,30.38,357.42,138.65,984.83,59.02,0.82,20.33,196.19,0.0,0.72,3.12,0.1,33.17,15.46,61.46,71.54,45.39,28.4,1.34,24-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Apr-2018 - 00:00,31.62,437.43,178.02,982.38,131.79,0.58,21.11,211.55,0.0,1.86,2.7,0.07,40.75,34.68,101.32,95.39,40.54,30.78,2.07,25-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-Apr-2018 - 00:00,32.99,467.92,191.3,981.07,208.83,0.43,20.54,208.6,0.0,2.99,3.13,0.13,34.5,57.67,118.31,94.1,34.54,20.01,2.6,26-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-Apr-2018 - 00:00,34.54,499.74,169.79,979.64,129.47,0.5,21.79,174.58,0.0,1.75,3.67,0.17,45.83,42.94,94.42,93.63,53.18,31.81,2.2,27-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
27-Apr-2018 - 00:00,32.66,433.23,124.92,982.74,181.16,1.29,42.47,171.29,0.0,0.66,2.46,0.11,66.2,16.99,65.66,59.53,50.06,19.28,1.5,28-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
28-Apr-2018 - 00:00,33.35,398.35,92.66,982.56,178.77,1.46,42.54,172.42,0.0,0.29,1.63,0.05,52.34,6.18,40.87,44.06,51.6,23.76,1.19,29-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
29-Apr-2018 - 00:00,33.79,358.58,120.83,979.56,169.66,0.66,40.8,168.09,0.0,0.44,2.19,0.09,50.7,10.54,61.49,66.38,61.15,28.9,1.69,30-Apr-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
30-Apr-2018 - 00:00,33.93,271.29,94.83,977.93,189.1,1.0,37.02,174.22,0.0,0.5,1.97,0.07,49.01,17.2,60.78,67.64,56.15,24.21,1.32,01-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
01-May-2018 - 00:00,31.41,214.42,62.21,981.33,187.49,1.67,51.01,169.52,0.0,0.28,1.37,0.03,53.52,4.64,42.14,42.44,45.22,15.53,1.15,02-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
02-May-2018 - 00:00,30.39,221.22,61.92,982.84,177.26,1.72,50.64,163.16,0.0,0.24,1.43,0.02,43.05,4.63,37.96,39.27,46.25,14.41,1.0,03-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-May-2018 - 00:00,29.65,238.54,51.61,983.26,186.2,1.69,47.78,160.68,0.0,0.2,1.48,0.04,34.21,6.26,41.99,43.72,34.97,15.21,0.92,04-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
