from date,AT,PM10,PM2.5,BP,WD,WS,RH,SR,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
01-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
02-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
04-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
07-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
08-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
13-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
01-Feb-2018 - 00:00,21.81,504.32,260.58,991.04,55.46,0.73,52.28,127.3,0.0,,,,47.89,26.47,73.12,94.56,,24.24,1.97,02-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
02-Feb-2018 - 00:00,19.22,391.71,198.96,989.42,63.51,0.77,62.06,85.33,0.0,,,,57.7,23.34,79.57,95.03,,11.98,1.52,03-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-Feb-2018 - 00:00,17.89,388.17,190.42,992.0,62.6,0.87,53.87,88.33,0.0,,,,54.5,26.68,77.76,90.96,,10.53,1.45,04-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
04-Feb-2018 - 00:00,16.92,389.42,211.33,992.5,57.98,0.95,53.73,87.83,0.0,1.19,8.83,0.32,50.47,16.31,72.96,77.46,13.33,11.33,1.37,05-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-Feb-2018 - 00:00,16.58,483.92,268.17,994.72,82.2,0.66,47.03,71.35,0.0,2.06,10.15,0.22,52.75,23.36,76.57,92.75,12.55,15.0,1.71,06-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-Feb-2018 - 00:00,17.29,438.25,218.38,994.55,51.91,1.06,50.68,59.64,0.0,2.53,9.53,0.18,52.55,19.83,75.16,82.44,12.53,12.48,1.59,07-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
07-Feb-2018 - 00:00,16.56,424.88,227.67,991.58,36.05,0.97,49.74,86.2,0.0,2.51,8.16,0.2,48.12,19.75,74.18,80.07,12.44,11.75,1.56,08-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
08-Feb-2018 - 00:00,16.37,553.52,337.03,990.74,63.98,0.62,56.98,83.58,0.0,3.11,12.13,0.29,63.92,50.56,94.7,133.75,17.36,12.52,2.02,09-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-Feb-2018 - 00:00,16.62,532.85,325.28,990.79,89.66,0.64,56.57,79.71,0.0,3.07,8.44,0.22,69.87,45.57,115.54,129.91,15.73,11.15,1.85,10-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-Feb-2018 - 00:00,16.79,528.23,290.86,993.08,117.39,0.32,55.45,72.89,0.0,15.04,4.77,0.24,44.88,68.34,200.5,94.99,14.46,6.19,2.64,11-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-Feb-2018 - 00:00,18.29,332.19,149.49,992.39,187.03,0.95,47.4,70.15,0.0,1.39,5.78,0.25,76.55,50.02,104.8,143.23,13.29,10.38,1.43,12-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-Feb-2018 - 00:00,16.92,193.21,81.92,994.65,194.93,1.7,71.4,49.54,0.0,1.09,5.01,0.15,84.2,15.19,81.99,91.99,8.44,8.14,1.09,13-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
13-Feb-2018 - 00:00,16.54,264.96,176.58,998.49,65.42,0.88,80.44,77.14,0.0,1.73,6.85,0.15,90.84,38.68,83.66,119.37,12.77,8.81,1.6,14-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-Feb-2018 - 00:00,16.84,260.5,130.67,998.59,28.36,1.3,64.59,85.39,0.0,1.45,5.7,0.12,79.75,18.39,78.32,93.4,9.26,8.47,1.2,15-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-Feb-2018 - 00:00,17.55,298.88,178.17,996.61,27.09,1.24,66.59,76.74,0.0,1.35,5.72,0.12,80.43,17.96,81.69,95.52,9.89,9.47,1.33,16-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-Feb-2018 - 00:00,18.83,339.62,185.68,995.16,54.16,0.95,67.55,75.05,0.0,1.16,7.46,0.15,79.45,20.4,86.2,101.68,9.39,11.03,1.52,17-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-Feb-2018 - 00:00,19.67,338.75,188.92,989.98,86.07,0.92,65.0,73.73,0.0,1.14,5.96,0.16,67.64,17.99,87.39,97.96,9.66,12.18,1.45,18-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
18-Feb-2018 - 00:00,19.31,382.21,224.21,989.21,98.03,0.73,61.86,79.21,0.0,1.37,6.45,0.18,56.38,36.33,90.04,124.75,10.63,12.04,1.86,19-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-Feb-2018 - 00:00,19.42,512.12,302.92,990.7,86.14,0.6,55.5,78.14,0.0,3.15,6.75,0.23,46.79,53.42,158.09,117.22,12.88,14.49,2.24,20-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-Feb-2018 - 00:00,20.6,441.59,268.46,990.33,100.19,0.59,60.04,74.03,0.0,2.92,6.24,0.19,52.21,48.81,118.33,131.68,15.13,15.25,2.09,21-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-Feb-2018 - 00:00,22.5,512.67,255.25,988.08,139.49,0.47,59.27,70.11,0.0,8.93,5.34,0.33,43.29,70.29,216.37,104.86,26.45,14.66,3.1,22-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-Feb-2018 - 00:00,22.86,417.89,233.2,987.14,109.29,0.47,65.07,70.28,0.0,3.22,5.32,0.21,62.31,45.97,136.09,111.68,17.45,14.77,2.08,23-Feb-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
