from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,BP,station
24-Apr-2018 - 00:00,0.77,27.87,27.37,16.36,20.29,3.79,58.28,0.32,3.12,171.28,51.03,225.07,2.01,,9.66,0.0,1.2,25-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
25-Apr-2018 - 00:00,0.76,28.11,33.16,98.62,81.35,3.89,56.22,0.3,2.82,174.0,41.06,198.14,3.43,,10.95,0.0,0.85,26-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
26-Apr-2018 - 00:00,0.74,29.45,38.06,55.4,57.03,4.76,60.89,0.32,3.13,168.88,45.54,212.25,3.62,,12.23,0.0,1.35,27-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
27-Apr-2018 - 00:00,0.87,22.94,38.62,8.53,24.29,3.35,60.38,0.28,2.53,165.81,47.38,218.44,2.05,,8.51,0.0,0.6,28-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
28-Apr-2018 - 00:00,0.78,15.4,36.99,10.28,24.78,4.92,60.27,0.18,1.38,159.52,25.02,220.6,2.99,,9.99,0.0,0.0,29-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
29-Apr-2018 - 00:00,0.85,26.27,25.02,11.52,19.0,3.28,58.78,0.1,0.51,171.42,29.78,202.06,0.73,,7.29,0.0,0.0,30-Apr-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
30-Apr-2018 - 00:00,0.64,28.42,36.73,13.43,25.32,4.94,62.4,0.25,2.32,169.54,47.52,199.86,1.51,,9.49,0.15,1.69,01-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
01-May-2018 - 00:00,0.74,42.12,134.76,27.83,85.59,3.61,62.33,0.35,3.39,158.38,60.14,207.14,0.74,,1.18,0.74,2.02,02-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
02-May-2018 - 00:00,0.66,57.81,90.25,25.57,62.2,4.42,57.03,0.28,2.52,164.94,70.31,170.82,1.36,,2.22,0.92,0.0,03-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
03-May-2018 - 00:00,0.66,45.64,16.35,12.9,16.7,4.08,61.91,0.28,2.46,141.98,61.79,212.8,1.49,,2.4,1.03,0.0,04-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
04-May-2018 - 00:00,0.67,40.08,21.76,15.26,21.09,3.91,53.55,0.23,1.81,173.36,56.39,202.9,1.46,,2.36,1.01,0.0,05-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
05-May-2018 - 00:00,0.72,24.28,49.53,27.44,43.73,4.21,57.91,0.26,2.39,146.62,41.37,232.92,1.56,,2.49,1.09,0.0,06-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
06-May-2018 - 00:00,0.57,30.71,53.2,29.45,47.02,4.7,57.83,0.28,2.53,167.26,41.88,198.81,1.45,,2.35,1.0,0.0,07-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
07-May-2018 - 00:00,0.61,45.6,48.7,26.82,42.86,32.59,59.93,0.27,2.52,163.02,50.53,178.45,1.38,,2.26,0.94,0.0,08-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
08-May-2018 - 00:00,0.71,23.26,45.68,25.54,40.43,7.09,56.1,0.31,3.02,162.25,24.55,211.03,1.49,,2.4,1.03,0.0,09-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
09-May-2018 - 00:00,1.21,30.99,48.75,27.68,43.53,6.81,52.69,0.31,3.01,160.03,13.16,241.83,1.79,,2.79,1.28,0.0,10-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
10-May-2018 - 00:00,0.94,23.37,36.16,21.51,33.39,5.66,57.59,0.31,2.93,158.34,17.99,208.4,0.5,,0.0,0.0,0.0,11-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
11-May-2018 - 00:00,1.18,23.69,23.49,16.01,22.42,4.57,58.24,0.32,3.05,159.05,14.86,233.15,,,,,,12-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
12-May-2018 - 00:00,1.39,17.65,26.03,17.42,24.74,4.41,58.54,0.33,3.16,157.6,16.44,227.32,,,,,,13-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
13-May-2018 - 00:00,1.5,26.47,24.14,16.33,23.03,4.65,58.83,0.32,3.15,161.53,30.24,201.46,,,,,,14-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
14-May-2018 - 00:00,1.4,34.77,23.16,16.06,22.35,4.56,58.94,0.28,2.53,154.88,22.74,224.43,1.75,,2.67,1.2,0.0,15-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
15-May-2018 - 00:00,1.52,33.23,23.36,16.07,22.47,4.01,59.7,0.23,1.93,164.68,28.5,140.35,1.3,,2.09,0.84,0.0,16-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
16-May-2018 - 00:00,1.6,16.74,21.26,15.18,20.79,4.31,57.19,0.27,2.48,156.85,28.83,214.9,1.5,,2.41,1.04,0.0,17-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
17-May-2018 - 00:00,1.38,20.3,21.11,14.89,20.5,4.5,57.32,0.29,2.69,154.03,17.79,200.07,1.45,,2.35,1.0,0.0,18-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
18-May-2018 - 00:00,0.84,45.22,21.11,14.84,20.46,4.45,57.54,0.27,2.49,162.97,50.96,172.53,1.36,,2.23,0.93,0.0,19-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
19-May-2018 - 00:00,0.74,48.15,19.91,14.36,19.52,4.77,59.78,0.29,2.67,157.04,38.82,203.24,1.46,,2.36,1.01,0.0,20-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
20-May-2018 - 00:00,0.73,26.01,18.43,13.81,18.39,5.6,61.89,0.29,2.66,151.37,34.36,214.96,1.5,,2.41,1.04,0.0,21-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
21-May-2018 - 00:00,0.69,29.67,23.09,21.2,26.18,4.24,61.54,0.25,2.15,147.21,51.75,203.89,1.46,,2.36,1.01,0.0,22-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
22-May-2018 - 00:00,0.72,43.75,26.32,28.38,33.83,4.67,59.33,0.21,1.53,130.53,59.22,179.23,0.5,,1.0,0.47,0.37,23-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
23-May-2018 - 00:00,0.73,33.93,22.42,20.72,25.49,4.61,61.43,0.23,1.97,151.06,45.4,167.75,0.0,,0.33,0.46,0.16,24-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
24-May-2018 - 00:00,0.64,33.62,22.44,18.8,24.07,4.39,59.08,0.19,1.33,141.13,37.93,132.17,0.06,,0.51,0.0,0.25,25-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
25-May-2018 - 00:00,0.71,24.85,19.97,18.56,22.68,4.7,59.09,0.2,1.58,144.66,30.16,176.99,0.0,,0.25,0.0,0.0,26-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
26-May-2018 - 00:00,0.75,38.73,18.69,16.18,20.28,4.86,59.9,0.23,1.95,156.72,41.25,227.28,0.0,,0.8,0.68,2.31,27-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
27-May-2018 - 00:00,0.72,51.43,19.33,16.57,20.88,4.89,57.47,0.26,2.34,165.86,48.56,242.81,0.0,,0.18,0.0,0.0,28-May-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
28-May-2018 - 00:00,0.73,42.74,17.18,13.86,17.81,5.32,60.18,0.32,3.01,173.05,54.59,241.38,0.0,,0.97,0.0,0.0,29-May-2018 - 00:00,999.2,"Velachery Res. Area, Chennai - CPCB"
29-May-2018 - 00:00,0.72,39.02,16.98,12.7,16.85,3.92,52.53,0.28,2.59,180.78,59.93,238.9,0.0,,1.19,0.0,0.0,30-May-2018 - 00:00,997.64,"Velachery Res. Area, Chennai - CPCB"
30-May-2018 - 00:00,0.71,43.72,16.76,12.91,16.9,5.6,43.79,0.25,2.04,193.78,53.65,224.34,0.25,,2.65,0.0,0.0,31-May-2018 - 00:00,998.45,"Velachery Res. Area, Chennai - CPCB"
31-May-2018 - 00:00,0.7,49.89,16.64,12.53,16.56,4.33,57.55,0.23,1.88,178.54,62.55,208.93,0.0,,3.57,0.08,0.0,01-Jun-2018 - 00:00,999.95,"Velachery Res. Area, Chennai - CPCB"
01-Jun-2018 - 00:00,0.67,42.94,20.73,17.21,21.96,4.18,57.63,0.23,1.89,175.42,71.32,213.66,0.0,,2.93,0.0,0.0,02-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
02-Jun-2018 - 00:00,0.76,44.6,21.43,16.65,21.94,4.43,53.53,0.2,1.48,210.14,74.81,177.87,0.0,,3.75,0.25,0.0,03-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
03-Jun-2018 - 00:00,0.72,47.65,20.95,14.52,20.1,5.07,49.29,0.19,1.22,228.95,61.48,214.33,0.18,,4.25,0.07,0.31,04-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
04-Jun-2018 - 00:00,0.6,42.76,20.78,13.93,19.57,4.91,38.7,0.21,1.66,205.4,59.7,219.5,0.0,,4.04,0.24,0.11,05-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
05-Jun-2018 - 00:00,0.63,33.88,19.22,11.95,17.37,4.64,48.22,0.25,2.2,201.63,50.03,241.41,0.0,,3.4,0.0,0.0,06-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
06-Jun-2018 - 00:00,0.72,25.11,23.0,16.12,22.21,3.89,65.46,0.24,2.04,193.11,48.0,162.06,0.25,,4.97,0.07,0.98,07-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
07-Jun-2018 - 00:00,0.64,26.67,19.38,12.71,17.98,4.59,66.15,0.25,2.21,202.77,43.03,143.21,0.25,,6.33,0.0,0.5,08-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
08-Jun-2018 - 00:00,0.63,25.3,18.36,11.08,16.32,4.8,35.88,0.26,2.25,212.3,38.5,206.74,0.11,,4.51,0.16,0.0,09-Jun-2018 - 00:00,999.88,"Velachery Res. Area, Chennai - CPCB"
09-Jun-2018 - 00:00,0.67,32.93,17.34,10.04,15.04,4.19,29.43,0.3,2.75,211.65,50.44,192.38,0.0,,2.0,0.0,0.0,10-Jun-2018 - 00:00,998.84,"Velachery Res. Area, Chennai - CPCB"
10-Jun-2018 - 00:00,0.66,32.85,16.73,10.19,14.86,4.02,28.47,0.25,1.69,235.24,47.74,197.68,0.0,,0.91,0.0,0.0,11-Jun-2018 - 00:00,999.72,"Velachery Res. Area, Chennai - CPCB"
11-Jun-2018 - 00:00,0.63,23.88,19.38,14.56,19.28,5.12,29.17,0.28,2.39,213.64,59.65,174.97,0.0,,3.53,0.19,0.0,12-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
12-Jun-2018 - 00:00,0.61,25.5,18.58,10.27,16.07,4.65,28.54,0.26,2.32,211.01,66.08,167.66,0.0,,5.96,0.02,0.0,13-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
13-Jun-2018 - 00:00,0.68,25.59,24.9,19.7,25.75,4.6,39.3,0.26,2.1,211.39,65.12,199.16,0.0,,3.94,0.0,0.0,14-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
14-Jun-2018 - 00:00,0.66,24.0,19.88,12.26,17.92,4.16,35.36,0.24,1.82,232.51,67.33,249.19,0.08,,5.35,0.3,0.0,15-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
15-Jun-2018 - 00:00,0.61,31.41,17.31,8.78,14.08,5.29,43.86,0.26,2.15,204.39,75.01,202.31,0.48,,5.66,0.0,0.21,16-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
16-Jun-2018 - 00:00,0.7,28.62,20.23,13.69,19.02,3.55,42.87,0.24,1.94,191.57,63.48,248.64,0.0,,4.36,0.0,0.11,17-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
17-Jun-2018 - 00:00,0.63,32.57,21.24,16.74,21.73,3.92,44.87,0.2,1.26,227.22,56.86,280.71,0.0,,0.4,0.0,0.0,18-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
18-Jun-2018 - 00:00,0.63,29.94,22.02,15.41,21.24,5.25,58.11,0.27,2.06,219.94,60.69,325.43,0.0,,2.6,0.0,0.0,19-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
19-Jun-2018 - 00:00,0.6,24.68,17.05,8.12,13.47,5.75,48.63,0.27,2.31,200.97,72.32,285.34,0.0,,3.07,0.15,0.1,20-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
20-Jun-2018 - 00:00,0.62,15.16,27.63,20.5,27.49,4.16,50.35,0.29,2.71,189.97,73.07,314.68,0.01,,3.37,0.07,0.0,21-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
21-Jun-2018 - 00:00,0.68,25.28,15.71,7.7,12.5,5.45,55.01,0.29,2.71,191.82,63.56,283.35,0.0,,4.27,0.0,0.01,22-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
22-Jun-2018 - 00:00,0.62,27.39,17.12,7.42,12.98,4.53,56.08,0.26,2.08,206.6,65.44,319.38,0.0,,4.95,0.0,0.0,23-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
23-Jun-2018 - 00:00,0.59,31.45,18.32,10.46,15.66,4.47,62.88,0.26,2.17,197.2,73.31,224.66,0.09,,3.09,0.0,0.0,24-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
24-Jun-2018 - 00:00,0.61,31.74,14.33,6.99,11.3,4.2,65.54,0.23,1.67,215.61,68.98,145.46,0.0,,1.18,0.27,0.0,25-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
25-Jun-2018 - 00:00,0.61,27.7,16.31,7.08,12.33,4.3,63.22,0.23,1.69,217.87,66.28,173.81,0.0,,4.05,0.0,0.0,26-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
26-Jun-2018 - 00:00,0.63,31.24,15.7,6.68,11.73,5.05,53.69,0.23,1.52,214.29,57.33,225.08,0.0,,4.04,0.0,0.0,27-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
27-Jun-2018 - 00:00,0.64,26.17,15.1,6.85,11.56,4.57,63.77,0.24,1.8,215.83,65.23,155.67,0.0,,4.25,0.0,0.21,28-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
28-Jun-2018 - 00:00,0.66,29.76,14.98,6.77,11.45,4.06,68.37,0.22,1.7,198.65,65.85,165.32,0.0,,5.88,0.0,0.2,29-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
29-Jun-2018 - 00:00,0.66,30.71,14.79,6.57,11.21,4.88,71.05,0.21,1.69,185.33,63.85,156.83,0.0,,7.74,0.0,0.52,30-Jun-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
30-Jun-2018 - 00:00,0.62,40.33,15.13,6.19,11.09,4.37,76.43,0.17,1.11,205.19,83.16,126.66,0.0,,6.96,0.05,0.95,01-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
01-Jul-2018 - 00:00,0.65,35.32,12.89,5.88,9.76,4.52,75.69,0.2,1.41,171.13,53.56,205.55,0.0,,1.37,0.0,0.0,02-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
02-Jul-2018 - 00:00,0.65,35.16,14.66,6.12,10.8,4.85,76.14,0.25,2.15,187.0,75.74,283.18,0.0,,4.15,0.0,0.0,03-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
03-Jul-2018 - 00:00,0.68,25.86,14.3,5.86,10.44,4.2,77.28,0.26,2.07,224.93,49.53,264.41,0.0,,3.13,0.0,0.0,04-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
04-Jul-2018 - 00:00,0.64,23.04,14.88,5.79,10.67,4.68,72.31,0.22,1.72,212.35,62.17,198.82,0.0,,1.74,0.81,0.0,05-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
05-Jul-2018 - 00:00,0.65,18.25,18.49,9.98,14.94,6.32,55.35,0.23,1.61,218.15,64.51,331.57,0.49,,0.85,0.31,0.68,06-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
06-Jul-2018 - 00:00,0.62,13.31,22.01,12.98,19.17,3.53,46.65,0.23,1.55,237.93,64.15,207.21,1.4,,2.29,0.96,0.0,07-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
07-Jul-2018 - 00:00,0.62,16.77,25.67,23.2,27.89,4.58,43.7,0.24,1.71,227.56,54.95,137.61,0.7,,1.77,0.46,0.0,08-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
08-Jul-2018 - 00:00,0.66,23.46,17.11,8.93,14.06,4.54,45.97,0.25,1.97,217.46,40.16,123.6,0.0,,1.21,0.0,0.0,09-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
09-Jul-2018 - 00:00,0.61,19.67,14.28,5.52,10.17,4.25,53.34,0.22,1.52,213.67,64.36,154.14,0.0,,1.54,0.0,0.0,10-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
10-Jul-2018 - 00:00,0.64,16.85,14.17,5.66,10.23,4.64,54.99,0.24,2.09,202.01,62.9,161.79,0.0,,1.7,0.0,0.0,11-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
11-Jul-2018 - 00:00,0.63,13.9,15.34,5.56,10.72,4.88,51.48,0.21,1.43,228.79,55.85,147.66,0.0,,1.78,0.0,0.0,12-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
12-Jul-2018 - 00:00,0.63,11.31,15.42,5.84,10.96,4.2,51.12,0.19,1.26,214.01,51.81,177.96,0.0,,1.94,0.0,0.0,13-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
13-Jul-2018 - 00:00,0.61,13.33,20.75,14.26,19.7,4.34,49.76,0.21,1.4,217.62,53.13,213.74,0.0,,2.48,0.0,0.0,14-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
14-Jul-2018 - 00:00,0.66,15.73,14.49,6.47,10.88,2.76,36.11,0.23,1.64,217.01,34.52,248.16,0.0,,2.56,0.0,0.0,15-Jul-2018 - 00:00,999.76,"Velachery Res. Area, Chennai - CPCB"
15-Jul-2018 - 00:00,0.62,15.62,12.76,5.18,9.18,4.1,29.76,0.24,2.03,208.62,36.62,150.89,0.0,,1.51,0.0,0.0,16-Jul-2018 - 00:00,999.32,"Velachery Res. Area, Chennai - CPCB"
16-Jul-2018 - 00:00,0.59,16.15,7.93,4.74,3.79,3.75,24.9,0.27,2.06,217.81,33.29,291.13,0.0,,2.72,0.0,0.0,17-Jul-2018 - 00:00,999.71,"Velachery Res. Area, Chennai - CPCB"
17-Jul-2018 - 00:00,0.64,20.33,16.7,10.17,8.65,3.78,28.16,0.24,1.63,227.81,29.53,280.17,0.0,,2.94,0.0,0.0,18-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
18-Jul-2018 - 00:00,0.61,22.81,15.91,10.5,14.68,4.34,35.83,0.22,1.23,207.78,34.85,268.44,0.0,,2.81,0.0,0.0,19-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
19-Jul-2018 - 00:00,0.66,16.64,15.91,10.55,14.73,4.33,36.69,0.24,1.59,247.1,32.54,250.32,0.0,,2.58,0.0,0.0,20-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
20-Jul-2018 - 00:00,0.64,18.9,17.71,10.6,15.64,3.82,33.77,0.24,1.61,233.31,30.46,217.26,0.0,,2.03,0.0,0.0,21-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
21-Jul-2018 - 00:00,0.59,18.2,16.69,10.45,15.03,4.38,39.93,0.25,1.99,215.7,37.35,115.66,0.0,,1.21,0.0,0.0,22-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
22-Jul-2018 - 00:00,0.68,21.46,15.74,10.25,14.41,4.21,42.5,0.23,1.51,229.01,37.93,228.5,0.0,,2.27,0.0,0.0,23-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
23-Jul-2018 - 00:00,0.58,17.87,15.47,10.39,14.38,4.27,50.29,0.2,1.2,224.2,45.6,262.05,0.0,,2.7,0.0,0.0,24-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
24-Jul-2018 - 00:00,0.65,19.19,16.12,10.27,14.61,4.28,54.67,0.23,1.64,224.43,39.53,258.04,0.0,,2.51,0.72,0.0,25-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
25-Jul-2018 - 00:00,0.67,14.53,16.52,10.54,15.01,4.22,41.13,0.21,1.43,207.13,30.15,263.64,0.0,,2.41,1.02,0.0,26-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
26-Jul-2018 - 00:00,0.62,16.94,18.65,14.92,19.26,4.08,47.55,0.23,1.82,203.21,27.65,276.66,0.0,,7.24,0.85,0.0,27-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
27-Jul-2018 - 00:00,0.69,17.63,18.01,12.84,17.19,4.83,56.31,0.21,1.72,198.8,35.02,172.2,0.0,,7.56,2.23,0.0,28-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
28-Jul-2018 - 00:00,0.58,21.39,17.74,13.96,18.05,4.49,57.13,0.21,1.48,213.93,43.78,294.3,0.0,,7.06,1.01,0.0,29-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
29-Jul-2018 - 00:00,0.69,24.29,16.1,12.87,16.48,4.49,62.26,0.24,1.92,199.77,34.71,304.39,0.0,,3.12,0.0,0.0,30-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
30-Jul-2018 - 00:00,0.67,22.09,17.06,12.49,16.7,4.45,63.12,0.26,2.14,210.21,38.63,316.7,0.0,,6.4,0.69,0.0,31-Jul-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
31-Jul-2018 - 00:00,0.62,16.84,17.57,11.63,16.33,4.67,63.55,0.24,1.95,203.64,35.52,201.5,0.0,,4.78,1.56,0.0,01-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
01-Aug-2018 - 00:00,0.7,11.89,15.45,12.21,15.64,8.16,67.03,0.21,1.41,230.19,25.77,284.27,0.0,,3.14,1.26,0.0,02-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
02-Aug-2018 - 00:00,0.94,22.36,19.66,10.3,16.33,3.47,65.16,0.24,1.84,182.03,27.99,261.51,0.0,,10.49,0.97,0.0,03-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
03-Aug-2018 - 00:00,0.63,25.97,16.18,8.75,13.51,4.41,69.95,0.24,1.87,192.22,33.19,223.3,0.0,,5.92,1.59,0.0,04-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
04-Aug-2018 - 00:00,0.61,20.87,15.77,9.4,13.8,4.53,64.03,0.21,1.55,206.2,39.36,194.31,0.0,,6.26,2.04,0.0,05-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
05-Aug-2018 - 00:00,0.68,19.11,15.01,9.58,13.56,4.38,63.5,0.2,1.47,224.83,35.32,230.61,0.0,,4.16,0.93,0.0,06-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
06-Aug-2018 - 00:00,0.66,16.44,17.06,10.33,15.12,4.46,51.63,0.19,1.1,227.78,42.09,209.5,0.0,,8.04,3.9,0.0,07-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
07-Aug-2018 - 00:00,0.62,15.23,16.97,10.28,15.04,4.57,49.32,0.2,1.07,232.78,32.76,139.73,0.0,,8.18,3.02,0.0,08-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
08-Aug-2018 - 00:00,0.59,18.86,12.66,9.91,12.66,4.03,59.2,0.21,1.51,214.23,16.77,236.29,0.0,,1.4,0.23,0.0,09-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
09-Aug-2018 - 00:00,0.69,10.29,16.71,10.21,14.86,4.38,71.13,0.23,1.74,202.33,22.45,273.93,0.0,,7.48,2.42,0.0,10-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
10-Aug-2018 - 00:00,0.59,14.06,18.37,10.61,15.97,4.38,68.74,0.19,1.35,219.57,28.05,146.67,0.0,,9.94,4.03,0.0,11-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
11-Aug-2018 - 00:00,0.64,9.15,15.28,10.76,14.57,7.81,67.85,0.16,0.88,245.85,28.46,37.08,0.0,,0.0,1.45,0.0,12-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
12-Aug-2018 - 00:00,0.61,9.15,13.13,10.45,13.29,3.61,43.11,0.19,1.13,256.03,26.91,99.99,0.0,,5.24,2.62,0.0,13-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
13-Aug-2018 - 00:00,0.67,13.3,18.47,10.56,24.36,5.52,48.15,0.2,1.32,215.7,26.83,181.34,0.0,,4.94,3.32,0.0,14-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
14-Aug-2018 - 00:00,0.65,10.56,16.58,11.33,27.9,4.63,61.56,0.2,1.37,215.29,25.68,79.12,0.23,,1.43,2.87,0.0,15-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
15-Aug-2018 - 00:00,0.66,11.1,12.84,10.3,23.14,4.19,77.59,0.21,1.81,196.79,20.65,99.05,0.0,,0.24,0.6,0.0,16-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
16-Aug-2018 - 00:00,0.7,16.69,13.64,10.53,24.17,4.33,62.63,0.19,1.37,185.37,23.75,186.68,0.0,,2.5,1.66,0.0,17-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
17-Aug-2018 - 00:00,0.67,8.88,13.86,10.54,24.39,4.73,49.11,0.19,1.35,195.28,29.21,243.32,0.2,,3.73,2.42,0.0,18-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
18-Aug-2018 - 00:00,0.68,10.15,13.78,10.2,23.98,4.42,36.15,0.18,0.98,250.51,29.69,191.66,0.0,,7.73,3.52,0.0,19-Aug-2018 - 00:00,999.92,"Velachery Res. Area, Chennai - CPCB"
19-Aug-2018 - 00:00,0.64,8.19,16.4,10.16,26.56,4.53,33.2,0.18,0.93,257.83,29.33,163.08,0.0,,5.75,2.18,0.0,20-Aug-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
