from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,BP,station
23-Jan-2018 - 00:00,0.59,35.76,20.86,14.9,17.88,8.36,71.62,0.14,0.9,146.78,34.83,173.98,0.88,0.0,4.51,0.55,0.95,24-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
24-Jan-2018 - 00:00,0.77,29.14,20.78,14.84,17.81,8.66,79.07,0.13,0.8,188.06,47.8,172.3,0.97,0.23,5.08,0.77,1.77,25-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
25-Jan-2018 - 00:00,0.86,32.31,21.38,15.27,18.33,8.39,83.78,0.14,0.91,162.79,46.38,185.02,0.92,0.04,4.95,0.55,2.17,26-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
26-Jan-2018 - 00:00,0.65,50.36,21.33,15.24,18.28,5.63,72.93,0.15,0.86,112.04,51.49,184.37,0.49,0.07,3.93,0.4,0.88,27-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
27-Jan-2018 - 00:00,0.61,36.65,21.21,15.15,18.18,5.88,72.91,0.14,0.87,138.84,55.71,181.57,0.83,0.0,4.46,0.4,1.16,28-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
28-Jan-2018 - 00:00,0.51,52.4,21.84,15.6,18.72,6.02,69.77,0.17,1.2,109.08,44.93,194.61,0.4,0.0,2.9,0.23,0.45,29-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
29-Jan-2018 - 00:00,0.49,56.32,20.17,14.41,17.29,6.05,71.97,0.17,1.27,44.73,43.68,158.96,0.08,0.0,3.32,0.06,0.35,30-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
30-Jan-2018 - 00:00,0.45,55.06,22.35,15.97,19.16,6.27,68.28,0.16,1.19,86.55,36.82,205.26,0.28,0.15,2.93,0.19,0.45,31-Jan-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
31-Jan-2018 - 00:00,0.61,43.82,21.14,15.1,18.7,7.57,66.16,0.14,0.89,166.86,56.21,207.59,0.86,0.12,4.76,0.69,1.71,01-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
01-Feb-2018 - 00:00,0.59,35.34,22.92,16.37,19.65,6.49,70.97,0.15,0.84,221.22,44.99,217.09,0.99,0.63,5.63,1.04,2.16,02-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
02-Feb-2018 - 00:00,0.71,41.9,22.69,16.21,19.46,7.36,65.32,0.15,0.9,195.46,47.44,212.42,1.5,1.37,6.86,1.6,2.42,03-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
03-Feb-2018 - 00:00,0.54,24.95,22.78,16.27,19.52,6.16,52.84,0.14,0.85,133.37,37.9,214.18,1.0,0.97,5.88,1.18,1.87,04-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
04-Feb-2018 - 00:00,0.41,36.18,22.71,16.22,19.47,5.15,37.27,0.15,1.01,81.65,20.65,213.25,0.01,0.0,2.09,0.0,0.08,05-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
05-Feb-2018 - 00:00,0.53,28.14,22.18,15.84,19.01,5.47,50.83,0.15,1.08,84.63,22.75,202.29,0.06,0.0,4.21,0.12,0.52,06-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
