from date,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM10,PM2.5,NH3,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
29-Jan-2018 - 00:00,,233.45,78.83,146.72,44.83,20.81,46.94,,21.13,,0.37,,,198.75,46.55,,,,,,30-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
30-Jan-2018 - 00:00,,247.74,68.13,160.19,37.87,22.26,42.13,,22.47,,0.49,,,184.22,46.38,,,,,,31-Jan-2018 - 00:00,"DTU, Delhi - CPCB"
31-Jan-2018 - 00:00,,248.53,70.12,144.47,33.56,23.8,39.51,,22.41,,0.55,,,185.52,46.51,,,,,,01-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
01-Feb-2018 - 00:00,,212.81,69.43,150.03,47.83,22.34,50.15,,22.63,,0.34,,,250.5,46.83,,,,,,02-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
02-Feb-2018 - 00:00,,204.69,99.43,7.59,54.46,19.31,53.83,,19.74,,0.24,,,111.44,46.97,,,,,,03-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
05-Feb-2018 - 00:00,,255.56,38.92,155.23,31.14,21.29,36.24,,24.41,,0.22,,,159.09,46.26,,,,,,06-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
06-Feb-2018 - 00:00,,250.91,52.73,112.2,32.76,21.01,37.4,,23.0,,0.33,,,160.63,45.79,,,,,,07-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
07-Feb-2018 - 00:00,,232.14,52.44,177.73,29.99,20.18,34.73,,22.81,,0.41,,,167.79,46.22,,,,,,08-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
08-Feb-2018 - 00:00,,190.72,65.65,161.46,42.93,18.27,44.05,,22.01,,0.36,,,284.38,46.11,,,,,,09-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
09-Feb-2018 - 00:00,,229.0,67.62,159.73,42.03,17.64,43.01,,22.0,,0.34,,,306.65,46.18,,,,,,10-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
10-Feb-2018 - 00:00,,132.0,60.8,150.36,53.47,17.61,52.13,,22.47,,0.34,,,206.28,46.07,,,,,,11-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
11-Feb-2018 - 00:00,,111.84,48.53,123.83,48.0,19.21,48.62,,23.45,,0.44,,,134.89,46.26,,,,,,12-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
12-Feb-2018 - 00:00,,109.34,71.55,93.4,34.35,21.31,38.81,,22.17,,0.58,,,72.3,45.79,,,,,,13-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
13-Feb-2018 - 00:00,,219.79,89.72,143.08,41.2,21.96,44.64,,21.01,,0.35,,,119.17,51.26,,,,,,14-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
14-Feb-2018 - 00:00,,257.01,72.39,178.03,34.24,29.45,43.06,,21.97,,0.5,,,95.78,56.43,,,,,,15-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
15-Feb-2018 - 00:00,,250.93,76.05,168.51,33.84,29.67,42.87,,21.94,,0.51,,,135.23,56.34,,,,,,16-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
16-Feb-2018 - 00:00,,246.96,78.21,152.06,37.76,32.28,47.39,,22.08,,0.41,,,173.34,57.82,,,,,,17-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
17-Feb-2018 - 00:00,,230.79,76.32,156.11,37.11,33.58,47.55,,22.33,,0.47,,,164.79,57.69,,,,,,18-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
18-Feb-2018 - 00:00,,225.11,68.82,175.9,41.11,31.91,49.86,,22.69,,0.36,,,188.25,59.03,,,,,,19-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
19-Feb-2018 - 00:00,,212.69,63.2,175.58,46.16,31.85,53.88,,22.94,,0.36,,,219.28,49.34,,,,,,20-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
20-Feb-2018 - 00:00,,220.81,69.38,167.42,42.26,33.74,51.75,,22.94,,0.37,,,218.2,39.08,,,,,,21-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
21-Feb-2018 - 00:00,,195.72,66.81,153.9,72.86,33.77,76.26,,23.6,,0.3,,,198.38,46.11,,,,,,22-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
22-Feb-2018 - 00:00,,222.33,69.83,153.19,49.12,33.0,56.85,,23.52,,0.29,,,183.99,40.38,,,,,,23-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
23-Feb-2018 - 00:00,,149.38,69.69,141.65,52.35,39.35,62.82,,23.65,,0.3,,,172.08,41.24,,,,,,24-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
24-Feb-2018 - 00:00,,115.36,59.63,112.24,45.37,40.12,57.64,,24.28,,0.46,,,211.08,39.77,,,,,,25-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
25-Feb-2018 - 00:00,,248.64,62.03,157.64,38.15,38.48,50.99,,23.95,,0.4,,,90.76,37.88,,,,,,26-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
26-Feb-2018 - 00:00,,256.32,70.88,188.88,29.85,38.17,44.18,,23.09,,0.73,,,81.29,35.68,,,,,,27-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
27-Feb-2018 - 00:00,,227.34,72.96,166.54,33.38,38.55,47.21,,23.34,,0.51,,,115.91,36.83,,,,,,28-Feb-2018 - 00:00,"DTU, Delhi - CPCB"
28-Feb-2018 - 00:00,,242.76,75.46,134.1,38.25,39.76,51.75,,23.25,,0.31,,,192.31,38.23,,,,,,01-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
01-Mar-2018 - 00:00,,236.23,70.58,135.94,38.11,39.88,51.71,,23.39,,0.3,,,154.52,38.19,,,,,,02-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
