from date,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM10,PM2.5,NH3,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
17-May-2018 - 00:00,1.96,176.13,35.1,632.48,41.91,40.79,54.67,11.73,36.93,0.88,8.6,,315.34,98.02,74.36,11.4,1.17,,,1.38,18-May-2018 - 00:00,"DTU, Delhi - CPCB"
18-May-2018 - 00:00,0.98,117.12,38.91,260.49,,,,11.8,36.51,0.78,0.77,,252.88,92.35,,12.33,1.41,,,1.95,19-May-2018 - 00:00,"DTU, Delhi - CPCB"
19-May-2018 - 00:00,1.93,167.54,41.27,264.21,8.44,31.49,23.51,1.31,38.97,0.97,0.71,,303.32,75.91,82.55,5.72,2.32,,,3.41,20-May-2018 - 00:00,"DTU, Delhi - CPCB"
20-May-2018 - 00:00,0.89,243.12,37.31,257.33,5.83,35.29,23.43,6.24,37.01,0.77,0.57,,244.75,92.24,82.91,6.11,1.49,,,2.52,21-May-2018 - 00:00,"DTU, Delhi - CPCB"
21-May-2018 - 00:00,1.12,271.82,39.99,260.96,5.69,35.37,23.36,6.1,37.25,0.66,0.53,,216.23,69.48,83.67,8.1,0.92,,,2.56,22-May-2018 - 00:00,"DTU, Delhi - CPCB"
22-May-2018 - 00:00,0.86,215.86,40.08,254.4,2.25,36.25,21.1,11.05,30.87,0.84,1.64,0.0,279.86,89.93,84.9,6.85,1.26,,,1.31,23-May-2018 - 00:00,"DTU, Delhi - CPCB"
23-May-2018 - 00:00,2.99,95.72,24.12,247.61,,,,8.18,21.51,1.18,14.52,0.0,336.45,117.83,,6.35,2.72,,,0.84,24-May-2018 - 00:00,"DTU, Delhi - CPCB"
24-May-2018 - 00:00,2.58,104.52,21.1,246.66,,,,5.18,20.82,0.97,14.13,0.0,277.1,87.79,,6.22,1.8,,,0.77,25-May-2018 - 00:00,"DTU, Delhi - CPCB"
25-May-2018 - 00:00,2.58,148.12,28.73,258.7,,,,5.16,21.83,0.92,6.55,0.0,241.8,81.17,,6.53,2.01,,,0.74,26-May-2018 - 00:00,"DTU, Delhi - CPCB"
26-May-2018 - 00:00,2.58,140.78,27.5,265.59,,,,4.22,22.85,0.9,3.39,0.0,248.76,98.94,,6.67,2.14,,,0.17,27-May-2018 - 00:00,"DTU, Delhi - CPCB"
27-May-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,28-May-2018 - 00:00,"DTU, Delhi - CPCB"
28-May-2018 - 00:00,4.2,121.88,28.5,245.41,18.77,18.44,23.15,12.84,33.75,1.18,8.52,0.0,329.08,98.38,82.44,7.14,0.62,,,34.07,29-May-2018 - 00:00,"DTU, Delhi - CPCB"
29-May-2018 - 00:00,6.4,,51.72,255.6,13.8,27.07,23.76,5.42,38.1,1.83,,,402.81,114.64,82.16,7.63,0.74,,,28.5,30-May-2018 - 00:00,"DTU, Delhi - CPCB"
30-May-2018 - 00:00,0.87,,49.47,258.09,3.19,36.8,22.11,10.4,38.26,0.65,,,315.62,48.91,84.35,6.73,0.47,,,0.27,31-May-2018 - 00:00,"DTU, Delhi - CPCB"
31-May-2018 - 00:00,2.15,,47.86,252.34,10.56,66.14,34.9,14.03,37.99,0.87,,,271.38,69.15,99.07,7.24,2.12,,,0.45,01-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
01-Jun-2018 - 00:00,0.79,,45.52,266.99,13.32,51.57,38.08,4.11,38.97,0.71,,,254.97,69.6,87.23,7.45,0.62,,,0.07,02-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
02-Jun-2018 - 00:00,1.22,,23.48,254.89,10.96,45.54,32.95,6.85,38.19,0.56,,,161.43,38.29,72.48,7.36,0.92,,,0.07,03-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
03-Jun-2018 - 00:00,1.41,,36.42,260.64,9.02,31.08,23.74,5.22,38.25,0.67,,,168.47,53.99,36.67,7.01,0.34,,,6.5,04-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
04-Jun-2018 - 00:00,-0.01,0.0,24.87,259.06,11.31,31.44,25.77,5.18,38.32,0.69,0.0,,226.26,56.1,36.95,7.36,-0.01,,,-0.01,05-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
05-Jun-2018 - 00:00,-0.01,0.0,26.34,253.86,11.08,30.9,25.3,4.28,38.25,0.65,0.0,,168.01,48.18,31.22,7.42,-0.01,,,-0.01,06-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
06-Jun-2018 - 00:00,-0.01,0.0,67.13,265.28,10.62,31.2,25.09,3.83,38.64,0.56,0.0,,166.76,44.19,11.89,7.62,-0.01,,,-0.01,07-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
07-Jun-2018 - 00:00,-0.01,0.0,46.19,265.26,13.32,30.58,26.92,6.21,37.88,0.88,0.0,,205.32,79.78,14.04,8.21,-0.01,,,-0.01,08-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
08-Jun-2018 - 00:00,0.32,0.0,20.01,259.3,12.42,31.22,26.55,4.96,38.19,0.8,0.0,,216.05,65.0,14.27,8.37,0.17,,,0.06,09-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
09-Jun-2018 - 00:00,1.73,0.0,32.64,282.52,12.29,30.26,25.93,3.8,38.07,0.64,0.0,,166.42,41.73,13.55,8.27,0.99,,,0.36,10-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
10-Jun-2018 - 00:00,1.77,0.0,56.95,303.99,15.51,29.52,28.11,5.28,37.61,0.65,0.0,,149.16,62.27,16.88,8.65,1.0,,,0.31,11-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
11-Jun-2018 - 00:00,1.51,0.0,51.83,311.44,14.25,28.99,26.83,7.71,37.96,0.58,0.0,,370.89,66.41,13.91,8.78,1.06,,,0.38,12-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
12-Jun-2018 - 00:00,1.27,0.0,49.07,290.15,12.52,28.28,25.05,5.6,37.98,0.54,0.0,,687.27,132.77,12.42,8.6,1.01,,,1.49,13-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
13-Jun-2018 - 00:00,1.0,0.0,46.95,284.65,10.79,26.28,22.57,5.85,38.31,0.38,0.0,,795.45,247.84,9.34,8.49,0.63,,,1.24,14-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
14-Jun-2018 - 00:00,1.42,0.0,45.84,282.9,9.97,26.82,21.99,7.83,38.54,0.37,0.0,,977.23,184.7,9.01,7.94,0.81,,,0.66,15-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
15-Jun-2018 - 00:00,1.0,0.0,47.79,273.59,4.7,25.93,17.56,12.49,38.28,0.3,0.0,,783.85,130.84,3.43,4.19,0.4,,,0.25,16-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
16-Jun-2018 - 00:00,0.0,0.0,50.06,256.59,5.79,26.74,18.63,10.52,37.99,0.38,0.0,,657.05,115.85,5.22,3.47,0.0,,,0.0,17-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
17-Jun-2018 - 00:00,,0.0,62.99,285.26,5.85,26.7,18.88,8.17,38.07,0.28,0.0,,274.84,63.28,4.49,1.64,0.0,,,0.0,18-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
18-Jun-2018 - 00:00,,0.0,57.96,286.04,5.56,26.39,18.48,14.41,37.74,0.43,0.0,,156.04,48.4,5.12,2.14,0.0,,,0.0,19-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
19-Jun-2018 - 00:00,,,56.76,299.46,5.4,26.65,18.48,12.48,37.88,0.37,,,162.28,44.62,4.16,1.1,0.0,,,0.0,20-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
20-Jun-2018 - 00:00,,,56.61,269.14,5.5,27.82,19.2,13.07,37.9,0.53,,,234.55,59.86,5.29,0.8,0.0,,,,21-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
21-Jun-2018 - 00:00,,,49.65,273.7,5.16,27.63,18.81,15.01,37.76,0.55,,,327.62,96.96,4.78,0.41,,,,,22-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
22-Jun-2018 - 00:00,0.76,,48.23,269.97,6.12,28.42,20.01,21.69,37.74,0.66,,,250.61,72.35,6.07,1.86,0.55,,,0.21,23-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
23-Jun-2018 - 00:00,0.56,,51.05,271.56,6.24,28.31,19.76,9.34,37.89,0.78,,,279.83,76.26,6.34,3.41,0.77,,,0.17,24-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
24-Jun-2018 - 00:00,0.48,,53.66,275.38,5.5,26.39,18.44,9.39,37.81,0.45,,,203.38,54.93,3.98,3.5,1.17,,,0.01,25-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
25-Jun-2018 - 00:00,1.38,,47.8,281.65,5.84,27.28,19.17,12.47,37.99,0.48,,,317.67,55.82,4.82,3.63,0.86,,,0.11,26-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
26-Jun-2018 - 00:00,0.76,,47.95,251.81,5.29,26.63,18.38,12.09,37.77,0.4,,,183.17,39.3,4.19,3.7,0.47,,,0.12,27-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
27-Jun-2018 - 00:00,0.73,,53.23,287.15,6.3,27.3,19.56,16.79,37.96,0.53,,,112.71,47.23,5.8,3.68,0.45,,,0.11,28-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
28-Jun-2018 - 00:00,0.99,,45.04,292.46,6.44,26.84,19.41,12.02,37.95,0.44,,,62.0,25.38,5.05,3.88,0.22,,,0.32,29-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
29-Jun-2018 - 00:00,1.17,,34.73,283.17,8.75,27.62,21.68,6.52,37.91,0.51,,,81.29,38.01,7.6,4.38,0.37,,,0.36,30-Jun-2018 - 00:00,"DTU, Delhi - CPCB"
30-Jun-2018 - 00:00,0.23,,30.96,288.92,8.92,26.64,21.3,8.02,37.58,0.63,,,92.66,42.11,7.14,4.51,0.08,,,0.04,01-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
01-Jul-2018 - 00:00,-0.01,,44.99,322.18,9.1,25.78,21.0,8.31,37.89,0.53,,,70.82,30.16,6.39,4.68,-0.01,,,-0.01,02-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
02-Jul-2018 - 00:00,-0.01,,42.23,311.63,8.3,26.22,20.59,8.69,37.98,0.29,,,105.84,23.73,5.85,4.79,-0.01,,,-0.01,03-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
03-Jul-2018 - 00:00,-0.01,,50.49,288.22,7.7,27.78,20.94,9.46,37.8,0.5,,,104.94,36.51,7.06,4.8,-0.01,,,-0.01,04-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
04-Jul-2018 - 00:00,-0.01,,53.16,285.04,6.33,26.94,19.4,10.3,37.84,0.48,,,112.73,42.55,4.75,4.71,-0.01,,,-0.01,05-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
05-Jul-2018 - 00:00,0.37,,56.3,302.31,7.17,26.66,19.92,9.45,37.72,0.47,,,138.33,42.52,5.8,4.73,0.14,,,0.09,06-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
06-Jul-2018 - 00:00,1.08,,51.61,306.88,8.53,25.89,20.59,9.2,37.75,0.45,,,154.53,45.51,6.6,4.75,0.46,,,0.34,07-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
07-Jul-2018 - 00:00,0.99,,53.48,308.62,7.73,26.43,20.24,9.45,37.76,0.52,,,171.6,61.69,6.01,4.69,0.64,,,0.38,08-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
08-Jul-2018 - 00:00,1.37,,54.6,295.03,7.77,27.06,20.62,9.93,37.79,0.61,,,182.23,63.07,5.82,4.87,0.66,,,0.13,09-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
09-Jul-2018 - 00:00,1.32,,29.1,276.06,7.11,27.37,20.25,13.22,37.94,0.67,,,171.27,67.42,5.75,5.03,0.62,,,0.11,10-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
10-Jul-2018 - 00:00,1.11,44.07,30.92,284.27,8.4,26.28,20.48,10.91,36.92,0.56,1.19,,117.7,43.95,6.35,5.15,0.5,,,0.2,11-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
11-Jul-2018 - 00:00,0.94,81.0,45.29,271.1,7.7,26.16,20.07,10.04,34.66,0.57,0.92,,98.17,36.88,5.34,5.11,0.61,,,0.34,12-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
12-Jul-2018 - 00:00,1.39,97.45,45.33,274.52,6.7,25.42,18.26,14.86,34.69,0.51,0.72,,136.09,41.76,4.34,5.16,0.63,,,0.35,13-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
13-Jul-2018 - 00:00,1.45,115.43,67.52,206.34,5.55,25.67,17.58,12.22,29.54,0.58,0.62,,55.17,25.57,3.33,4.94,0.69,,,0.31,14-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
14-Jul-2018 - 00:00,1.34,120.89,97.55,276.26,2.69,25.67,15.62,10.09,27.74,0.5,0.66,,67.1,49.33,1.49,5.38,0.56,,,0.21,15-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
15-Jul-2018 - 00:00,1.37,89.42,94.36,335.34,3.25,26.13,16.47,10.49,29.75,0.54,0.65,,86.84,45.47,2.38,5.55,0.49,,,0.31,16-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
16-Jul-2018 - 00:00,1.97,104.91,96.32,128.47,3.83,30.13,19.05,10.29,28.79,0.61,0.61,,82.57,36.75,5.13,5.81,0.79,,,0.86,17-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
17-Jul-2018 - 00:00,1.71,146.31,88.38,167.2,3.78,27.68,17.4,11.33,30.55,0.56,0.48,,96.11,48.62,3.84,5.22,0.66,,,0.65,18-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
18-Jul-2018 - 00:00,1.21,171.1,81.63,155.26,2.94,26.19,16.23,9.42,30.31,0.49,0.52,,90.7,37.48,1.86,5.6,0.48,,,0.11,19-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
19-Jul-2018 - 00:00,0.98,120.72,76.73,230.74,2.57,26.03,15.88,8.66,30.8,0.4,0.67,,74.65,25.4,1.93,5.84,0.28,,,0.21,20-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
20-Jul-2018 - 00:00,1.14,152.7,87.5,94.81,2.58,26.05,15.9,8.93,28.91,0.41,0.54,,80.98,36.67,1.49,6.13,0.44,,,0.17,21-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
21-Jul-2018 - 00:00,1.36,131.28,86.84,116.67,3.77,26.52,17.1,9.96,28.17,0.39,0.44,,83.8,41.38,2.12,6.25,0.79,,,0.28,22-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
22-Jul-2018 - 00:00,1.41,109.22,87.68,116.45,3.07,26.29,16.42,10.24,27.44,0.16,0.53,,49.54,27.51,1.64,6.33,0.47,,,0.27,23-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
23-Jul-2018 - 00:00,1.16,145.94,67.21,213.6,3.1,26.64,16.12,9.08,29.84,0.16,0.45,0.0,68.51,27.31,2.04,6.32,0.37,,,0.19,24-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
24-Jul-2018 - 00:00,1.18,,49.02,295.85,3.08,26.49,16.54,9.5,,0.16,,0.0,94.42,39.51,1.65,6.79,0.46,,,0.19,25-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
25-Jul-2018 - 00:00,1.08,,55.98,296.93,3.07,26.22,11.97,8.65,,0.12,,0.0,71.06,17.12,1.52,5.05,0.35,,,0.31,26-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
26-Jul-2018 - 00:00,0.84,134.95,80.68,237.97,5.08,24.6,13.46,10.39,26.13,0.13,0.4,0.0,36.12,11.32,28.13,5.9,0.2,,,0.23,27-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
27-Jul-2018 - 00:00,0.83,173.27,94.34,154.03,6.03,23.32,17.23,9.51,25.48,0.16,0.36,0.0,18.64,8.06,50.56,8.33,0.01,,,0.19,28-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
28-Jul-2018 - 00:00,0.88,155.65,88.52,137.21,6.88,23.22,17.84,9.2,27.96,0.16,0.59,0.0,44.61,22.52,51.78,8.29,0.05,,,0.23,29-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
29-Jul-2018 - 00:00,1.2,135.91,63.56,236.89,7.01,22.82,17.56,9.35,31.25,0.16,0.7,0.0,130.91,47.89,51.88,8.28,0.35,,,0.22,30-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
30-Jul-2018 - 00:00,0.86,143.03,76.59,184.57,7.31,23.24,18.22,9.28,31.47,0.16,0.77,0.0,128.02,36.15,52.1,8.4,0.09,,,0.17,31-Jul-2018 - 00:00,"DTU, Delhi - CPCB"
31-Jul-2018 - 00:00,1.01,140.56,67.75,70.96,8.36,26.02,20.52,8.53,32.02,0.19,0.85,0.0,164.16,41.2,55.11,8.55,0.2,,,0.29,01-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
01-Aug-2018 - 00:00,1.08,140.7,56.69,123.03,9.29,24.13,20.25,2.21,31.51,0.31,0.82,0.0,211.0,48.53,54.52,7.19,0.18,,,0.38,02-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
02-Aug-2018 - 00:00,1.18,142.66,38.76,109.22,8.91,24.29,20.04,2.32,32.85,0.2,0.99,0.0,298.9,63.72,55.01,1.07,0.24,,,0.29,03-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
03-Aug-2018 - 00:00,0.85,144.19,21.82,108.64,8.1,23.89,19.18,2.29,32.59,0.4,1.08,0.0,291.47,70.33,54.01,1.01,0.13,,,0.28,04-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
04-Aug-2018 - 00:00,0.72,137.79,36.28,95.05,10.74,29.31,18.08,3.3,32.54,0.21,0.87,-0.01,309.01,58.51,47.12,1.79,0.06,,,0.09,05-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
05-Aug-2018 - 00:00,0.89,116.98,66.06,58.38,13.51,36.29,29.74,2.94,31.15,0.35,1.04,0.0,281.02,50.01,25.14,2.15,0.09,,,0.26,06-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
06-Aug-2018 - 00:00,0.77,95.3,87.34,36.35,18.88,40.98,25.83,3.3,28.65,0.23,0.55,0.0,119.19,37.93,50.13,1.61,0.04,,,0.15,07-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
07-Aug-2018 - 00:00,0.57,133.11,86.94,60.77,16.36,60.17,24.44,10.92,29.69,0.27,0.47,0.0,225.58,31.59,68.28,1.88,0.12,,,0.05,08-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
08-Aug-2018 - 00:00,0.71,104.16,87.75,101.69,,,0.0,30.05,30.52,0.39,0.62,0.0,81.72,32.86,,,0.35,,,0.42,09-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
09-Aug-2018 - 00:00,0.75,79.25,70.05,122.39,,,0.0,36.36,32.45,0.38,0.69,0.0,98.43,36.62,,1.13,0.35,,,0.46,10-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
10-Aug-2018 - 00:00,1.41,119.89,73.84,101.94,5.31,20.12,6.61,27.39,32.64,0.76,0.55,0.0,129.36,45.06,63.45,1.44,0.8,,,0.51,11-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
11-Aug-2018 - 00:00,0.87,144.99,73.42,117.84,0.38,14.0,4.4,32.34,33.04,0.48,1.0,0.0,110.16,25.18,14.63,1.06,0.17,,,0.47,12-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
12-Aug-2018 - 00:00,0.68,116.62,72.05,49.93,1.15,17.12,8.61,18.78,31.74,0.76,0.69,0.0,89.65,18.32,22.67,1.14,0.06,,,0.43,13-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
13-Aug-2018 - 00:00,0.76,107.83,69.57,80.08,1.07,11.94,5.96,30.37,31.64,0.67,0.58,0.0,396.64,23.1,18.7,1.38,0.05,,,0.2,14-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
14-Aug-2018 - 00:00,,118.34,76.27,104.03,3.53,11.59,7.78,21.81,31.99,0.42,0.46,0.0,115.84,42.03,22.4,2.11,,,,,15-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
15-Aug-2018 - 00:00,0.0,94.4,72.63,101.94,1.02,13.05,5.41,39.02,32.43,0.28,0.67,0.0,118.68,36.26,17.17,2.34,0.0,,,0.0,16-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
16-Aug-2018 - 00:00,0.0,112.67,84.94,86.02,1.2,10.44,4.95,32.81,30.97,0.58,0.47,0.0,95.39,39.69,15.94,2.21,0.0,,,0.0,17-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
17-Aug-2018 - 00:00,0.0,132.65,84.78,101.15,1.72,13.33,6.75,33.5,31.85,0.32,0.62,0.0,60.55,22.01,21.38,1.62,0.0,,,0.0,18-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
18-Aug-2018 - 00:00,0.0,98.8,83.01,97.55,1.7,12.27,6.65,33.45,31.67,0.42,0.6,0.0,74.07,31.76,21.89,1.55,0.0,,,0.0,19-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
19-Aug-2018 - 00:00,0.0,120.77,94.43,42.42,2.05,14.43,8.28,15.92,30.12,0.79,0.47,0.0,105.02,51.46,24.43,1.35,0.0,,,0.0,20-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
20-Aug-2018 - 00:00,0.0,104.3,77.65,99.56,2.04,12.94,7.21,38.86,32.05,0.75,0.63,0.0,110.7,56.08,22.27,0.99,0.0,,,0.0,21-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
21-Aug-2018 - 00:00,0.0,68.52,70.39,104.22,1.51,10.35,5.08,44.72,32.66,0.51,0.63,0.0,95.45,33.65,16.76,0.91,0.0,,,0.0,22-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
22-Aug-2018 - 00:00,2.25,139.4,86.74,66.9,1.73,20.48,9.61,34.81,30.99,0.75,0.52,0.0,88.67,32.4,38.63,4.66,1.53,,,1.46,23-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
23-Aug-2018 - 00:00,7.49,131.83,95.57,58.03,3.88,28.18,17.71,10.47,29.87,0.67,0.7,0.0,56.34,20.58,79.46,18.51,2.91,,,7.16,24-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
24-Aug-2018 - 00:00,5.07,147.85,84.85,75.23,2.6,18.08,10.91,12.59,31.17,0.52,0.77,0.0,91.24,20.65,53.16,17.71,1.94,,,7.66,25-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
25-Aug-2018 - 00:00,4.91,145.36,78.55,86.37,0.95,16.08,8.44,8.26,31.27,0.45,1.04,0.0,82.22,3.55,42.37,17.22,1.63,,,6.99,26-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
26-Aug-2018 - 00:00,4.21,162.0,79.18,115.46,1.01,12.2,5.86,11.07,31.16,0.4,0.68,0.0,73.73,1.26,35.16,17.02,1.18,,,6.98,27-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
27-Aug-2018 - 00:00,4.31,123.64,89.38,83.43,1.1,13.1,6.42,9.36,30.43,0.49,0.44,0.0,46.67,18.49,35.94,17.12,1.72,,,6.99,28-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
28-Aug-2018 - 00:00,5.56,120.51,95.88,53.54,1.6,13.71,7.07,6.25,28.61,0.57,0.53,0.04,40.08,20.45,34.98,17.28,2.31,,,6.92,29-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
29-Aug-2018 - 00:00,6.2,89.82,95.64,34.07,2.54,18.91,8.91,11.08,28.82,0.64,0.49,0.0,63.13,27.11,42.97,11.89,3.01,,,7.46,30-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
30-Aug-2018 - 00:00,11.13,129.27,87.88,111.67,4.01,18.6,12.28,6.82,31.19,0.96,0.64,0.0,83.22,30.42,47.38,9.19,3.74,,,13.04,31-Aug-2018 - 00:00,"DTU, Delhi - CPCB"
31-Aug-2018 - 00:00,5.85,140.33,85.96,74.84,0.92,15.17,7.48,12.6,31.46,0.47,0.6,0.0,148.0,35.84,37.34,2.79,3.84,,,8.9,01-Sep-2018 - 00:00,"DTU, Delhi - CPCB"
01-Sep-2018 - 00:00,5.09,132.98,95.65,29.75,3.0,15.58,10.2,13.03,28.7,0.62,0.46,0.01,108.26,42.73,42.17,2.96,3.88,,,7.83,02-Sep-2018 - 00:00,"DTU, Delhi - CPCB"
02-Sep-2018 - 00:00,4.95,154.99,95.68,36.65,2.2,16.82,10.34,13.53,27.64,0.41,0.32,0.01,59.53,31.11,43.69,3.23,2.52,,,7.36,03-Sep-2018 - 00:00,"DTU, Delhi - CPCB"
03-Sep-2018 - 00:00,6.07,132.76,95.64,37.18,3.08,14.07,9.25,12.78,27.66,0.62,0.35,0.0,54.96,31.1,40.75,3.03,3.4,,,8.97,04-Sep-2018 - 00:00,"DTU, Delhi - CPCB"
04-Sep-2018 - 00:00,4.91,129.39,94.98,60.3,6.01,17.0,13.23,13.6,28.69,0.86,0.45,0.0,93.72,52.66,48.16,3.12,7.28,,,4.68,05-Sep-2018 - 00:00,"DTU, Delhi - CPCB"
05-Sep-2018 - 00:00,4.29,130.07,94.72,59.45,3.81,15.2,10.34,13.67,28.52,0.66,0.64,0.0,94.0,34.52,41.7,3.63,4.6,,,6.81,06-Sep-2018 - 00:00,"DTU, Delhi - CPCB"
06-Sep-2018 - 00:00,5.57,133.05,83.5,112.27,3.76,12.49,8.66,14.09,29.56,0.59,0.67,0.01,109.29,29.71,35.7,4.74,6.57,,,8.28,07-Sep-2018 - 00:00,"DTU, Delhi - CPCB"
07-Sep-2018 - 00:00,4.55,130.26,93.72,78.89,2.85,18.93,11.37,13.89,28.4,0.55,0.51,0.0,56.28,24.25,36.25,6.05,4.57,,,6.19,08-Sep-2018 - 00:00,"DTU, Delhi - CPCB"
08-Sep-2018 - 00:00,3.87,93.39,91.2,73.36,2.73,14.16,8.75,16.5,28.95,0.42,0.87,0.01,57.2,23.45,29.41,7.11,4.03,,,5.26,09-Sep-2018 - 00:00,"DTU, Delhi - CPCB"
09-Sep-2018 - 00:00,4.21,57.34,88.52,93.99,2.17,17.0,9.91,11.86,29.28,0.4,0.74,0.0,51.48,23.41,30.08,8.64,3.49,,,5.84,10-Sep-2018 - 00:00,"DTU, Delhi - CPCB"
10-Sep-2018 - 00:00,5.68,86.5,88.44,74.26,2.75,22.59,13.21,16.43,29.73,0.57,0.56,0.0,82.88,32.2,36.04,8.27,4.24,,,8.34,11-Sep-2018 - 00:00,"DTU, Delhi - CPCB"
11-Sep-2018 - 00:00,5.49,143.11,88.54,110.98,2.07,13.43,7.74,15.42,30.73,0.35,0.7,0.0,73.83,22.72,26.5,6.93,3.94,,,8.13,12-Sep-2018 - 00:00,"DTU, Delhi - CPCB"
12-Sep-2018 - 00:00,4.99,147.49,84.15,109.9,2.7,14.5,8.82,17.52,30.86,0.29,0.96,0.0,103.55,20.7,28.59,8.66,3.55,,,10.22,13-Sep-2018 - 00:00,"DTU, Delhi - CPCB"
13-Sep-2018 - 00:00,4.3,145.42,70.2,114.01,2.29,14.05,8.51,18.4,30.53,0.33,0.99,0.0,134.14,25.26,26.57,9.01,3.57,,,6.15,14-Sep-2018 - 00:00,"DTU, Delhi - CPCB"
