from date,Rack Temp,AT,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,RH,BP,SR,VWS,RF,PM2.5,Benzene,Toluene,Xylene,to date,station
12-Apr-2018 - 00:00,,32.57,1.1,101.55,13.15,90.1,41.97,74.85,0.3,172.29,66.12,750.0,144.04,-0.5,0.0,78.33,4.23,31.98,18.11,13-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Apr-2018 - 00:00,,35.46,1.27,50.82,12.1,96.12,35.44,92.54,0.3,179.29,55.11,750.0,196.5,-0.28,0.0,76.58,4.28,38.69,20.26,14-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Apr-2018 - 00:00,,34.93,1.2,92.59,18.32,71.85,33.24,47.51,0.3,220.58,51.73,750.0,211.05,-0.22,0.0,81.24,3.75,30.49,13.82,15-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Apr-2018 - 00:00,,38.14,1.1,87.01,7.8,51.56,19.75,105.31,0.36,185.19,57.85,750.0,214.74,-0.31,0.0,61.74,3.61,34.61,20.88,17-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Apr-2018 - 00:00,,35.73,0.98,98.46,7.12,30.56,13.64,95.16,0.48,150.04,63.65,750.0,172.69,-0.29,0.0,54.58,3.0,26.3,11.35,18-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Apr-2018 - 00:00,,33.84,1.04,106.42,7.01,34.72,14.76,96.88,0.73,125.46,64.24,750.0,181.76,-0.3,0.0,45.12,2.94,23.82,9.37,19-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Apr-2018 - 00:00,,33.79,1.01,109.7,7.55,29.79,13.7,97.85,1.38,174.24,68.26,750.0,181.28,-0.3,0.0,54.21,3.1,23.05,7.26,20-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Apr-2018 - 00:00,,34.35,1.08,94.0,7.0,29.18,13.15,88.99,0.9,139.39,68.74,750.0,171.23,-0.31,0.0,53.88,3.21,26.89,12.08,21-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Apr-2018 - 00:00,,36.42,1.04,91.07,10.83,46.32,20.7,72.98,0.4,163.0,65.54,750.0,179.06,-0.29,0.0,66.12,3.18,27.12,12.33,22-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Apr-2018 - 00:00,,36.92,1.04,83.52,12.38,53.56,23.83,79.91,1.06,135.93,45.01,750.0,185.5,-0.37,0.0,91.78,3.05,20.8,7.44,23-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Apr-2018 - 00:00,,34.34,1.36,64.79,33.0,72.86,44.36,77.83,0.91,219.82,41.95,750.0,203.72,-0.31,0.0,85.17,3.23,21.23,7.92,24-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Apr-2018 - 00:00,,33.75,1.35,45.74,23.35,77.57,38.13,63.33,0.52,201.19,47.27,750.0,192.16,-0.33,0.0,106.96,,,,25-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Apr-2018 - 00:00,,34.05,1.18,54.04,8.27,43.94,18.28,83.48,1.13,132.45,62.03,750.0,148.16,-0.31,0.0,82.92,,,,26-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Apr-2018 - 00:00,,30.98,0.96,103.99,7.19,22.7,11.41,82.65,3.57,177.66,64.67,750.0,133.57,-0.31,0.0,38.54,,,,27-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Apr-2018 - 00:00,,32.63,0.93,99.14,7.51,23.77,11.94,92.92,3.78,175.32,60.11,750.0,161.08,-0.3,0.0,37.71,,,,28-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Apr-2018 - 00:00,,33.24,0.97,105.97,7.44,26.04,12.55,90.67,4.02,167.58,61.09,750.0,176.11,-0.31,0.0,37.79,,,,29-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Apr-2018 - 00:00,,32.32,0.96,114.4,6.99,20.24,10.57,97.78,2.85,144.47,65.08,750.0,185.58,-0.31,0.0,33.46,,,,30-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-Apr-2018 - 00:00,,29.16,0.88,112.85,6.87,22.73,10.98,90.54,1.16,172.93,74.89,750.0,150.6,-0.3,0.26,21.26,,,,01-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-May-2018 - 00:00,,30.64,0.97,109.47,6.83,18.18,9.86,74.79,2.3,188.89,73.19,750.0,182.98,-0.31,0.0,22.55,,,,02-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-May-2018 - 00:00,,31.78,0.96,106.31,6.5,16.52,9.16,70.48,2.69,155.55,73.07,750.0,166.78,-0.31,0.0,27.57,,,,03-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-May-2018 - 00:00,,29.35,0.96,97.23,6.98,31.36,25.33,63.64,1.34,177.4,76.4,750.0,97.14,-0.29,0.04,25.17,,,,04-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-May-2018 - 00:00,,30.77,0.99,106.25,5.45,51.13,18.01,115.24,1.71,169.49,71.74,750.0,162.36,-0.32,0.0,24.62,,,,05-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-May-2018 - 00:00,,32.35,0.84,115.59,0.91,62.77,21.36,113.51,1.44,208.74,69.37,750.0,202.44,-0.31,0.0,36.34,,,,06-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-May-2018 - 00:00,,33.95,0.51,89.74,0.12,48.61,12.59,76.48,1.03,176.82,74.49,750.0,173.48,-0.3,0.0,68.36,,,,07-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-May-2018 - 00:00,,34.73,0.59,103.5,3.01,46.5,14.29,98.58,1.58,160.4,73.69,750.0,179.56,-0.3,0.0,55.54,,,,08-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-May-2018 - 00:00,,35.51,0.73,94.79,6.8,23.1,10.83,57.86,0.45,176.09,74.45,750.0,162.52,-0.26,0.0,70.17,,,,09-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-May-2018 - 00:00,,35.39,0.71,104.61,11.81,52.91,23.27,50.37,1.01,210.83,63.04,750.0,203.31,-0.34,0.0,56.44,,,,10-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-May-2018 - 00:00,,35.62,0.64,87.27,9.1,49.79,20.53,62.06,1.05,186.79,61.19,750.0,197.91,-0.3,0.0,64.86,,,,11-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-May-2018 - 00:00,,33.21,0.5,107.3,6.78,17.2,9.54,92.6,2.61,169.66,68.62,750.0,191.84,-0.31,0.0,43.89,1.28,11.78,4.93,12-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-May-2018 - 00:00,,34.18,0.51,120.95,6.74,18.24,9.82,123.14,2.99,160.47,67.36,750.0,183.7,-0.32,0.0,35.07,1.29,12.1,4.38,13-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-May-2018 - 00:00,,34.43,0.49,115.03,6.47,16.25,9.07,112.21,3.3,203.38,67.17,750.0,151.78,-0.31,0.0,39.51,2.77,18.8,3.83,14-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-May-2018 - 00:00,,30.75,0.47,143.68,6.32,37.35,14.72,136.96,1.69,184.84,72.18,750.0,173.7,-0.28,0.13,20.71,2.56,22.05,10.44,15-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-May-2018 - 00:00,,32.36,0.56,100.68,6.22,53.74,19.73,89.85,1.59,240.09,73.06,750.0,178.29,-0.31,0.0,35.92,2.29,16.92,8.19,16-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-May-2018 - 00:00,,31.46,0.56,110.7,6.09,51.63,18.9,109.21,1.78,205.53,75.42,750.0,141.44,-0.31,0.0,47.0,2.1,16.66,7.33,17-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-May-2018 - 00:00,,32.48,0.55,114.27,5.86,53.86,19.51,109.94,2.47,140.0,70.69,750.0,186.36,-0.32,0.0,48.04,2.0,15.9,7.93,18-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-May-2018 - 00:00,,34.81,0.59,102.18,6.27,57.04,20.72,121.12,1.91,166.18,67.29,750.0,174.99,-0.3,0.0,59.54,2.11,15.86,9.04,19-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-May-2018 - 00:00,,35.28,0.48,97.11,6.65,54.88,20.78,96.03,2.48,154.23,69.47,750.0,173.03,-0.31,0.0,54.42,2.02,15.1,8.4,20-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-May-2018 - 00:00,,34.04,0.53,107.04,6.6,55.06,20.37,102.74,1.73,169.34,73.67,750.0,182.95,-0.29,0.02,43.46,1.7,12.18,5.43,21-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-May-2018 - 00:00,,36.43,0.58,96.0,7.29,58.08,21.7,95.05,1.43,210.61,71.8,750.0,165.84,-0.3,0.0,70.12,2.12,15.81,10.19,22-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-May-2018 - 00:00,,36.4,0.6,87.21,7.34,51.77,19.91,62.64,2.43,156.28,72.45,750.0,147.12,-0.31,0.0,63.0,1.86,14.8,7.92,23-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-May-2018 - 00:00,,36.25,0.56,104.62,7.0,50.63,19.37,79.25,3.0,193.06,72.03,750.0,160.33,-0.31,0.0,49.38,1.83,13.03,7.24,24-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-May-2018 - 00:00,,35.61,0.58,102.86,4.71,47.62,16.89,121.79,2.95,166.43,73.78,750.0,158.47,-0.3,0.0,44.17,1.7,10.8,6.38,25-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-May-2018 - 00:00,,36.72,0.55,99.74,4.43,51.04,17.72,113.33,1.85,171.71,72.57,750.0,163.68,-0.3,0.0,47.58,1.68,10.98,6.49,26-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-May-2018 - 00:00,,37.01,0.48,102.75,3.32,43.87,14.83,106.78,3.0,170.41,71.73,750.0,200.52,-0.3,0.0,45.33,1.66,9.52,4.95,27-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-May-2018 - 00:00,,36.59,0.57,100.92,2.92,39.24,13.0,97.67,4.48,177.55,74.51,750.0,173.22,-0.3,0.0,41.83,1.31,6.81,2.71,28-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-May-2018 - 00:00,,35.68,0.5,98.26,3.34,51.88,17.07,106.42,4.18,176.45,71.54,750.0,191.15,-0.29,0.0,37.88,1.41,9.28,5.17,29-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-May-2018 - 00:00,,34.39,0.5,92.3,3.42,48.47,15.95,145.05,3.8,128.35,66.27,750.0,177.92,-0.33,0.0,24.71,1.69,12.94,12.08,30-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-May-2018 - 00:00,,35.99,0.46,101.84,2.77,39.28,13.12,124.84,3.37,161.84,65.57,750.0,181.1,-0.32,0.0,30.62,1.48,20.43,8.75,31-May-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
31-May-2018 - 00:00,,32.26,0.44,104.62,3.8,41.48,14.56,109.52,2.64,187.2,71.11,750.0,145.09,-0.31,0.26,39.36,1.68,16.24,5.64,01-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Jun-2018 - 00:00,,27.95,0.52,105.12,3.15,41.29,13.9,127.91,2.61,132.69,74.9,750.0,165.27,-0.33,0.0,25.81,1.56,15.59,6.75,02-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Jun-2018 - 00:00,,29.19,0.55,144.42,2.83,39.49,13.24,116.95,2.85,158.03,71.96,750.0,195.93,-0.31,0.0,31.83,1.41,11.86,6.37,03-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Jun-2018 - 00:00,,31.27,0.57,68.76,2.74,35.48,11.79,118.9,2.82,248.02,69.54,750.0,190.21,-0.31,0.0,36.18,1.26,8.57,3.1,04-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Jun-2018 - 00:00,,31.49,0.49,42.77,3.36,41.98,14.33,113.56,3.15,147.19,71.57,750.0,178.02,-0.31,0.0,53.3,1.49,11.21,7.37,05-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Jun-2018 - 00:00,,33.22,0.59,92.02,3.4,39.89,13.74,110.41,2.6,164.8,68.1,750.0,170.72,-0.31,0.0,56.77,1.46,11.84,7.97,06-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Jun-2018 - 00:00,,34.17,0.57,94.22,3.84,42.13,14.7,101.85,1.38,174.77,63.06,750.0,195.9,-0.3,0.0,49.79,1.28,11.6,7.34,07-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Jun-2018 - 00:00,,31.37,0.54,86.42,3.9,54.01,18.19,69.81,2.58,236.03,72.55,750.0,149.38,-0.28,0.33,38.2,1.24,11.26,8.87,08-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Jun-2018 - 00:00,,28.81,0.56,102.08,3.14,44.4,14.78,80.09,2.58,132.18,76.79,750.0,177.31,-0.31,0.0,22.57,1.13,9.51,5.45,09-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Jun-2018 - 00:00,,31.99,0.44,103.74,2.7,43.07,14.47,86.75,1.9,106.3,68.72,750.0,218.84,-0.31,0.0,31.57,1.19,9.9,6.48,10-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Jun-2018 - 00:00,,34.44,0.51,78.66,3.44,44.13,15.04,94.56,1.49,193.93,62.62,750.0,213.48,-0.33,0.0,33.85,1.04,8.14,4.68,11-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Jun-2018 - 00:00,,31.49,0.51,91.43,3.6,48.53,16.22,101.67,0.86,135.04,69.79,750.0,167.85,-0.27,0.0,37.08,1.16,9.0,6.17,12-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Jun-2018 - 00:00,,30.64,0.6,92.44,4.78,47.54,20.49,114.98,2.59,154.49,74.05,750.0,179.06,-0.3,0.0,31.46,1.09,8.24,5.45,13-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Jun-2018 - 00:00,,31.8,0.46,85.09,7.04,68.88,25.32,106.81,1.12,194.09,67.34,750.0,172.95,-0.3,0.0,50.6,1.12,8.36,5.87,14-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Jun-2018 - 00:00,,30.62,0.48,67.62,6.52,74.53,25.39,126.44,0.32,173.27,65.61,750.0,92.96,-0.26,0.0,58.04,1.65,16.81,17.51,15-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Jun-2018 - 00:00,,32.12,0.45,77.62,6.73,56.21,20.79,88.26,0.82,186.5,67.18,750.0,154.4,-0.3,0.0,66.02,1.3,10.98,7.83,16-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Jun-2018 - 00:00,,32.68,0.43,85.79,6.11,47.43,17.89,68.36,2.0,175.6,68.62,750.0,129.51,-0.29,0.0,65.59,1.24,8.4,3.92,17-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Jun-2018 - 00:00,,31.34,0.4,74.04,5.83,41.91,16.01,91.02,2.14,171.02,70.61,750.0,173.79,-0.31,0.0,52.23,0.97,5.63,2.03,18-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Jun-2018 - 00:00,,33.3,0.35,65.15,5.96,47.24,17.68,117.87,1.09,193.12,64.38,750.0,186.35,-0.31,0.0,51.64,1.03,8.95,6.04,19-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Jun-2018 - 00:00,,33.95,0.59,80.73,6.69,53.6,19.91,92.94,1.34,210.62,66.58,750.0,191.5,-0.31,0.0,62.75,1.19,9.02,5.68,20-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Jun-2018 - 00:00,,34.59,0.56,94.77,7.36,50.59,30.83,133.8,2.82,202.69,64.22,750.0,193.56,-0.31,0.0,54.4,1.22,9.89,6.13,21-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Jun-2018 - 00:00,,33.21,0.73,96.16,6.81,52.51,19.24,115.41,3.02,197.64,68.35,750.0,192.83,-0.33,0.0,46.4,1.02,7.18,4.03,22-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Jun-2018 - 00:00,,34.05,0.65,77.97,6.33,48.7,17.97,117.92,3.49,164.13,68.99,750.0,188.98,-0.31,0.0,53.38,1.05,8.05,4.67,23-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Jun-2018 - 00:00,,31.3,0.68,83.45,6.24,47.21,17.4,117.0,2.2,173.03,76.1,750.0,142.76,-0.29,0.0,29.23,0.96,7.26,4.02,24-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Jun-2018 - 00:00,,33.1,0.72,91.74,6.19,53.62,19.26,67.04,0.98,193.23,83.85,750.0,39.61,-0.29,0.0,41.65,1.04,7.85,3.23,25-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Jun-2018 - 00:00,,33.02,0.66,83.59,6.88,53.18,19.6,110.16,3.06,130.75,75.91,750.0,182.99,-0.29,0.0,45.84,1.0,8.48,4.16,26-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Jun-2018 - 00:00,,29.0,0.73,93.45,7.19,61.63,22.19,135.69,1.28,201.53,74.31,750.0,97.4,-0.29,0.03,38.68,1.04,9.37,5.61,27-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Jun-2018 - 00:00,,29.95,0.58,88.61,7.44,48.45,18.62,93.08,5.3,178.43,75.19,750.0,183.31,-0.3,0.01,28.03,1.78,11.41,7.77,28-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Jun-2018 - 00:00,,29.17,0.62,102.26,7.61,52.99,20.02,92.87,4.59,153.39,75.28,750.0,124.41,-0.3,0.0,14.84,0.97,13.21,3.76,29-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Jun-2018 - 00:00,,30.09,0.73,66.86,9.12,50.24,19.45,76.43,3.09,175.22,73.49,750.0,169.43,-0.31,0.0,29.53,0.81,10.48,4.38,30-Jun-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-Jun-2018 - 00:00,,30.55,1.07,23.49,22.71,70.04,54.87,78.51,1.69,235.49,76.49,750.0,137.66,-0.29,0.28,38.09,1.07,10.35,6.53,01-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Jul-2018 - 00:00,,27.14,1.53,32.42,10.47,73.55,27.74,61.07,0.63,145.5,87.01,750.0,67.3,-0.29,0.17,23.22,0.91,8.24,3.96,02-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Jul-2018 - 00:00,,26.34,0.96,20.69,13.43,84.86,32.89,31.46,0.38,121.77,92.67,750.0,34.06,-0.28,0.35,34.16,1.24,10.89,6.42,03-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Jul-2018 - 00:00,,26.77,0.93,24.43,18.09,77.7,52.08,33.39,0.51,203.5,90.2,750.0,65.88,-0.35,0.09,33.29,1.2,10.65,8.78,04-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Jul-2018 - 00:00,,29.56,0.74,30.09,7.56,52.02,19.71,58.04,2.3,249.95,77.96,750.0,190.85,-0.36,0.0,19.08,0.94,8.48,4.98,05-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Jul-2018 - 00:00,,30.4,1.02,26.99,7.43,48.92,26.62,68.55,0.84,198.97,79.01,750.0,127.24,-0.31,0.0,31.29,1.02,9.44,7.07,06-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Jul-2018 - 00:00,,30.62,0.9,23.87,8.66,45.13,18.5,75.86,0.79,150.1,77.72,750.0,191.81,-0.27,0.14,36.15,1.01,9.68,6.2,07-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Jul-2018 - 00:00,,29.8,1.06,36.67,9.86,40.41,17.94,59.01,0.93,167.81,82.54,750.0,98.41,-0.27,0.75,35.0,2.29,25.38,12.04,08-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Jul-2018 - 00:00,,35.05,1.21,42.99,8.63,39.27,16.81,92.26,4.86,77.1,65.55,750.0,322.6,-0.29,0.0,16.0,1.31,9.73,3.34,09-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Jul-2018 - 00:00,,32.19,0.56,37.16,8.21,55.06,36.81,75.12,4.42,160.91,71.89,750.0,214.31,-0.31,0.0,25.11,1.24,13.67,7.31,10-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Jul-2018 - 00:00,,27.5,1.7,20.21,7.51,56.17,20.86,58.15,3.49,109.17,88.2,750.0,8.75,-0.3,0.0,19.67,0.82,3.93,0.45,11-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,13-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Jul-2018 - 00:00,,38.18,0.0,35.5,11.56,76.66,28.35,113.19,4.53,100.5,63.4,746.0,160.0,-0.2,0.0,13.75,0.72,12.06,5.32,19-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Jul-2018 - 00:00,,36.8,1.06,20.83,9.66,80.84,28.3,63.41,2.15,146.5,71.4,746.0,8.0,-0.2,0.0,29.0,0.85,5.47,3.04,21-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Jul-2018 - 00:00,,35.58,1.12,13.95,9.0,72.97,20.12,81.92,3.95,100.57,71.99,746.0,154.83,-0.2,0.0,13.27,0.71,5.44,2.88,22-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Jul-2018 - 00:00,,34.95,1.06,9.67,2.09,78.22,16.62,71.29,6.78,98.69,72.93,746.0,173.09,-0.2,0.0,7.36,0.51,3.37,0.93,23-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Jul-2018 - 00:00,,34.03,1.06,15.22,32.12,62.33,19.08,71.15,6.03,84.1,76.36,746.0,123.26,-0.2,0.0,12.94,1.46,10.46,6.34,24-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Jul-2018 - 00:00,,34.3,1.0,17.31,8.7,43.83,17.05,63.09,2.75,104.98,80.22,746.0,141.29,-0.2,0.0,31.11,1.04,13.72,8.1,25-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Jul-2018 - 00:00,,33.28,0.7,14.18,8.52,47.69,17.69,55.06,1.09,96.3,86.09,746.0,87.73,-0.16,0.03,20.1,0.72,9.22,4.01,26-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Jul-2018 - 00:00,,33.04,1.59,16.08,10.28,54.74,21.03,54.75,1.36,98.2,89.01,746.0,107.34,-0.15,0.61,20.34,0.62,7.32,3.41,27-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Jul-2018 - 00:00,,32.74,1.56,16.43,12.61,57.67,23.65,34.27,0.74,111.19,90.5,746.0,106.33,-0.16,0.64,15.6,0.51,4.64,1.63,28-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Jul-2018 - 00:00,,32.84,1.26,13.68,10.02,52.98,19.99,43.24,0.56,101.49,88.84,746.0,88.07,-0.21,0.22,15.38,0.63,5.68,3.38,29-Jul-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
