from date,Rack Temp,AT,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,RH,BP,SR,VWS,RF,PM2.5,Benzene,Toluene,Xylene,to date,station
21-Jan-2018 - 00:00,,14.76,2.24,28.1,24.4,71.01,36.99,39.88,0.3,320.03,89.69,750.0,80.55,-0.16,0.0,177.09,0.18,0.0,0.0,22-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Jan-2018 - 00:00,,14.7,2.59,28.97,41.62,73.66,49.38,40.96,0.3,334.77,88.8,750.0,88.43,-0.17,0.0,219.85,0.14,0.1,0.16,23-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Jan-2018 - 00:00,,16.58,2.98,25.51,93.51,81.69,86.72,42.86,0.3,313.33,87.84,750.0,92.02,-0.28,0.0,279.18,0.06,0.02,0.0,24-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Jan-2018 - 00:00,,19.52,2.08,26.68,20.54,79.64,40.71,44.88,0.32,213.43,84.75,750.0,92.28,-0.26,0.0,220.34,0.03,0.02,0.0,25-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Jan-2018 - 00:00,,19.74,1.59,25.94,10.5,89.61,33.05,45.47,0.68,300.82,82.15,750.0,99.16,-0.31,0.0,142.01,0.04,0.02,0.0,26-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Jan-2018 - 00:00,,15.89,1.69,18.77,8.74,77.81,28.39,41.78,0.3,311.54,92.0,750.0,39.77,-0.26,0.0,156.77,0.02,0.0,0.0,27-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Jan-2018 - 00:00,,18.77,2.0,34.09,11.8,103.29,37.03,43.06,0.3,277.98,80.79,750.0,115.48,-0.17,0.0,201.98,0.16,0.1,0.01,28-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Jan-2018 - 00:00,,16.16,2.1,27.02,13.55,71.75,29.88,38.31,0.3,312.04,86.44,750.0,102.46,-0.26,0.0,234.22,0.02,0.01,0.0,29-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Jan-2018 - 00:00,,16.89,2.18,23.27,21.17,86.96,39.43,43.6,0.3,253.91,86.26,750.0,99.38,-0.26,0.0,226.04,0.03,0.0,0.0,30-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-Jan-2018 - 00:00,,16.88,2.24,27.49,17.4,88.6,37.35,41.95,0.3,270.89,86.25,750.0,101.52,-0.12,0.0,221.67,0.04,0.01,0.0,31-Jan-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
31-Jan-2018 - 00:00,,17.24,2.51,31.71,37.17,76.35,47.16,41.37,0.3,192.06,88.25,750.0,91.44,-0.29,0.0,253.32,0.02,0.02,0.0,01-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Feb-2018 - 00:00,,20.1,1.8,34.55,31.2,95.53,48.55,30.21,0.3,211.06,85.33,750.0,94.34,-0.35,0.0,330.23,0.02,0.0,0.0,02-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Feb-2018 - 00:00,,21.26,1.4,50.28,26.74,115.77,51.5,15.54,0.3,242.58,85.49,750.0,98.7,-0.31,0.01,227.09,0.14,1.0,0.91,03-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Feb-2018 - 00:00,,20.87,1.42,42.59,41.95,106.14,58.99,18.16,0.3,212.03,86.96,750.0,83.42,-0.23,0.0,255.08,0.53,2.51,2.14,04-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Feb-2018 - 00:00,,22.71,0.91,38.97,33.57,110.32,54.54,35.66,0.85,148.09,76.69,750.0,116.27,-0.24,0.0,218.17,0.47,1.77,1.15,05-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Feb-2018 - 00:00,,23.13,0.62,41.75,13.95,118.12,43.54,35.06,0.62,119.91,70.74,750.0,131.42,-0.27,0.0,174.48,0.65,3.11,1.92,06-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Feb-2018 - 00:00,,21.61,0.72,46.47,12.01,122.05,43.38,34.67,0.64,144.99,72.17,750.0,111.28,-0.29,0.0,184.69,0.72,3.21,1.87,07-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Feb-2018 - 00:00,,21.58,0.58,43.71,9.95,105.77,37.27,34.89,1.12,283.51,69.85,750.0,100.33,-0.3,0.0,131.95,0.62,3.09,1.62,08-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Feb-2018 - 00:00,,21.58,0.56,38.28,10.09,107.61,37.91,35.6,1.41,194.55,68.18,750.0,131.04,-0.29,0.0,126.47,0.57,3.04,1.56,09-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Feb-2018 - 00:00,,22.51,0.46,42.29,10.0,116.86,40.52,35.85,1.26,138.44,60.16,750.0,127.2,-0.29,0.0,102.11,0.56,2.95,1.7,10-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Feb-2018 - 00:00,,20.56,0.65,37.92,16.64,117.23,45.11,36.61,1.07,192.98,63.37,750.0,107.27,-0.24,0.0,126.2,0.62,3.77,2.71,11-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Feb-2018 - 00:00,,22.39,0.72,49.44,26.89,119.69,52.74,37.2,0.31,146.54,66.03,750.0,128.1,-0.28,0.0,164.71,0.82,4.93,4.19,12-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Feb-2018 - 00:00,,22.16,1.14,49.94,35.52,133.18,62.46,37.28,0.3,213.56,75.33,750.0,50.88,-0.28,0.0,243.38,0.97,6.67,6.42,13-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Feb-2018 - 00:00,,22.11,0.88,31.98,29.54,105.43,50.41,36.43,0.3,274.4,90.59,750.0,55.93,-0.36,0.0,219.65,0.88,5.07,4.4,14-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Feb-2018 - 00:00,,25.43,0.49,34.94,12.92,80.72,32.04,33.36,1.41,227.4,78.57,750.0,154.72,-0.31,0.0,93.91,3.51,16.29,17.17,15-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Feb-2018 - 00:00,,23.98,1.15,44.82,9.39,94.42,33.63,40.76,0.69,188.2,72.56,750.0,160.01,-0.31,0.0,93.17,6.22,29.29,12.29,16-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Feb-2018 - 00:00,,25.63,1.84,7.31,10.04,89.72,32.7,64.56,0.64,212.73,73.97,750.0,152.41,-0.31,0.0,133.33,6.7,28.03,10.25,17-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Feb-2018 - 00:00,,26.08,1.84,11.29,9.7,73.25,28.32,64.69,0.56,288.93,76.93,750.0,139.52,-0.31,0.0,146.41,6.07,28.62,11.41,18-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Feb-2018 - 00:00,,26.88,1.98,40.5,30.62,83.69,44.84,56.65,0.78,315.81,74.15,750.0,152.26,-0.3,0.0,138.39,5.51,28.03,14.07,19-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Feb-2018 - 00:00,,27.81,2.18,29.98,46.71,93.95,58.69,53.52,0.32,242.1,71.71,750.0,151.01,-0.24,0.0,162.82,5.95,38.03,25.41,20-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Feb-2018 - 00:00,,27.57,2.03,76.01,31.39,96.31,49.02,58.74,0.32,175.67,68.53,750.0,154.1,-0.2,0.0,151.05,5.66,36.75,23.24,21-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
21-Feb-2018 - 00:00,,26.96,2.11,83.4,26.39,93.92,44.95,59.24,0.33,104.15,68.2,750.0,153.65,-0.14,0.0,169.65,5.67,34.87,24.69,22-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Feb-2018 - 00:00,,28.33,2.24,45.15,21.01,102.0,43.65,56.54,0.3,144.73,73.72,750.0,129.33,-0.26,0.0,204.64,5.79,37.15,24.63,23-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Feb-2018 - 00:00,,30.45,1.97,34.78,10.13,81.34,31.0,79.0,0.3,216.56,73.49,750.0,143.18,-0.26,0.0,171.06,5.46,35.79,23.3,24-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Feb-2018 - 00:00,,30.02,1.87,29.41,9.13,61.98,24.07,78.2,0.73,228.7,77.14,750.0,139.91,-0.29,0.0,144.72,5.15,26.54,12.92,25-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Feb-2018 - 00:00,,30.44,1.92,22.0,24.52,66.21,35.68,61.92,0.31,235.84,79.69,750.0,128.83,-0.22,0.0,123.35,4.59,23.7,14.35,26-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Feb-2018 - 00:00,,30.5,1.77,23.28,14.49,88.55,35.36,41.45,0.93,232.3,76.29,750.0,137.67,-0.26,0.0,157.97,5.15,29.15,13.97,27-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Feb-2018 - 00:00,,28.56,1.72,20.93,12.84,73.17,29.81,41.83,0.3,176.84,79.66,750.0,138.65,-0.27,0.0,117.24,4.83,33.18,18.69,28-Feb-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Feb-2018 - 00:00,,29.73,2.01,22.35,20.48,75.23,35.55,56.9,0.3,144.84,79.03,750.0,113.76,-0.28,0.0,147.67,5.19,32.48,19.34,01-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Mar-2018 - 00:00,,30.75,1.89,20.11,11.48,75.9,29.69,60.23,0.96,165.17,73.43,750.0,150.09,-0.23,0.0,134.96,4.82,28.07,12.73,02-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Mar-2018 - 00:00,,30.38,1.87,25.49,16.96,64.67,30.14,68.74,0.77,176.19,69.19,750.0,152.26,-0.29,0.0,159.87,4.72,24.96,13.43,03-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Mar-2018 - 00:00,,30.89,1.56,15.04,9.6,55.14,22.41,69.45,1.78,196.06,66.38,750.0,163.29,-0.29,0.0,80.88,3.88,17.17,5.96,04-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Mar-2018 - 00:00,,31.97,1.74,14.75,18.92,75.73,34.65,68.15,1.09,196.96,64.38,750.0,161.93,-0.26,0.0,81.91,3.88,18.67,10.82,05-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Mar-2018 - 00:00,,31.76,1.62,12.49,12.78,74.55,30.16,53.43,1.36,193.97,66.92,750.0,146.3,-0.31,0.0,105.46,4.49,27.43,12.45,06-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Mar-2018 - 00:00,,30.14,1.59,19.11,9.58,69.42,26.53,73.54,2.38,189.56,62.25,750.0,183.24,-0.32,0.0,63.93,3.73,17.54,6.52,07-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Mar-2018 - 00:00,,29.48,1.7,19.33,14.54,88.45,35.37,73.57,1.46,218.76,60.02,750.0,183.02,-0.32,0.0,67.16,3.87,20.35,9.37,08-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Mar-2018 - 00:00,,30.01,1.67,25.68,13.74,93.14,36.19,81.42,0.56,180.28,59.18,750.0,171.14,-0.28,0.0,108.04,4.39,28.06,13.78,09-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Mar-2018 - 00:00,,30.1,1.69,47.15,9.28,83.41,30.36,97.77,1.01,248.19,60.38,750.0,166.97,-0.3,0.0,103.09,4.23,22.35,8.84,10-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Mar-2018 - 00:00,,30.64,1.6,52.42,9.06,79.71,29.16,88.62,1.57,214.52,58.69,750.0,169.42,-0.32,0.0,84.94,3.92,21.27,8.24,11-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Mar-2018 - 00:00,,24.87,1.68,53.56,10.58,82.6,32.16,32.98,0.47,210.56,68.12,750.0,64.69,-0.26,0.0,99.39,3.99,17.52,6.86,12-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
12-Mar-2018 - 00:00,,33.68,1.98,38.01,50.53,104.04,65.05,71.74,0.91,179.41,55.12,750.0,196.15,-0.37,0.0,110.57,4.89,34.7,27.27,13-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
13-Mar-2018 - 00:00,,29.56,1.7,32.16,10.72,68.41,29.0,68.8,0.36,182.15,68.66,750.0,139.52,-0.29,0.0,104.34,4.38,27.83,15.23,14-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
14-Mar-2018 - 00:00,,30.3,1.84,32.27,3.37,82.27,25.91,73.89,0.39,225.65,70.83,750.0,132.15,-0.26,0.0,110.67,4.36,26.78,14.62,15-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
15-Mar-2018 - 00:00,,30.27,1.95,32.93,6.98,85.0,29.24,88.66,0.3,187.43,75.95,750.0,83.78,-0.25,0.0,147.36,4.61,27.76,17.38,16-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
16-Mar-2018 - 00:00,,31.37,1.77,28.05,4.33,86.69,27.89,66.92,1.69,184.1,60.5,750.0,154.27,-0.25,0.0,115.5,4.2,24.16,11.06,17-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
17-Mar-2018 - 00:00,,31.43,1.62,36.42,3.92,94.59,29.93,89.04,1.86,203.16,49.42,750.0,161.68,-0.3,0.0,66.62,3.62,18.79,8.46,18-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
18-Mar-2018 - 00:00,,29.53,1.85,33.68,11.8,114.3,41.0,82.0,1.22,179.53,50.32,750.0,168.1,-0.32,0.0,85.88,3.84,18.81,11.09,19-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
19-Mar-2018 - 00:00,,30.89,1.87,41.51,16.58,129.5,48.57,37.13,0.52,167.33,49.92,750.0,157.48,-0.3,0.0,116.25,4.38,30.86,21.09,20-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
20-Mar-2018 - 00:00,,31.35,2.04,33.39,19.53,140.4,53.62,42.49,0.73,166.41,49.99,750.0,153.11,-0.28,0.0,123.38,4.27,29.17,20.08,21-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
