from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
25-Jan-2018 - 00:00,2.48,3.26,5.78,1.42,764.7,123.11,72.15,0.0,37.79,216.65,15.72,239.07,2.37,0.0,33.55,31.47,5.22,35.28,46.63,8.55,26-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Jan-2018 - 00:00,3.58,2.82,6.34,1.83,761.98,116.93,69.61,0.0,39.22,223.3,16.66,252.86,2.49,0.0,33.09,34.82,4.81,39.38,42.77,10.55,27-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Jan-2018 - 00:00,4.0,3.4,6.3,2.29,759.06,139.6,65.64,0.0,38.63,228.87,17.08,237.23,2.44,0.0,22.68,15.22,6.37,20.87,29.17,8.37,28-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Jan-2018 - 00:00,3.66,2.84,5.9,1.92,758.49,128.75,55.2,0.0,41.15,228.01,17.94,234.26,2.34,0.0,16.97,7.51,4.92,10.69,43.48,10.63,29-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-Jan-2018 - 00:00,4.22,3.51,6.22,3.14,759.03,137.07,71.94,0.0,42.6,224.92,18.72,238.38,2.21,0.0,6.88,5.74,2.14,6.16,35.87,9.5,30-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
30-Jan-2018 - 00:00,2.0,3.14,4.73,3.03,759.11,120.89,73.72,0.0,36.89,221.07,20.16,261.35,2.34,0.0,18.55,13.63,7.2,19.7,27.06,6.79,31-Jan-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
31-Jan-2018 - 00:00,2.38,3.69,3.84,3.12,757.93,145.66,59.77,0.0,34.95,226.15,20.83,277.99,2.34,0.99,20.6,16.65,5.8,21.52,21.75,10.66,01-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Feb-2018 - 00:00,3.24,3.81,3.15,4.03,757.42,111.64,45.45,0.0,36.59,230.95,21.09,275.75,2.59,1.43,58.64,12.09,20.83,30.85,26.69,17.1,02-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Feb-2018 - 00:00,3.16,3.39,2.5,5.11,757.94,104.66,55.48,0.0,40.35,242.06,20.44,263.26,2.64,1.09,51.65,16.13,48.7,61.78,35.78,15.81,03-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Feb-2018 - 00:00,1.81,2.67,2.96,2.58,758.49,151.79,42.9,0.0,32.28,294.63,16.28,251.42,2.05,0.91,25.46,12.26,22.5,20.13,46.09,17.59,04-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Feb-2018 - 00:00,4.8,4.07,5.97,3.56,758.55,130.59,55.53,0.0,35.35,237.88,19.07,223.44,2.14,1.38,0.52,13.66,0.24,12.78,49.66,23.11,05-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Feb-2018 - 00:00,4.53,3.62,5.15,3.17,758.54,120.35,58.43,0.0,45.1,201.48,18.85,230.65,2.07,1.32,7.17,14.02,5.26,17.1,35.55,21.28,06-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Feb-2018 - 00:00,3.68,3.8,5.58,4.98,757.04,152.63,61.24,0.0,44.85,189.78,19.66,197.35,1.94,1.47,,,,0.0,32.97,21.81,07-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Feb-2018 - 00:00,4.22,4.3,4.56,5.23,756.2,161.79,64.93,0.0,39.99,261.88,20.25,192.92,2.0,1.45,,,,0.0,25.22,20.61,08-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Feb-2018 - 00:00,1.93,2.79,3.01,2.97,757.95,108.87,23.04,0.0,18.61,287.23,21.5,272.53,2.15,0.77,43.44,39.42,17.13,3.33,43.49,9.55,09-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Feb-2018 - 00:00,3.96,9.86,8.08,7.58,757.86,144.6,57.4,0.0,22.27,269.61,21.38,184.37,1.92,2.34,,,,,36.02,16.48,10-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Feb-2018 - 00:00,4.6,7.8,9.17,6.21,757.77,145.79,55.96,0.0,31.16,257.87,20.35,200.41,2.83,1.31,,,,,29.25,12.91,11-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Feb-2018 - 00:00,3.04,3.57,5.3,4.99,758.16,106.62,31.45,0.0,38.63,234.38,21.1,244.06,2.67,0.77,,,,0.0,43.47,12.36,12-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Feb-2018 - 00:00,2.6,7.86,5.7,7.54,758.3,98.56,55.35,0.0,44.15,157.76,18.4,248.34,2.28,0.93,,,,,33.84,9.74,13-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Feb-2018 - 00:00,1.86,3.44,3.8,3.21,757.67,158.97,36.74,0.0,34.31,188.45,20.76,171.12,1.7,0.94,29.95,15.56,12.18,12.61,31.01,11.31,14-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Feb-2018 - 00:00,1.89,6.86,5.99,5.87,758.14,109.31,59.69,0.0,41.82,185.48,17.8,234.93,2.42,1.26,29.96,15.27,15.61,30.88,29.05,14.08,15-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Feb-2018 - 00:00,3.08,5.93,6.69,6.18,759.17,121.1,68.2,0.0,38.07,220.53,20.21,239.8,2.26,1.69,43.16,20.7,15.32,32.6,21.84,23.52,16-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Feb-2018 - 00:00,4.27,7.14,8.08,6.92,759.6,82.64,47.89,0.0,37.22,172.18,22.02,265.72,2.26,0.85,44.9,24.85,18.52,43.35,43.53,10.4,17-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Feb-2018 - 00:00,4.25,5.86,9.42,5.62,761.38,156.45,175.46,0.0,27.88,203.22,24.95,169.58,1.93,2.06,25.79,21.57,28.25,49.75,3.79,11.38,21-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Feb-2018 - 00:00,4.39,3.47,6.59,4.41,758.96,125.21,77.06,0.0,31.83,338.53,25.43,261.14,2.13,1.47,27.87,20.24,32.19,52.42,49.6,8.26,22-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Feb-2018 - 00:00,5.5,4.56,12.66,6.59,757.0,114.29,60.29,0.0,24.18,399.79,27.77,221.56,2.06,0.99,18.18,20.61,28.34,48.95,42.52,7.94,23-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Feb-2018 - 00:00,2.34,7.57,5.2,3.96,757.29,158.93,104.1,0.0,30.13,294.59,25.56,259.88,2.49,1.54,32.01,19.08,26.26,45.33,23.48,10.92,24-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Feb-2018 - 00:00,2.91,2.77,7.32,4.16,756.94,102.58,47.71,0.0,24.8,218.69,26.71,298.4,2.36,0.83,24.25,19.77,22.44,28.14,21.97,2.99,25-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-Feb-2018 - 00:00,3.78,2.74,7.1,3.91,756.79,135.1,77.47,0.0,35.39,231.29,23.57,220.98,2.18,0.77,26.25,24.36,26.3,50.67,23.21,15.12,26-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Feb-2018 - 00:00,3.38,2.68,6.7,3.53,756.69,146.67,91.71,0.0,35.74,187.28,22.55,269.92,2.41,1.42,,,,,20.65,8.24,27-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Feb-2018 - 00:00,2.72,3.71,4.98,2.6,758.57,231.98,174.3,0.0,30.38,80.57,25.93,,,1.63,,,,,14.57,12.95,28-Feb-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Feb-2018 - 00:00,3.3,2.4,6.27,3.4,724.65,77.01,51.69,0.0,36.78,154.43,24.91,283.51,2.62,1.19,,,,,31.86,4.58,01-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Mar-2018 - 00:00,,,,,,111.14,75.75,,,,,,,1.33,0.55,,0.56,,,,02-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Mar-2018 - 00:00,,,,,,107.7,,,,,,,,1.06,,,,,,5.95,03-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Mar-2018 - 00:00,,,,,,,73.88,,,,,,,0.93,,,,,,5.91,04-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Mar-2018 - 00:00,,,,,,108.17,70.73,,,,,,,0.84,,,,,,,05-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Mar-2018 - 00:00,,,,,,86.85,,,,,,,,0.82,,,,,,6.91,06-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Mar-2018 - 00:00,,,,,,,53.01,,,,,,,1.23,0.43,,0.49,,,20.93,07-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Mar-2018 - 00:00,,,,,,100.76,52.0,,,,,,,1.45,,,,,,7.76,08-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Mar-2018 - 00:00,,,,,,118.23,60.66,,,,,,,,,,,,,8.73,09-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Mar-2018 - 00:00,,,,,,95.83,43.72,,,,,,,0.9,,,,,,7.28,11-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Mar-2018 - 00:00,,,,,,,0.0,,,,,,,0.0,,,,,,,12-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Mar-2018 - 00:00,,,,,,157.65,14.49,,,,,,,0.15,,,,,,5.48,13-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Mar-2018 - 00:00,,,,,,170.58,75.14,,,,,,,0.96,63.49,,24.79,,,5.79,14-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Mar-2018 - 00:00,,,,,,200.56,79.39,,,,,,,0.97,44.27,,22.3,,,6.48,15-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Mar-2018 - 00:00,,,,,,209.53,84.84,,,,,,,0.89,44.7,,27.1,,,5.02,16-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Mar-2018 - 00:00,,,,,,168.62,96.64,,,,,,,1.08,41.22,,19.85,,,4.48,17-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Mar-2018 - 00:00,,,,,,147.1,91.34,,,,,,,1.96,41.49,,20.13,,,7.33,18-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Mar-2018 - 00:00,,,,,,178.56,102.38,,,,,,,1.19,38.3,,22.36,,,8.51,19-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Mar-2018 - 00:00,,,,,,163.68,90.59,,,,,,,1.28,31.24,,19.8,,,12.83,20-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Mar-2018 - 00:00,,,,,,127.42,68.76,,,,,,,0.95,26.05,,16.16,,,6.66,21-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Mar-2018 - 00:00,,,,,,163.77,87.32,,,,,,,0.96,22.86,,21.48,,,6.55,22-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Mar-2018 - 00:00,,,,,,111.02,47.4,,,,,,,0.85,21.26,,13.21,,,6.18,23-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
