from date,CH4,PM10,CO,NO,NO2,NOx,Ozone,SO2,to date,station
01-Jan-2018 - 00:00,,194.08,,6.72,29.11,40.51,13.73,16.97,02-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
02-Jan-2018 - 00:00,,165.53,,5.85,23.68,30.05,15.18,18.69,03-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
03-Jan-2018 - 00:00,,187.68,,7.07,26.97,36.81,15.05,19.48,04-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
04-Jan-2018 - 00:00,,175.58,,5.44,27.99,33.93,17.53,18.08,05-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
05-Jan-2018 - 00:00,,201.6,,9.13,33.11,42.73,13.74,18.19,06-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
06-Jan-2018 - 00:00,,191.97,,10.82,34.89,46.21,13.96,19.08,07-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
07-Jan-2018 - 00:00,,187.18,,10.47,39.02,49.98,14.83,20.82,08-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
08-Jan-2018 - 00:00,,190.02,1.01,6.0,29.35,38.2,18.52,18.75,09-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
09-Jan-2018 - 00:00,,237.36,0.69,5.6,32.9,38.97,18.22,18.43,10-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
10-Jan-2018 - 00:00,,212.5,0.78,8.72,39.8,50.05,17.47,17.96,11-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
11-Jan-2018 - 00:00,,248.87,0.9,6.4,41.87,48.78,18.15,10.12,12-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
12-Jan-2018 - 00:00,,255.83,0.9,7.23,37.85,45.55,18.38,16.74,13-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
13-Jan-2018 - 00:00,,274.85,1.08,7.52,41.29,49.31,16.92,15.09,14-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
14-Jan-2018 - 00:00,,250.24,0.87,5.71,29.48,35.67,15.23,8.29,15-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
15-Jan-2018 - 00:00,,197.45,0.83,8.99,35.18,47.66,14.89,13.4,16-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
16-Jan-2018 - 00:00,,213.96,0.89,11.0,41.32,52.83,17.03,16.58,17-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
17-Jan-2018 - 00:00,,217.27,0.87,6.77,39.55,48.84,16.65,18.27,18-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
18-Jan-2018 - 00:00,,183.89,0.75,3.74,16.41,42.56,16.8,14.61,19-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
19-Jan-2018 - 00:00,,204.88,0.91,13.15,40.2,53.87,16.9,19.59,20-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
20-Jan-2018 - 00:00,,194.16,0.82,13.21,43.07,60.52,18.09,18.91,21-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
21-Jan-2018 - 00:00,,210.08,0.86,10.12,36.02,49.71,18.46,15.95,22-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
22-Jan-2018 - 00:00,,201.48,0.86,0.0,0.0,,15.84,15.31,23-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
23-Jan-2018 - 00:00,,211.77,0.75,8.77,42.85,58.13,19.6,24.65,24-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
24-Jan-2018 - 00:00,,137.14,0.55,12.09,31.09,43.71,19.46,21.63,25-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
25-Jan-2018 - 00:00,,142.5,0.6,8.67,27.59,37.57,15.45,14.09,26-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
26-Jan-2018 - 00:00,,196.62,0.68,10.78,47.96,59.22,15.58,21.2,27-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
27-Jan-2018 - 00:00,,176.41,0.59,9.14,37.98,47.62,16.49,15.79,28-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
28-Jan-2018 - 00:00,,176.26,0.62,8.69,35.17,44.37,17.23,18.97,29-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
29-Jan-2018 - 00:00,,133.15,0.6,10.57,28.09,40.82,19.66,17.69,30-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
30-Jan-2018 - 00:00,,115.73,0.53,6.32,26.3,33.12,23.68,20.66,31-Jan-2018 - 00:00,"Haldia, Haldia - WBPCB"
31-Jan-2018 - 00:00,,158.74,0.47,7.22,38.6,47.3,20.24,31.63,01-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
01-Feb-2018 - 00:00,,230.4,0.76,8.75,44.96,54.22,17.8,18.0,02-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
02-Feb-2018 - 00:00,,207.13,0.64,12.1,38.78,52.46,19.43,21.6,03-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
03-Feb-2018 - 00:00,,164.86,0.6,9.36,35.37,45.24,19.78,26.58,04-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
04-Feb-2018 - 00:00,,,,,,,,,05-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
05-Feb-2018 - 00:00,,125.87,0.38,4.52,27.77,36.0,21.11,36.07,06-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
06-Feb-2018 - 00:00,,261.64,0.5,5.87,30.42,36.78,19.39,19.24,07-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
07-Feb-2018 - 00:00,,139.56,0.41,5.21,30.0,36.48,22.84,30.43,08-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
08-Feb-2018 - 00:00,,174.87,0.47,4.93,35.09,40.52,21.78,31.01,09-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
09-Feb-2018 - 00:00,,104.32,0.35,5.87,24.0,31.01,17.4,18.89,10-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
10-Feb-2018 - 00:00,,138.06,0.53,5.88,27.21,33.56,19.73,25.57,11-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
11-Feb-2018 - 00:00,,170.16,0.55,7.34,35.57,43.43,20.0,17.98,12-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
12-Feb-2018 - 00:00,,164.29,0.51,4.08,28.73,34.75,26.12,23.9,13-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
13-Feb-2018 - 00:00,,165.55,0.5,4.09,30.41,35.01,22.65,24.03,14-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
14-Feb-2018 - 00:00,,108.0,0.41,4.64,33.69,40.8,17.68,22.53,15-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
15-Feb-2018 - 00:00,,143.82,0.52,5.58,29.15,35.22,20.87,18.36,16-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
16-Feb-2018 - 00:00,,166.84,0.62,6.41,39.83,46.74,20.4,20.17,17-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
17-Feb-2018 - 00:00,,184.75,0.62,6.87,34.88,44.04,20.46,18.7,18-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
18-Feb-2018 - 00:00,,160.08,0.41,6.15,29.09,35.74,24.61,28.43,19-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
19-Feb-2018 - 00:00,,110.78,0.37,3.36,18.33,34.07,18.61,20.54,20-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
20-Feb-2018 - 00:00,,94.3,0.36,0.85,1.36,11.52,19.51,19.26,21-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
21-Feb-2018 - 00:00,,121.81,0.33,4.3,18.32,23.1,20.67,25.93,22-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
