from date,Ozone,NO,NO2,NOx,SO2,Benzene,Xylene,Toluene,WS,RH,WD,SR,PM2.5,PM10,Temp,RF,AP,CO,to date,station
16-Oct-2018 - 00:00,6.98,8.73,10.13,18.51,27.23,0.99,,0.42,0.28,,118.9,,60.39,117.11,34.37,0.07,22.76,1.35,17-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
17-Oct-2018 - 00:00,6.89,8.61,9.99,18.25,26.86,0.31,,0.09,0.28,,112.5,,52.62,94.58,42.5,0.03,36.3,1.17,18-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
18-Oct-2018 - 00:00,6.79,8.49,9.85,18.0,26.49,0.3,,0.05,0.28,,61.58,0.25,48.62,71.65,41.66,0.02,35.21,1.12,19-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
19-Oct-2018 - 00:00,7.0,8.76,10.16,18.56,27.32,0.47,,0.14,0.28,,95.12,0.25,48.81,75.21,39.1,0.04,38.08,1.21,20-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
20-Oct-2018 - 00:00,6.93,8.66,10.04,18.36,27.02,0.76,,0.31,0.28,,92.26,,55.26,95.79,37.25,0.07,36.29,1.36,21-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
21-Oct-2018 - 00:00,6.92,8.65,10.03,18.33,26.97,0.29,,0.08,0.28,,175.17,,55.21,87.68,35.98,0.03,36.42,1.22,22-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
22-Oct-2018 - 00:00,6.92,8.65,10.03,18.33,26.98,0.43,,0.11,0.28,,151.15,,58.4,104.62,36.05,0.04,36.42,1.25,23-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
23-Oct-2018 - 00:00,6.92,8.66,10.04,18.35,26.99,0.5,,0.15,0.28,,148.28,,57.11,104.57,30.55,0.05,35.76,1.26,24-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
24-Oct-2018 - 00:00,7.2,9.0,10.44,18.83,28.06,0.99,,0.44,0.28,,105.56,,58.5,123.45,29.97,0.1,36.37,1.39,25-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
25-Oct-2018 - 00:00,7.18,8.97,10.41,18.98,27.99,0.42,,0.13,0.28,,90.84,,52.53,96.42,42.48,0.04,36.42,1.18,26-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
26-Oct-2018 - 00:00,6.99,8.73,10.13,18.51,27.24,1.11,,0.51,0.28,,87.63,,63.98,127.99,36.47,0.09,36.3,1.41,27-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
27-Oct-2018 - 00:00,7.0,8.75,10.16,18.56,27.31,1.03,,0.45,0.28,,107.1,,62.38,126.02,32.44,0.1,36.19,1.42,28-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
28-Oct-2018 - 00:00,9.19,11.49,13.33,21.54,35.83,0.69,,0.33,0.28,,36.29,,54.48,94.47,51.2,0.07,35.43,1.3,29-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
29-Oct-2018 - 00:00,7.42,9.27,10.75,19.65,28.92,1.01,,0.47,0.28,,88.36,,57.35,122.31,32.26,0.1,36.06,1.36,30-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
30-Oct-2018 - 00:00,7.17,8.97,10.4,19.01,27.98,1.16,,0.52,0.28,,81.42,,60.55,120.54,33.36,0.1,35.95,1.42,31-Oct-2018 - 00:00,"Karve Road, Pune - MPCB"
31-Oct-2018 - 00:00,7.18,8.98,10.42,19.02,28.02,1.76,,0.9,0.28,,73.03,,78.99,159.51,41.15,0.18,36.02,1.66,01-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
01-Nov-2018 - 00:00,7.16,16.03,44.51,56.03,55.15,1.43,41.33,0.66,0.28,,90.72,,64.53,126.02,33.86,0.12,36.12,1.5,02-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
02-Nov-2018 - 00:00,7.18,16.95,36.54,59.43,63.28,1.3,,0.61,0.28,,99.1,,58.38,113.26,40.25,0.13,36.13,1.46,03-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
03-Nov-2018 - 00:00,7.36,21.17,19.16,36.09,64.09,0.6,,0.19,0.28,,116.72,,43.44,77.89,43.35,0.05,36.32,1.26,04-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
04-Nov-2018 - 00:00,7.07,33.66,25.25,44.64,78.3,0.31,,0.08,0.28,,118.09,0.25,32.69,47.47,44.91,0.03,36.24,1.16,05-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
05-Nov-2018 - 00:00,7.02,39.88,29.91,47.55,87.43,0.51,,0.15,0.28,,75.13,,35.09,54.08,49.01,0.04,33.68,1.22,06-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
06-Nov-2018 - 00:00,7.01,38.0,28.5,51.18,89.18,0.56,,0.19,0.28,,64.51,0.25,43.48,65.96,43.59,0.04,37.89,1.2,07-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
07-Nov-2018 - 00:00,6.99,44.76,33.57,59.03,103.79,0.55,,0.18,0.28,,64.26,,146.27,125.11,35.46,0.05,36.25,1.23,08-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
08-Nov-2018 - 00:00,7.08,48.9,36.68,48.34,96.6,0.5,,0.16,0.28,,67.98,,82.72,127.02,34.71,0.05,36.3,1.22,09-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
09-Nov-2018 - 00:00,7.08,45.89,34.42,50.66,96.55,0.4,,0.15,0.28,,72.44,,65.29,93.59,35.5,0.04,36.42,1.2,10-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
10-Nov-2018 - 00:00,7.09,47.23,35.42,50.18,90.81,0.56,,0.21,0.28,,73.4,,65.62,103.21,35.2,0.06,36.27,1.28,11-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
11-Nov-2018 - 00:00,7.08,49.55,37.16,37.8,87.34,0.48,,0.17,0.28,,64.17,,58.39,85.98,32.64,0.05,36.1,1.24,12-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
12-Nov-2018 - 00:00,7.15,58.56,43.92,68.37,96.3,1.3,,0.56,0.28,,63.97,,64.97,103.72,33.65,0.1,36.08,1.45,13-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
13-Nov-2018 - 00:00,7.0,66.61,49.95,41.29,101.92,0.71,,0.26,0.28,,61.59,,61.47,103.32,30.53,0.07,36.01,1.31,14-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
14-Nov-2018 - 00:00,6.96,65.1,48.82,63.34,107.07,1.02,,0.45,0.28,,62.66,,70.57,118.9,32.75,0.1,36.09,1.46,15-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
15-Nov-2018 - 00:00,7.08,51.43,35.05,77.16,103.24,1.76,,0.99,0.28,,63.78,,71.97,128.86,34.51,0.19,36.01,1.75,16-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
16-Nov-2018 - 00:00,7.12,47.4,28.44,78.99,125.67,1.5,,0.73,0.28,,68.16,,64.69,118.33,33.41,0.14,36.03,1.58,17-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
17-Nov-2018 - 00:00,7.12,49.18,29.51,81.96,130.15,1.51,,0.81,0.28,,60.43,,63.32,114.51,39.76,0.15,36.02,1.59,18-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
18-Nov-2018 - 00:00,7.0,38.09,22.85,63.48,101.57,0.65,,0.21,0.28,,73.28,,59.09,92.72,39.55,0.05,36.14,1.32,19-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
19-Nov-2018 - 00:00,7.3,30.34,18.2,50.56,80.9,0.67,,0.22,0.28,,105.81,,61.41,94.64,44.29,0.05,36.2,1.31,20-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
20-Nov-2018 - 00:00,7.06,24.74,14.85,41.23,65.98,0.96,,0.4,0.28,,112.49,,62.64,69.3,51.64,0.08,36.18,1.36,21-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
21-Nov-2018 - 00:00,6.94,31.68,19.01,52.81,84.5,0.92,,0.35,0.28,,115.09,,61.72,94.32,47.26,0.07,36.26,1.41,22-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
22-Nov-2018 - 00:00,6.8,33.53,20.12,55.88,89.41,1.81,,0.92,0.28,,105.39,,86.67,102.88,41.31,0.19,36.31,1.71,23-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
23-Nov-2018 - 00:00,6.82,40.97,24.58,68.29,109.27,1.95,,0.99,0.28,,78.45,,97.43,154.7,42.31,0.19,36.13,1.8,24-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
24-Nov-2018 - 00:00,6.89,42.01,25.21,70.02,111.66,2.89,,1.2,0.28,,82.37,,107.44,173.57,38.81,0.19,36.07,1.9,25-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
25-Nov-2018 - 00:00,6.87,34.92,20.95,58.2,93.12,1.4,,0.68,0.28,,89.47,,84.4,131.45,39.96,0.12,35.91,1.55,26-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
26-Nov-2018 - 00:00,7.51,40.92,24.55,68.2,109.03,2.1,,1.08,0.28,,124.63,,96.34,156.64,35.47,0.21,35.94,1.81,27-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
27-Nov-2018 - 00:00,10.01,41.48,24.89,69.14,110.45,1.77,,0.93,0.28,,104.47,,97.02,160.18,36.53,0.19,35.9,1.77,28-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
28-Nov-2018 - 00:00,10.13,42.29,21.37,63.5,105.59,1.63,,0.82,0.28,,99.9,,88.15,134.04,38.01,0.17,35.81,1.8,29-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
29-Nov-2018 - 00:00,10.02,50.85,22.88,73.74,123.9,2.33,,1.26,0.28,,99.12,,96.02,152.19,38.26,0.25,35.85,2.26,30-Nov-2018 - 00:00,"Karve Road, Pune - MPCB"
30-Nov-2018 - 00:00,10.19,56.89,25.6,82.48,131.62,1.83,,1.0,0.28,,123.11,,97.93,152.95,35.51,0.2,35.87,2.11,01-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
01-Dec-2018 - 00:00,10.0,45.89,20.65,66.54,112.43,2.19,,1.14,0.28,,108.07,,99.19,155.96,38.43,0.24,35.87,2.17,02-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
02-Dec-2018 - 00:00,9.99,45.9,20.65,66.55,112.16,2.53,,0.95,0.28,,136.02,,111.07,167.0,38.72,0.17,35.83,2.12,03-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
03-Dec-2018 - 00:00,10.08,48.36,21.76,70.13,118.13,1.93,,0.95,0.28,,176.18,,105.61,158.67,41.32,0.17,35.73,2.09,04-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
04-Dec-2018 - 00:00,10.13,40.47,18.21,58.68,99.15,2.49,,1.23,0.28,,173.62,,104.16,162.0,41.74,0.23,35.9,2.26,05-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
05-Dec-2018 - 00:00,10.09,38.95,17.53,56.48,94.74,1.54,,0.73,0.28,,151.02,,86.99,138.73,40.12,0.13,36.05,1.96,06-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
06-Dec-2018 - 00:00,8.71,34.32,15.45,69.96,86.03,0.9,,0.36,0.28,,110.61,,54.93,97.3,41.48,0.07,36.03,1.93,07-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
07-Dec-2018 - 00:00,6.95,32.94,14.82,96.72,109.04,1.46,,0.64,0.28,,148.44,,74.55,128.81,38.08,0.12,36.09,2.35,08-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
08-Dec-2018 - 00:00,6.95,27.53,12.39,57.49,85.03,0.79,,0.29,0.28,,109.62,,58.37,92.0,43.25,0.07,35.98,2.08,09-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
09-Dec-2018 - 00:00,6.94,25.32,11.39,39.25,64.57,0.44,,0.15,0.28,,117.57,,41.87,64.34,36.98,0.04,35.98,1.88,10-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
10-Dec-2018 - 00:00,6.99,32.64,14.69,50.59,83.13,0.61,,0.25,0.28,,137.39,,48.7,87.47,31.66,0.06,35.79,1.98,11-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
11-Dec-2018 - 00:00,6.93,46.89,21.1,72.68,116.52,1.72,,0.88,0.28,,116.46,,74.02,138.27,34.98,0.18,35.79,2.53,12-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
12-Dec-2018 - 00:00,6.92,38.3,17.24,59.37,97.67,0.87,,0.41,0.28,,104.98,,52.77,83.86,33.63,0.08,35.83,2.13,13-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
13-Dec-2018 - 00:00,6.9,32.27,14.52,49.84,82.28,1.57,,0.82,0.28,,120.1,,62.43,113.49,35.7,0.16,35.82,2.43,14-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
14-Dec-2018 - 00:00,6.98,36.49,16.42,56.56,93.04,1.31,,0.61,0.28,,96.2,,84.34,147.35,47.1,0.11,35.84,2.44,15-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
15-Dec-2018 - 00:00,7.73,41.13,18.51,63.76,104.9,0.96,,0.41,0.28,,125.09,,89.18,146.83,43.71,0.1,35.9,2.23,16-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
16-Dec-2018 - 00:00,11.42,35.7,16.06,55.31,91.01,1.14,,0.55,0.28,,88.91,,103.71,160.86,44.98,0.12,35.74,2.36,17-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
17-Dec-2018 - 00:00,11.48,43.68,19.66,67.71,111.19,1.95,,1.02,0.28,,106.32,,102.15,176.89,37.82,0.21,35.54,2.78,18-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
18-Dec-2018 - 00:00,11.62,37.29,16.78,57.8,95.1,1.63,,0.83,0.28,,90.51,,86.02,154.73,47.57,0.16,35.56,2.54,19-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
19-Dec-2018 - 00:00,11.48,37.96,17.08,58.81,96.75,2.41,,1.35,0.28,,82.45,,86.93,147.87,42.87,0.28,35.48,3.03,20-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
20-Dec-2018 - 00:00,11.42,30.94,13.92,47.96,78.88,2.21,,1.17,0.28,,99.79,,83.12,139.05,41.49,0.23,35.55,2.93,21-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
21-Dec-2018 - 00:00,11.43,31.48,14.16,48.79,80.25,2.52,,1.37,0.28,,95.71,,85.26,148.05,41.43,0.25,35.66,3.15,22-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
22-Dec-2018 - 00:00,11.54,27.29,12.28,42.3,69.59,2.13,,1.1,0.28,,89.84,,78.94,139.35,41.26,0.22,35.8,2.81,23-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
23-Dec-2018 - 00:00,11.43,19.75,8.89,30.57,50.38,1.5,,0.74,0.28,,124.78,,84.31,133.7,39.01,0.16,35.86,2.59,24-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
24-Dec-2018 - 00:00,11.65,24.33,10.95,37.71,62.05,1.21,,0.5,0.28,,87.38,,80.44,129.82,37.42,0.11,36.02,2.37,25-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
25-Dec-2018 - 00:00,11.4,20.79,9.36,32.23,53.02,0.73,,0.3,0.28,,122.5,,69.06,105.94,41.34,0.07,36.05,2.17,26-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
26-Dec-2018 - 00:00,11.52,20.95,9.43,32.48,53.23,0.5,,0.17,0.28,,104.81,,63.18,100.2,36.54,0.06,35.91,1.56,27-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
27-Dec-2018 - 00:00,11.45,31.21,14.04,48.37,75.55,1.01,,0.5,0.28,,153.23,,77.74,135.29,32.21,0.11,35.62,0.78,28-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
28-Dec-2018 - 00:00,11.12,33.94,15.27,52.6,86.54,1.28,,0.64,0.28,,71.38,,111.4,176.82,51.02,0.14,34.87,0.55,29-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
29-Dec-2018 - 00:00,,,,,,,,,,,,,,,,,,,30-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
30-Dec-2018 - 00:00,,,,,,,,,,,,,,,,,,,31-Dec-2018 - 00:00,"Karve Road, Pune - MPCB"
31-Dec-2018 - 00:00,11.63,22.08,9.94,34.23,56.31,3.59,,2.14,0.28,,,,157.0,247.0,58.31,0.41,34.95,1.71,01-Jan-2019 - 00:00,"Karve Road, Pune - MPCB"
