from date,Ozone,NO,NO2,NOx,SO2,Benzene,Xylene,Toluene,WS,RH,WD,SR,PM2.5,PM10,Temp,RF,AP,CO,to date,station
18-Jul-2018 - 00:00,7.54,9.43,10.94,19.99,29.41,0.24,,0.09,0.28,,57.28,0.25,21.29,28.36,59.49,0.02,36.5,1.13,19-Jul-2018 - 00:00,"Karve Road, Pune - MPCB"
19-Jul-2018 - 00:00,7.51,9.39,10.89,19.9,29.29,0.25,,0.09,0.28,,73.37,0.25,23.24,35.15,58.4,0.02,36.62,1.15,20-Jul-2018 - 00:00,"Karve Road, Pune - MPCB"
20-Jul-2018 - 00:00,7.4,9.25,10.73,19.6,28.85,0.24,,0.08,0.28,,57.6,0.25,20.33,29.15,59.53,0.02,36.48,1.1,21-Jul-2018 - 00:00,"Karve Road, Pune - MPCB"
21-Jul-2018 - 00:00,7.39,9.24,10.71,19.58,28.82,0.26,,0.08,0.28,,55.04,0.25,26.47,39.61,59.35,0.02,36.43,1.08,22-Jul-2018 - 00:00,"Karve Road, Pune - MPCB"
22-Jul-2018 - 00:00,7.52,9.4,10.9,19.92,29.2,0.16,,0.06,0.28,,43.76,0.25,23.3,33.0,,0.01,36.26,1.06,23-Jul-2018 - 00:00,"Karve Road, Pune - MPCB"
23-Jul-2018 - 00:00,7.74,9.67,11.22,20.51,30.07,0.24,,0.07,0.28,,40.15,,24.9,42.83,,0.02,36.35,1.11,24-Jul-2018 - 00:00,"Karve Road, Pune - MPCB"
24-Jul-2018 - 00:00,7.63,9.54,11.06,20.22,29.76,0.22,,0.07,0.28,,62.06,,21.34,38.93,59.39,0.02,36.48,1.1,25-Jul-2018 - 00:00,"Karve Road, Pune - MPCB"
25-Jul-2018 - 00:00,7.33,9.16,10.62,19.41,28.57,0.15,,0.05,0.28,,79.79,0.25,26.21,63.93,58.36,0.01,36.67,1.05,26-Jul-2018 - 00:00,"Karve Road, Pune - MPCB"
26-Jul-2018 - 00:00,7.32,9.15,10.61,19.4,28.55,0.18,,0.06,0.28,,55.88,,25.28,58.9,58.71,0.01,36.51,1.07,27-Jul-2018 - 00:00,"Karve Road, Pune - MPCB"
27-Jul-2018 - 00:00,7.37,9.21,10.69,19.53,28.75,0.22,,0.07,0.28,,45.79,,25.89,63.72,59.19,0.02,36.63,1.11,28-Jul-2018 - 00:00,"Karve Road, Pune - MPCB"
28-Jul-2018 - 00:00,7.42,9.28,10.76,19.67,28.95,0.16,,0.05,0.28,,87.56,,26.25,63.58,55.96,0.01,36.89,1.1,29-Jul-2018 - 00:00,"Karve Road, Pune - MPCB"
29-Jul-2018 - 00:00,7.34,9.17,10.64,19.44,28.61,0.1,,0.04,0.28,,88.37,,29.12,69.12,53.83,0.01,36.78,1.07,30-Jul-2018 - 00:00,"Karve Road, Pune - MPCB"
30-Jul-2018 - 00:00,7.41,9.26,10.74,19.63,28.88,0.16,,0.05,0.28,,78.88,,26.14,62.81,55.4,0.01,36.75,1.11,31-Jul-2018 - 00:00,"Karve Road, Pune - MPCB"
31-Jul-2018 - 00:00,7.82,9.77,11.34,20.72,30.49,0.16,,0.05,0.28,,84.8,,32.43,83.1,53.88,0.01,31.22,1.09,01-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
01-Aug-2018 - 00:00,7.19,8.98,10.42,19.04,28.01,0.15,,0.05,0.28,,91.26,0.25,35.79,86.25,54.3,0.01,31.75,1.07,02-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
02-Aug-2018 - 00:00,7.16,8.95,10.38,18.87,27.93,0.18,,0.06,0.28,,72.35,0.25,33.22,64.33,59.11,0.01,31.64,1.08,03-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
03-Aug-2018 - 00:00,7.22,9.02,10.47,19.13,28.15,0.16,,0.05,0.28,,82.6,,23.83,38.26,56.6,0.01,29.01,1.05,04-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
04-Aug-2018 - 00:00,7.32,9.16,10.62,19.19,28.57,0.16,,0.05,0.28,,72.22,0.25,21.99,37.08,56.89,0.01,36.07,1.07,05-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
05-Aug-2018 - 00:00,7.13,8.92,10.34,18.9,27.82,0.12,,0.04,0.28,,85.39,0.25,25.8,52.63,53.52,0.01,36.19,1.01,06-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
06-Aug-2018 - 00:00,7.19,8.99,10.43,19.06,28.06,0.13,,0.05,0.28,,84.29,0.25,24.58,48.51,56.35,0.01,36.45,1.04,07-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
07-Aug-2018 - 00:00,7.28,9.1,10.56,19.3,28.4,0.17,,0.06,0.28,,95.19,,22.55,47.46,56.27,0.02,36.53,1.08,08-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
08-Aug-2018 - 00:00,7.21,9.01,10.46,19.11,28.12,0.2,,0.07,0.28,,83.62,0.25,24.21,46.72,57.76,0.03,36.47,1.09,09-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
09-Aug-2018 - 00:00,7.0,8.75,10.15,18.55,27.31,0.09,,0.03,0.28,,87.61,0.25,20.87,30.54,57.57,0.03,35.96,1.02,10-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
10-Aug-2018 - 00:00,7.04,8.79,10.2,18.58,27.44,0.21,,0.07,0.28,,79.14,0.25,26.02,38.0,55.06,0.01,34.45,1.08,11-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
