from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Toluene,MP-Xylene,Xylene,Eth-Benzene,Ozone,to date,station
21-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.89,0.0,1.3,0.0,0.0,2.53,0.0,1.54,0.0,22-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
22-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,82.05,0.0,1.28,0.0,0.0,1.23,0.0,1.82,0.0,23-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
23-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.27,0.0,0.83,0.0,0.0,0.88,0.0,0.36,0.0,24-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
24-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.81,0.0,0.05,0.0,0.0,0.1,0.0,0.5,0.0,25-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
25-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,26-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
26-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,27-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
27-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,28-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
28-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,29-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
29-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,30-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
30-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.49,0.0,31-Jan-2018 - 00:00,"Bandra, Mumbai - MPCB"
